TF_ID	Gene_ID	Family
Prupe.1G305900.1.p	Prupe.1G305900	RAV
Prupe.3G240000.1.p	Prupe.3G240000	RAV
Prupe.6G015000.1.p	Prupe.6G015000	RAV
Prupe.5G061400.1.p	Prupe.5G061400	RAV
Prupe.7G261000.2.p	Prupe.7G261000	RAV
Prupe.7G261000.3.p	Prupe.7G261000	RAV
Prupe.7G261000.4.p	Prupe.7G261000	RAV
Prupe.7G261000.1.p	Prupe.7G261000	RAV
Prupe.1G006600.1.p	Prupe.1G006600	bHLH
Prupe.1G006600.2.p	Prupe.1G006600	bHLH
Prupe.1G006600.3.p	Prupe.1G006600	bHLH
Prupe.1G019100.1.p	Prupe.1G019100	CPP
Prupe.1G019100.2.p	Prupe.1G019100	CPP
Prupe.1G021200.1.p	Prupe.1G021200	HSF
Prupe.1G030500.1.p	Prupe.1G030500	bHLH
Prupe.1G033400.1.p	Prupe.1G033400	LBD
Prupe.1G037400.1.p	Prupe.1G037400	bHLH
Prupe.1G063700.1.p	Prupe.1G063700	NAC
Prupe.1G070500.1.p	Prupe.1G070500	TCP
Prupe.1G070500.2.p	Prupe.1G070500	TCP
Prupe.1G070500.3.p	Prupe.1G070500	TCP
Prupe.1G071400.1.p	Prupe.1G071400	WRKY
Prupe.1G074100.1.p	Prupe.1G074100	FAR1
Prupe.1G074400.1.p	Prupe.1G074400	bHLH
Prupe.1G074400.2.p	Prupe.1G074400	bHLH
Prupe.1G088700.1.p	Prupe.1G088700	NAC
Prupe.1G106100.1.p	Prupe.1G106100	NAC
Prupe.1G106500.1.p	Prupe.1G106500	SBP
Prupe.1G106500.2.p	Prupe.1G106500	SBP
Prupe.1G106600.1.p	Prupe.1G106600	SBP
Prupe.1G108700.1.p	Prupe.1G108700	CAMTA
Prupe.1G108700.2.p	Prupe.1G108700	CAMTA
Prupe.1G108700.3.p	Prupe.1G108700	CAMTA
Prupe.1G108700.4.p	Prupe.1G108700	CAMTA
Prupe.1G108700.5.p	Prupe.1G108700	CAMTA
Prupe.1G114800.1.p	Prupe.1G114800	WRKY
Prupe.1G119100.1.p	Prupe.1G119100	GRAS
Prupe.1G119200.1.p	Prupe.1G119200	GRAS
Prupe.1G122800.1.p	Prupe.1G122800	CAMTA
Prupe.1G122800.2.p	Prupe.1G122800	CAMTA
Prupe.1G122800.3.p	Prupe.1G122800	CAMTA
Prupe.1G122800.4.p	Prupe.1G122800	CAMTA
Prupe.1G122800.5.p	Prupe.1G122800	CAMTA
Prupe.1G122800.6.p	Prupe.1G122800	CAMTA
Prupe.1G122800.7.p	Prupe.1G122800	CAMTA
Prupe.1G122800.8.p	Prupe.1G122800	CAMTA
Prupe.1G125700.1.p	Prupe.1G125700	FAR1
Prupe.1G125700.2.p	Prupe.1G125700	FAR1
Prupe.1G125700.3.p	Prupe.1G125700	FAR1
Prupe.1G125700.4.p	Prupe.1G125700	FAR1
Prupe.1G126000.1.p	Prupe.1G126000	GATA
Prupe.1G138500.1.p	Prupe.1G138500	NF-YB
Prupe.1G144600.1.p	Prupe.1G144600	SBP
Prupe.1G148400.1.p	Prupe.1G148400	FAR1
Prupe.1G148400.2.p	Prupe.1G148400	FAR1
Prupe.1G151800.1.p	Prupe.1G151800	bHLH
Prupe.1G152500.1.p	Prupe.1G152500	NF-YC
Prupe.1G152500.2.p	Prupe.1G152500	NF-YC
Prupe.1G152500.3.p	Prupe.1G152500	NF-YC
