TF_ID	Gene_ID	Family
kfl00094_0070	kfl00094_0070	RAV
kfl00003_0140	kfl00003_0140	bZIP
kfl00009_0490	kfl00009_0490	Nin-like
kfl00012_0300	kfl00012_0300	bHLH
kfl00012_0330	kfl00012_0330	bHLH
kfl00012_0370	kfl00012_0370	bHLH
kfl00013_0370	kfl00013_0370	NF-YB
kfl00015_0330	kfl00015_0330	CPP
kfl00015_0390	kfl00015_0390	bZIP
kfl00016_0330	kfl00016_0330	bZIP
kfl00019_0230	kfl00019_0230	E2F/DP
kfl00025_0610	kfl00025_0610	Trihelix
kfl00028_0250	kfl00028_0250	GATA
kfl00030_0150	kfl00030_0150	EIL
kfl00031_0340	kfl00031_0340	bZIP
kfl00048_0210	kfl00048_0210	bZIP
kfl00061_0230	kfl00061_0230	bHLH
kfl00063_0010	kfl00063_0010	Nin-like
kfl00064_0080	kfl00064_0080	GATA
kfl00064_0120	kfl00064_0120	Nin-like
kfl00064_0320	kfl00064_0320	Nin-like
kfl00066_0170	kfl00066_0170	bHLH
kfl00066_0230	kfl00066_0230	Trihelix
kfl00076_0320	kfl00076_0320	LBD
kfl00079_0440	kfl00079_0440	bZIP
kfl00080_0330	kfl00080_0330	bZIP
kfl00086_0300	kfl00086_0300	bHLH
kfl00089_0200	kfl00089_0200	E2F/DP
kfl00089_0290	kfl00089_0290	S1Fa-like
kfl00096_0150	kfl00096_0150	WRKY
kfl00098_0290	kfl00098_0290	bZIP
kfl00100_0080	kfl00100_0080	bZIP
kfl00104_0100	kfl00104_0100	NF-YA
kfl00107_0150	kfl00107_0150	SBP
kfl00108_0100	kfl00108_0100	GATA
kfl00115_0010	kfl00115_0010	LBD
kfl00123_0030	kfl00123_0030	NF-YC
kfl00124_0310	kfl00124_0310	NF-X1
kfl00130_0120	kfl00130_0120	NAC
kfl00144_0110	kfl00144_0110	ZF-HD
kfl00144_0160	kfl00144_0160	ZF-HD
kfl00147_0060	kfl00147_0060	LBD
kfl00150_0190	kfl00150_0190	NF-YC
kfl00175_0110	kfl00175_0110	bHLH
kfl00178_0130	kfl00178_0130	GATA
kfl00178_0140	kfl00178_0140	GATA
kfl00186_0050	kfl00186_0050	bZIP
kfl00189_0180	kfl00189_0180	WRKY
kfl00190_0180	kfl00190_0180	bHLH
kfl00209_0150	kfl00209_0150	Trihelix
kfl00209_0160	kfl00209_0160	LBD
kfl00211_0010	kfl00211_0010	Trihelix
kfl00215_0090	kfl00215_0090	bZIP
kfl00243_0100	kfl00243_0100	GATA
kfl00245_0150	kfl00245_0150	bZIP
kfl00250_0020	kfl00250_0020	YABBY
kfl00255_0040	kfl00255_0040	LBD
kfl00260_0030	kfl00260_0030	HSF
kfl00260_0090	kfl00260_0090	NF-YC
kfl00264_0050	kfl00264_0050	CPP
kfl00283_0190	kfl00283_0190	NF-YB
kfl00286_0110	kfl00286_0110	NF-YB
kfl00292_0090	kfl00292_0090	bZIP
kfl00311_0120	kfl00311_0120	HSF
kfl00333_0190	kfl00333_0190	NAC
kfl00334_0040	kfl00334_0040	GATA
kfl00334_0090	kfl00334_0090	E2F/DP
kfl00334_0120	kfl00334_0120	GATA
kfl00336_0130	kfl00336_0130	EIL
kfl00342_0010	kfl00342_0010	bZIP
kfl00344_0140	kfl00344_0140	Nin-like
kfl00355_0070	kfl00355_0070	bHLH
kfl00361_0040	kfl00361_0040	STAT
kfl00375_0090	kfl00375_0090	CAMTA
kfl00381_0020	kfl00381_0020	bZIP
kfl00429_0040	kfl00429_0040	BES1
kfl00479_0030	kfl00479_0030	NF-X1
kfl00500_0060	kfl00500_0060	LBD
kfl00506_0040	kfl00506_0040	bHLH
kfl00520_0060	kfl00520_0060	GATA
kfl00591_0040	kfl00591_0040	NF-YC
kfl00617_0090	kfl00617_0090	bZIP
kfl00637_0100	kfl00637_0100	Whirly
kfl00644_0020	kfl00644_0020	CPP
kfl00652_0070	kfl00652_0070	Trihelix
kfl00659_0060	kfl00659_0060	BES1
kfl00698_0060	kfl00698_0060	bZIP
