TF_ID	Gene_ID	Family
HL.SW.v1.0.G025215.1	HL.SW.v1.0.G025215	RAV
HL.SW.v1.0.G034677.1	HL.SW.v1.0.G034677	RAV
HL.SW.v1.0.G028143.1	HL.SW.v1.0.G028143	RAV
HL.SW.v1.0.G028142.1	HL.SW.v1.0.G028142	RAV
HL.SW.v1.0.G000091.1	HL.SW.v1.0.G000091	bZIP
HL.SW.v1.0.G000105.1	HL.SW.v1.0.G000105	WRKY
HL.SW.v1.0.G000205.1	HL.SW.v1.0.G000205	ZF-HD
HL.SW.v1.0.G000208.1	HL.SW.v1.0.G000208	NAC
HL.SW.v1.0.G000262.1	HL.SW.v1.0.G000262	bZIP
HL.SW.v1.0.G000300.1	HL.SW.v1.0.G000300	SRS
HL.SW.v1.0.G000391.1	HL.SW.v1.0.G000391	bHLH
HL.SW.v1.0.G000440.1	HL.SW.v1.0.G000440	bHLH
HL.SW.v1.0.G000560.1	HL.SW.v1.0.G000560	WRKY
HL.SW.v1.0.G000593.1	HL.SW.v1.0.G000593	GATA
HL.SW.v1.0.G000619.1	HL.SW.v1.0.G000619	NAC
HL.SW.v1.0.G000710.1	HL.SW.v1.0.G000710	Trihelix
HL.SW.v1.0.G000720.1	HL.SW.v1.0.G000720	Dof
HL.SW.v1.0.G000878.1	HL.SW.v1.0.G000878	NAC
HL.SW.v1.0.G000888.1	HL.SW.v1.0.G000888	NAC
HL.SW.v1.0.G000936.1	HL.SW.v1.0.G000936	Dof
HL.SW.v1.0.G001006.1	HL.SW.v1.0.G001006	GATA
HL.SW.v1.0.G001167.1	HL.SW.v1.0.G001167	LBD
HL.SW.v1.0.G001247.1	HL.SW.v1.0.G001247	GRAS
HL.SW.v1.0.G001308.1	HL.SW.v1.0.G001308	bZIP
HL.SW.v1.0.G001346.1	HL.SW.v1.0.G001346	WRKY
HL.SW.v1.0.G001365.1	HL.SW.v1.0.G001365	bHLH
HL.SW.v1.0.G001378.1	HL.SW.v1.0.G001378	WRKY
