TF_ID	Gene_ID	Family
Brast08G036100.1.p	Brast08G036100	RAV
Brast01G176300.1.p	Brast01G176300	RAV
Brast01G388100.1.p	Brast01G388100	RAV
Brast01G388200.1.p	Brast01G388200	RAV
Brast01G001300.1.p	Brast01G001300	GATA
Brast01G004200.1.p	Brast01G004200	Dof
Brast01G006600.1.p	Brast01G006600	WRKY
Brast01G018000.1.p	Brast01G018000	SRS
Brast01G018000.2.p	Brast01G018000	SRS
Brast01G018000.3.p	Brast01G018000	SRS
Brast01G018000.4.p	Brast01G018000	SRS
Brast01G018700.1.p	Brast01G018700	bHLH
Brast01G019500.1.p	Brast01G019500	bHLH
Brast01G022200.1.p	Brast01G022200	GRAS
Brast01G023500.1.p	Brast01G023500	NAC
Brast01G030000.1.p	Brast01G030000	NF-YB
Brast01G030100.1.p	Brast01G030100	NF-YB
Brast01G036600.1.p	Brast01G036600	bHLH
Brast01G037200.1.p	Brast01G037200	Trihelix
Brast01G038400.1.p	Brast01G038400	NAC
Brast01G038600.1.p	Brast01G038600	NAC
Brast01G039500.1.p	Brast01G039500	TCP
Brast01G040800.1.p	Brast01G040800	CAMTA
Brast01G041400.1.p	Brast01G041400	SBP
Brast01G047000.1.p	Brast01G047000	bHLH
Brast01G054900.1.p	Brast01G054900	GRAS
Brast01G056400.1.p	Brast01G056400	bHLH
Brast01G062100.1.p	Brast01G062100	LBD
Brast01G062100.2.p	Brast01G062100	LBD
Brast01G063400.1.p	Brast01G063400	NAC
Brast01G065900.1.p	Brast01G065900	NAC
Brast01G067600.1.p	Brast01G067600	GRAS
Brast01G076300.1.p	Brast01G076300	bZIP
Brast01G077500.1.p	Brast01G077500	Dof
Brast01G080400.1.p	Brast01G080400	NAC
Brast01G082400.1.p	Brast01G082400	bZIP
Brast01G082600.1.p	Brast01G082600	bZIP
Brast01G091900.1.p	Brast01G091900	WRKY
Brast01G092400.1.p	Brast01G092400	GRAS
Brast01G092400.2.p	Brast01G092400	GRAS
Brast01G092400.3.p	Brast01G092400	GRAS
Brast01G092400.4.p	Brast01G092400	GRAS
Brast01G097900.1.p	Brast01G097900	NF-YB
Brast01G099600.1.p	Brast01G099600	bHLH
Brast01G102300.1.p	Brast01G102300	WRKY
Brast01G103000.1.p	Brast01G103000	LBD
Brast01G105100.1.p	Brast01G105100	WRKY
Brast01G105200.1.p	Brast01G105200	WRKY
Brast01G105300.1.p	Brast01G105300	WRKY
Brast01G105400.1.p	Brast01G105400	WRKY
Brast01G105500.1.p	Brast01G105500	WRKY
Brast01G105600.1.p	Brast01G105600	WRKY
Brast01G108000.1.p	Brast01G108000	NAC
Brast01G110600.1.p	Brast01G110600	bZIP
Brast01G110600.2.p	Brast01G110600	bZIP
Brast01G111300.1.p	Brast01G111300	NAC
