TF_ID	Gene_ID	Family
Kaladp0024s0186.1.p	Kaladp0024s0186	RAV
Kaladp0073s0028.1.p	Kaladp0073s0028	RAV
Kaladp0062s0041.1.p	Kaladp0062s0041	RAV
Kaladp0050s0289.1.p	Kaladp0050s0289	RAV
Kaladp0015s0115.1.p	Kaladp0015s0115	RAV
Kaladp0001s0060.1.p	Kaladp0001s0060	BBR-BPC
Kaladp0001s0060.2.p	Kaladp0001s0060	BBR-BPC
Kaladp0001s0060.3.p	Kaladp0001s0060	BBR-BPC
Kaladp0001s0109.1.p	Kaladp0001s0109	bZIP
Kaladp0001s0109.2.p	Kaladp0001s0109	bZIP
Kaladp0001s0109.3.p	Kaladp0001s0109	bZIP
Kaladp0001s0109.4.p	Kaladp0001s0109	bZIP
Kaladp0001s0109.5.p	Kaladp0001s0109	bZIP
Kaladp0001s0109.6.p	Kaladp0001s0109	bZIP
Kaladp0001s0172.1.p	Kaladp0001s0172	WRKY
Kaladp0001s0173.1.p	Kaladp0001s0173	WRKY
Kaladp0001s0214.1.p	Kaladp0001s0214	NF-YC
Kaladp0001s0214.2.p	Kaladp0001s0214	NF-YC
Kaladp0001s0227.1.p	Kaladp0001s0227	LBD
Kaladp0001s0258.1.p	Kaladp0001s0258	bHLH
Kaladp0001s0259.1.p	Kaladp0001s0259	bHLH
Kaladp0001s0264.1.p	Kaladp0001s0264	GATA
Kaladp0002s0017.1.p	Kaladp0002s0017	NAC
Kaladp0002s0036.1.p	Kaladp0002s0036	Dof
Kaladp0002s0037.1.p	Kaladp0002s0037	Dof
Kaladp0002s0105.1.p	Kaladp0002s0105	S1Fa-like
Kaladp0003s0022.1.p	Kaladp0003s0022	Nin-like
Kaladp0003s0022.2.p	Kaladp0003s0022	Nin-like
Kaladp0003s0027.1.p	Kaladp0003s0027	NAC
Kaladp0003s0053.1.p	Kaladp0003s0053	SRS
Kaladp0003s0089.1.p	Kaladp0003s0089	bZIP
Kaladp0003s0128.1.p	Kaladp0003s0128	bZIP
Kaladp0004s0009.1.p	Kaladp0004s0009	WRKY
Kaladp0004s0025.1.p	Kaladp0004s0025	SRS
Kaladp0004s0025.2.p	Kaladp0004s0025	SRS
Kaladp0005s0063.1.p	Kaladp0005s0063	bHLH
Kaladp0006s0050.1.p	Kaladp0006s0050	NF-YC
Kaladp0006s0073.1.p	Kaladp0006s0073	bHLH
Kaladp0006s0073.2.p	Kaladp0006s0073	bHLH
Kaladp0006s0073.3.p	Kaladp0006s0073	bHLH
Kaladp0006s0075.1.p	Kaladp0006s0075	bHLH
Kaladp0006s0075.2.p	Kaladp0006s0075	bHLH
Kaladp0006s0075.3.p	Kaladp0006s0075	bHLH
Kaladp0006s0090.1.p	Kaladp0006s0090	SBP
Kaladp0007s0017.1.p	Kaladp0007s0017	bHLH
Kaladp0007s0082.1.p	Kaladp0007s0082	FAR1
Kaladp0007s0085.1.p	Kaladp0007s0085	FAR1
Kaladp0008s0038.1.p	Kaladp0008s0038	GRAS
Kaladp0008s0122.1.p	Kaladp0008s0122	BES1
Kaladp0008s0226.1.p	Kaladp0008s0226	Trihelix
Kaladp0008s0226.2.p	Kaladp0008s0226	Trihelix
