TF_ID	Gene_ID	Family
KZV20626.1	F511_22040	RAV
KZV30471.1	F511_23478	RAV
KZV29610.1	F511_00888	RAV
KZV44085.1	F511_10756	RAV
KZT75520.1	F511_47455	NAC
KZT75669.1	F511_47306	bZIP
KZT76517.1	F511_46458	GRAS
KZV06723.1	F511_45796	NF-YB
KZV13853.1	F511_44945	NAC
KZV14001.1	F511_44637	WRKY
KZV14169.1	F511_44281	GRAS
KZV14291.1	F511_43796	FAR1
KZV14292.1	F511_43486	GRAS
KZV14342.1	F511_43618	GRAS
KZV14406.1	F511_43396	ZF-HD
KZV14429.1	F511_43244	CPP
KZV14447.1	F511_43090	NAC
KZV14549.1	F511_42667	TCP
KZV14558.1	F511_41725	bHLH
KZV14611.1	F511_42306	TCP
KZV14653.1	F511_40956	GRAS
KZV14713.1	F511_41616	bZIP
KZV14722.1	F511_41275	NAC
KZV14727.1	F511_41178	WRKY
KZV15004.1	F511_39016	GATA
KZV15099.1	F511_37925	bHLH
KZV15104.1	F511_36153	bHLH
KZV15132.1	F511_36160	GeBP
KZV15134.1	F511_36162	bHLH
KZV15173.1	F511_30219	GRAS
KZV15174.1	F511_30220	GRAS
KZV15369.1	F511_20354	WRKY
KZV15421.1	F511_16210	bHLH
KZV15480.1	F511_42099	NF-YC
KZV15484.1	F511_40147	bZIP
KZV15632.1	F511_39434	TCP
KZV15660.1	F511_33084	bHLH
KZV15808.1	F511_30398	bZIP
KZV15896.1	F511_14535	HSF
KZV15946.1	F511_25363	NAC
KZV15975.1	F511_14341	NAC
KZV15977.1	F511_14343	NAC
KZV15980.1	F511_14346	NAC
KZV15981.1	F511_14347	NAC
KZV15999.1	F511_14365	Dof
KZV16000.1	F511_14366	bHLH
KZV16022.1	F511_14388	NAC
KZV16079.1	F511_25911	bHLH
KZV16143.1	F511_13279	WRKY
KZV16222.1	F511_36376	NF-YC
KZV16353.1	F511_12243	bZIP
KZV16460.1	F511_10072	bHLH
KZV16596.1	F511_30890	SBP
KZV16610.1	F511_12066	FAR1
KZV16613.1	F511_12069	GRAS
KZV16616.1	F511_12072	bHLH
KZV16817.1	F511_18610	bZIP
