TF_ID	Gene_ID	Family
XP_011395490.1	F751_4278	GATA
XP_011395528.1	F751_0468	E2F/DP
XP_011395740.1	F751_5583	Nin-like
XP_011395897.1	F751_0411	Nin-like
XP_011395959.1	F751_0838	bZIP
XP_011396016.1	F751_3337	NF-X1
XP_011396441.1	F751_2826	bZIP
XP_011396693.1	F751_6783	GATA
XP_011396723.1	F751_6813	Nin-like
XP_011396796.1	F751_6886	HSF
XP_011396857.1	F751_4004	E2F/DP
XP_011396941.1	F751_0244	bHLH
XP_011396982.1	F751_1361	NF-YB
XP_011396995.1	F751_1374	WRKY
XP_011397002.1	F751_1381	Whirly
XP_011397265.1	F751_3095	SBP
XP_011397290.1	F751_3120	bZIP
XP_011397394.1	F751_3224	NF-YC
XP_011397631.1	F751_3755	Nin-like
XP_011397660.1	F751_3784	bZIP
XP_011397884.1	F751_1875	SBP
XP_011398034.1	F751_6099	CPP
XP_011398401.1	F751_0532	SBP
XP_011398527.1	F751_2473	CPP
XP_011398674.1	F751_2620	NF-YC
XP_011398820.1	F751_4176	GATA
XP_011398834.1	F751_4190	SBP
XP_011399299.1	F751_4896	bZIP
XP_011399463.1	F751_2112	NF-YC
XP_011399624.1	F751_6643	bZIP
XP_011399733.1	F751_0717	bZIP
XP_011399775.1	F751_0759	GATA
XP_011400012.1	F751_5888	Nin-like
XP_011400082.1	F751_1288	SBP
XP_011400084.1	F751_1290	GATA
XP_011400229.1	F751_4532	NF-YB
XP_011400265.1	F751_4568	bHLH
XP_011400581.1	F751_0857	bHLH
XP_011400627.1	F751_5604	GATA
XP_011400834.1	F751_5410	SBP
XP_011400946.1	F751_5275	SBP
XP_011401233.1	F751_6987	CAMTA
XP_011401306.1	F751_1571	SBP
XP_011401318.1	F751_3814	E2F/DP
XP_011401513.1	F751_5721	bZIP
XP_011401669.1	F751_6392	SBP
XP_011401860.1	F751_6334	CPP
XP_011402196.1	F751_5499	NF-YB
XP_011402245.1	F751_3273	E2F/DP
XP_011398770.1	F751_1488	B3
XP_011395646.1	F751_2972	AP2
XP_011396011.1	F751_3332	AP2
XP_011396127.1	F751_3448	AP2
XP_011400319.1	F751_4622	AP2
XP_011401790.1	F751_3575	AP2
XP_011401904.1	F751_4330	AP2
XP_011400550.1	F751_4146	AP2
XP_011398158.1	F751_3946	AP2
XP_011397886.1	F751_1877	ERF
XP_011400225.1	F751_4528	ERF
XP_011402167.1	F751_5470	ERF
XP_011402302.1	F751_1625	ERF
XP_011397736.1	F751_1727	ARR-B
XP_011395797.1	F751_6440	G2-like
XP_011395984.1	F751_3305	G2-like
XP_011399305.1	F751_4902	G2-like
XP_011399892.1	F751_2022	G2-like
XP_011395720.1	F751_5563	HB-other
XP_011396430.1	F751_2815	C3H
XP_011396996.1	F751_1375	C3H
XP_011397841.1	F751_1832	C3H
XP_011397921.1	F751_1912	C3H
XP_011398015.1	F751_2006	C2H2
XP_011399204.1	F751_4801	C3H
XP_011399536.1	F751_2185	C3H
XP_011399537.1	F751_2186	C3H
XP_011400517.1	F751_0090	C2H2
XP_011400531.1	F751_4127	C3H
XP_011400881.1	F751_5457	C3H
XP_011401115.1	F751_5214	C3H
XP_011401432.1	F751_5330	C3H
XP_011401584.1	F751_0291	C3H
XP_011401672.1	F751_0025	C3H
XP_011402353.1	F751_5738	C3H
XP_011396046.1	F751_3367	MYB
XP_011398188.1	F751_3976	MYB
XP_011399206.1	F751_4803	MYB
XP_011399211.1	F751_4808	MYB
XP_011399674.1	F751_2710	MYB
XP_011401194.1	F751_6948	MYB
XP_011395481.1	F751_4269	MYB_related
XP_011395641.1	F751_2967	MYB_related
XP_011396667.1	F751_5846	MYB_related
XP_011397494.1	F751_2324	MYB_related
XP_011397839.1	F751_1830	MYB_related
XP_011399412.1	F751_2698	MYB_related
XP_011400306.1	F751_4609	MYB_related
XP_011400732.1	F751_2736	MYB_related
XP_011400749.1	F751_2753	MYB_related
XP_011402112.1	F751_6582	MYB_related
XP_011402147.1	F751_3715	MYB_related
