TF_ID	Gene_ID	Family
Vocar.0001s0192.1.p	Vocar.0001s0192	E2F/DP
Vocar.0001s0396.1.p	Vocar.0001s0396	E2F/DP
Vocar.0001s0492.1.p	Vocar.0001s0492	SBP
Vocar.0001s0653.1.p	Vocar.0001s0653	SBP
Vocar.0001s0783.1.p	Vocar.0001s0783	SBP
Vocar.0001s0838.1.p	Vocar.0001s0838	GATA
Vocar.0001s0838.2.p	Vocar.0001s0838	GATA
Vocar.0001s1117.1.p	Vocar.0001s1117	NF-YC
Vocar.0001s1150.1.p	Vocar.0001s1150	Whirly
Vocar.0001s1183.1.p	Vocar.0001s1183	bZIP
Vocar.0001s1308.1.p	Vocar.0001s1308	bZIP
Vocar.0001s1587.1.p	Vocar.0001s1587	SBP
Vocar.0001s1636.1.p	Vocar.0001s1636	bZIP
Vocar.0001s1700.1.p	Vocar.0001s1700	Nin-like
Vocar.0001s1791.1.p	Vocar.0001s1791	WRKY
Vocar.0001s1791.2.p	Vocar.0001s1791	WRKY
Vocar.0002s0008.1.p	Vocar.0002s0008	SBP
Vocar.0002s0008.2.p	Vocar.0002s0008	SBP
Vocar.0002s0221.1.p	Vocar.0002s0221	GATA
Vocar.0002s0223.1.p	Vocar.0002s0223	GATA
Vocar.0002s0311.1.p	Vocar.0002s0311	SBP
Vocar.0003s0074.1.p	Vocar.0003s0074	bZIP
Vocar.0003s0172.1.p	Vocar.0003s0172	SBP
Vocar.0003s0172.2.p	Vocar.0003s0172	SBP
Vocar.0003s0219.1.p	Vocar.0003s0219	E2F/DP
Vocar.0003s0247.1.p	Vocar.0003s0247	GATA
Vocar.0003s0248.1.p	Vocar.0003s0248	GATA
Vocar.0003s0248.2.p	Vocar.0003s0248	GATA
Vocar.0003s0435.1.p	Vocar.0003s0435	SBP
Vocar.0004s0114.1.p	Vocar.0004s0114	bHLH
Vocar.0004s0339.1.p	Vocar.0004s0339	NF-YB
Vocar.0005s0123.1.p	Vocar.0005s0123	HSF
Vocar.0005s0190.1.p	Vocar.0005s0190	NF-X1
Vocar.0005s0296.1.p	Vocar.0005s0296	GATA
Vocar.0005s0297.1.p	Vocar.0005s0297	GATA
Vocar.0005s0367.1.p	Vocar.0005s0367	SBP
Vocar.0005s0477.1.p	Vocar.0005s0477	SBP
Vocar.0007s0384.1.p	Vocar.0007s0384	CPP
Vocar.0007s0384.2.p	Vocar.0007s0384	CPP
Vocar.0008s0295.1.p	Vocar.0008s0295	S1Fa-like
Vocar.0009s0375.1.p	Vocar.0009s0375	GATA
Vocar.0011s0018.1.p	Vocar.0011s0018	SBP
Vocar.0012s0159.1.p	Vocar.0012s0159	SBP
Vocar.0013s0255.1.p	Vocar.0013s0255	SBP
Vocar.0014s0106.1.p	Vocar.0014s0106	Nin-like
Vocar.0014s0106.2.p	Vocar.0014s0106	Nin-like
Vocar.0014s0167.1.p	Vocar.0014s0167	bZIP
Vocar.0015s0075.1.p	Vocar.0015s0075	bZIP
Vocar.0015s0081.1.p	Vocar.0015s0081	bZIP
Vocar.0015s0235.1.p	Vocar.0015s0235	Nin-like
Vocar.0015s0365.1.p	Vocar.0015s0365	Nin-like
Vocar.0015s0365.2.p	Vocar.0015s0365	Nin-like
Vocar.0016s0123.1.p	Vocar.0016s0123	bZIP
Vocar.0016s0211.1.p	Vocar.0016s0211	bZIP
Vocar.0017s0086.1.p	Vocar.0017s0086	CPP
Vocar.0017s0086.2.p	Vocar.0017s0086	CPP
Vocar.0018s0169.1.p	Vocar.0018s0169	NF-YC
Vocar.0018s0197.1.p	Vocar.0018s0197	SBP
Vocar.0019s0157.1.p	Vocar.0019s0157	Nin-like
Vocar.0019s0209.1.p	Vocar.0019s0209	bHLH
Vocar.0021s0143.1.p	Vocar.0021s0143	GATA
Vocar.0021s0170.1.p	Vocar.0021s0170	bZIP
Vocar.0022s0024.1.p	Vocar.0022s0024	SBP
Vocar.0022s0047.1.p	Vocar.0022s0047	bZIP
Vocar.0023s0090.1.p	Vocar.0023s0090	Nin-like
Vocar.0023s0090.2.p	Vocar.0023s0090	Nin-like
Vocar.0024s0026.1.p	Vocar.0024s0026	GATA
Vocar.0025s0120.1.p	Vocar.0025s0120	Nin-like
Vocar.0025s0134.1.p	Vocar.0025s0134	SBP
Vocar.0025s0194.1.p	Vocar.0025s0194	bHLH
Vocar.0029s0161.1.p	Vocar.0029s0161	Nin-like
Vocar.0029s0186.1.p	Vocar.0029s0186	bZIP
Vocar.0030s0108.1.p	Vocar.0030s0108	Nin-like
Vocar.0032s0011.1.p	Vocar.0032s0011	bZIP
Vocar.0033s0073.1.p	Vocar.0033s0073	HSF
Vocar.0034s0019.1.p	Vocar.0034s0019	GATA
Vocar.0035s0051.1.p	Vocar.0035s0051	SBP
Vocar.0035s0093.1.p	Vocar.0035s0093	NF-YC
Vocar.0036s0020.1.p	Vocar.0036s0020	NF-YC
Vocar.0037s0095.1.p	Vocar.0037s0095	NF-YB
Vocar.0037s0106.1.p	Vocar.0037s0106	Dof
Vocar.0039s0031.1.p	Vocar.0039s0031	bZIP
Vocar.0042s0081.1.p	Vocar.0042s0081	SBP
Vocar.0042s0081.2.p	Vocar.0042s0081	SBP
Vocar.0042s0082.1.p	Vocar.0042s0082	SBP
Vocar.0048s0009.1.p	Vocar.0048s0009	CPP
Vocar.0053s0040.1.p	Vocar.0053s0040	GATA
Vocar.0056s0041.1.p	Vocar.0056s0041	SBP
Vocar.0058s0025.1.p	Vocar.0058s0025	WRKY
Vocar.0067s0020.1.p	Vocar.0067s0020	NF-YB
Vocar.0072s0004.1.p	Vocar.0072s0004	WRKY
Vocar.0078s0012.1.p	Vocar.0078s0012	GATA
Vocar.0104s0001.1.p	Vocar.0104s0001	SBP
Vocar.0028s0123.1.p	Vocar.0028s0123	B3
Vocar.0001s1269.1.p	Vocar.0001s1269	AP2
Vocar.0017s0120.1.p	Vocar.0017s0120	AP2
Vocar.0023s0184.1.p	Vocar.0023s0184	AP2
Vocar.0023s0210.1.p	Vocar.0023s0210	AP2
Vocar.0023s0123.1.p	Vocar.0023s0123	AP2
Vocar.0023s0128.1.p	Vocar.0023s0128	AP2
Vocar.0042s0048.4.p	Vocar.0042s0048	AP2
Vocar.0042s0048.1.p	Vocar.0042s0048	AP2
Vocar.0042s0048.2.p	Vocar.0042s0048	AP2
Vocar.0042s0048.3.p	Vocar.0042s0048	AP2
Vocar.0008s0074.1.p	Vocar.0008s0074	AP2
Vocar.0037s0091.1.p	Vocar.0037s0091	AP2
Vocar.0009s0293.1.p	Vocar.0009s0293	AP2
Vocar.0002s0236.1.p	Vocar.0002s0236	ERF
Vocar.0004s0259.1.p	Vocar.0004s0259	ERF
Vocar.0005s0116.1.p	Vocar.0005s0116	ERF
Vocar.0006s0102.1.p	Vocar.0006s0102	ERF
Vocar.0007s0289.1.p	Vocar.0007s0289	ERF
Vocar.0013s0173.1.p	Vocar.0013s0173	ERF
Vocar.0013s0173.2.p	Vocar.0013s0173	ERF
Vocar.0022s0152.1.p	Vocar.0022s0152	ERF
Vocar.0041s0059.1.p	Vocar.0041s0059	ERF
Vocar.0041s0059.2.p	Vocar.0041s0059	ERF
Vocar.0060s0003.1.p	Vocar.0060s0003	ERF
Vocar.0060s0003.2.p	Vocar.0060s0003	ERF
Vocar.0002s0569.1.p	Vocar.0002s0569	CO-like
Vocar.0015s0269.1.p	Vocar.0015s0269	CO-like
Vocar.0078s0011.1.p	Vocar.0078s0011	ARR-B
Vocar.0004s0521.1.p	Vocar.0004s0521	G2-like
Vocar.0004s0521.2.p	Vocar.0004s0521	G2-like
Vocar.0005s0508.1.p	Vocar.0005s0508	G2-like
Vocar.0008s0156.1.p	Vocar.0008s0156	G2-like
Vocar.0031s0066.1.p	Vocar.0031s0066	G2-like
Vocar.0014s0224.1.p	Vocar.0014s0224	M-type_MADS
Vocar.0053s0055.1.p	Vocar.0053s0055	HB-other
Vocar.0053s0056.1.p	Vocar.0053s0056	HB-other
Vocar.0068s0005.1.p	Vocar.0068s0005	HB-other
Vocar.0001s0773.1.p	Vocar.0001s0773	C3H
Vocar.0001s1376.1.p	Vocar.0001s1376	C3H
Vocar.0001s1684.1.p	Vocar.0001s1684	C3H
Vocar.0001s1778.1.p	Vocar.0001s1778	C3H
Vocar.0001s1803.1.p	Vocar.0001s1803	C3H
Vocar.0002s0599.1.p	Vocar.0002s0599	C3H
Vocar.0003s0383.1.p	Vocar.0003s0383	C2H2
Vocar.0006s0215.1.p	Vocar.0006s0215	C3H
Vocar.0006s0348.1.p	Vocar.0006s0348	LSD
Vocar.0006s0455.1.p	Vocar.0006s0455	C3H
Vocar.0007s0275.1.p	Vocar.0007s0275	C3H
Vocar.0011s0137.1.p	Vocar.0011s0137	C2H2
Vocar.0012s0086.1.p	Vocar.0012s0086	C3H
Vocar.0014s0006.1.p	Vocar.0014s0006	C3H
Vocar.0015s0208.1.p	Vocar.0015s0208	C2H2
Vocar.0019s0023.1.p	Vocar.0019s0023	C3H
Vocar.0019s0075.1.p	Vocar.0019s0075	C2H2
Vocar.0020s0149.1.p	Vocar.0020s0149	C2H2
Vocar.0022s0201.1.p	Vocar.0022s0201	C3H
Vocar.0024s0255.1.p	Vocar.0024s0255	C3H
Vocar.0028s0029.1.p	Vocar.0028s0029	C3H
Vocar.0028s0042.1.p	Vocar.0028s0042	C2H2
Vocar.0028s0107.1.p	Vocar.0028s0107	C3H
Vocar.0037s0149.1.p	Vocar.0037s0149	C3H
Vocar.0052s0030.1.p	Vocar.0052s0030	C3H
Vocar.0097s0008.1.p	Vocar.0097s0008	C3H
Vocar.0001s0782.1.p	Vocar.0001s0782	MYB
Vocar.0002s0488.1.p	Vocar.0002s0488	MYB
Vocar.0002s0544.1.p	Vocar.0002s0544	MYB
Vocar.0004s0316.1.p	Vocar.0004s0316	MYB
Vocar.0006s0441.1.p	Vocar.0006s0441	MYB
Vocar.0008s0006.1.p	Vocar.0008s0006	MYB
Vocar.0008s0006.2.p	Vocar.0008s0006	MYB
Vocar.0011s0012.1.p	Vocar.0011s0012	MYB
Vocar.0011s0304.1.p	Vocar.0011s0304	MYB
Vocar.0011s0308.1.p	Vocar.0011s0308	MYB
Vocar.0012s0162.1.p	Vocar.0012s0162	MYB
Vocar.0014s0065.1.p	Vocar.0014s0065	MYB
Vocar.0017s0204.1.p	Vocar.0017s0204	MYB
Vocar.0017s0204.2.p	Vocar.0017s0204	MYB
Vocar.0017s0204.3.p	Vocar.0017s0204	MYB
Vocar.0022s0210.1.p	Vocar.0022s0210	MYB
Vocar.0023s0018.1.p	Vocar.0023s0018	MYB
Vocar.0024s0002.1.p	Vocar.0024s0002	MYB
Vocar.0026s0128.1.p	Vocar.0026s0128	MYB
Vocar.0001s1594.1.p	Vocar.0001s1594	MYB_related
Vocar.0001s1620.1.p	Vocar.0001s1620	MYB_related
Vocar.0001s1620.2.p	Vocar.0001s1620	MYB_related
Vocar.0001s1661.1.p	Vocar.0001s1661	MYB_related
Vocar.0002s0401.1.p	Vocar.0002s0401	MYB_related
Vocar.0002s0401.2.p	Vocar.0002s0401	MYB_related
Vocar.0002s0575.1.p	Vocar.0002s0575	MYB_related
Vocar.0005s0272.1.p	Vocar.0005s0272	MYB_related
Vocar.0006s0301.1.p	Vocar.0006s0301	MYB_related
Vocar.0009s0221.1.p	Vocar.0009s0221	MYB_related
Vocar.0011s0039.1.p	Vocar.0011s0039	MYB_related
Vocar.0011s0281.1.p	Vocar.0011s0281	MYB_related
Vocar.0011s0281.2.p	Vocar.0011s0281	MYB_related
Vocar.0012s0182.1.p	Vocar.0012s0182	MYB_related
Vocar.0013s0008.1.p	Vocar.0013s0008	MYB_related
Vocar.0013s0008.2.p	Vocar.0013s0008	MYB_related
Vocar.0015s0393.1.p	Vocar.0015s0393	MYB_related
Vocar.0024s0133.1.p	Vocar.0024s0133	MYB_related
Vocar.0026s0075.1.p	Vocar.0026s0075	MYB_related
Vocar.0050s0012.1.p	Vocar.0050s0012	MYB_related
