TF_ID	Gene_ID	Family
Zmw_sc00169.1.g00170.1	Zmw_sc00169.1.g00170.1	RAV
Zmw_sc00779.1.g00040.1	Zmw_sc00779.1.g00040.1	RAV
Zmw_sc00607.1.g00060.1	Zmw_sc00607.1.g00060.1	RAV
Zmw_sc01354.1.g00140.1	Zmw_sc01354.1.g00140.1	RAV
Zmw_sc04894.1.g00010.1	Zmw_sc04894.1.g00010.1	RAV
Zmw_sc00880.1.g00190.1	Zmw_sc00880.1.g00190.1	RAV
Zmw_sc00001.1.g00170.1	Zmw_sc00001.1.g00170.1	WRKY
Zmw_sc00002.1.g00550.1	Zmw_sc00002.1.g00550.1	NAC
Zmw_sc00004.1.g00090.1	Zmw_sc00004.1.g00090.1	LBD
Zmw_sc00004.1.g00230.1	Zmw_sc00004.1.g00230.1	LBD
Zmw_sc00004.1.g00340.1	Zmw_sc00004.1.g00340.1	LBD
Zmw_sc00004.1.g00480.1	Zmw_sc00004.1.g00480.1	Dof
Zmw_sc00004.1.g00560.1	Zmw_sc00004.1.g00560.1	NAC
Zmw_sc00005.1.g00200.1	Zmw_sc00005.1.g00200.1	GRAS
Zmw_sc00005.1.g00620.1	Zmw_sc00005.1.g00620.1	GATA
Zmw_sc00006.1.g00100.1	Zmw_sc00006.1.g00100.1	Nin-like
Zmw_sc00006.1.g00690.1	Zmw_sc00006.1.g00690.1	bZIP
Zmw_sc00010.1.g00010.1	Zmw_sc00010.1.g00010.1	bHLH
Zmw_sc00011.1.g00380.1	Zmw_sc00011.1.g00380.1	WRKY
Zmw_sc00011.1.g00850.1	Zmw_sc00011.1.g00850.1	NF-YA
Zmw_sc00013.1.g00530.1	Zmw_sc00013.1.g00530.1	Trihelix
Zmw_sc00014.1.g00050.1	Zmw_sc00014.1.g00050.1	Dof
Zmw_sc00014.1.g00210.1	Zmw_sc00014.1.g00210.1	LBD
Zmw_sc00014.1.g00320.1	Zmw_sc00014.1.g00320.1	LBD
Zmw_sc00016.1.g00680.1	Zmw_sc00016.1.g00680.1	bHLH
Zmw_sc00017.1.g00410.1	Zmw_sc00017.1.g00410.1	bZIP
Zmw_sc00018.1.g00070.1	Zmw_sc00018.1.g00070.1	Trihelix
Zmw_sc00020.1.g00070.1	Zmw_sc00020.1.g00070.1	WRKY
Zmw_sc00020.1.g00100.1	Zmw_sc00020.1.g00100.1	LBD
Zmw_sc00020.1.g00290.1	Zmw_sc00020.1.g00290.1	bHLH
Zmw_sc00024.1.g00510.1	Zmw_sc00024.1.g00510.1	GRAS
Zmw_sc00024.1.g00610.1	Zmw_sc00024.1.g00610.1	bZIP
Zmw_sc00026.1.g00500.1	Zmw_sc00026.1.g00500.1	LBD
Zmw_sc00026.1.g00530.1	Zmw_sc00026.1.g00530.1	LBD
Zmw_sc00026.1.g00540.1	Zmw_sc00026.1.g00540.1	LBD
Zmw_sc00026.1.g00550.1	Zmw_sc00026.1.g00550.1	LBD
Zmw_sc00026.1.g00620.1	Zmw_sc00026.1.g00620.1	NF-YA
Zmw_sc00026.1.g00630.1	Zmw_sc00026.1.g00630.1	NF-YA
Zmw_sc00032.1.g00290.1	Zmw_sc00032.1.g00290.1	Trihelix
Zmw_sc00034.1.g00310.1	Zmw_sc00034.1.g00310.1	bHLH
Zmw_sc00034.1.g00360.1	Zmw_sc00034.1.g00360.1	NAC
Zmw_sc00034.1.g00550.1	Zmw_sc00034.1.g00550.1	ZF-HD
Zmw_sc00034.1.g00570.1	Zmw_sc00034.1.g00570.1	ZF-HD
Zmw_sc00034.1.g00810.1	Zmw_sc00034.1.g00810.1	bHLH
Zmw_sc00034.1.g00820.1	Zmw_sc00034.1.g00820.1	WRKY
Zmw_sc00034.1.g00840.1	Zmw_sc00034.1.g00840.1	WRKY
Zmw_sc00038.1.g00270.1	Zmw_sc00038.1.g00270.1	NF-YB
