TF_ID	Gene_ID	Family
ORUFI01G02660.1	ORUFI01G02660	RAV
ORUFI01G02680.1	ORUFI01G02680	RAV
ORUFI01G30390.1	ORUFI01G30390	RAV
ORUFI01G00170.1	ORUFI01G00170	NF-YC
ORUFI01G00290.1	ORUFI01G00290	NAC
ORUFI01G00320.1	ORUFI01G00320	NAC
ORUFI01G00370.1	ORUFI01G00370	bHLH
ORUFI01G00600.1	ORUFI01G00600	bHLH
ORUFI01G00830.1	ORUFI01G00830	bHLH
ORUFI01G02010.1	ORUFI01G02010	LBD
ORUFI01G03990.1	ORUFI01G03990	NF-X1
ORUFI01G04050.1	ORUFI01G04050	bHLH
ORUFI01G04670.1	ORUFI01G04670	LBD
ORUFI01G05050.1	ORUFI01G05050	bZIP
ORUFI01G05260.1	ORUFI01G05260	BES1
ORUFI01G05760.1	ORUFI01G05760	WRKY
ORUFI01G05760.2	ORUFI01G05760	WRKY
ORUFI01G05760.3	ORUFI01G05760	WRKY
ORUFI01G05810.1	ORUFI01G05810	NF-YC
ORUFI01G06040.1	ORUFI01G06040	WRKY
ORUFI01G06050.1	ORUFI01G06050	WRKY
ORUFI01G06380.1	ORUFI01G06380	NAC
ORUFI01G06380.2	ORUFI01G06380	NAC
ORUFI01G06380.3	ORUFI01G06380	NAC
ORUFI01G06530.1	ORUFI01G06530	Dof
ORUFI01G06700.1	ORUFI01G06700	bHLH
ORUFI01G06710.1	ORUFI01G06710	bHLH
ORUFI01G07130.1	ORUFI01G07130	BES1
ORUFI01G07130.2	ORUFI01G07130	BES1
ORUFI01G07680.1	ORUFI01G07680	bZIP
ORUFI01G07780.1	ORUFI01G07780	TCP
ORUFI01G08040.1	ORUFI01G08040	bHLH
ORUFI01G09400.1	ORUFI01G09400	bHLH
ORUFI01G09470.1	ORUFI01G09470	Nin-like
ORUFI01G09790.1	ORUFI01G09790	LBD
ORUFI01G09990.1	ORUFI01G09990	TCP
ORUFI01G10030.1	ORUFI01G10030	Nin-like
ORUFI01G10030.2	ORUFI01G10030	Nin-like
ORUFI01G10050.1	ORUFI01G10050	WRKY
ORUFI01G10050.2	ORUFI01G10050	WRKY
ORUFI01G10050.3	ORUFI01G10050	WRKY
ORUFI01G10050.5	ORUFI01G10050	WRKY
ORUFI01G10280.1	ORUFI01G10280	GeBP
ORUFI01G11090.1	ORUFI01G11090	NAC
ORUFI01G11230.1	ORUFI01G11230	Dof
ORUFI01G12200.1	ORUFI01G12200	Dof
ORUFI01G12330.1	ORUFI01G12330	WRKY
ORUFI01G12420.1	ORUFI01G12420	bZIP
ORUFI01G12420.2	ORUFI01G12420	bZIP
ORUFI01G12420.3	ORUFI01G12420	bZIP
ORUFI01G12420.4	ORUFI01G12420	bZIP
ORUFI01G12840.1	ORUFI01G12840	bHLH
ORUFI01G13060.1	ORUFI01G13060	WRKY
ORUFI01G13230.1	ORUFI01G13230	SBP
ORUFI01G13230.2	ORUFI01G13230	SBP
ORUFI01G13230.3	ORUFI01G13230	SBP
ORUFI01G13230.4	ORUFI01G13230	SBP
ORUFI01G13230.5	ORUFI01G13230	SBP
ORUFI01G13230.6	ORUFI01G13230	SBP
ORUFI01G13230.7	ORUFI01G13230	SBP
ORUFI01G13250.1	ORUFI01G13250	bHLH
ORUFI01G14540.1	ORUFI01G14540	Trihelix
ORUFI01G15770.1	ORUFI01G15770	NAC
ORUFI01G16060.1	ORUFI01G16060	GATA
ORUFI01G16060.2	ORUFI01G16060	GATA
ORUFI01G16200.1	ORUFI01G16200	NF-YC
ORUFI01G17760.1	ORUFI01G17760	NAC
ORUFI01G18470.1	ORUFI01G18470	NAC
ORUFI01G19440.1	ORUFI01G19440	LBD
ORUFI01G19540.1	ORUFI01G19540	GeBP
ORUFI01G19830.1	ORUFI01G19830	bHLH
ORUFI01G21120.1	ORUFI01G21120	bZIP
ORUFI01G21630.1	ORUFI01G21630	Nin-like
ORUFI01G22390.1	ORUFI01G22390	bHLH
ORUFI01G22600.1	ORUFI01G22600	HSF
ORUFI01G22620.1	ORUFI01G22620	LBD
ORUFI01G22650.1	ORUFI01G22650	LBD
ORUFI01G22730.1	ORUFI01G22730	LBD
ORUFI01G22740.1	ORUFI01G22740	LBD
ORUFI01G22760.1	ORUFI01G22760	LBD
ORUFI01G22810.1	ORUFI01G22810	LBD
ORUFI01G22920.1	ORUFI01G22920	bHLH
ORUFI01G22990.1	ORUFI01G22990	bHLH
ORUFI01G23050.1	ORUFI01G23050	bHLH
ORUFI01G23220.1	ORUFI01G23220	NF-YC
ORUFI01G23500.1	ORUFI01G23500	WRKY
ORUFI01G23680.1	ORUFI01G23680	WRKY
ORUFI01G24090.1	ORUFI01G24090	TCP
ORUFI01G25330.1	ORUFI01G25330	CPP
ORUFI01G26110.1	ORUFI01G26110	WRKY
ORUFI01G26140.1	ORUFI01G26140	HSF
ORUFI01G26200.1	ORUFI01G26200	WRKY
ORUFI01G26200.2	ORUFI01G26200	WRKY
ORUFI01G26730.1	ORUFI01G26730	ZF-HD
ORUFI01G27440.1	ORUFI01G27440	GRAS
ORUFI01G28020.1	ORUFI01G28020	WRKY
ORUFI01G28110.1	ORUFI01G28110	bZIP
ORUFI01G28370.1	ORUFI01G28370	GATA
ORUFI01G28580.1	ORUFI01G28580	WRKY
ORUFI01G28690.1	ORUFI01G28690	NAC
ORUFI01G29010.1	ORUFI01G29010	NAC
ORUFI01G29160.1	ORUFI01G29160	Dof
ORUFI01G29330.1	ORUFI01G29330	NAC
ORUFI01G29490.1	ORUFI01G29490	E2F/DP
ORUFI01G29490.2	ORUFI01G29490	E2F/DP
ORUFI01G31210.1	ORUFI01G31210	bHLH
ORUFI01G31350.1	ORUFI01G31350	bHLH
ORUFI01G31840.1	ORUFI01G31840	WRKY
ORUFI01G32120.1	ORUFI01G32120	Trihelix
ORUFI01G32890.1	ORUFI01G32890	WRKY
ORUFI01G33030.1	ORUFI01G33030	HSF
ORUFI01G33070.1	ORUFI01G33070	WRKY
ORUFI01G33750.1	ORUFI01G33750	GATA
ORUFI01G34020.1	ORUFI01G34020	HSF
ORUFI01G34080.1	ORUFI01G34080	WRKY
ORUFI01G34290.1	ORUFI01G34290	VOZ
ORUFI01G34460.1	ORUFI01G34460	TCP
ORUFI01G34500.1	ORUFI01G34500	bZIP
ORUFI01G34710.1	ORUFI01G34710	Dof
ORUFI01G34980.1	ORUFI01G34980	CPP
ORUFI01G34980.2	ORUFI01G34980	CPP
ORUFI01G34980.3	ORUFI01G34980	CPP
ORUFI01G35100.1	ORUFI01G35100	TCP
ORUFI01G35770.1	ORUFI01G35770	LBD
ORUFI01G35930.1	ORUFI01G35930	bHLH
ORUFI01G36520.1	ORUFI01G36520	bHLH
ORUFI01G37470.1	ORUFI01G37470	bZIP
ORUFI01G37800.1	ORUFI01G37800	bZIP
ORUFI01G37800.2	ORUFI01G37800	bZIP
ORUFI01G38010.1	ORUFI01G38010	NAC
ORUFI01G38120.1	ORUFI01G38120	bZIP
ORUFI01G38320.1	ORUFI01G38320	NAC
ORUFI01G38630.1	ORUFI01G38630	WRKY
ORUFI01G38660.1	ORUFI01G38660	WRKY
ORUFI01G38670.1	ORUFI01G38670	WRKY
ORUFI01G38680.1	ORUFI01G38680	WRKY
ORUFI01G38690.1	ORUFI01G38690	WRKY
ORUFI01G39050.1	ORUFI01G39050	LBD
ORUFI01G39110.1	ORUFI01G39110	WRKY
ORUFI01G39410.1	ORUFI01G39410	bHLH
ORUFI01G39650.1	ORUFI01G39650	NF-YB
ORUFI01G39650.2	ORUFI01G39650	NF-YB
ORUFI01G40080.1	ORUFI01G40080	GRAS
ORUFI01G40090.1	ORUFI01G40090	GRAS
ORUFI01G40180.1	ORUFI01G40180	GRAS
ORUFI01G40220.1	ORUFI01G40220	WRKY
ORUFI01G40230.1	ORUFI01G40230	WRKY
ORUFI01G41310.1	ORUFI01G41310	bZIP
ORUFI01G41310.2	ORUFI01G41310	bZIP
ORUFI01G41330.1	ORUFI01G41330	bZIP
ORUFI01G41330.11	ORUFI01G41330	bZIP
ORUFI01G41330.2	ORUFI01G41330	bZIP
ORUFI01G41330.6	ORUFI01G41330	bZIP
ORUFI01G41330.7	ORUFI01G41330	bZIP
ORUFI01G41330.8	ORUFI01G41330	bZIP
ORUFI01G41540.1	ORUFI01G41540	NAC
ORUFI01G41760.1	ORUFI01G41760	bHLH
ORUFI01G41760.2	ORUFI01G41760	bHLH
ORUFI01G41780.1	ORUFI01G41780	Dof
ORUFI01G41890.1	ORUFI01G41890	bZIP
ORUFI01G42800.1	ORUFI01G42800	GRAS
ORUFI01G42940.1	ORUFI01G42940	NAC
ORUFI01G43220.1	ORUFI01G43220	NAC
ORUFI01G43320.1	ORUFI01G43320	LBD
ORUFI01G44010.1	ORUFI01G44010	bHLH
ORUFI01G44140.1	ORUFI01G44140	GRAS
ORUFI01G44170.1	ORUFI01G44170	GRAS
ORUFI01G44190.1	ORUFI01G44190	GRAS
ORUFI01G45060.1	ORUFI01G45060	bHLH
ORUFI01G45560.1	ORUFI01G45560	SBP
ORUFI01G45640.1	ORUFI01G45640	CAMTA
ORUFI01G45710.1	ORUFI01G45710	TCP
ORUFI01G45830.1	ORUFI01G45830	NAC
ORUFI01G45940.2	ORUFI01G45940	Trihelix
ORUFI01G45940.3	ORUFI01G45940	Trihelix
ORUFI01G46010.1	ORUFI01G46010	bHLH
ORUFI01G46340.1	ORUFI01G46340	LBD
ORUFI01G46540.1	ORUFI01G46540	NF-YB
ORUFI01G46550.1	ORUFI01G46550	NF-YB
ORUFI01G47190.1	ORUFI01G47190	NAC
ORUFI01G47300.1	ORUFI01G47300	GRAS
ORUFI01G47560.1	ORUFI01G47560	bHLH
ORUFI01G47660.1	ORUFI01G47660	SRS
ORUFI01G49010.1	ORUFI01G49010	WRKY
ORUFI01G49320.1	ORUFI01G49320	GATA
ORUFI02G00410.1	ORUFI02G00410	Trihelix
ORUFI02G01220.1	ORUFI02G01220	bHLH
ORUFI02G01530.1	ORUFI02G01530	bHLH
ORUFI02G02260.1	ORUFI02G02260	bZIP
ORUFI02G02360.1	ORUFI02G02360	BES1
ORUFI02G02360.2	ORUFI02G02360	BES1
ORUFI02G02360.3	ORUFI02G02360	BES1
ORUFI02G02580.1	ORUFI02G02580	bZIP
ORUFI02G02860.1	ORUFI02G02860	Nin-like
ORUFI02G03180.1	ORUFI02G03180	SBP
ORUFI02G03180.2	ORUFI02G03180	SBP
ORUFI02G03180.3	ORUFI02G03180	SBP
ORUFI02G03830.1	ORUFI02G03830	GATA
ORUFI02G04590.1	ORUFI02G04590	Whirly
ORUFI02G05100.1	ORUFI02G05100	NAC
ORUFI02G05530.1	ORUFI02G05530	NF-YC
ORUFI02G05750.1	ORUFI02G05750	SBP
ORUFI02G05790.1	ORUFI02G05790	bZIP
ORUFI02G05950.1	ORUFI02G05950	SBP
ORUFI02G06290.1	ORUFI02G06290	WRKY
ORUFI02G06390.1	ORUFI02G06390	bZIP
ORUFI02G07030.1	ORUFI02G07030	bZIP
ORUFI02G07490.1	ORUFI02G07490	GRAS
ORUFI02G08550.1	ORUFI02G08550	NAC
ORUFI02G09020.1	ORUFI02G09020	GATA
ORUFI02G09060.1	ORUFI02G09060	bHLH
ORUFI02G09720.1	ORUFI02G09720	bHLH
ORUFI02G09810.1	ORUFI02G09810	HSF
ORUFI02G09890.1	ORUFI02G09890	BES1
ORUFI02G10470.1	ORUFI02G10470	bZIP
ORUFI02G10740.1	ORUFI02G10740	NAC
ORUFI02G10750.1	ORUFI02G10750	Dof
ORUFI02G11080.1	ORUFI02G11080	bHLH
ORUFI02G11490.1	ORUFI02G11490	WRKY
ORUFI02G11610.1	ORUFI02G11610	bZIP
ORUFI02G12070.1	ORUFI02G12070	CPP
ORUFI02G12070.2	ORUFI02G12070	CPP
ORUFI02G12070.3	ORUFI02G12070	CPP
ORUFI02G12670.1	ORUFI02G12670	NAC
ORUFI02G12830.1	ORUFI02G12830	GeBP
ORUFI02G16390.1	ORUFI02G16390	WRKY
ORUFI02G18130.1	ORUFI02G18130	HSF
ORUFI02G19790.1	ORUFI02G19790	HSF
ORUFI02G20490.1	ORUFI02G20490	E2F/DP
ORUFI02G20570.1	ORUFI02G20570	bZIP
ORUFI02G20630.1	ORUFI02G20630	Trihelix
ORUFI02G20630.2	ORUFI02G20630	Trihelix
ORUFI02G20760.1	ORUFI02G20760	Trihelix
ORUFI02G21070.1	ORUFI02G21070	bHLH
ORUFI02G21080.1	ORUFI02G21080	bHLH
ORUFI02G21510.1	ORUFI02G21510	NAC
ORUFI02G21960.1	ORUFI02G21960	bHLH
ORUFI02G21970.1	ORUFI02G21970	Trihelix
ORUFI02G22630.1	ORUFI02G22630	EIL
ORUFI02G22930.1	ORUFI02G22930	NAC
ORUFI02G23890.1	ORUFI02G23890	NAC
ORUFI02G24640.1	ORUFI02G24640	bHLH
ORUFI02G25930.1	ORUFI02G25930	NAC
ORUFI02G26600.1	ORUFI02G26600	TCP
ORUFI02G27080.1	ORUFI02G27080	YABBY
ORUFI02G27110.1	ORUFI02G27110	NAC
ORUFI02G27260.1	ORUFI02G27260	GATA
ORUFI02G27390.1	ORUFI02G27390	Trihelix
ORUFI02G27620.1	ORUFI02G27620	WRKY
ORUFI02G28320.1	ORUFI02G28320	GRAS
ORUFI02G28330.1	ORUFI02G28330	GRAS
ORUFI02G29040.1	ORUFI02G29040	Dof
ORUFI02G29040.2	ORUFI02G29040	Dof
ORUFI02G29040.3	ORUFI02G29040	Dof
ORUFI02G29540.1	ORUFI02G29540	GRAS
ORUFI02G30170.1	ORUFI02G30170	bHLH
ORUFI02G30560.1	ORUFI02G30560	WRKY
ORUFI02G31120.1	ORUFI02G31120	bHLH
ORUFI02G31200.1	ORUFI02G31200	Dof
ORUFI02G31420.1	ORUFI02G31420	bHLH
ORUFI02G31640.1	ORUFI02G31640	LBD
ORUFI02G32540.1	ORUFI02G32540	NF-YB
ORUFI02G32550.1	ORUFI02G32550	NF-YB
ORUFI02G32580.1	ORUFI02G32580	Dof
ORUFI02G32620.1	ORUFI02G32620	bHLH
ORUFI02G32700.1	ORUFI02G32700	bZIP
ORUFI02G33610.1	ORUFI02G33610	E2F/DP
ORUFI02G33610.2	ORUFI02G33610	E2F/DP
ORUFI02G34010.1	ORUFI02G34010	Nin-like
