TF_ID	Gene_ID	Family
Aqcoe3G047000.1.p	Aqcoe3G047000	RAV
Aqcoe3G396900.1.p	Aqcoe3G396900	RAV
Aqcoe3G011700.1.p	Aqcoe3G011700	RAV
Aqcoe5G352400.1.p	Aqcoe5G352400	RAV
Aqcoe0008s0008.1.p	Aqcoe0008s0008	GeBP
Aqcoe0008s0016.1.p	Aqcoe0008s0016	GeBP
Aqcoe0077s0002.1.p	Aqcoe0077s0002	WRKY
Aqcoe0085s0001.1.p	Aqcoe0085s0001	FAR1
Aqcoe0109s0001.1.p	Aqcoe0109s0001	WRKY
Aqcoe0352s0001.1.p	Aqcoe0352s0001	WRKY
Aqcoe0919s0001.1.p	Aqcoe0919s0001	bHLH
Aqcoe1G001100.1.p	Aqcoe1G001100	bZIP
Aqcoe1G001100.2.p	Aqcoe1G001100	bZIP
Aqcoe1G003200.1.p	Aqcoe1G003200	GATA
Aqcoe1G006600.1.p	Aqcoe1G006600	NF-YC
Aqcoe1G008200.1.p	Aqcoe1G008200	bZIP
Aqcoe1G017300.1.p	Aqcoe1G017300	SBP
Aqcoe1G018500.1.p	Aqcoe1G018500	bZIP
Aqcoe1G024700.1.p	Aqcoe1G024700	bHLH
Aqcoe1G029900.1.p	Aqcoe1G029900	NAC
Aqcoe1G030200.1.p	Aqcoe1G030200	bHLH
Aqcoe1G046800.1.p	Aqcoe1G046800	bZIP
Aqcoe1G052900.1.p	Aqcoe1G052900	Trihelix
Aqcoe1G052900.2.p	Aqcoe1G052900	Trihelix
Aqcoe1G058100.1.p	Aqcoe1G058100	NAC
Aqcoe1G060700.1.p	Aqcoe1G060700	GATA
Aqcoe1G062600.1.p	Aqcoe1G062600	FAR1
Aqcoe1G063700.1.p	Aqcoe1G063700	LBD
Aqcoe1G074300.1.p	Aqcoe1G074300	YABBY
Aqcoe1G074300.2.p	Aqcoe1G074300	YABBY
Aqcoe1G074300.3.p	Aqcoe1G074300	YABBY
Aqcoe1G074300.4.p	Aqcoe1G074300	YABBY
Aqcoe1G074300.5.p	Aqcoe1G074300	YABBY
Aqcoe1G074300.6.p	Aqcoe1G074300	YABBY
Aqcoe1G076700.1.p	Aqcoe1G076700	NF-YA
Aqcoe1G076700.2.p	Aqcoe1G076700	NF-YA
Aqcoe1G076700.3.p	Aqcoe1G076700	NF-YA
Aqcoe1G076700.4.p	Aqcoe1G076700	NF-YA
Aqcoe1G076700.5.p	Aqcoe1G076700	NF-YA
Aqcoe1G076700.6.p	Aqcoe1G076700	NF-YA
Aqcoe1G076700.7.p	Aqcoe1G076700	NF-YA
Aqcoe1G076700.8.p	Aqcoe1G076700	NF-YA
Aqcoe1G076700.9.p	Aqcoe1G076700	NF-YA
Aqcoe1G078200.1.p	Aqcoe1G078200	Dof
Aqcoe1G101300.1.p	Aqcoe1G101300	GeBP
Aqcoe1G101400.1.p	Aqcoe1G101400	GeBP
Aqcoe1G108600.1.p	Aqcoe1G108600	GRAS
Aqcoe1G108600.2.p	Aqcoe1G108600	GRAS
Aqcoe1G108600.3.p	Aqcoe1G108600	GRAS
Aqcoe1G108600.4.p	Aqcoe1G108600	GRAS
Aqcoe1G109100.1.p	Aqcoe1G109100	LBD
Aqcoe1G110100.1.p	Aqcoe1G110100	NAC
Aqcoe1G110800.1.p	Aqcoe1G110800	HSF
Aqcoe1G113800.1.p	Aqcoe1G113800	Trihelix
Aqcoe1G113800.2.p	Aqcoe1G113800	Trihelix
Aqcoe1G115500.1.p	Aqcoe1G115500	Trihelix
Aqcoe1G118200.1.p	Aqcoe1G118200	FAR1
