TF_ID	Gene_ID	Family
KHM98740.1	glysoja_030793	bHLH
KHM98767.1	glysoja_030820	Trihelix
KHM98816.1	glysoja_022226	WRKY
KHM98826.1	glysoja_022236	bHLH
KHM98847.1	glysoja_022257	GRAS
KHM98866.1	glysoja_022276	LBD
KHM98881.1	glysoja_040102	LBD
KHM98882.1	glysoja_040103	LBD
KHM98927.1	glysoja_043339	TCP
KHM98984.1	glysoja_047005	bZIP
KHM99021.1	glysoja_024321	bZIP
KHM99082.1	glysoja_024382	NF-YB
KHM99149.1	glysoja_032040	HSF
KHM99167.1	glysoja_045473	bHLH
KHM99168.1	glysoja_045474	bHLH
KHM99174.1	glysoja_044521	TCP
KHM99183.1	glysoja_046023	LBD
KHM99242.1	glysoja_034767	NAC
KHM99380.1	glysoja_028837	BES1
KHM99413.1	glysoja_040465	bHLH
KHM99433.1	glysoja_046506	WRKY
KHM99486.1	glysoja_006329	GRAS
KHM99487.1	glysoja_006330	WRKY
KHM99530.1	glysoja_006373	WRKY
KHM99647.1	glysoja_006490	NAC
KHM99651.1	glysoja_006494	bZIP
KHM99680.1	glysoja_006523	bHLH
KHM99690.1	glysoja_006533	bZIP
KHM99702.1	glysoja_044576	bHLH
KHM99708.1	glysoja_037272	bHLH
KHM99823.1	glysoja_017521	NAC
KHM99908.1	glysoja_017606	WRKY
KHM99943.1	glysoja_017641	WRKY
KHM99976.1	glysoja_046335	ZF-HD
KHN00134.1	glysoja_028662	NF-X1
KHN00233.1	glysoja_022837	SBP
KHN00243.1	glysoja_022847	WRKY
KHN00248.1	glysoja_022852	bHLH
KHN00301.1	glysoja_022905	bHLH
KHN00315.1	glysoja_022919	SBP
KHN00414.1	glysoja_000082	bHLH
KHN00451.1	glysoja_000119	bZIP
KHN00492.1	glysoja_000160	NAC
KHN00507.1	glysoja_000175	SRS
KHN00536.1	glysoja_000204	ZF-HD
KHN00561.1	glysoja_000229	bZIP
KHN00659.1	glysoja_000327	NAC
KHN00664.1	glysoja_000332	NAC
KHN00670.1	glysoja_000338	GATA
KHN00692.1	glysoja_000360	GATA
KHN00700.1	glysoja_000368	GRAS
KHN00764.1	glysoja_000432	Trihelix
KHN00769.1	glysoja_000437	NAC
KHN00770.1	glysoja_000438	NAC
KHN00798.1	glysoja_000466	NAC
KHN00812.1	glysoja_000480	GRAS
KHN00821.1	glysoja_000489	LBD
KHN00843.1	glysoja_000511	GATA
KHN00882.1	glysoja_000550	bHLH
KHN00884.1	glysoja_000552	Trihelix
KHN00895.1	glysoja_000563	bHLH
KHN00898.1	glysoja_000566	NAC
KHN00918.1	glysoja_000586	Trihelix
KHN00925.1	glysoja_000593	Trihelix
KHN00952.1	glysoja_000620	NAC
KHN01010.1	glysoja_000678	NF-YB
KHN01093.1	glysoja_040282	NAC
KHN01144.1	glysoja_008046	bHLH
