TF_ID	Gene_ID	Family
PDK_30s1086741g004	PDK_30s1086741g004	RAV
PDK_30s1000401g001	PDK_30s1000401g001	NAC
PDK_30s1000401g006	PDK_30s1000401g006	NAC
PDK_30s1000401g007	PDK_30s1000401g007	NAC
PDK_30s1001281g002	PDK_30s1001281g002	bHLH
PDK_30s1002951g001	PDK_30s1002951g001	EIL
PDK_30s1007061g002	PDK_30s1007061g002	bHLH
PDK_30s1008141g001	PDK_30s1008141g001	bHLH
PDK_30s1008821g006	PDK_30s1008821g006	WRKY
PDK_30s1009141g004	PDK_30s1009141g004	bHLH
PDK_30s1011221g001	PDK_30s1011221g001	HSF
PDK_30s1011261g001	PDK_30s1011261g001	WRKY
PDK_30s1011711g001	PDK_30s1011711g001	ZF-HD
PDK_30s1011711g005	PDK_30s1011711g005	NAC
PDK_30s1012181g002	PDK_30s1012181g002	HSF
PDK_30s1012891g001	PDK_30s1012891g001	bHLH
PDK_30s1014301g001	PDK_30s1014301g001	bZIP
PDK_30s1016001g009	PDK_30s1016001g009	NAC
PDK_30s1016001g010	PDK_30s1016001g010	YABBY
PDK_30s1016151g001	PDK_30s1016151g001	NAC
PDK_30s1021181g006	PDK_30s1021181g006	NF-YB
PDK_30s1021321g002	PDK_30s1021321g002	NAC
PDK_30s1022651g002	PDK_30s1022651g002	FAR1
PDK_30s1022651g003	PDK_30s1022651g003	FAR1
PDK_30s1025361g003	PDK_30s1025361g003	WRKY
PDK_30s1025991g003	PDK_30s1025991g003	NAC
PDK_30s1026291g001	PDK_30s1026291g001	bHLH
PDK_30s1027561g002	PDK_30s1027561g002	HSF
PDK_30s1028391g001	PDK_30s1028391g001	HSF
PDK_30s1029841g001	PDK_30s1029841g001	FAR1
PDK_30s1030181g010	PDK_30s1030181g010	bHLH
PDK_30s1031941g003	PDK_30s1031941g003	FAR1
PDK_30s1033231g002	PDK_30s1033231g002	Dof
PDK_30s1033551g001	PDK_30s1033551g001	bZIP
PDK_30s1033711g010	PDK_30s1033711g010	GATA
PDK_30s1034021g002	PDK_30s1034021g002	bHLH
PDK_30s1034221g002	PDK_30s1034221g002	BBR-BPC
PDK_30s1036321g001	PDK_30s1036321g001	GRAS
PDK_30s1038011g001	PDK_30s1038011g001	bHLH
PDK_30s1039581g002	PDK_30s1039581g002	Dof
PDK_30s1042271g003	PDK_30s1042271g003	bZIP
PDK_30s1042271g004	PDK_30s1042271g004	FAR1
PDK_30s1042471g011	PDK_30s1042471g011	NAC
PDK_30s1042771g006	PDK_30s1042771g006	bHLH
PDK_30s1043311g005	PDK_30s1043311g005	HSF
PDK_30s1045641g002	PDK_30s1045641g002	NAC
PDK_30s1046841g003	PDK_30s1046841g003	CPP
PDK_30s1048631g001	PDK_30s1048631g001	Dof
PDK_30s1048631g002	PDK_30s1048631g002	Dof
PDK_30s1048841g014	PDK_30s1048841g014	NAC
PDK_30s1048841g022	PDK_30s1048841g022	ZF-HD
PDK_30s1049951g004	PDK_30s1049951g004	GATA
PDK_30s1050381g027	PDK_30s1050381g027	bZIP
PDK_30s1050941g001	PDK_30s1050941g001	bHLH
PDK_30s1051061g001	PDK_30s1051061g001	WRKY
PDK_30s1051061g002	PDK_30s1051061g002	WRKY
PDK_30s1051101g011	PDK_30s1051101g011	NAC
PDK_30s1051821g002	PDK_30s1051821g002	FAR1
PDK_30s1051821g003	PDK_30s1051821g003	FAR1
PDK_30s1052321g004	PDK_30s1052321g004	bHLH
PDK_30s1052861g002	PDK_30s1052861g002	bZIP
PDK_30s1053181g004	PDK_30s1053181g004	WRKY
PDK_30s1053721g006	PDK_30s1053721g006	bZIP
PDK_30s1054411g002	PDK_30s1054411g002	WRKY
PDK_30s1055851g002	PDK_30s1055851g002	SBP
