TF_ID	Gene_ID	Family
Neem_1774_f_3	Neem_1774_f_3	RAV
Neem_39636_f_1	Neem_39636_f_1	RAV
Neem_2732_f_5	Neem_2732_f_5	RAV
Neem_10025_f_1	Neem_10025_f_1	FAR1
Neem_10055_f_1	Neem_10055_f_1	NAC
Neem_10058_f_3	Neem_10058_f_3	HSF
Neem_10058_f_4	Neem_10058_f_4	BES1
Neem_10068_f_1	Neem_10068_f_1	NAC
Neem_10068_f_2	Neem_10068_f_2	NAC
Neem_10073_f_1	Neem_10073_f_1	Trihelix
Neem_10089_f_2	Neem_10089_f_2	WRKY
Neem_10098_f_2	Neem_10098_f_2	FAR1
Neem_10103_f_3	Neem_10103_f_3	bHLH
Neem_10113_f_1	Neem_10113_f_1	Trihelix
Neem_10124_f_2	Neem_10124_f_2	Dof
Neem_10146_f_2	Neem_10146_f_2	FAR1
Neem_10194_f_1	Neem_10194_f_1	NAC
Neem_1023_f_1	Neem_1023_f_1	GRAS
Neem_10248_f_2	Neem_10248_f_2	NAC
Neem_10257_f_1	Neem_10257_f_1	HSF
Neem_10258_f_1	Neem_10258_f_1	WRKY
Neem_1025_f_2	Neem_1025_f_2	Trihelix
Neem_10276_f_4	Neem_10276_f_4	GRAS
Neem_102_f_4	Neem_102_f_4	ZF-HD
Neem_10310_f_2	Neem_10310_f_2	TCP
Neem_10315_f_3	Neem_10315_f_3	WRKY
Neem_10334_f_3	Neem_10334_f_3	bHLH
Neem_10371_f_1	Neem_10371_f_1	bHLH
Neem_10397_f_1	Neem_10397_f_1	bHLH
Neem_10408_f_4	Neem_10408_f_4	NAC
Neem_10415_f_3	Neem_10415_f_3	bHLH
Neem_10439_f_1	Neem_10439_f_1	ZF-HD
Neem_10451_f_1	Neem_10451_f_1	bZIP
Neem_10469_f_1	Neem_10469_f_1	Dof
Neem_10472_f_2	Neem_10472_f_2	Trihelix
Neem_10472_f_3	Neem_10472_f_3	NF-YB
Neem_10479_f_1	Neem_10479_f_1	CAMTA
Neem_10484_f_1	Neem_10484_f_1	NAC
Neem_10520_f_1	Neem_10520_f_1	bHLH
Neem_10533_f_1	Neem_10533_f_1	bHLH
Neem_10550_f_2	Neem_10550_f_2	GATA
Neem_1055_f_6	Neem_1055_f_6	bHLH
Neem_10584_f_4	Neem_10584_f_4	GRAS
Neem_10594_f_1	Neem_10594_f_1	WRKY
Neem_1059_f_2	Neem_1059_f_2	NF-YB
Neem_10634_f_5	Neem_10634_f_5	CPP
Neem_1067_f_1	Neem_1067_f_1	LBD
Neem_10696_f_1	Neem_10696_f_1	bHLH
Neem_10706_f_2	Neem_10706_f_2	WRKY
Neem_10714_f_1	Neem_10714_f_1	Dof
Neem_10720_f_1	Neem_10720_f_1	Whirly
Neem_10791_f_1	Neem_10791_f_1	NAC
Neem_10795_f_2	Neem_10795_f_2	NAC
Neem_10812_f_1	Neem_10812_f_1	TCP
Neem_1081_f_1	Neem_1081_f_1	SBP
Neem_10822_f_1	Neem_10822_f_1	Nin-like
Neem_10840_f_3	Neem_10840_f_3	bHLH
Neem_10867_f_1	Neem_10867_f_1	bHLH
Neem_10870_f_2	Neem_10870_f_2	bHLH
Neem_10870_f_3	Neem_10870_f_3	bHLH
Neem_10879_f_1	Neem_10879_f_1	NAC
