TF_ID	Gene_ID	Family
XP_016435989.1	LOC107762170	RAV
XP_016512131.1	LOC107829180	RAV
XP_016465653.1	LOC107788490	RAV
XP_016445426.1	LOC107770616	RAV
XP_016492322.1	LOC107811841	RAV
XP_016432253.1	LOC107758919	WRKY
XP_016432422.1	LOC107759065	bZIP
XP_016432498.1	LOC107759137	NAC
XP_016432550.1	LOC107759183	VOZ
XP_016432582.1	LOC107759214	ZF-HD
XP_016432594.1	LOC107759220	bHLH
XP_016432620.1	LOC107759248	bHLH
XP_016432768.1	LOC107759358	bHLH
XP_016432826.1	LOC107759399	WRKY
XP_016432827.1	LOC107759401	Nin-like
XP_016432838.1	LOC107759411	Nin-like
XP_016432839.1	LOC107759411	Nin-like
XP_016432911.1	LOC107759473	WRKY
XP_016432997.1	LOC107759545	S1Fa-like
XP_016433002.1	LOC107759552	GRAS
XP_016433075.1	LOC107759614	NF-YC
XP_016433116.1	LOC107759645	TCP
XP_016433120.1	LOC107759648	GATA
XP_016433121.1	LOC107759649	GATA
XP_016433122.1	LOC107759649	GATA
XP_016433123.1	LOC107759649	GATA
XP_016433124.1	LOC107759649	GATA
XP_016433125.1	LOC107759649	GATA
XP_016433143.1	LOC107759670	bZIP
XP_016433144.1	LOC107759670	bZIP
XP_016433145.1	LOC107759670	bZIP
XP_016433146.1	LOC107759670	bZIP
XP_016433148.1	LOC107759670	bZIP
XP_016433149.1	LOC107759671	GRAS
XP_016433226.1	LOC107759738	NAC
XP_016433338.1	LOC107759839	LBD
XP_016433353.1	LOC107759854	E2F/DP
XP_016433408.1	LOC107759919	Trihelix
XP_016433469.1	LOC107759968	GRAS
XP_016433537.1	LOC107760028	bHLH
XP_016433545.1	LOC107760028	bHLH
XP_016433661.1	LOC107760162	ZF-HD
XP_016433673.1	LOC107760174	bHLH
XP_016433676.1	LOC107760174	bHLH
XP_016433751.1	LOC107760247	SBP
XP_016433783.1	LOC107760270	HSF
XP_016433836.1	LOC107760314	GATA
XP_016433923.1	LOC107760392	bHLH
XP_016433985.1	LOC107760450	NAC
XP_016434033.1	LOC107760492	Dof
XP_016434047.1	LOC107760506	Trihelix
XP_016434051.1	LOC107760509	NAC
XP_016434052.1	LOC107760509	NAC
XP_016434163.1	LOC107760601	HSF
XP_016434183.1	LOC107760614	NAC
XP_016434188.1	LOC107760620	GATA
XP_016434189.1	LOC107760621	bHLH
XP_016434190.1	LOC107760621	bHLH
XP_016434211.1	LOC107760642	bZIP
XP_016434229.1	LOC107760659	BES1
XP_016434321.1	LOC107760739	bZIP
XP_016434322.1	LOC107760739	bZIP
XP_016434323.1	LOC107760739	bZIP
XP_016434357.1	LOC107760764	GATA
XP_016434421.1	LOC107760833	bHLH
XP_016434433.1	LOC107760838	bHLH
XP_016434460.1	LOC107760866	bHLH
XP_016434644.1	LOC107761005	NAC
XP_016434682.1	LOC107761037	NF-YB
XP_016434704.1	LOC107761047	GRAS
XP_016434796.1	LOC107761138	Dof
XP_016434825.1	LOC107761157	TCP
XP_016434883.1	LOC107761205	LBD
XP_016434894.1	LOC107761210	HSF
XP_016435041.1	LOC107761327	LBD
XP_016435053.1	LOC107761337	bHLH
XP_016435054.1	LOC107761337	bHLH
XP_016435055.1	LOC107761338	bHLH
XP_016435084.1	LOC107761367	NAC
XP_016435090.1	LOC107761367	NAC
XP_016435093.1	LOC107761380	FAR1
XP_016435125.1	LOC107761409	CAMTA
XP_016435146.1	LOC107761435	Nin-like
