TF_ID	Gene_ID	Family
evm_27.model.AmTr_v1.0_scaffold00007.249	evm_27.TU.AmTr_v1.0_scaffold00007.249	RAV
evm_27.model.AmTr_v1.0_scaffold00001.1	evm_27.TU.AmTr_v1.0_scaffold00001.1	Nin-like
evm_27.model.AmTr_v1.0_scaffold00001.192	evm_27.TU.AmTr_v1.0_scaffold00001.192	NAC
evm_27.model.AmTr_v1.0_scaffold00001.217	evm_27.TU.AmTr_v1.0_scaffold00001.217	GATA
evm_27.model.AmTr_v1.0_scaffold00001.233	evm_27.TU.AmTr_v1.0_scaffold00001.233	SRS
evm_27.model.AmTr_v1.0_scaffold00001.280	evm_27.TU.AmTr_v1.0_scaffold00001.280	NAC
evm_27.model.AmTr_v1.0_scaffold00001.321	evm_27.TU.AmTr_v1.0_scaffold00001.321	Trihelix
evm_27.model.AmTr_v1.0_scaffold00001.35	evm_27.TU.AmTr_v1.0_scaffold00001.35	SBP
evm_27.model.AmTr_v1.0_scaffold00001.382	evm_27.TU.AmTr_v1.0_scaffold00001.382	bZIP
evm_27.model.AmTr_v1.0_scaffold00001.416	evm_27.TU.AmTr_v1.0_scaffold00001.416	Trihelix
evm_27.model.AmTr_v1.0_scaffold00001.432	evm_27.TU.AmTr_v1.0_scaffold00001.432	bHLH
evm_27.model.AmTr_v1.0_scaffold00001.504	evm_27.TU.AmTr_v1.0_scaffold00001.504	bHLH
evm_27.model.AmTr_v1.0_scaffold00002.137	evm_27.TU.AmTr_v1.0_scaffold00002.137	Trihelix
evm_27.model.AmTr_v1.0_scaffold00002.15	evm_27.TU.AmTr_v1.0_scaffold00002.15	bHLH
evm_27.model.AmTr_v1.0_scaffold00002.171	evm_27.TU.AmTr_v1.0_scaffold00002.171	GATA
evm_27.model.AmTr_v1.0_scaffold00002.248	evm_27.TU.AmTr_v1.0_scaffold00002.248	bHLH
evm_27.model.AmTr_v1.0_scaffold00002.310	evm_27.TU.AmTr_v1.0_scaffold00002.310	LBD
evm_27.model.AmTr_v1.0_scaffold00002.340	evm_27.TU.AmTr_v1.0_scaffold00002.340	LBD
evm_27.model.AmTr_v1.0_scaffold00002.490	evm_27.TU.AmTr_v1.0_scaffold00002.490	WRKY
evm_27.model.AmTr_v1.0_scaffold00002.492	evm_27.TU.AmTr_v1.0_scaffold00002.492	bHLH
evm_27.model.AmTr_v1.0_scaffold00002.534	evm_27.TU.AmTr_v1.0_scaffold00002.534	bZIP
evm_27.model.AmTr_v1.0_scaffold00002.589	evm_27.TU.AmTr_v1.0_scaffold00002.589	HSF
evm_27.model.AmTr_v1.0_scaffold00002.627	evm_27.TU.AmTr_v1.0_scaffold00002.627	Trihelix
evm_27.model.AmTr_v1.0_scaffold00002.637	evm_27.TU.AmTr_v1.0_scaffold00002.637	CPP
evm_27.model.AmTr_v1.0_scaffold00002.8	evm_27.TU.AmTr_v1.0_scaffold00002.8	bHLH
evm_27.model.AmTr_v1.0_scaffold00002.92	evm_27.TU.AmTr_v1.0_scaffold00002.92	STAT
evm_27.model.AmTr_v1.0_scaffold00003.226	evm_27.TU.AmTr_v1.0_scaffold00003.226	WRKY
evm_27.model.AmTr_v1.0_scaffold00003.302	evm_27.TU.AmTr_v1.0_scaffold00003.302	NAC
evm_27.model.AmTr_v1.0_scaffold00004.182	evm_27.TU.AmTr_v1.0_scaffold00004.182	YABBY
evm_27.model.AmTr_v1.0_scaffold00004.200	evm_27.TU.AmTr_v1.0_scaffold00004.200	NF-YA
evm_27.model.AmTr_v1.0_scaffold00004.296	evm_27.TU.AmTr_v1.0_scaffold00004.296	GRAS
evm_27.model.AmTr_v1.0_scaffold00004.302	evm_27.TU.AmTr_v1.0_scaffold00004.302	NF-YC
evm_27.model.AmTr_v1.0_scaffold00004.51	evm_27.TU.AmTr_v1.0_scaffold00004.51	WRKY
evm_27.model.AmTr_v1.0_scaffold00004.55	evm_27.TU.AmTr_v1.0_scaffold00004.55	GATA
evm_27.model.AmTr_v1.0_scaffold00005.174	evm_27.TU.AmTr_v1.0_scaffold00005.174	bHLH
evm_27.model.AmTr_v1.0_scaffold00005.66	evm_27.TU.AmTr_v1.0_scaffold00005.66	Trihelix
evm_27.model.AmTr_v1.0_scaffold00006.141	evm_27.TU.AmTr_v1.0_scaffold00006.141	Dof
evm_27.model.AmTr_v1.0_scaffold00006.150	evm_27.TU.AmTr_v1.0_scaffold00006.150	bHLH
evm_27.model.AmTr_v1.0_scaffold00006.175	evm_27.TU.AmTr_v1.0_scaffold00006.175	BBR-BPC
evm_27.model.AmTr_v1.0_scaffold00006.196	evm_27.TU.AmTr_v1.0_scaffold00006.196	bHLH
evm_27.model.AmTr_v1.0_scaffold00006.213	evm_27.TU.AmTr_v1.0_scaffold00006.213	bZIP
evm_27.model.AmTr_v1.0_scaffold00006.275	evm_27.TU.AmTr_v1.0_scaffold00006.275	Trihelix
evm_27.model.AmTr_v1.0_scaffold00007.134	evm_27.TU.AmTr_v1.0_scaffold00007.134	bHLH
evm_27.model.AmTr_v1.0_scaffold00007.18	evm_27.TU.AmTr_v1.0_scaffold00007.18	TCP
evm_27.model.AmTr_v1.0_scaffold00007.2	evm_27.TU.AmTr_v1.0_scaffold00007.2	Trihelix
evm_27.model.AmTr_v1.0_scaffold00007.227	evm_27.TU.AmTr_v1.0_scaffold00007.227	LBD
