TF_ID	Gene_ID	Family
Achn251751	Achn251751	RAV
Achn170441	Achn170441	RAV
Achn107011	Achn107011	RAV
Achn261561	Achn261561	RAV
Achn252961	Achn252961	RAV
Achn000061	Achn000061	GATA
Achn000081	Achn000081	FAR1
Achn000371	Achn000371	WRKY
Achn000501	Achn000501	GRAS
Achn000591	Achn000591	bHLH
Achn000661	Achn000661	NAC
Achn000781	Achn000781	NF-YB
Achn000821	Achn000821	FAR1
Achn001091	Achn001091	CAMTA
Achn001941	Achn001941	Trihelix
Achn002281	Achn002281	FAR1
Achn002431	Achn002431	NF-YC
Achn002491	Achn002491	GRAS
Achn002531	Achn002531	FAR1
Achn002691	Achn002691	NAC
Achn002711	Achn002711	YABBY
Achn003161	Achn003161	NF-YA
Achn003771	Achn003771	NAC
Achn003781	Achn003781	NAC
Achn004191	Achn004191	NAC
Achn004651	Achn004651	TCP
Achn004841	Achn004841	NAC
Achn005241	Achn005241	LBD
Achn005621	Achn005621	WRKY
Achn005631	Achn005631	WRKY
Achn006801	Achn006801	bZIP
Achn007901	Achn007901	bHLH
Achn008041	Achn008041	bHLH
Achn008351	Achn008351	LBD
Achn008531	Achn008531	NAC
Achn008541	Achn008541	NAC
Achn008561	Achn008561	NAC
Achn008571	Achn008571	NAC
Achn009451	Achn009451	NAC
Achn009461	Achn009461	NAC
Achn009471	Achn009471	NAC
Achn009481	Achn009481	NAC
Achn009641	Achn009641	bHLH
Achn009891	Achn009891	Trihelix
Achn010691	Achn010691	WRKY
Achn010701	Achn010701	WRKY
Achn011281	Achn011281	WRKY
Achn011651	Achn011651	GRAS
Achn011781	Achn011781	WRKY
Achn012501	Achn012501	GRAS
Achn012651	Achn012651	FAR1
Achn012831	Achn012831	GRAS
Achn012881	Achn012881	LBD
Achn013141	Achn013141	bHLH
Achn013161	Achn013161	bHLH
Achn013921	Achn013921	WRKY
Achn014021	Achn014021	WRKY
Achn014031	Achn014031	NAC
Achn014051	Achn014051	CPP
Achn014121	Achn014121	FAR1
Achn014211	Achn014211	Trihelix
Achn014701	Achn014701	Dof
Achn015051	Achn015051	ZF-HD
Achn015171	Achn015171	bZIP
Achn015341	Achn015341	WRKY
Achn016511	Achn016511	SBP
Achn016621	Achn016621	bZIP
Achn016981	Achn016981	NAC
Achn017041	Achn017041	bHLH
Achn017321	Achn017321	LFY
Achn017371	Achn017371	Trihelix
Achn017541	Achn017541	SBP
Achn017781	Achn017781	WRKY
Achn017831	Achn017831	bHLH
Achn017871	Achn017871	EIL
Achn018171	Achn018171	EIL
Achn018201	Achn018201	FAR1
Achn018431	Achn018431	EIL
Achn019011	Achn019011	LBD
Achn019201	Achn019201	YABBY
Achn019581	Achn019581	NAC
Achn019631	Achn019631	Nin-like
Achn019771	Achn019771	FAR1
Achn020651	Achn020651	FAR1
Achn020701	Achn020701	Trihelix
Achn021021	Achn021021	NAC
Achn021041	Achn021041	bHLH
Achn021861	Achn021861	bHLH
Achn021921	Achn021921	NF-YB
Achn022171	Achn022171	WRKY
Achn022601	Achn022601	NAC
Achn022611	Achn022611	NAC
Achn023041	Achn023041	bHLH
Achn023891	Achn023891	GRAS
Achn024761	Achn024761	bZIP
Achn024831	Achn024831	NF-YC
Achn025631	Achn025631	BES1
Achn025721	Achn025721	bZIP
Achn025821	Achn025821	BBR-BPC
Achn025861	Achn025861	SRS
Achn026271	Achn026271	bZIP
Achn026311	Achn026311	WRKY
Achn026891	Achn026891	Trihelix
Achn028271	Achn028271	LBD
Achn028681	Achn028681	WRKY
Achn029231	Achn029231	NAC
Achn029521	Achn029521	NAC
Achn029561	Achn029561	NF-YA
Achn029831	Achn029831	GATA
Achn029931	Achn029931	HSF
Achn030051	Achn030051	bHLH
Achn030321	Achn030321	FAR1
Achn030741	Achn030741	GeBP
Achn030801	Achn030801	bHLH
Achn032281	Achn032281	YABBY
Achn032341	Achn032341	FAR1
Achn032401	Achn032401	GRAS
Achn032491	Achn032491	bZIP
Achn032501	Achn032501	bZIP
Achn032521	Achn032521	LBD
Achn032761	Achn032761	bHLH
Achn033091	Achn033091	bHLH
Achn033301	Achn033301	VOZ
Achn033651	Achn033651	NAC
Achn033791	Achn033791	TCP
Achn033861	Achn033861	bZIP
Achn033961	Achn033961	TCP
Achn034361	Achn034361	LBD
Achn035031	Achn035031	bZIP
Achn035131	Achn035131	bHLH
Achn036551	Achn036551	Trihelix
Achn036931	Achn036931	Trihelix
Achn037021	Achn037021	LBD
Achn037901	Achn037901	WRKY
Achn038411	Achn038411	BES1
Achn039041	Achn039041	SBP
Achn039311	Achn039311	TCP
Achn039371	Achn039371	bHLH
Achn039821	Achn039821	TCP
Achn040131	Achn040131	Dof
Achn040601	Achn040601	WRKY
Achn040871	Achn040871	bZIP
Achn041161	Achn041161	bZIP
Achn041401	Achn041401	bHLH
Achn041581	Achn041581	ZF-HD
Achn041731	Achn041731	GATA
Achn041801	Achn041801	bHLH
Achn042271	Achn042271	NF-YB
Achn043391	Achn043391	VOZ
Achn044611	Achn044611	FAR1
Achn044801	Achn044801	Trihelix
Achn045931	Achn045931	Nin-like
Achn046071	Achn046071	FAR1
Achn046361	Achn046361	Nin-like
Achn046371	Achn046371	Nin-like
Achn046381	Achn046381	Nin-like
Achn047821	Achn047821	NAC
Achn048091	Achn048091	CAMTA
Achn048661	Achn048661	NAC
Achn049041	Achn049041	SRS
Achn049201	Achn049201	bZIP
Achn049331	Achn049331	BBR-BPC
Achn049341	Achn049341	bZIP
Achn049431	Achn049431	Trihelix
Achn050241	Achn050241	GRAS
Achn050401	Achn050401	NF-YA
Achn050511	Achn050511	LBD
Achn050591	Achn050591	Dof
Achn050821	Achn050821	GATA
Achn050881	Achn050881	CPP
Achn051151	Achn051151	NAC
Achn051551	Achn051551	LBD
Achn051701	Achn051701	NF-YC
Achn052901	Achn052901	GRAS
Achn053001	Achn053001	WRKY
Achn053241	Achn053241	NAC
Achn053261	Achn053261	BBR-BPC
Achn053731	Achn053731	bHLH
Achn054031	Achn054031	NAC
Achn054041	Achn054041	NAC
Achn054201	Achn054201	bHLH
Achn054841	Achn054841	bZIP
Achn054881	Achn054881	LBD
Achn055041	Achn055041	LBD
Achn055521	Achn055521	bHLH
Achn055531	Achn055531	Trihelix
Achn056131	Achn056131	NF-YC
Achn056701	Achn056701	bHLH
Achn056961	Achn056961	GeBP
Achn057151	Achn057151	bZIP
Achn057421	Achn057421	Trihelix
Achn057551	Achn057551	HSF
Achn057581	Achn057581	NAC
Achn057931	Achn057931	WRKY
Achn058051	Achn058051	bZIP
Achn058441	Achn058441	LBD
Achn058491	Achn058491	Dof
Achn058751	Achn058751	FAR1
Achn059051	Achn059051	NF-YA
Achn059301	Achn059301	CAMTA
Achn059341	Achn059341	bZIP
Achn059561	Achn059561	WRKY
Achn059641	Achn059641	NAC
Achn059711	Achn059711	GRAS
Achn059721	Achn059721	GRAS
Achn060061	Achn060061	LBD
Achn060771	Achn060771	bHLH
Achn061231	Achn061231	bHLH
Achn062291	Achn062291	bZIP
Achn062591	Achn062591	WRKY
Achn062651	Achn062651	bZIP
Achn062881	Achn062881	WRKY
Achn063361	Achn063361	WRKY
Achn064091	Achn064091	SBP
Achn064651	Achn064651	WRKY
Achn064731	Achn064731	WRKY
Achn065071	Achn065071	FAR1
Achn065501	Achn065501	FAR1
Achn065621	Achn065621	CPP
Achn066231	Achn066231	NF-YB
Achn066811	Achn066811	WRKY
Achn067421	Achn067421	FAR1
Achn067431	Achn067431	bHLH
Achn067521	Achn067521	BBR-BPC
Achn068551	Achn068551	bZIP
Achn068771	Achn068771	WRKY
Achn069111	Achn069111	FAR1
Achn069281	Achn069281	NAC
Achn069791	Achn069791	NAC
Achn069961	Achn069961	bHLH
Achn069971	Achn069971	CPP
Achn070531	Achn070531	NAC
Achn070691	Achn070691	NAC
Achn070961	Achn070961	bHLH
Achn071331	Achn071331	WRKY
Achn071481	Achn071481	FAR1
Achn071561	Achn071561	GRAS
Achn071731	Achn071731	bHLH
Achn072001	Achn072001	BES1
Achn073211	Achn073211	E2F/DP
Achn073421	Achn073421	NAC
Achn074521	Achn074521	NAC
Achn074571	Achn074571	ZF-HD
Achn074601	Achn074601	FAR1
Achn075131	Achn075131	bHLH
Achn075361	Achn075361	Trihelix
Achn075461	Achn075461	WRKY
Achn075641	Achn075641	GATA
Achn075701	Achn075701	BBR-BPC
Achn076051	Achn076051	Nin-like
Achn076181	Achn076181	bZIP
Achn076461	Achn076461	GRAS
Achn077531	Achn077531	NAC
Achn078441	Achn078441	FAR1
Achn078551	Achn078551	FAR1
Achn078711	Achn078711	Trihelix
Achn079241	Achn079241	NAC
Achn079421	Achn079421	GRAS
Achn079441	Achn079441	WRKY
Achn080521	Achn080521	NAC
Achn080531	Achn080531	NAC
Achn080541	Achn080541	NAC
Achn080851	Achn080851	NAC
Achn081581	Achn081581	HSF
Achn081661	Achn081661	LBD
Achn082261	Achn082261	GeBP
Achn082431	Achn082431	SBP
Achn083431	Achn083431	NF-YC
Achn084391	Achn084391	bZIP
Achn084581	Achn084581	bHLH
Achn084621	Achn084621	bHLH
Achn084931	Achn084931	SRS
Achn085011	Achn085011	bZIP
Achn085531	Achn085531	GRAS
Achn086291	Achn086291	HSF
Achn086661	Achn086661	Trihelix
Achn087061	Achn087061	bHLH
Achn087151	Achn087151	bHLH
Achn087801	Achn087801	GATA
Achn087871	Achn087871	bHLH
Achn088091	Achn088091	bHLH
Achn088151	Achn088151	YABBY
Achn088191	Achn088191	NF-X1
Achn088391	Achn088391	bHLH
Achn088511	Achn088511	Whirly
Achn088571	Achn088571	FAR1
Achn088681	Achn088681	GRAS
Achn089081	Achn089081	NAC
Achn089301	Achn089301	Trihelix
Achn089521	Achn089521	NAC
Achn090241	Achn090241	bHLH
Achn090761	Achn090761	GATA
Achn091101	Achn091101	Dof
Achn091321	Achn091321	HSF
Achn091361	Achn091361	LBD
Achn091661	Achn091661	bHLH
Achn091811	Achn091811	bZIP
Achn091861	Achn091861	BBR-BPC
Achn092541	Achn092541	Trihelix
Achn092921	Achn092921	bHLH
Achn093071	Achn093071	TCP
Achn093311	Achn093311	NAC
Achn093351	Achn093351	FAR1
Achn094131	Achn094131	FAR1
Achn094351	Achn094351	bZIP
Achn094371	Achn094371	NF-YB
Achn094971	Achn094971	Nin-like
Achn095321	Achn095321	NAC
Achn095861	Achn095861	E2F/DP
Achn096211	Achn096211	bHLH
Achn096361	Achn096361	bZIP
Achn096511	Achn096511	bHLH
Achn096541	Achn096541	bHLH
Achn096961	Achn096961	bZIP
Achn097861	Achn097861	FAR1
Achn100281	Achn100281	FAR1
Achn101521	Achn101521	BBR-BPC
Achn102591	Achn102591	SBP
Achn102611	Achn102611	CAMTA
Achn102881	Achn102881	GRAS
Achn102891	Achn102891	GRAS
Achn103011	Achn103011	GATA
Achn103241	Achn103241	CAMTA
Achn103311	Achn103311	bZIP
Achn103451	Achn103451	WRKY
Achn103731	Achn103731	BES1
Achn103931	Achn103931	WRKY
