TF_ID	Gene_ID	Family
Araip.007DK	Araip.007DK	bHLH
Araip.0158U	Araip.0158U	bHLH
Araip.01FK9	Araip.01FK9	Dof
Araip.021VS	Araip.021VS	SBP
Araip.035HF	Araip.035HF	FAR1
Araip.03FDB	Araip.03FDB	bHLH
Araip.03YVC	Araip.03YVC	bHLH
Araip.0550R	Araip.0550R	NAC
Araip.05XM7	Araip.05XM7	WRKY
Araip.06M22	Araip.06M22	FAR1
Araip.07856	Araip.07856	bHLH
Araip.07HG9	Araip.07HG9	BBR-BPC
Araip.091L0	Araip.091L0	E2F/DP
Araip.09KBD	Araip.09KBD	FAR1
Araip.0A4CX	Araip.0A4CX	SRS
Araip.0B5Q5	Araip.0B5Q5	bHLH
Araip.0CI34	Araip.0CI34	SRS
Araip.0G2T6	Araip.0G2T6	bHLH
Araip.0GM4I	Araip.0GM4I	bZIP
Araip.0HI1A	Araip.0HI1A	bHLH
Araip.0JY6V	Araip.0JY6V	bZIP
Araip.0NP64	Araip.0NP64	NF-YA
Araip.0Q0IR	Araip.0Q0IR	FAR1
Araip.0S3JI	Araip.0S3JI	NAC
Araip.0S602	Araip.0S602	bHLH
Araip.0S7S3	Araip.0S7S3	FAR1
Araip.0T7XC	Araip.0T7XC	bHLH
Araip.0U6EA	Araip.0U6EA	FAR1
Araip.0V0Z8	Araip.0V0Z8	FAR1
Araip.0VK1P	Araip.0VK1P	NF-YA
Araip.0VQ9W	Araip.0VQ9W	bZIP
Araip.0VZ6J	Araip.0VZ6J	FAR1
Araip.0W448	Araip.0W448	bZIP
Araip.0ZF73	Araip.0ZF73	SBP
Araip.1196H	Araip.1196H	GATA
Araip.11A9H	Araip.11A9H	WRKY
Araip.12NAS	Araip.12NAS	NF-YC
Araip.12TI6	Araip.12TI6	bHLH
Araip.13D8C	Araip.13D8C	bHLH
Araip.14WNT	Araip.14WNT	SAP
Araip.15EJY	Araip.15EJY	WRKY
Araip.15LU1	Araip.15LU1	FAR1
Araip.15TR9	Araip.15TR9	FAR1
Araip.168FZ	Araip.168FZ	FAR1
Araip.16X6W	Araip.16X6W	ZF-HD
Araip.17DMG	Araip.17DMG	WRKY
Araip.18666	Araip.18666	WRKY
Araip.1B22D	Araip.1B22D	bHLH
Araip.1B6QA	Araip.1B6QA	Trihelix
Araip.1BW4F	Araip.1BW4F	CPP
Araip.1D00K	Araip.1D00K	NF-YA
Araip.1E1W9	Araip.1E1W9	bHLH
Araip.1E1WQ	Araip.1E1WQ	WRKY
Araip.1FG0Z	Araip.1FG0Z	bZIP
Araip.1G97J	Araip.1G97J	WRKY
Araip.1I15S	Araip.1I15S	YABBY
Araip.1J7W2	Araip.1J7W2	FAR1
Araip.1K1BT	Araip.1K1BT	GATA
Araip.1N7IP	Araip.1N7IP	NAC
Araip.1N91A	Araip.1N91A	Trihelix
Araip.1P1MT	Araip.1P1MT	Dof
Araip.1R6SZ	Araip.1R6SZ	FAR1
Araip.1S1BX	Araip.1S1BX	GATA
Araip.1V5ZI	Araip.1V5ZI	Dof
Araip.1Z0SD	Araip.1Z0SD	NAC
Araip.20ERS	Araip.20ERS	FAR1
Araip.20FU5	Araip.20FU5	WRKY
Araip.21NA4	Araip.21NA4	FAR1
Araip.21Y0I	Araip.21Y0I	FAR1
Araip.23FXR	Araip.23FXR	NF-YC
Araip.23X2M	Araip.23X2M	GATA
Araip.2404G	Araip.2404G	HSF
Araip.2412K	Araip.2412K	WRKY
Araip.24AK5	Araip.24AK5	HSF
Araip.24WUF	Araip.24WUF	Trihelix
Araip.25JLZ	Araip.25JLZ	FAR1
Araip.26A5I	Araip.26A5I	FAR1
Araip.26AUX	Araip.26AUX	FAR1
Araip.27EE4	Araip.27EE4	FAR1
Araip.28KZQ	Araip.28KZQ	bHLH
Araip.2974Q	Araip.2974Q	BES1
Araip.29KUE	Araip.29KUE	HSF
Araip.29WB6	Araip.29WB6	S1Fa-like
Araip.2A2GH	Araip.2A2GH	bHLH
Araip.2B2WU	Araip.2B2WU	FAR1
Araip.2BB1N	Araip.2BB1N	FAR1
Araip.2BL8E	Araip.2BL8E	NAC
Araip.2BR22	Araip.2BR22	FAR1
Araip.2CM48	Araip.2CM48	WRKY
Araip.2D8LN	Araip.2D8LN	HSF
Araip.2DF3R	Araip.2DF3R	FAR1
Araip.2DH61	Araip.2DH61	FAR1
Araip.2FA65	Araip.2FA65	FAR1
Araip.2FG6G	Araip.2FG6G	FAR1
Araip.2G7LE	Araip.2G7LE	LBD
Araip.2H1IY	Araip.2H1IY	FAR1
Araip.2LX3X	Araip.2LX3X	bHLH
Araip.2MX8B	Araip.2MX8B	FAR1
Araip.2PW6E	Araip.2PW6E	E2F/DP
Araip.2QF0G	Araip.2QF0G	FAR1
Araip.2R7TR	Araip.2R7TR	GATA
Araip.2T5BL	Araip.2T5BL	FAR1
Araip.2U2B9	Araip.2U2B9	bHLH
Araip.2W5R5	Araip.2W5R5	NAC
Araip.2XW37	Araip.2XW37	FAR1
Araip.2Z4SA	Araip.2Z4SA	SBP
Araip.310T2	Araip.310T2	NAC
Araip.31EFM	Araip.31EFM	NAC
Araip.31NKT	Araip.31NKT	FAR1
Araip.3280G	Araip.3280G	FAR1
Araip.328GZ	Araip.328GZ	FAR1
Araip.32MBN	Araip.32MBN	FAR1
Araip.333QY	Araip.333QY	NAC
Araip.33FK6	Araip.33FK6	FAR1
Araip.36Q9K	Araip.36Q9K	FAR1
Araip.377BK	Araip.377BK	Nin-like
Araip.37BUF	Araip.37BUF	bHLH
Araip.37U9J	Araip.37U9J	FAR1
Araip.389PD	Araip.389PD	FAR1
Araip.38X68	Araip.38X68	Nin-like
Araip.3A1VT	Araip.3A1VT	WRKY
Araip.3BF0N	Araip.3BF0N	FAR1
Araip.3C72S	Araip.3C72S	FAR1
Araip.3D3W2	Araip.3D3W2	Dof
Araip.3FS7Q	Araip.3FS7Q	FAR1
Araip.3G8AJ	Araip.3G8AJ	WRKY
Araip.3GG4Y	Araip.3GG4Y	FAR1
Araip.3K50N	Araip.3K50N	Trihelix
Araip.3K91H	Araip.3K91H	WRKY
Araip.3KN0A	Araip.3KN0A	HSF
Araip.3N31H	Araip.3N31H	FAR1
Araip.3ND6D	Araip.3ND6D	Trihelix
Araip.3P0PJ	Araip.3P0PJ	HSF
Araip.3P8WL	Araip.3P8WL	NF-YB
Araip.3S7QC	Araip.3S7QC	LBD
Araip.3TF8Q	Araip.3TF8Q	FAR1
Araip.3Y33J	Araip.3Y33J	FAR1
Araip.3ZB7X	Araip.3ZB7X	bZIP
Araip.40KRS	Araip.40KRS	FAR1
Araip.41ZWC	Araip.41ZWC	FAR1
Araip.422ZX	Araip.422ZX	FAR1
Araip.42MZK	Araip.42MZK	bHLH
Araip.435DT	Araip.435DT	LBD
Araip.438GZ	Araip.438GZ	bHLH
Araip.43ZG0	Araip.43ZG0	FAR1
Araip.445QM	Araip.445QM	FAR1
Araip.44BHE	Araip.44BHE	bHLH
Araip.44ZRM	Araip.44ZRM	FAR1
Araip.452FQ	Araip.452FQ	FAR1
Araip.45MP0	Araip.45MP0	FAR1
Araip.45TAK	Araip.45TAK	CPP
Araip.482II	Araip.482II	GRAS
Araip.49QGA	Araip.49QGA	LBD
Araip.4A18K	Araip.4A18K	HSF
Araip.4A49L	Araip.4A49L	NAC
Araip.4C1AU	Araip.4C1AU	bHLH
Araip.4CU64	Araip.4CU64	CAMTA
Araip.4DM65	Araip.4DM65	FAR1
Araip.4FT86	Araip.4FT86	FAR1
Araip.4KG33	Araip.4KG33	FAR1
Araip.4KW8X	Araip.4KW8X	WRKY
Araip.4L5AH	Araip.4L5AH	WRKY
Araip.4ML8D	Araip.4ML8D	FAR1
Araip.4MR76	Araip.4MR76	WRKY
Araip.4R4C1	Araip.4R4C1	NAC
Araip.4S76P	Araip.4S76P	EIL
Araip.4T95H	Araip.4T95H	FAR1
Araip.4U4XR	Araip.4U4XR	bHLH
Araip.4WN3Z	Araip.4WN3Z	FAR1
Araip.4YL9A	Araip.4YL9A	FAR1
Araip.4Z7UA	Araip.4Z7UA	TCP
Araip.5012K	Araip.5012K	Nin-like
Araip.50M3R	Araip.50M3R	WRKY
Araip.510K0	Araip.510K0	bHLH
Araip.51Q21	Araip.51Q21	GRAS
Araip.52BJT	Araip.52BJT	NF-YA
Araip.52XKK	Araip.52XKK	bHLH
Araip.53MZR	Araip.53MZR	NF-YB
Araip.54I3D	Araip.54I3D	FAR1
Araip.58W0H	Araip.58W0H	FAR1
Araip.592E0	Araip.592E0	FAR1
Araip.599VJ	Araip.599VJ	FAR1
Araip.59WX5	Araip.59WX5	FAR1
Araip.5AF5M	Araip.5AF5M	FAR1
Araip.5AZ2K	Araip.5AZ2K	LBD
Araip.5BD6C	Araip.5BD6C	FAR1
Araip.5C6JK	Araip.5C6JK	Nin-like
Araip.5E3CZ	Araip.5E3CZ	bHLH
Araip.5E4N3	Araip.5E4N3	FAR1
Araip.5HG5J	Araip.5HG5J	FAR1
Araip.5HP4H	Araip.5HP4H	bHLH
