TF_ID	Gene_ID	Family
PSME_00048986-RA	PSME_00048986	RAV
PSME_00037738-RA	PSME_00037738	RAV
PSME_00021294-RA	PSME_00021294	RAV
PSME_00021295-RA	PSME_00021295	RAV
PSME_00057154-RA	PSME_00057154	RAV
PSME_00030049-RA	PSME_00030049	RAV
PSME_00032471-RA	PSME_00032471	RAV
PSME_00035556-RA	PSME_00035556	RAV
PSME_00052140-RA	PSME_00052140	RAV
PSME_00052141-RA	PSME_00052141	RAV
PSME_00000011-RA	PSME_00000011	bZIP
PSME_00000014-RA	PSME_00000014	bHLH
PSME_00000085-RA	PSME_00000085	NF-YC
PSME_00000215-RA	PSME_00000215	bHLH
PSME_00000216-RA	PSME_00000216	bHLH
PSME_00000247-RA	PSME_00000247	Trihelix
PSME_00000340-RA	PSME_00000340	Trihelix
PSME_00000341-RA	PSME_00000341	Trihelix
PSME_00000342-RA	PSME_00000342	WRKY
PSME_00000455-RA	PSME_00000455	NF-YA
PSME_00000947-RA	PSME_00000947	LFY
PSME_00001008-RA	PSME_00001008	Dof
PSME_00001127-RA	PSME_00001127	NAC
PSME_00001246-RA	PSME_00001246	NF-YA
PSME_00001258-RA	PSME_00001258	bZIP
PSME_00001310-RA	PSME_00001310	bHLH
PSME_00001374-RA	PSME_00001374	NAC
PSME_00001375-RA	PSME_00001375	NAC
PSME_00001376-RA	PSME_00001376	NAC
PSME_00001380-RA	PSME_00001380	NAC
PSME_00001409-RA	PSME_00001409	NAC
PSME_00001411-RA	PSME_00001411	NAC
PSME_00001412-RA	PSME_00001412	NAC
PSME_00001521-RA	PSME_00001521	NF-YA
PSME_00001522-RA	PSME_00001522	bZIP
PSME_00001523-RA	PSME_00001523	BES1
PSME_00001545-RA	PSME_00001545	WRKY
PSME_00001646-RA	PSME_00001646	NAC
PSME_00001672-RA	PSME_00001672	HSF
PSME_00001691-RA	PSME_00001691	NAC
PSME_00001742-RA	PSME_00001742	NAC
PSME_00001828-RA	PSME_00001828	Trihelix
PSME_00001973-RA	PSME_00001973	WRKY
PSME_00001979-RA	PSME_00001979	WRKY
PSME_00001982-RA	PSME_00001982	GATA
PSME_00001983-RA	PSME_00001983	VOZ
PSME_00002019-RA	PSME_00002019	LBD
PSME_00002086-RA	PSME_00002086	Dof
PSME_00002427-RA	PSME_00002427	bHLH
PSME_00002554-RA	PSME_00002554	bHLH
PSME_00002586-RA	PSME_00002586	bHLH
PSME_00002740-RA	PSME_00002740	Trihelix
PSME_00002749-RA	PSME_00002749	ZF-HD
PSME_00002912-RA	PSME_00002912	VOZ
PSME_00003008-RA	PSME_00003008	NF-YB
PSME_00003516-RA	PSME_00003516	NAC
PSME_00003602-RA	PSME_00003602	NAC
PSME_00003700-RA	PSME_00003700	LBD
PSME_00003833-RA	PSME_00003833	GATA
PSME_00003925-RA	PSME_00003925	LBD
PSME_00003927-RA	PSME_00003927	LBD
PSME_00003928-RA	PSME_00003928	LBD
PSME_00004023-RA	PSME_00004023	bHLH
PSME_00004051-RA	PSME_00004051	GRAS
PSME_00004075-RA	PSME_00004075	bZIP
PSME_00004284-RA	PSME_00004284	NAC
PSME_00004294-RA	PSME_00004294	VOZ
PSME_00004377-RA	PSME_00004377	NAC
PSME_00004378-RA	PSME_00004378	NAC
PSME_00004379-RA	PSME_00004379	NAC
PSME_00004467-RA	PSME_00004467	VOZ
PSME_00004484-RA	PSME_00004484	bHLH
PSME_00004522-RA	PSME_00004522	LBD
PSME_00004523-RA	PSME_00004523	LBD
PSME_00004678-RA	PSME_00004678	VOZ
PSME_00004738-RA	PSME_00004738	WRKY
PSME_00004776-RA	PSME_00004776	Dof
PSME_00004939-RA	PSME_00004939	NAC
PSME_00004970-RA	PSME_00004970	bHLH
PSME_00004971-RA	PSME_00004971	bHLH
PSME_00004973-RA	PSME_00004973	bHLH
PSME_00004974-RA	PSME_00004974	bHLH
PSME_00005146-RA	PSME_00005146	LBD
PSME_00005151-RA	PSME_00005151	LBD
PSME_00005434-RA	PSME_00005434	Whirly
PSME_00005435-RA	PSME_00005435	Whirly
PSME_00005510-RA	PSME_00005510	bHLH
PSME_00005816-RA	PSME_00005816	VOZ
PSME_00005902-RA	PSME_00005902	bHLH
PSME_00005938-RA	PSME_00005938	bHLH
PSME_00006100-RA	PSME_00006100	LBD
PSME_00006142-RA	PSME_00006142	bHLH
PSME_00006177-RA	PSME_00006177	NAC
PSME_00006259-RA	PSME_00006259	VOZ
PSME_00006316-RA	PSME_00006316	VOZ
PSME_00006388-RA	PSME_00006388	HSF
PSME_00006544-RA	PSME_00006544	VOZ
PSME_00006575-RA	PSME_00006575	bHLH
PSME_00006633-RA	PSME_00006633	NF-X1
PSME_00006710-RA	PSME_00006710	bHLH
PSME_00006711-RA	PSME_00006711	bHLH
PSME_00006754-RA	PSME_00006754	VOZ
PSME_00007067-RA	PSME_00007067	CPP
PSME_00007094-RA	PSME_00007094	NF-YC
PSME_00007097-RA	PSME_00007097	NF-YC
PSME_00007117-RA	PSME_00007117	LBD
PSME_00007149-RA	PSME_00007149	NAC
PSME_00007174-RA	PSME_00007174	GATA
PSME_00007197-RA	PSME_00007197	bHLH
PSME_00007254-RA	PSME_00007254	bHLH
PSME_00007256-RA	PSME_00007256	GRAS
PSME_00007454-RA	PSME_00007454	TCP
PSME_00007487-RA	PSME_00007487	LBD
PSME_00007561-RA	PSME_00007561	LBD
PSME_00007562-RA	PSME_00007562	LBD
PSME_00007620-RA	PSME_00007620	bHLH
PSME_00007949-RA	PSME_00007949	SBP
PSME_00008023-RA	PSME_00008023	bHLH
PSME_00008095-RA	PSME_00008095	NAC
PSME_00008136-RA	PSME_00008136	bZIP
PSME_00008234-RA	PSME_00008234	NAC
PSME_00008235-RA	PSME_00008235	NAC
PSME_00008236-RA	PSME_00008236	NAC
PSME_00008237-RA	PSME_00008237	NAC
PSME_00008238-RA	PSME_00008238	NAC
PSME_00008240-RA	PSME_00008240	NAC
PSME_00008248-RA	PSME_00008248	VOZ
PSME_00008295-RA	PSME_00008295	TCP
PSME_00008395-RA	PSME_00008395	NAC
PSME_00008493-RA	PSME_00008493	VOZ
PSME_00008494-RA	PSME_00008494	bHLH
PSME_00008515-RA	PSME_00008515	HSF
PSME_00008606-RA	PSME_00008606	WRKY
PSME_00008670-RA	PSME_00008670	NAC
PSME_00008713-RA	PSME_00008713	LBD
