TF_ID	Gene_ID	Family
Pahal.E03917.1	Pahal.E03917	RAV
Pahal.E03916.1	Pahal.E03916	RAV
Pahal.C02061.1	Pahal.C02061	RAV
Pahal.E02036.1	Pahal.E02036	RAV
Pahal.C01395.1	Pahal.C01395	RAV
Pahal.A00026.1	Pahal.A00026	bHLH
Pahal.A00090.1	Pahal.A00090	bHLH
Pahal.A00090.2	Pahal.A00090	bHLH
Pahal.A00090.3	Pahal.A00090	bHLH
Pahal.A00090.4	Pahal.A00090	bHLH
Pahal.A00090.5	Pahal.A00090	bHLH
Pahal.A00142.1	Pahal.A00142	GATA
Pahal.A00166.1	Pahal.A00166	bZIP
Pahal.A00166.2	Pahal.A00166	bZIP
Pahal.A00166.3	Pahal.A00166	bZIP
Pahal.A00166.5	Pahal.A00166	bZIP
Pahal.A00175.1	Pahal.A00175	BES1
Pahal.A00175.2	Pahal.A00175	BES1
Pahal.A00227.1	Pahal.A00227	Nin-like
Pahal.A00251.1	Pahal.A00251	SBP
Pahal.A00251.2	Pahal.A00251	SBP
Pahal.A00362.1	Pahal.A00362	Whirly
Pahal.A00452.1	Pahal.A00452	NF-YC
Pahal.A00475.1	Pahal.A00475	SBP
Pahal.A00477.1	Pahal.A00477	Trihelix
Pahal.A00477.2	Pahal.A00477	Trihelix
Pahal.A00482.1	Pahal.A00482	bZIP
Pahal.A00502.1	Pahal.A00502	SBP
Pahal.A00553.1	Pahal.A00553	WRKY
Pahal.A00620.1	Pahal.A00620	bZIP
Pahal.A00644.1	Pahal.A00644	bZIP
Pahal.A00660.1	Pahal.A00660	bZIP
Pahal.A00660.2	Pahal.A00660	bZIP
Pahal.A00660.3	Pahal.A00660	bZIP
Pahal.A00660.4	Pahal.A00660	bZIP
Pahal.A00660.5	Pahal.A00660	bZIP
Pahal.A00660.6	Pahal.A00660	bZIP
Pahal.A00660.7	Pahal.A00660	bZIP
Pahal.A00660.8	Pahal.A00660	bZIP
Pahal.A00660.9	Pahal.A00660	bZIP
