TF_ID	Gene_ID	Family
cra_locus_12_iso_1	cra_locus_12	RAV
cra_locus_22369_iso_1	cra_locus_22369	RAV
cra_locus_22369_iso_4	cra_locus_22369	RAV
cra_locus_22369_iso_2	cra_locus_22369	RAV
cra_locus_10082_iso_3	cra_locus_10082	bHLH
cra_locus_101999_iso_1	cra_locus_101999	FAR1
cra_locus_10206_iso_1	cra_locus_10206	ZF-HD
cra_locus_10206_iso_2	cra_locus_10206	ZF-HD
cra_locus_10206_iso_3	cra_locus_10206	ZF-HD
cra_locus_10206_iso_4	cra_locus_10206	ZF-HD
cra_locus_10206_iso_5	cra_locus_10206	ZF-HD
cra_locus_10223_iso_1	cra_locus_10223	bHLH
cra_locus_10223_iso_2	cra_locus_10223	bHLH
cra_locus_10223_iso_4	cra_locus_10223	bHLH
cra_locus_10223_iso_5	cra_locus_10223	bHLH
cra_locus_10224_iso_1	cra_locus_10224	GRAS
cra_locus_10231_iso_1	cra_locus_10231	TCP
cra_locus_10231_iso_3	cra_locus_10231	TCP
cra_locus_10231_iso_5	cra_locus_10231	TCP
cra_locus_10231_iso_8	cra_locus_10231	TCP
cra_locus_102390_iso_1	cra_locus_102390	WRKY
cra_locus_10287_iso_2	cra_locus_10287	FAR1
cra_locus_10287_iso_3	cra_locus_10287	FAR1
cra_locus_10287_iso_4	cra_locus_10287	FAR1
cra_locus_10348_iso_1	cra_locus_10348	WRKY
cra_locus_10348_iso_2	cra_locus_10348	WRKY
cra_locus_10348_iso_3	cra_locus_10348	WRKY
cra_locus_10348_iso_4	cra_locus_10348	WRKY
cra_locus_10370_iso_1	cra_locus_10370	TCP
cra_locus_10414_iso_2	cra_locus_10414	bHLH
cra_locus_10414_iso_4	cra_locus_10414	bHLH
cra_locus_10414_iso_5	cra_locus_10414	bHLH
cra_locus_10414_iso_6	cra_locus_10414	bHLH
cra_locus_10414_iso_8	cra_locus_10414	bHLH
cra_locus_10416_iso_5	cra_locus_10416	Nin-like
cra_locus_10416_iso_6	cra_locus_10416	Nin-like
cra_locus_10417_iso_4	cra_locus_10417	FAR1
cra_locus_10447_iso_1	cra_locus_10447	NF-YC
cra_locus_1044_iso_10	cra_locus_1044	VOZ
cra_locus_1044_iso_1	cra_locus_1044	VOZ
cra_locus_1044_iso_4	cra_locus_1044	VOZ
cra_locus_1044_iso_5	cra_locus_1044	VOZ
cra_locus_1044_iso_7	cra_locus_1044	VOZ
cra_locus_1044_iso_8	cra_locus_1044	VOZ
cra_locus_1044_iso_9	cra_locus_1044	VOZ
cra_locus_10450_iso_3	cra_locus_10450	NAC
cra_locus_10450_iso_4	cra_locus_10450	NAC
cra_locus_104520_iso_1	cra_locus_104520	bHLH
cra_locus_10464_iso_1	cra_locus_10464	GRAS
cra_locus_10503_iso_1	cra_locus_10503	bHLH
cra_locus_10503_iso_3	cra_locus_10503	bHLH
cra_locus_10503_iso_4	cra_locus_10503	bHLH
cra_locus_105225_iso_1	cra_locus_105225	WRKY
cra_locus_105375_iso_1	cra_locus_105375	LBD
cra_locus_10617_iso_1	cra_locus_10617	NF-YA
cra_locus_10617_iso_2	cra_locus_10617	NF-YA
cra_locus_10617_iso_3	cra_locus_10617	NF-YA
cra_locus_10677_iso_1	cra_locus_10677	SBP
cra_locus_10677_iso_2	cra_locus_10677	SBP
cra_locus_10677_iso_3	cra_locus_10677	SBP
cra_locus_10677_iso_4	cra_locus_10677	SBP
cra_locus_10685_iso_1	cra_locus_10685	bHLH
cra_locus_10685_iso_2	cra_locus_10685	bHLH
cra_locus_10685_iso_3	cra_locus_10685	bHLH
cra_locus_10685_iso_4	cra_locus_10685	bHLH
cra_locus_10685_iso_5	cra_locus_10685	bHLH
cra_locus_10685_iso_6	cra_locus_10685	bHLH
cra_locus_10701_iso_1	cra_locus_10701	bZIP
cra_locus_10701_iso_3	cra_locus_10701	bZIP
cra_locus_1072_iso_2	cra_locus_1072	bHLH
cra_locus_10741_iso_1	cra_locus_10741	GRAS
cra_locus_10741_iso_2	cra_locus_10741	GRAS
cra_locus_10741_iso_3	cra_locus_10741	GRAS
cra_locus_10782_iso_2	cra_locus_10782	FAR1
cra_locus_10782_iso_3	cra_locus_10782	FAR1
cra_locus_10782_iso_4	cra_locus_10782	FAR1
cra_locus_10782_iso_5	cra_locus_10782	FAR1
cra_locus_10782_iso_6	cra_locus_10782	FAR1
cra_locus_10858_iso_1	cra_locus_10858	Dof
cra_locus_108663_iso_1	cra_locus_108663	TCP
cra_locus_10904_iso_1	cra_locus_10904	NAC
cra_locus_10904_iso_2	cra_locus_10904	NAC
cra_locus_10934_iso_1	cra_locus_10934	bHLH
cra_locus_10952_iso_1	cra_locus_10952	NAC
cra_locus_10952_iso_2	cra_locus_10952	NAC
cra_locus_110461_iso_1	cra_locus_110461	LBD
cra_locus_11052_iso_1	cra_locus_11052	SBP
cra_locus_11052_iso_2	cra_locus_11052	SBP
cra_locus_11052_iso_3	cra_locus_11052	SBP
cra_locus_11055_iso_1	cra_locus_11055	TCP
cra_locus_11055_iso_3	cra_locus_11055	TCP
cra_locus_11055_iso_4	cra_locus_11055	TCP
cra_locus_11055_iso_5	cra_locus_11055	TCP
cra_locus_11097_iso_3	cra_locus_11097	bZIP
cra_locus_11097_iso_5	cra_locus_11097	bZIP
cra_locus_11133_iso_1	cra_locus_11133	GATA
cra_locus_11133_iso_2	cra_locus_11133	GATA
cra_locus_11133_iso_4	cra_locus_11133	GATA
cra_locus_11133_iso_5	cra_locus_11133	GATA
cra_locus_11215_iso_3	cra_locus_11215	bZIP
cra_locus_11215_iso_5	cra_locus_11215	bZIP
cra_locus_11215_iso_6	cra_locus_11215	bZIP
cra_locus_11215_iso_7	cra_locus_11215	bZIP
cra_locus_112403_iso_1	cra_locus_112403	NAC
cra_locus_112403_iso_2	cra_locus_112403	NAC
cra_locus_112403_iso_3	cra_locus_112403	NAC
cra_locus_112403_iso_4	cra_locus_112403	NAC
cra_locus_11294_iso_4	cra_locus_11294	bZIP
cra_locus_11294_iso_6	cra_locus_11294	bZIP
cra_locus_11295_iso_1	cra_locus_11295	Dof
cra_locus_11295_iso_3	cra_locus_11295	Dof
cra_locus_11305_iso_1	cra_locus_11305	LBD
cra_locus_1130_iso_3	cra_locus_1130	Trihelix
cra_locus_1130_iso_4	cra_locus_1130	Trihelix
cra_locus_11318_iso_1	cra_locus_11318	bZIP
cra_locus_11318_iso_2	cra_locus_11318	bZIP
cra_locus_11318_iso_4	cra_locus_11318	bZIP
cra_locus_11318_iso_5	cra_locus_11318	bZIP
cra_locus_113547_iso_1	cra_locus_113547	bHLH
cra_locus_11392_iso_1	cra_locus_11392	Dof
cra_locus_11392_iso_2	cra_locus_11392	Dof
cra_locus_11409_iso_4	cra_locus_11409	BES1
cra_locus_11409_iso_5	cra_locus_11409	BES1
cra_locus_11409_iso_6	cra_locus_11409	BES1
cra_locus_11431_iso_1	cra_locus_11431	NAC
cra_locus_11487_iso_1	cra_locus_11487	HSF
cra_locus_11487_iso_4	cra_locus_11487	HSF
cra_locus_11604_iso_1	cra_locus_11604	TCP
cra_locus_11604_iso_2	cra_locus_11604	TCP
cra_locus_11604_iso_3	cra_locus_11604	TCP
cra_locus_11604_iso_4	cra_locus_11604	TCP
cra_locus_11604_iso_5	cra_locus_11604	TCP
cra_locus_11604_iso_6	cra_locus_11604	TCP
cra_locus_11625_iso_1	cra_locus_11625	GRAS
cra_locus_11684_iso_1	cra_locus_11684	WRKY
cra_locus_11684_iso_2	cra_locus_11684	WRKY
cra_locus_11684_iso_3	cra_locus_11684	WRKY
cra_locus_11684_iso_4	cra_locus_11684	WRKY
cra_locus_11711_iso_1	cra_locus_11711	bHLH
cra_locus_11711_iso_2	cra_locus_11711	bHLH
cra_locus_11711_iso_4	cra_locus_11711	bHLH
cra_locus_11745_iso_1	cra_locus_11745	bHLH
cra_locus_11745_iso_2	cra_locus_11745	bHLH
cra_locus_11745_iso_3	cra_locus_11745	bHLH
cra_locus_117_iso_4	cra_locus_117	Trihelix
cra_locus_117_iso_5	cra_locus_117	Trihelix
cra_locus_117_iso_8	cra_locus_117	Trihelix
cra_locus_11812_iso_1	cra_locus_11812	bHLH
cra_locus_11812_iso_2	cra_locus_11812	bHLH
cra_locus_11952_iso_1	cra_locus_11952	GRAS
cra_locus_12006_iso_1	cra_locus_12006	SBP
cra_locus_12006_iso_2	cra_locus_12006	SBP
cra_locus_12006_iso_3	cra_locus_12006	SBP
cra_locus_12014_iso_1	cra_locus_12014	BBR-BPC
cra_locus_12014_iso_2	cra_locus_12014	BBR-BPC
cra_locus_12014_iso_3	cra_locus_12014	BBR-BPC
cra_locus_12014_iso_6	cra_locus_12014	BBR-BPC
cra_locus_12014_iso_7	cra_locus_12014	BBR-BPC
cra_locus_12014_iso_9	cra_locus_12014	BBR-BPC
cra_locus_12026_iso_1	cra_locus_12026	NAC
cra_locus_12026_iso_3	cra_locus_12026	NAC
cra_locus_12026_iso_4	cra_locus_12026	NAC
cra_locus_12026_iso_5	cra_locus_12026	NAC
cra_locus_12026_iso_6	cra_locus_12026	NAC
cra_locus_12034_iso_2	cra_locus_12034	bZIP
cra_locus_12034_iso_3	cra_locus_12034	bZIP
cra_locus_12034_iso_4	cra_locus_12034	bZIP
cra_locus_12034_iso_5	cra_locus_12034	bZIP
