TF_ID	Gene_ID	Family
PEQU_06474	PEQU_06474	RAV
PEQU_27747	PEQU_27747	RAV
PEQU_00093	PEQU_00093	bHLH
PEQU_00200	PEQU_00200	SBP
PEQU_00208	PEQU_00208	GRAS
PEQU_00296	PEQU_00296	SRS
PEQU_00346	PEQU_00346	EIL
PEQU_00378	PEQU_00378	FAR1
PEQU_00574	PEQU_00574	Dof
PEQU_00615	PEQU_00615	WRKY
PEQU_00621	PEQU_00621	FAR1
PEQU_00716	PEQU_00716	BES1
PEQU_00717	PEQU_00717	bHLH
PEQU_00755	PEQU_00755	NAC
PEQU_00834	PEQU_00834	WRKY
PEQU_00874	PEQU_00874	WRKY
PEQU_00917	PEQU_00917	bHLH
PEQU_00926	PEQU_00926	HSF
PEQU_00935	PEQU_00935	bHLH
PEQU_00959	PEQU_00959	FAR1
PEQU_00991	PEQU_00991	HSF
PEQU_01082	PEQU_01082	bHLH
PEQU_01221	PEQU_01221	bHLH
PEQU_01263	PEQU_01263	GRAS
PEQU_01271	PEQU_01271	GRAS
PEQU_01296	PEQU_01296	NAC
PEQU_01300	PEQU_01300	SBP
PEQU_01376	PEQU_01376	bZIP
PEQU_01450	PEQU_01450	HRT-like
PEQU_01461	PEQU_01461	SBP
PEQU_01570	PEQU_01570	NAC
PEQU_01588	PEQU_01588	S1Fa-like
PEQU_01589	PEQU_01589	S1Fa-like
PEQU_01669	PEQU_01669	bHLH
PEQU_01722	PEQU_01722	FAR1
PEQU_01742	PEQU_01742	NF-YA
PEQU_01792	PEQU_01792	GeBP
PEQU_01799	PEQU_01799	Trihelix
PEQU_02011	PEQU_02011	Nin-like
PEQU_02020	PEQU_02020	NAC
PEQU_02306	PEQU_02306	NAC
PEQU_02422	PEQU_02422	bHLH
PEQU_02442	PEQU_02442	bZIP
PEQU_02490	PEQU_02490	NF-YC
PEQU_02529	PEQU_02529	Nin-like
PEQU_02573	PEQU_02573	Dof
PEQU_02636	PEQU_02636	NAC
PEQU_02641	PEQU_02641	LBD
PEQU_02696	PEQU_02696	bHLH
PEQU_02752	PEQU_02752	NAC
PEQU_02755	PEQU_02755	GRAS
PEQU_02836	PEQU_02836	bZIP
PEQU_02838	PEQU_02838	NAC
PEQU_02874	PEQU_02874	GRAS
PEQU_03041	PEQU_03041	bHLH
PEQU_03164	PEQU_03164	bZIP
PEQU_03229	PEQU_03229	GRAS
PEQU_03233	PEQU_03233	NAC
PEQU_03239	PEQU_03239	bZIP
PEQU_03258	PEQU_03258	bZIP
PEQU_03301	PEQU_03301	GeBP
PEQU_03310	PEQU_03310	Trihelix
PEQU_03421	PEQU_03421	Trihelix
PEQU_03695	PEQU_03695	bHLH
PEQU_03719	PEQU_03719	bZIP
PEQU_03737	PEQU_03737	NAC
PEQU_03778	PEQU_03778	Trihelix
PEQU_03822	PEQU_03822	TCP
PEQU_03842	PEQU_03842	NAC
PEQU_03888	PEQU_03888	GATA
PEQU_03951	PEQU_03951	bHLH
PEQU_04053	PEQU_04053	BES1
PEQU_04085	PEQU_04085	FAR1
PEQU_04323	PEQU_04323	bZIP
PEQU_04438	PEQU_04438	FAR1
PEQU_04461	PEQU_04461	GRAS
PEQU_04477	PEQU_04477	bHLH
PEQU_04552	PEQU_04552	WRKY
PEQU_04570	PEQU_04570	bZIP
PEQU_04617	PEQU_04617	bHLH
PEQU_04620	PEQU_04620	WRKY
PEQU_04739	PEQU_04739	WRKY
PEQU_04741	PEQU_04741	GATA
PEQU_04780	PEQU_04780	SBP
PEQU_04799	PEQU_04799	bHLH
PEQU_05026	PEQU_05026	NF-YA
PEQU_05055	PEQU_05055	WRKY
PEQU_05056	PEQU_05056	GRAS
PEQU_05089	PEQU_05089	E2F/DP
PEQU_05123	PEQU_05123	GeBP
PEQU_05180	PEQU_05180	Dof
PEQU_05185	PEQU_05185	bHLH
PEQU_05211	PEQU_05211	bHLH
PEQU_05255	PEQU_05255	FAR1
PEQU_05299	PEQU_05299	FAR1
PEQU_05535	PEQU_05535	bHLH
PEQU_05571	PEQU_05571	SBP
PEQU_05614	PEQU_05614	GRAS
PEQU_05657	PEQU_05657	NAC
PEQU_05693	PEQU_05693	LBD
PEQU_05694	PEQU_05694	LBD
PEQU_05751	PEQU_05751	NF-YC
PEQU_05824	PEQU_05824	WRKY
PEQU_05976	PEQU_05976	bHLH
PEQU_06044	PEQU_06044	bZIP
PEQU_06050	PEQU_06050	WRKY
PEQU_06066	PEQU_06066	bHLH
PEQU_06080	PEQU_06080	NAC
PEQU_06088	PEQU_06088	NAC
