TF_ID	Gene_ID	Family
Pbr013255.1	Pbr013255.1	RAV
Pbr030636.1	Pbr030636.1	RAV
Pbr003927.1	Pbr003927.1	RAV
Pbr013715.1	Pbr013715.1	RAV
Pbr030637.1	Pbr030637.1	RAV
Pbr003928.1	Pbr003928.1	RAV
Pbr013714.1	Pbr013714.1	RAV
Pbr007346.1	Pbr007346.1	RAV
Pbr034260.1	Pbr034260.1	RAV
Pbr003295.1	Pbr003295.1	RAV
Pbr004095.1	Pbr004095.1	RAV
Pbr000020.1	Pbr000020.1	NF-YB
Pbr000021.1	Pbr000021.1	Trihelix
Pbr000023.1	Pbr000023.1	NF-YB
Pbr000044.1	Pbr000044.1	GRAS
Pbr000122.1	Pbr000122.1	WRKY
Pbr000207.1	Pbr000207.1	bHLH
Pbr000214.1	Pbr000214.1	GeBP
Pbr000225.1	Pbr000225.1	bHLH
Pbr000228.1	Pbr000228.1	bHLH
Pbr000315.1	Pbr000315.1	NAC
Pbr000328.1	Pbr000328.1	Dof
Pbr000355.1	Pbr000355.1	HSF
Pbr000384.1	Pbr000384.1	Dof
Pbr000385.1	Pbr000385.1	Dof
Pbr000386.1	Pbr000386.1	SBP
Pbr000388.1	Pbr000388.1	SBP
Pbr000412.1	Pbr000412.1	NAC
Pbr000422.1	Pbr000422.1	VOZ
Pbr000434.1	Pbr000434.1	LBD
Pbr000450.1	Pbr000450.1	TCP
Pbr000478.1	Pbr000478.1	bHLH
Pbr000491.1	Pbr000491.1	Dof
Pbr000523.1	Pbr000523.1	WRKY
Pbr000538.1	Pbr000538.1	HSF
Pbr000539.1	Pbr000539.1	BES1
Pbr000586.1	Pbr000586.1	NAC
Pbr000622.1	Pbr000622.1	bHLH
Pbr000646.1	Pbr000646.1	EIL
Pbr000853.1	Pbr000853.1	bHLH
Pbr000918.1	Pbr000918.1	NAC
Pbr000919.1	Pbr000919.1	NAC
Pbr000957.1	Pbr000957.1	CPP
Pbr000976.1	Pbr000976.1	FAR1
Pbr000977.1	Pbr000977.1	FAR1
Pbr001048.1	Pbr001048.1	GRAS
Pbr001076.1	Pbr001076.1	bZIP
Pbr001138.1	Pbr001138.1	GATA
Pbr001141.1	Pbr001141.1	FAR1
Pbr001159.1	Pbr001159.1	NAC
Pbr001171.1	Pbr001171.1	Nin-like
Pbr001198.1	Pbr001198.1	NAC
Pbr001211.1	Pbr001211.1	SBP
Pbr001238.1	Pbr001238.1	WRKY
Pbr001239.1	Pbr001239.1	WRKY
Pbr001240.1	Pbr001240.1	WRKY
Pbr001243.1	Pbr001243.1	WRKY
Pbr001244.1	Pbr001244.1	WRKY
Pbr001259.1	Pbr001259.1	NAC
Pbr001302.1	Pbr001302.1	Nin-like
Pbr001334.1	Pbr001334.1	NF-YA
Pbr001424.1	Pbr001424.1	WRKY
Pbr001425.1	Pbr001425.1	WRKY
Pbr001471.1	Pbr001471.1	WRKY
Pbr001559.1	Pbr001559.1	TCP
Pbr001568.2	Pbr001568.2	bHLH
Pbr001631.1	Pbr001631.1	Dof
Pbr001646.1	Pbr001646.1	bHLH
Pbr001724.1	Pbr001724.1	WRKY
Pbr001754.1	Pbr001754.1	bHLH
Pbr001899.1	Pbr001899.1	LBD
Pbr001941.1	Pbr001941.1	Dof
Pbr002020.1	Pbr002020.1	HSF
Pbr002038.1	Pbr002038.1	HSF
Pbr002230.1	Pbr002230.1	WRKY
Pbr002300.1	Pbr002300.1	SBP
Pbr002303.1	Pbr002303.1	SBP
Pbr002338.1	Pbr002338.1	bZIP
Pbr002358.2	Pbr002358.2	bHLH
Pbr002372.1	Pbr002372.1	NAC
Pbr002398.1	Pbr002398.1	WRKY
Pbr002444.1	Pbr002444.1	bHLH
Pbr002461.2	Pbr002461.2	FAR1
Pbr002467.1	Pbr002467.1	GATA
Pbr002526.1	Pbr002526.1	NAC
Pbr002548.1	Pbr002548.1	NAC
Pbr002622.1	Pbr002622.1	bZIP
Pbr002685.1	Pbr002685.1	WRKY
Pbr002717.1	Pbr002717.1	NAC
Pbr002722.1	Pbr002722.1	NAC
Pbr002913.1	Pbr002913.1	WRKY
Pbr002914.1	Pbr002914.1	WRKY
Pbr002928.1	Pbr002928.1	bZIP
Pbr002946.1	Pbr002946.1	LBD
Pbr002958.1	Pbr002958.1	LBD
Pbr002981.1	Pbr002981.1	bZIP
Pbr002993.1	Pbr002993.1	NAC
Pbr003157.1	Pbr003157.1	YABBY
Pbr003262.1	Pbr003262.1	GRAS
Pbr003297.1	Pbr003297.1	GATA
Pbr003453.1	Pbr003453.1	CAMTA
Pbr003516.1	Pbr003516.1	bZIP
Pbr003518.1	Pbr003518.1	bZIP
Pbr003531.1	Pbr003531.1	GATA
Pbr003532.1	Pbr003532.1	bHLH
Pbr003533.1	Pbr003533.1	bHLH
Pbr003581.1	Pbr003581.1	NF-YC
