TF_ID	Gene_ID	Family
Vradi08g23210.1	Vradi08g23210	RAV
Vradi0007s00100.1	Vradi0007s00100	bZIP
Vradi0007s00950.1	Vradi0007s00950	bZIP
Vradi0007s01160.1	Vradi0007s01160	CPP
Vradi0007s01250.1	Vradi0007s01250	GATA
Vradi0007s01260.1	Vradi0007s01260	Dof
Vradi0007s01280.1	Vradi0007s01280	bHLH
Vradi0007s01630.1	Vradi0007s01630	NAC
Vradi0007s01690.1	Vradi0007s01690	NAC
Vradi0007s01760.1	Vradi0007s01760	NAC
Vradi0007s01900.1	Vradi0007s01900	LBD
Vradi0023s00130.1	Vradi0023s00130	GRAS
Vradi0023s00350.1	Vradi0023s00350	WRKY
Vradi0023s00720.1	Vradi0023s00720	Trihelix
Vradi0023s00780.1	Vradi0023s00780	TCP
Vradi0023s00860.1	Vradi0023s00860	FAR1
Vradi0023s00880.1	Vradi0023s00880	bHLH
Vradi0043s00060.1	Vradi0043s00060	Trihelix
Vradi0043s00400.1	Vradi0043s00400	WRKY
Vradi0043s00740.1	Vradi0043s00740	LBD
Vradi0043s00750.1	Vradi0043s00750	WRKY
Vradi0048s00100.1	Vradi0048s00100	WRKY
Vradi0048s00350.1	Vradi0048s00350	WRKY
Vradi0048s00470.1	Vradi0048s00470	WRKY
Vradi0048s00750.1	Vradi0048s00750	bZIP
Vradi0051s00410.1	Vradi0051s00410	NAC
Vradi0051s00490.1	Vradi0051s00490	bHLH
Vradi0051s00540.1	Vradi0051s00540	NAC
Vradi0070s00130.1	Vradi0070s00130	FAR1
Vradi0073s00030.1	Vradi0073s00030	bHLH
Vradi0083s00100.1	Vradi0083s00100	WRKY
Vradi0083s00110.1	Vradi0083s00110	GRAS
Vradi0083s00280.1	Vradi0083s00280	bHLH
Vradi0083s00360.1	Vradi0083s00360	LBD
Vradi0083s00820.1	Vradi0083s00820	Whirly
Vradi0083s01010.1	Vradi0083s01010	bZIP
Vradi0083s01120.1	Vradi0083s01120	Dof
Vradi0086s00060.1	Vradi0086s00060	NAC
Vradi0086s00070.1	Vradi0086s00070	bZIP
Vradi0086s00350.1	Vradi0086s00350	SBP
Vradi0091s00210.1	Vradi0091s00210	bHLH
Vradi0095s00070.1	Vradi0095s00070	SRS
Vradi0095s00150.1	Vradi0095s00150	bZIP
Vradi0100s00250.1	Vradi0100s00250	WRKY
Vradi0100s00500.1	Vradi0100s00500	WRKY
Vradi0108s00120.1	Vradi0108s00120	NF-YB
Vradi0111s00030.1	Vradi0111s00030	GRAS
Vradi0111s00320.1	Vradi0111s00320	GRAS
Vradi0111s00350.1	Vradi0111s00350	WRKY
Vradi0122s00050.1	Vradi0122s00050	LBD
Vradi0122s00110.1	Vradi0122s00110	GRAS
Vradi0134s00540.1	Vradi0134s00540	TCP
Vradi0146s00050.1	Vradi0146s00050	TCP
Vradi0146s00200.1	Vradi0146s00200	GRAS
Vradi0146s00220.1	Vradi0146s00220	SBP
Vradi0146s00260.1	Vradi0146s00260	WRKY
Vradi0149s00030.1	Vradi0149s00030	bHLH
Vradi0149s00170.1	Vradi0149s00170	TCP
Vradi0149s00290.1	Vradi0149s00290	bZIP
Vradi0153s00450.1	Vradi0153s00450	LBD
Vradi0153s00520.1	Vradi0153s00520	GATA
Vradi0154s00030.1	Vradi0154s00030	bHLH
Vradi0154s00350.1	Vradi0154s00350	bZIP
Vradi0158s00260.1	Vradi0158s00260	LBD
Vradi0158s00330.1	Vradi0158s00330	bZIP
Vradi0158s00480.1	Vradi0158s00480	WRKY
Vradi0160s00310.1	Vradi0160s00310	Trihelix
Vradi0161s00040.1	Vradi0161s00040	HSF
Vradi0161s00220.1	Vradi0161s00220	Dof
Vradi0161s00380.1	Vradi0161s00380	bZIP
Vradi0161s00550.1	Vradi0161s00550	WRKY
Vradi0169s00060.1	Vradi0169s00060	LBD
Vradi0169s00170.1	Vradi0169s00170	GRAS
Vradi0169s00280.1	Vradi0169s00280	bHLH
Vradi0171s00090.1	Vradi0171s00090	GRAS
Vradi0171s00110.1	Vradi0171s00110	bHLH
Vradi0176s00040.1	Vradi0176s00040	ZF-HD
Vradi0179s00130.1	Vradi0179s00130	NAC
Vradi0179s00230.1	Vradi0179s00230	ZF-HD
Vradi0179s00420.1	Vradi0179s00420	bHLH
Vradi0180s00180.1	Vradi0180s00180	GATA
Vradi0183s00040.1	Vradi0183s00040	WRKY
Vradi0183s00150.1	Vradi0183s00150	Dof
Vradi0183s00260.1	Vradi0183s00260	bHLH
Vradi0184s00290.1	Vradi0184s00290	GRAS
Vradi0185s00010.1	Vradi0185s00010	bHLH
Vradi0189s00090.1	Vradi0189s00090	bHLH
Vradi0194s00140.1	Vradi0194s00140	TCP
Vradi0195s00050.1	Vradi0195s00050	GeBP
Vradi0198s00150.1	Vradi0198s00150	SRS
Vradi01g00290.1	Vradi01g00290	NAC
Vradi01g00480.1	Vradi01g00480	LBD
Vradi01g01740.1	Vradi01g01740	ZF-HD
Vradi01g01750.1	Vradi01g01750	ZF-HD
Vradi01g01810.1	Vradi01g01810	NAC
Vradi01g01860.1	Vradi01g01860	NAC
Vradi01g01940.1	Vradi01g01940	bHLH
Vradi01g02740.1	Vradi01g02740	ZF-HD
Vradi01g03150.1	Vradi01g03150	HRT-like
Vradi01g03390.1	Vradi01g03390	NAC
Vradi01g03830.1	Vradi01g03830	bHLH
Vradi01g03990.1	Vradi01g03990	CPP
Vradi01g04230.1	Vradi01g04230	Trihelix
Vradi01g04570.1	Vradi01g04570	LBD
Vradi01g04600.1	Vradi01g04600	NAC
Vradi01g04660.1	Vradi01g04660	bHLH
Vradi01g05560.1	Vradi01g05560	ZF-HD
Vradi01g05570.1	Vradi01g05570	BBR-BPC
Vradi01g05580.1	Vradi01g05580	BBR-BPC
Vradi01g05790.1	Vradi01g05790	NAC
Vradi01g06980.1	Vradi01g06980	bHLH
Vradi01g06990.1	Vradi01g06990	bHLH
Vradi01g07000.1	Vradi01g07000	Trihelix
Vradi01g07310.1	Vradi01g07310	TCP
Vradi01g08130.1	Vradi01g08130	GeBP
Vradi01g08230.1	Vradi01g08230	bZIP
Vradi01g08260.1	Vradi01g08260	Dof
Vradi01g08680.1	Vradi01g08680	NAC
Vradi01g09140.1	Vradi01g09140	TCP
Vradi01g09200.1	Vradi01g09200	LBD
Vradi01g09670.1	Vradi01g09670	NAC
Vradi01g09700.1	Vradi01g09700	NAC
Vradi01g10460.1	Vradi01g10460	bZIP
Vradi01g10590.1	Vradi01g10590	WRKY
Vradi01g10680.1	Vradi01g10680	WRKY
Vradi01g10970.1	Vradi01g10970	GRAS
Vradi01g11070.1	Vradi01g11070	bHLH
Vradi01g11120.1	Vradi01g11120	NAC
Vradi01g11250.1	Vradi01g11250	GRAS
Vradi01g11480.1	Vradi01g11480	GATA
Vradi01g11520.1	Vradi01g11520	WRKY
Vradi01g11980.1	Vradi01g11980	FAR1
Vradi01g12230.1	Vradi01g12230	bZIP
Vradi01g12350.1	Vradi01g12350	Trihelix
Vradi01g12360.1	Vradi01g12360	Trihelix
Vradi01g12370.1	Vradi01g12370	Trihelix
Vradi01g12680.1	Vradi01g12680	LBD
Vradi01g13660.1	Vradi01g13660	GRAS
Vradi01g14060.1	Vradi01g14060	WRKY
Vradi01g14220.1	Vradi01g14220	Nin-like
Vradi0201s00170.1	Vradi0201s00170	NAC
Vradi0206s00150.1	Vradi0206s00150	bZIP
Vradi0206s00170.1	Vradi0206s00170	YABBY
Vradi0209s00050.1	Vradi0209s00050	bZIP
Vradi0214s00140.1	Vradi0214s00140	WRKY
Vradi0214s00230.1	Vradi0214s00230	WRKY
Vradi0215s00150.1	Vradi0215s00150	NAC
Vradi0215s00160.1	Vradi0215s00160	NAC
Vradi0221s00010.1	Vradi0221s00010	GRAS
Vradi0221s00080.1	Vradi0221s00080	bHLH
Vradi0222s00030.1	Vradi0222s00030	WRKY
Vradi0223s00220.1	Vradi0223s00220	LBD
Vradi0227s00040.1	Vradi0227s00040	LBD
Vradi0228s00080.1	Vradi0228s00080	SBP
Vradi0228s00170.1	Vradi0228s00170	YABBY
Vradi0234s00240.1	Vradi0234s00240	YABBY
Vradi0235s00070.1	Vradi0235s00070	NAC
Vradi0246s00340.1	Vradi0246s00340	HSF
Vradi0253s00080.1	Vradi0253s00080	bHLH
Vradi0259s00080.1	Vradi0259s00080	FAR1
Vradi0261s00010.1	Vradi0261s00010	WRKY
Vradi0261s00060.1	Vradi0261s00060	WRKY
Vradi0267s00010.1	Vradi0267s00010	VOZ
Vradi0269s00030.1	Vradi0269s00030	bZIP
Vradi0270s00050.1	Vradi0270s00050	WRKY
Vradi0271s00050.1	Vradi0271s00050	GRAS
Vradi0273s00140.1	Vradi0273s00140	WRKY
Vradi0273s00180.1	Vradi0273s00180	SBP
Vradi0276s00010.1	Vradi0276s00010	bHLH
Vradi0283s00120.1	Vradi0283s00120	BES1
Vradi0290s00060.1	Vradi0290s00060	bHLH
Vradi02g00210.1	Vradi02g00210	bHLH
Vradi02g00390.1	Vradi02g00390	NAC
Vradi02g00510.1	Vradi02g00510	NAC
Vradi02g01160.1	Vradi02g01160	GRAS
Vradi02g01570.1	Vradi02g01570	E2F/DP
Vradi02g01580.1	Vradi02g01580	GRAS
Vradi02g01930.1	Vradi02g01930	GRAS
Vradi02g01980.1	Vradi02g01980	GRAS
Vradi02g01990.1	Vradi02g01990	NAC
Vradi02g02130.1	Vradi02g02130	bHLH
Vradi02g02890.1	Vradi02g02890	bZIP
Vradi02g02960.1	Vradi02g02960	GATA
Vradi02g03910.1	Vradi02g03910	Nin-like
Vradi02g04020.1	Vradi02g04020	bZIP
Vradi02g04070.1	Vradi02g04070	FAR1
Vradi02g04340.1	Vradi02g04340	bHLH
Vradi02g04800.1	Vradi02g04800	GRAS
