TF_ID	Gene_ID	Family
XP_013619184.1	LOC106325668	RAV
XP_013599419.1	LOC106307099	RAV
XP_013619115.1	LOC106325616	RAV
XP_013622296.1	LOC106328407	RAV
XP_013637910.1	LOC106343287	RAV
XP_013591225.1	LOC106299741	RAV
XP_013599509.1	LOC106307179	RAV
XP_013637759.1	LOC106343158	RAV
XP_013624963.1	LOC106331185	RAV
XP_013585333.1	LOC106294321	RAV
XP_013591163.1	LOC106299650	RAV
XP_013591041.1	LOC106299505	RAV
XP_013592316.1	LOC106300667	RAV
XP_013583309.1	LOC106292248	WRKY
XP_013583314.1	LOC106292248	WRKY
XP_013583318.1	LOC106292248	WRKY
XP_013583356.1	LOC106292302	bHLH
XP_013583361.1	LOC106292302	bHLH
XP_013583546.1	LOC106292491	Trihelix
XP_013583548.1	LOC106292493	Trihelix
XP_013583657.1	LOC106292585	NAC
XP_013583680.1	LOC106292608	SRS
XP_013583708.1	LOC106292628	NAC
XP_013583725.1	LOC106292642	GRAS
XP_013583761.1	LOC106292666	HSF
XP_013583773.1	LOC106292676	E2F/DP
XP_013583782.1	LOC106292685	bHLH
XP_013583788.1	LOC106292692	bHLH
XP_013583806.1	LOC106292709	bHLH
XP_013583896.1	LOC106292788	FAR1
XP_013583917.1	LOC106292806	WRKY
XP_013583982.1	LOC106292860	NF-YB
XP_013584008.1	LOC106292886	SRS
XP_013584066.1	LOC106292944	NF-YC
XP_013584067.1	LOC106292944	NF-YC
XP_013584073.1	LOC106292949	Dof
XP_013584105.1	LOC106292975	S1Fa-like
XP_013584111.1	LOC106292985	bHLH
XP_013584174.1	LOC106293049	bHLH
XP_013584175.1	LOC106293049	bHLH
XP_013584176.1	LOC106293051	bHLH
XP_013584205.1	LOC106293076	NAC
XP_013584249.1	LOC106293121	SRS
XP_013584250.1	LOC106293121	SRS
XP_013584275.1	LOC106293147	WRKY
XP_013584276.1	LOC106293147	WRKY
XP_013584279.1	LOC106293150	bHLH
XP_013584280.1	LOC106293151	FAR1
XP_013584293.1	LOC106293172	NAC
XP_013584294.1	LOC106293172	NAC
XP_013584300.1	LOC106293180	SBP
XP_013584333.1	LOC106293222	bHLH
XP_013584372.1	LOC106293262	NAC
XP_013584378.1	LOC106293272	bHLH
XP_013584379.1	LOC106293272	bHLH
XP_013584442.1	LOC106293323	Trihelix
XP_013584443.1	LOC106293323	Trihelix
XP_013584449.1	LOC106293330	Dof
XP_013584451.1	LOC106293328	GeBP
XP_013584462.1	LOC106293340	WRKY
XP_013584463.1	LOC106293340	WRKY
XP_013584464.1	LOC106293341	Dof
XP_013584488.1	LOC106293361	LBD
XP_013584490.1	LOC106293364	NF-YA
XP_013584491.1	LOC106293364	NF-YA
XP_013584499.1	LOC106293368	bHLH
XP_013584555.1	LOC106293423	bHLH
XP_013584558.1	LOC106293430	WRKY
XP_013584612.1	LOC106293482	bHLH
XP_013584613.1	LOC106293482	bHLH
XP_013584623.1	LOC106293491	HSF
XP_013584738.1	LOC106293609	bZIP
XP_013584743.1	LOC106293611	GATA
XP_013584744.1	LOC106293616	NAC
XP_013584762.1	LOC106293638	bHLH
XP_013584811.1	LOC106293695	bZIP
XP_013584816.1	LOC106293703	TCP
XP_013584820.1	LOC106293706	WRKY
XP_013584821.1	LOC106293706	WRKY
XP_013584829.1	LOC106293716	NAC
XP_013584847.1	LOC106293740	bHLH
XP_013584887.1	LOC106293789	bHLH
XP_013584927.1	LOC106293837	CPP
XP_013584948.1	LOC106293859	bHLH
XP_013585002.1	LOC106293915	ZF-HD
XP_013585010.1	LOC106293922	bHLH
XP_013585108.1	LOC106294040	LBD
XP_013585147.1	LOC106294076	NF-YB
XP_013585182.1	LOC106294125	NAC
XP_013585218.1	LOC106294169	NAC
XP_013585235.1	LOC106294198	bHLH
XP_013585238.1	LOC106294200	NAC
XP_013585283.1	LOC106294263	bHLH
XP_013585315.1	LOC106294303	TCP
XP_013585322.1	LOC106294303	TCP
XP_013585324.1	LOC106294314	STAT
XP_013585325.1	LOC106294314	STAT
XP_013585389.1	LOC106294381	NAC
XP_013585390.1	LOC106294382	NAC
XP_013585394.1	LOC106294389	NAC
XP_013585555.1	LOC106294527	GATA
XP_013585673.1	LOC106294616	bHLH
XP_013585827.1	LOC106294738	SBP
XP_013585828.1	LOC106294738	SBP
XP_013585836.1	LOC106294742	NAC
XP_013585848.1	LOC106294753	FAR1
XP_013585849.1	LOC106294753	FAR1
XP_013585908.1	LOC106294796	GeBP
XP_013585943.1	LOC106294817	bZIP
XP_013585973.1	LOC106294843	Nin-like
XP_013585974.1	LOC106294843	Nin-like
XP_013585975.1	LOC106294843	Nin-like
XP_013585984.1	LOC106294851	NF-X1
XP_013586014.1	LOC106294868	TCP
XP_013586016.1	LOC106294868	TCP
