TF_ID	Gene_ID	Family
XP_009613275.1	LOC104106430	RAV
XP_009614561.1	LOC104107449	RAV
XP_009598393.1	LOC104094222	RAV
XP_009586572.1	LOC104084436	bZIP
XP_009586573.1	LOC104084436	bZIP
XP_009586574.1	LOC104084436	bZIP
XP_009586602.1	LOC104084456	NF-X1
XP_009586653.1	LOC104084485	WRKY
XP_009586694.1	LOC104084513	LBD
XP_009586806.1	LOC104084609	bHLH
XP_009586991.1	LOC104084747	bHLH
XP_009586992.1	LOC104084747	bHLH
XP_009586993.1	LOC104084747	bHLH
XP_009587041.1	LOC104084797	bHLH
XP_009587051.1	LOC104084806	WRKY
XP_009587069.1	LOC104084819	Dof
XP_009587074.1	LOC104084822	NAC
XP_009587104.1	LOC104084853	GeBP
XP_009587116.1	LOC104084863	SRS
XP_009587187.1	LOC104084930	bHLH
XP_009587190.1	LOC104084933	GRAS
XP_009587225.1	LOC104084968	SBP
XP_009587235.1	LOC104084978	WRKY
XP_009587237.1	LOC104084977	bHLH
XP_009587243.1	LOC104084977	bHLH
XP_009587276.1	LOC104085017	bHLH
XP_009587307.1	LOC104085057	NAC
XP_009587360.1	LOC104085110	WRKY
XP_009587632.1	LOC104085330	NAC
XP_009587651.1	LOC104085344	bHLH
XP_009587721.1	LOC104085407	BES1
XP_009587736.1	LOC104085424	Dof
XP_009587770.1	LOC104085445	Trihelix
XP_009587883.1	LOC104085532	NAC
XP_009587945.1	LOC104085580	FAR1
XP_009587969.1	LOC104085594	EIL
XP_009588171.1	LOC104085755	HSF
XP_009588219.1	LOC104085802	TCP
XP_009588230.1	LOC104085811	LBD
XP_009588233.1	LOC104085819	bZIP
XP_009588261.1	LOC104085850	FAR1
XP_009588347.1	LOC104085929	bZIP
XP_009588348.1	LOC104085929	bZIP
XP_009588379.1	LOC104085960	bZIP
XP_009588486.1	LOC104086040	TCP
XP_009588487.1	LOC104086040	TCP
XP_009588494.1	LOC104086047	HSF
XP_009588575.1	LOC104086106	WRKY
XP_009588576.1	LOC104086106	WRKY
XP_009588688.1	LOC104086194	GATA
XP_009588814.1	LOC104086280	bZIP
XP_009588830.1	LOC104086301	Nin-like
XP_009588831.1	LOC104086301	Nin-like
XP_009588832.1	LOC104086301	Nin-like
XP_009588834.1	LOC104086301	Nin-like
XP_009588904.1	LOC104086362	NAC
XP_009588921.1	LOC104086384	bZIP
XP_009588922.1	LOC104086384	bZIP
XP_009588931.1	LOC104086395	LBD
XP_009588979.1	LOC104086437	Trihelix
XP_009589119.1	LOC104086531	NAC
XP_009589122.1	LOC104086534	bHLH
XP_009589156.1	LOC104086564	VOZ
XP_009589157.1	LOC104086564	VOZ
XP_009589173.1	LOC104086578	Nin-like
XP_009589174.1	LOC104086578	Nin-like
XP_009589175.1	LOC104086578	Nin-like
XP_009589176.1	LOC104086578	Nin-like
XP_009589178.1	LOC104086579	Nin-like
XP_009589179.1	LOC104086579	Nin-like
XP_009589180.1	LOC104086579	Nin-like
XP_009589181.1	LOC104086579	Nin-like
XP_009589182.1	LOC104086579	Nin-like
XP_009589214.1	LOC104086604	bHLH
XP_009589276.1	LOC104086662	Nin-like
XP_009589282.1	LOC104086668	Nin-like
XP_009589291.1	LOC104086675	LBD
XP_009589427.1	LOC104086797	LBD
XP_009589486.1	LOC104086846	bZIP
XP_009589539.1	LOC104086896	NAC
XP_009589660.1	LOC104086991	ZF-HD
XP_009589729.1	LOC104087044	NAC
XP_009589845.1	LOC104087145	HSF
XP_009589864.1	LOC104087165	bHLH
XP_009589882.1	LOC104087181	bZIP
XP_009589883.1	LOC104087181	bZIP
XP_009589916.1	LOC104087211	BES1
XP_009589935.1	LOC104087228	WRKY
XP_009590020.1	LOC104087307	bZIP
XP_009590031.1	LOC104087313	NAC
XP_009590081.1	LOC104087354	NF-YC
XP_009590082.1	LOC104087354	NF-YC
XP_009590083.1	LOC104087354	NF-YC
XP_009590084.1	LOC104087354	NF-YC
XP_009590236.1	LOC104087464	Dof
XP_009590289.1	LOC104087501	NAC
XP_009590290.1	LOC104087501	NAC
XP_009590329.1	LOC104087528	GRAS
XP_009590352.1	LOC104087550	Trihelix
XP_009590354.1	LOC104087550	Trihelix
XP_009590362.1	LOC104087559	bHLH
XP_009590376.1	LOC104087570	S1Fa-like
XP_009590421.1	LOC104087602	GATA
XP_009590423.1	LOC104087602	GATA
XP_009590475.1	LOC104087646	GRAS
XP_009590476.1	LOC104087647	bZIP
XP_009590477.1	LOC104087647	bZIP
XP_009590479.1	LOC104087647	bZIP
XP_009590480.1	LOC104087647	bZIP
XP_009590481.1	LOC104087647	bZIP
XP_009590494.1	LOC104087660	NAC
XP_009590515.1	LOC104087681	GeBP
XP_009590520.1	LOC104087684	GRAS
XP_009590526.1	LOC104087689	WRKY
XP_009590626.1	LOC104087771	Trihelix
XP_009590627.1	LOC104087774	bHLH
XP_009590631.1	LOC104087777	bHLH
XP_009590632.1	LOC104087777	bHLH
XP_009590633.1	LOC104087777	bHLH
XP_009590635.1	LOC104087779	NAC
XP_009590722.1	LOC104087860	bHLH
XP_009590723.1	LOC104087860	bHLH
XP_009590821.1	LOC104087933	GRAS
XP_009590822.1	LOC104087933	GRAS
XP_009590823.1	LOC104087933	GRAS
XP_009590974.1	LOC104088064	HSF
XP_009590975.1	LOC104088064	HSF
XP_009590976.1	LOC104088064	HSF
XP_009590977.1	LOC104088065	BES1
XP_009591015.1	LOC104088099	bHLH
XP_009591020.1	LOC104088106	LBD
XP_009591047.1	LOC104088125	NAC
XP_009591120.1	LOC104088180	bZIP
XP_009591124.1	LOC104088187	WRKY
XP_009591137.1	LOC104088199	NAC
XP_009591138.1	LOC104088199	NAC
XP_009591142.1	LOC104088203	bHLH
XP_009591238.1	LOC104088291	bHLH
XP_009591240.1	LOC104088291	bHLH
XP_009591257.1	LOC104088306	HSF
XP_009591277.1	LOC104088322	GeBP
XP_009591286.1	LOC104088332	NAC
XP_009591317.1	LOC104088360	NAC
XP_009591396.1	LOC104088426	bHLH
XP_009591424.1	LOC104088454	bHLH
XP_009591427.1	LOC104088458	bHLH
XP_009591471.1	LOC104088502	bHLH
XP_009591500.1	LOC104088516	GRAS
XP_009591584.1	LOC104088587	FAR1
XP_009591627.1	LOC104088622	WRKY
XP_009591628.1	LOC104088622	WRKY
XP_009591629.1	LOC104088622	WRKY
XP_009591716.1	LOC104088698	Dof
XP_009591799.1	LOC104088770	WRKY
XP_009591808.1	LOC104088782	LBD
XP_009591827.1	LOC104088795	GATA
XP_009591850.1	LOC104088814	ZF-HD
XP_009591865.1	LOC104088827	TCP
XP_009591884.1	LOC104088845	CPP
XP_009591911.1	LOC104088871	Dof
XP_009591935.1	LOC104088868	FAR1
XP_009591996.1	LOC104088868	FAR1
XP_009592002.1	LOC104088935	CAMTA
XP_009592003.1	LOC104088935	CAMTA
XP_009592004.1	LOC104088935	CAMTA
XP_009592005.1	LOC104088935	CAMTA
XP_009592074.1	LOC104088986	GRAS
XP_009592086.1	LOC104088994	SBP
XP_009592087.1	LOC104088994	SBP
XP_009592164.1	LOC104089055	TCP
XP_009592165.1	LOC104089059	GeBP
