TF_ID	Gene_ID	Family
LPERR01G02380.1	LPERR01G02380	RAV
LPERR05G20600.1	LPERR05G20600	RAV
LPERR01G02360.1	LPERR01G02360	RAV
LPERR01G23470.1	LPERR01G23470	RAV
LPERR01G00250.1	LPERR01G00250	NAC
LPERR01G00270.1	LPERR01G00270	NAC
LPERR01G00310.1	LPERR01G00310	bHLH
LPERR01G00520.1	LPERR01G00520	bHLH
LPERR01G00530.1	LPERR01G00530	bHLH
LPERR01G00690.1	LPERR01G00690	bHLH
LPERR01G01830.1	LPERR01G01830	LBD
LPERR01G03530.1	LPERR01G03530	NF-X1
LPERR01G03530.2	LPERR01G03530	NF-X1
LPERR01G03530.3	LPERR01G03530	NF-X1
LPERR01G03530.4	LPERR01G03530	NF-X1
LPERR01G03530.5	LPERR01G03530	NF-X1
LPERR01G03530.6	LPERR01G03530	NF-X1
LPERR01G03530.7	LPERR01G03530	NF-X1
LPERR01G03530.8	LPERR01G03530	NF-X1
LPERR01G03590.1	LPERR01G03590	bHLH
LPERR01G04140.1	LPERR01G04140	LBD
LPERR01G04460.1	LPERR01G04460	bZIP
LPERR01G04680.1	LPERR01G04680	BES1
LPERR01G05040.1	LPERR01G05040	WRKY
LPERR01G05260.1	LPERR01G05260	WRKY
LPERR01G05270.1	LPERR01G05270	WRKY
LPERR01G05530.1	LPERR01G05530	NAC
LPERR01G05820.1	LPERR01G05820	bHLH
LPERR01G06210.1	LPERR01G06210	BES1
LPERR01G06720.1	LPERR01G06720	bZIP
LPERR01G06830.1	LPERR01G06830	TCP
LPERR01G07000.1	LPERR01G07000	bHLH
LPERR01G07660.1	LPERR01G07660	Nin-like
LPERR01G07720.1	LPERR01G07720	bHLH
LPERR01G08400.1	LPERR01G08400	NAC
LPERR01G08470.1	LPERR01G08470	LBD
LPERR01G08530.1	LPERR01G08530	NAC
LPERR01G08830.1	LPERR01G08830	Nin-like
LPERR01G08840.1	LPERR01G08840	WRKY
LPERR01G08840.2	LPERR01G08840	WRKY
LPERR01G09020.1	LPERR01G09020	GeBP
LPERR01G09570.1	LPERR01G09570	NAC
LPERR01G09720.1	LPERR01G09720	Dof
LPERR01G10520.1	LPERR01G10520	Dof
LPERR01G10700.1	LPERR01G10700	bZIP
LPERR01G10700.2	LPERR01G10700	bZIP
LPERR01G10950.1	LPERR01G10950	bHLH
LPERR01G10950.2	LPERR01G10950	bHLH
LPERR01G11050.1	LPERR01G11050	WRKY
LPERR01G11190.1	LPERR01G11190	SBP
LPERR01G11210.1	LPERR01G11210	bHLH
LPERR01G11210.2	LPERR01G11210	bHLH
LPERR01G12180.1	LPERR01G12180	Trihelix
LPERR01G13070.1	LPERR01G13070	GATA
LPERR01G13070.2	LPERR01G13070	GATA
LPERR01G14420.1	LPERR01G14420	NAC
LPERR01G14580.1	LPERR01G14580	bHLH
LPERR01G15290.1	LPERR01G15290	LBD
LPERR01G15620.1	LPERR01G15620	bHLH
LPERR01G16270.1	LPERR01G16270	bZIP
LPERR01G16660.1	LPERR01G16660	Nin-like
LPERR01G17090.1	LPERR01G17090	bHLH
LPERR01G17270.1	LPERR01G17270	HSF
LPERR01G17320.1	LPERR01G17320	LBD
LPERR01G17330.1	LPERR01G17330	LBD
LPERR01G17340.1	LPERR01G17340	LBD
LPERR01G17360.1	LPERR01G17360	LBD
LPERR01G17370.1	LPERR01G17370	LBD
LPERR01G17380.1	LPERR01G17380	LBD
LPERR01G17400.1	LPERR01G17400	LBD
LPERR01G17450.1	LPERR01G17450	bHLH
LPERR01G17790.1	LPERR01G17790	WRKY
LPERR01G17870.1	LPERR01G17870	WRKY
LPERR01G20030.1	LPERR01G20030	WRKY
LPERR01G20050.1	LPERR01G20050	HSF
LPERR01G20100.1	LPERR01G20100	WRKY
LPERR01G20500.1	LPERR01G20500	ZF-HD
LPERR01G20500.2	LPERR01G20500	ZF-HD
LPERR01G20990.1	LPERR01G20990	GRAS
LPERR01G21480.1	LPERR01G21480	WRKY
LPERR01G21580.1	LPERR01G21580	bZIP
LPERR01G21580.2	LPERR01G21580	bZIP
LPERR01G21790.1	LPERR01G21790	GATA
LPERR01G21930.1	LPERR01G21930	WRKY
LPERR01G22040.1	LPERR01G22040	NAC
LPERR01G22300.1	LPERR01G22300	NAC
LPERR01G22430.1	LPERR01G22430	Trihelix
LPERR01G22560.1	LPERR01G22560	NAC
LPERR01G22650.1	LPERR01G22650	E2F/DP
LPERR01G22650.2	LPERR01G22650	E2F/DP
LPERR01G24170.1	LPERR01G24170	bHLH
LPERR01G24260.1	LPERR01G24260	bHLH
LPERR01G24650.1	LPERR01G24650	WRKY
LPERR01G24890.1	LPERR01G24890	Trihelix
LPERR01G25570.1	LPERR01G25570	WRKY
LPERR01G25670.1	LPERR01G25670	HSF
LPERR01G25700.1	LPERR01G25700	WRKY
LPERR01G25700.2	LPERR01G25700	WRKY
LPERR01G26240.1	LPERR01G26240	GATA
LPERR01G26480.1	LPERR01G26480	HSF
LPERR01G26540.1	LPERR01G26540	WRKY
LPERR01G26750.1	LPERR01G26750	VOZ
LPERR01G26900.1	LPERR01G26900	TCP
LPERR01G26930.1	LPERR01G26930	bZIP
LPERR01G27080.1	LPERR01G27080	Dof
LPERR01G27270.1	LPERR01G27270	CPP
LPERR01G27380.1	LPERR01G27380	TCP
LPERR01G28060.1	LPERR01G28060	LBD
LPERR01G28210.1	LPERR01G28210	bHLH
LPERR01G28210.2	LPERR01G28210	bHLH
LPERR01G28830.1	LPERR01G28830	bHLH
LPERR01G29490.1	LPERR01G29490	bZIP
LPERR01G29770.1	LPERR01G29770	bZIP
LPERR01G29770.2	LPERR01G29770	bZIP
LPERR01G29910.1	LPERR01G29910	NAC
LPERR01G30010.1	LPERR01G30010	bZIP
LPERR01G30010.2	LPERR01G30010	bZIP
LPERR01G30200.1	LPERR01G30200	NAC
LPERR01G30470.1	LPERR01G30470	WRKY
LPERR01G30470.2	LPERR01G30470	WRKY
LPERR01G30470.3	LPERR01G30470	WRKY
LPERR01G30480.1	LPERR01G30480	WRKY
LPERR01G30490.1	LPERR01G30490	WRKY
LPERR01G30500.1	LPERR01G30500	WRKY
LPERR01G30700.1	LPERR01G30700	LBD
LPERR01G30770.1	LPERR01G30770	WRKY
LPERR01G31030.1	LPERR01G31030	bHLH
LPERR01G31230.1	LPERR01G31230	NF-YB
LPERR01G31230.2	LPERR01G31230	NF-YB
LPERR01G31230.3	LPERR01G31230	NF-YB
LPERR01G31690.1	LPERR01G31690	GRAS
LPERR01G31690.2	LPERR01G31690	GRAS
LPERR01G31730.1	LPERR01G31730	WRKY
LPERR01G32620.1	LPERR01G32620	bZIP
LPERR01G32640.1	LPERR01G32640	bZIP
LPERR01G32640.2	LPERR01G32640	bZIP
LPERR01G32640.3	LPERR01G32640	bZIP
LPERR01G32640.4	LPERR01G32640	bZIP
LPERR01G32640.5	LPERR01G32640	bZIP
LPERR01G32640.6	LPERR01G32640	bZIP
LPERR01G32790.1	LPERR01G32790	NAC
LPERR01G32940.1	LPERR01G32940	bHLH
LPERR01G32940.2	LPERR01G32940	bHLH
LPERR01G32940.3	LPERR01G32940	bHLH
LPERR01G32940.4	LPERR01G32940	bHLH
LPERR01G32960.1	LPERR01G32960	Dof
LPERR01G33060.1	LPERR01G33060	bZIP
LPERR01G33060.2	LPERR01G33060	bZIP
LPERR01G33950.1	LPERR01G33950	GRAS
LPERR01G34090.1	LPERR01G34090	NAC
LPERR01G34330.1	LPERR01G34330	NAC
LPERR01G34330.2	LPERR01G34330	NAC
LPERR01G34430.1	LPERR01G34430	LBD
LPERR01G34430.2	LPERR01G34430	LBD
LPERR01G35240.1	LPERR01G35240	bHLH
LPERR01G35370.1	LPERR01G35370	GRAS
LPERR01G36170.1	LPERR01G36170	bHLH
LPERR01G36170.2	LPERR01G36170	bHLH
LPERR01G36700.1	LPERR01G36700	SBP
LPERR01G36780.1	LPERR01G36780	CAMTA
LPERR01G36780.2	LPERR01G36780	CAMTA
LPERR01G36850.1	LPERR01G36850	TCP
LPERR01G36990.1	LPERR01G36990	NAC
LPERR01G37100.1	LPERR01G37100	Trihelix
LPERR01G37160.1	LPERR01G37160	bHLH
LPERR01G37540.1	LPERR01G37540	NF-YB
LPERR01G38080.1	LPERR01G38080	NAC
LPERR01G38150.1	LPERR01G38150	GRAS
LPERR01G38470.1	LPERR01G38470	bHLH
LPERR01G38620.1	LPERR01G38620	SRS
LPERR01G39910.1	LPERR01G39910	WRKY
LPERR02G00380.1	LPERR02G00380	Trihelix
LPERR02G01020.1	LPERR02G01020	bHLH
LPERR02G01320.1	LPERR02G01320	bHLH
LPERR02G01320.2	LPERR02G01320	bHLH
LPERR02G02050.1	LPERR02G02050	bZIP
LPERR02G02130.1	LPERR02G02130	BES1
LPERR02G02130.2	LPERR02G02130	BES1
LPERR02G02380.1	LPERR02G02380	bZIP
LPERR02G02700.1	LPERR02G02700	Nin-like
LPERR02G02980.1	LPERR02G02980	SBP
LPERR02G03330.2	LPERR02G03330	GATA
LPERR02G03330.3	LPERR02G03330	GATA
LPERR02G03330.4	LPERR02G03330	GATA
LPERR02G03330.5	LPERR02G03330	GATA
LPERR02G03330.6	LPERR02G03330	GATA
LPERR02G03330.7	LPERR02G03330	GATA
LPERR02G03890.1	LPERR02G03890	Whirly
LPERR02G04310.1	LPERR02G04310	NAC
LPERR02G04650.1	LPERR02G04650	NF-YC
LPERR02G04650.2	LPERR02G04650	NF-YC
LPERR02G04880.1	LPERR02G04880	SBP
LPERR02G04910.1	LPERR02G04910	Trihelix
LPERR02G04950.1	LPERR02G04950	bZIP
LPERR02G05080.1	LPERR02G05080	SBP
LPERR02G05420.1	LPERR02G05420	WRKY
LPERR02G05500.1	LPERR02G05500	bZIP
LPERR02G06040.1	LPERR02G06040	bZIP
LPERR02G06800.1	LPERR02G06800	bZIP
LPERR02G07780.1	LPERR02G07780	GATA
LPERR02G07820.1	LPERR02G07820	bHLH
LPERR02G08270.1	LPERR02G08270	bHLH
LPERR02G08320.1	LPERR02G08320	HSF
LPERR02G08390.1	LPERR02G08390	BES1
LPERR02G08830.1	LPERR02G08830	bZIP
LPERR02G09170.1	LPERR02G09170	NAC
LPERR02G09180.1	LPERR02G09180	Dof
LPERR02G09400.1	LPERR02G09400	bHLH
LPERR02G09570.1	LPERR02G09570	WRKY
LPERR02G10060.1	LPERR02G10060	CPP
LPERR02G10060.2	LPERR02G10060	CPP
LPERR02G10500.1	LPERR02G10500	NAC
LPERR02G10510.1	LPERR02G10510	NAC
LPERR02G10690.1	LPERR02G10690	GeBP
LPERR02G10910.1	LPERR02G10910	NAC
LPERR02G10920.1	LPERR02G10920	NAC
LPERR02G12290.1	LPERR02G12290	bHLH
LPERR02G12290.2	LPERR02G12290	bHLH
LPERR02G12820.1	LPERR02G12820	WRKY
LPERR02G13860.1	LPERR02G13860	HSF
LPERR02G15050.1	LPERR02G15050	HSF
LPERR02G15580.1	LPERR02G15580	E2F/DP
LPERR02G15580.2	LPERR02G15580	E2F/DP
LPERR02G15710.1	LPERR02G15710	Trihelix
LPERR02G15770.1	LPERR02G15770	Trihelix
LPERR02G15950.1	LPERR02G15950	bHLH
LPERR02G16450.1	LPERR02G16450	NAC
LPERR02G17000.1	LPERR02G17000	bHLH
LPERR02G17010.1	LPERR02G17010	Trihelix
LPERR02G17460.1	LPERR02G17460	EIL
LPERR02G17680.1	LPERR02G17680	NAC
LPERR02G17680.2	LPERR02G17680	NAC
LPERR02G17680.3	LPERR02G17680	NAC
LPERR02G18380.1	LPERR02G18380	NAC
LPERR02G18900.1	LPERR02G18900	bHLH
LPERR02G20100.1	LPERR02G20100	NAC
LPERR02G20610.1	LPERR02G20610	TCP
LPERR02G20990.1	LPERR02G20990	YABBY
LPERR02G21010.1	LPERR02G21010	NAC
LPERR02G21190.1	LPERR02G21190	Trihelix
LPERR02G21340.1	LPERR02G21340	WRKY
LPERR02G21340.2	LPERR02G21340	WRKY
LPERR02G21850.1	LPERR02G21850	GRAS
LPERR02G22400.1	LPERR02G22400	NF-YC
LPERR02G22470.1	LPERR02G22470	Dof
LPERR02G22810.1	LPERR02G22810	GRAS
LPERR02G23260.1	LPERR02G23260	bHLH
LPERR02G23560.1	LPERR02G23560	WRKY
LPERR02G23970.1	LPERR02G23970	bHLH
LPERR02G24020.1	LPERR02G24020	ZF-HD
LPERR02G24050.1	LPERR02G24050	Dof
LPERR02G24230.1	LPERR02G24230	bHLH
LPERR02G25180.1	LPERR02G25180	NF-YB
LPERR02G25190.1	LPERR02G25190	NF-YB
LPERR02G25240.1	LPERR02G25240	Dof
LPERR02G25270.1	LPERR02G25270	bHLH
LPERR02G25270.2	LPERR02G25270	bHLH
LPERR02G25270.3	LPERR02G25270	bHLH
LPERR02G25330.1	LPERR02G25330	bZIP
LPERR02G26130.1	LPERR02G26130	E2F/DP
LPERR02G26470.1	LPERR02G26470	Nin-like
LPERR02G26510.1	LPERR02G26510	NAC
LPERR02G26560.1	LPERR02G26560	TCP
LPERR02G26590.1	LPERR02G26590	bHLH
LPERR02G27220.1	LPERR02G27220	bHLH
LPERR02G27610.1	LPERR02G27610	bZIP
LPERR02G27810.1	LPERR02G27810	GeBP
LPERR02G27900.1	LPERR02G27900	WRKY
LPERR02G27970.1	LPERR02G27970	GeBP
LPERR02G28390.1	LPERR02G28390	NF-YA
LPERR02G29460.1	LPERR02G29460	bHLH
LPERR02G30060.1	LPERR02G30060	bHLH
LPERR02G30140.1	LPERR02G30140	GATA
LPERR02G30140.2	LPERR02G30140	GATA
LPERR02G30240.1	LPERR02G30240	NAC
LPERR02G31040.1	LPERR02G31040	LBD
LPERR02G31180.1	LPERR02G31180	NAC
LPERR02G31580.1	LPERR02G31580	TCP
LPERR02G31960.1	LPERR02G31960	bZIP
LPERR03G00340.1	LPERR03G00340	GRAS
LPERR03G00700.1	LPERR03G00700	NAC
LPERR03G01010.1	LPERR03G01010	Trihelix
LPERR03G01480.1	LPERR03G01480	NAC
LPERR03G01610.1	LPERR03G01610	bHLH
LPERR03G01990.1	LPERR03G01990	NAC
LPERR03G02000.1	LPERR03G02000	bZIP
LPERR03G02230.1	LPERR03G02230	GATA
LPERR03G02280.1	LPERR03G02280	Nin-like
LPERR03G02450.1	LPERR03G02450	NAC
LPERR03G02580.1	LPERR03G02580	bHLH
LPERR03G03460.1	LPERR03G03460	LBD
LPERR03G03470.1	LPERR03G03470	LBD
LPERR03G03690.1	LPERR03G03690	E2F/DP
LPERR03G03690.2	LPERR03G03690	E2F/DP
LPERR03G03690.3	LPERR03G03690	E2F/DP
LPERR03G04120.1	LPERR03G04120	HSF
LPERR03G04590.1	LPERR03G04590	Dof
LPERR03G04690.4	LPERR03G04690	bHLH
LPERR03G04710.1	LPERR03G04710	bHLH
LPERR03G04900.1	LPERR03G04900	NF-YA
LPERR03G04900.2	LPERR03G04900	NF-YA
LPERR03G04900.3	LPERR03G04900	NF-YA
LPERR03G04900.4	LPERR03G04900	NF-YA
LPERR03G05310.1	LPERR03G05310	GATA
LPERR03G05820.1	LPERR03G05820	bHLH
LPERR03G05920.1	LPERR03G05920	CAMTA
LPERR03G06070.1	LPERR03G06070	GRAS
LPERR03G07620.1	LPERR03G07620	YABBY
LPERR03G07620.2	LPERR03G07620	YABBY
LPERR03G07880.1	LPERR03G07880	NAC
LPERR03G07880.2	LPERR03G07880	NAC
LPERR03G07880.3	LPERR03G07880	NAC
LPERR03G07880.4	LPERR03G07880	NAC
LPERR03G07880.5	LPERR03G07880	NAC
LPERR03G07880.6	LPERR03G07880	NAC
LPERR03G08060.1	LPERR03G08060	HSF
LPERR03G08060.2	LPERR03G08060	HSF
LPERR03G08340.1	LPERR03G08340	bHLH
LPERR03G08460.1	LPERR03G08460	bHLH
LPERR03G08460.2	LPERR03G08460	bHLH
LPERR03G08770.1	LPERR03G08770	BBR-BPC
LPERR03G08920.1	LPERR03G08920	bZIP
LPERR03G08920.2	LPERR03G08920	bZIP
LPERR03G09330.1	LPERR03G09330	LBD
LPERR03G09520.1	LPERR03G09520	NF-YC
LPERR03G10060.1	LPERR03G10060	bHLH
LPERR03G10210.1	LPERR03G10210	GRAS
LPERR03G10930.1	LPERR03G10930	Dof
LPERR03G11180.1	LPERR03G11180	bHLH
LPERR03G11720.1	LPERR03G11720	LBD
LPERR03G12870.1	LPERR03G12870	bZIP
LPERR03G13430.1	LPERR03G13430	bZIP
LPERR03G13630.3	LPERR03G13630	WRKY
LPERR03G13760.1	LPERR03G13760	EIL
LPERR03G13930.1	LPERR03G13930	NAC
LPERR03G13950.1	LPERR03G13950	NAC
LPERR03G14340.1	LPERR03G14340	WRKY
LPERR03G14390.1	LPERR03G14390	bZIP
LPERR03G16010.1	LPERR03G16010	HSF
LPERR03G16120.1	LPERR03G16120	NAC
LPERR03G16670.1	LPERR03G16670	bHLH
LPERR03G16670.2	LPERR03G16670	bHLH
LPERR03G17060.1	LPERR03G17060	CAMTA
LPERR03G17060.2	LPERR03G17060	CAMTA
LPERR03G17060.3	LPERR03G17060	CAMTA
LPERR03G18020.1	LPERR03G18020	GRAS
LPERR03G18110.1	LPERR03G18110	NF-YA
LPERR03G18110.2	LPERR03G18110	NF-YA
LPERR03G18300.2	LPERR03G18300	NF-YB
LPERR03G19020.1	LPERR03G19020	WRKY
LPERR03G19360.1	LPERR03G19360	LBD
LPERR03G20320.1	LPERR03G20320	Dof
LPERR03G20680.1	LPERR03G20680	GRAS
LPERR03G21440.1	LPERR03G21440	LBD
LPERR03G21590.1	LPERR03G21590	LBD
LPERR03G21650.1	LPERR03G21650	bHLH
LPERR03G21700.1	LPERR03G21700	Dof
LPERR03G21740.1	LPERR03G21740	NF-YC
LPERR03G21900.1	LPERR03G21900	NAC
LPERR03G22350.1	LPERR03G22350	bHLH
LPERR03G22400.1	LPERR03G22400	CPP
LPERR03G22450.1	LPERR03G22450	bHLH
LPERR03G22450.2	LPERR03G22450	bHLH
LPERR03G22450.3	LPERR03G22450	bHLH
LPERR03G22450.4	LPERR03G22450	bHLH
LPERR03G22450.5	LPERR03G22450	bHLH
LPERR03G22450.6	LPERR03G22450	bHLH
LPERR03G22840.1	LPERR03G22840	NF-YA
LPERR03G22840.4	LPERR03G22840	NF-YA
LPERR03G22960.1	LPERR03G22960	YABBY
LPERR03G22960.2	LPERR03G22960	YABBY
LPERR03G23380.1	LPERR03G23380	WRKY
LPERR03G23450.1	LPERR03G23450	LBD
LPERR03G23750.1	LPERR03G23750	Trihelix
LPERR03G24050.1	LPERR03G24050	bHLH
LPERR03G24620.1	LPERR03G24620	GATA
LPERR03G24920.1	LPERR03G24920	GRAS
LPERR03G25340.1	LPERR03G25340	NF-YA
