TF_ID	Gene_ID	Family
XP_011077234.1	LOC105161286	RAV
XP_011070834.1	LOC105156414	RAV
XP_011083994.1	LOC105166361	RAV
XP_011083995.1	LOC105166361	RAV
XP_011083996.1	LOC105166361	RAV
XP_011083997.1	LOC105166361	RAV
XP_011083998.1	LOC105166361	RAV
XP_011083999.1	LOC105166361	RAV
XP_011084001.1	LOC105166361	RAV
XP_011086824.1	LOC105168437	RAV
XP_011069419.1	LOC105155242	NAC
XP_011069597.1	LOC105155417	bZIP
XP_011069612.1	LOC105155434	Dof
XP_011069622.1	LOC105155446	GeBP
XP_011069635.1	LOC105155458	GRAS
XP_011069808.1	LOC105155612	bHLH
XP_011069985.1	LOC105155750	bZIP
XP_011070058.1	LOC105155799	WRKY
XP_011070086.1	LOC105155817	bZIP
XP_011070112.1	LOC105155837	GRAS
XP_011070144.1	LOC105155858	bHLH
XP_011070190.1	LOC105155905	LBD
XP_011070264.1	LOC105155963	GATA
XP_011070273.1	LOC105155972	SRS
XP_011070274.1	LOC105155973	bHLH
XP_011070307.1	LOC105155995	HSF
XP_011070353.1	LOC105156024	Nin-like
XP_011070354.1	LOC105156024	Nin-like
XP_011070363.1	LOC105156034	Dof
XP_011070377.1	LOC105156042	WRKY
XP_011070399.1	LOC105156062	WRKY
XP_011070419.1	LOC105156080	NAC
XP_011070420.1	LOC105156080	NAC
XP_011070518.1	LOC105156158	BBR-BPC
XP_011070552.1	LOC105156181	HSF
XP_011070609.1	LOC105156231	GRAS
XP_011070696.1	LOC105156298	NAC
XP_011070769.1	LOC105156356	bHLH
XP_011070770.1	LOC105156356	bHLH
XP_011070771.1	LOC105156357	bHLH
XP_011070804.1	LOC105156385	LBD
XP_011070824.1	LOC105156402	bZIP
XP_011070838.1	LOC105156419	bHLH
XP_011070839.1	LOC105156419	bHLH
XP_011070884.1	LOC105156454	bZIP
XP_011070886.1	LOC105156457	bHLH
XP_011070888.1	LOC105156457	bHLH
XP_011070889.1	LOC105156457	bHLH
XP_011070895.1	LOC105156462	bHLH
XP_011070914.1	LOC105156476	SBP
XP_011070915.1	LOC105156477	YABBY
XP_011070954.1	LOC105156503	WRKY
XP_011070955.1	LOC105156503	WRKY
XP_011070956.1	LOC105156503	WRKY
XP_011070969.1	LOC105156515	WRKY
XP_011070970.1	LOC105156515	WRKY
XP_011070984.1	LOC105156525	NAC
XP_011070997.1	LOC105156536	ZF-HD
XP_011071000.1	LOC105156539	NAC
XP_011071008.1	LOC105156546	TCP
XP_011071014.1	LOC105156549	bHLH
XP_011071046.1	LOC105156573	bHLH
XP_011071213.1	LOC105156696	S1Fa-like
XP_011071232.1	LOC105156710	SBP
XP_011071238.1	LOC105156714	CAMTA
XP_011071242.1	LOC105156719	WRKY
XP_011071244.1	LOC105156721	TCP
XP_011071260.1	LOC105156739	HSF
XP_011071262.1	LOC105156741	TCP
XP_011071308.1	LOC105156788	Trihelix
XP_011071328.1	LOC105156807	SBP
XP_011071373.1	LOC105156836	WRKY
XP_011071383.1	LOC105156814	NAC
XP_011071504.1	LOC105156933	SBP
XP_011071525.1	LOC105156950	FAR1
XP_011071617.1	LOC105157021	WRKY
XP_011071625.1	LOC105157028	bHLH
XP_011071636.1	LOC105157037	TCP
XP_011071649.1	LOC105157049	GRAS
XP_011071650.1	LOC105157050	GRAS
XP_011071651.1	LOC105157051	GRAS
XP_011071688.1	LOC105157091	NAC
XP_011071689.1	LOC105157091	NAC
XP_011071702.1	LOC105157099	Dof
XP_011071711.1	LOC105157108	Nin-like
XP_011071735.1	LOC105157127	LBD
XP_011071748.1	LOC105157137	bHLH
XP_011071749.1	LOC105157137	bHLH
XP_011071778.1	LOC105157164	E2F/DP
XP_011071865.1	LOC105157219	Dof
XP_011071866.1	LOC105157219	Dof
XP_011072043.1	LOC105157341	NAC
XP_011072087.1	LOC105157375	FAR1
XP_011072116.1	LOC105157401	bHLH
XP_011072165.1	LOC105157454	LBD
XP_011072178.1	LOC105157467	GRAS
XP_011072206.1	LOC105157499	TCP
XP_011072329.1	LOC105157613	Trihelix
XP_011072330.1	LOC105157613	Trihelix
XP_011072388.1	LOC105157656	bHLH
XP_011072389.1	LOC105157656	bHLH
XP_011072418.1	LOC105157676	GATA
XP_011072458.1	LOC105157709	bHLH
XP_011072481.1	LOC105157727	Dof
XP_011072522.1	LOC105157755	FAR1
XP_011072523.1	LOC105157755	FAR1
XP_011072582.1	LOC105157800	GRAS
XP_011072642.1	LOC105157844	LBD
XP_011072744.1	LOC105157914	GATA
XP_011072763.1	LOC105157923	bHLH
XP_011072765.1	LOC105157927	Trihelix
XP_011072770.1	LOC105157923	bHLH
XP_011072844.1	LOC105157973	NAC
XP_011072882.1	LOC105157996	TCP
XP_011072952.1	LOC105158041	Dof
XP_011073024.1	LOC105158090	Trihelix
XP_011073026.1	LOC105158090	Trihelix
XP_011073027.1	LOC105158090	Trihelix
XP_011073028.1	LOC105158091	NF-YC
XP_011073111.1	LOC105158163	NAC
XP_011073133.1	LOC105158180	bHLH
XP_011073134.1	LOC105158180	bHLH
XP_011073162.1	LOC105158200	BBR-BPC
XP_011073164.1	LOC105158202	ZF-HD
XP_011073188.1	LOC105158217	bHLH
XP_011073326.1	LOC105158311	WRKY
XP_011073396.1	LOC105158361	FAR1
XP_011073397.1	LOC105158361	FAR1
XP_011073398.1	LOC105158361	FAR1
XP_011073399.1	LOC105158362	FAR1
XP_011073400.1	LOC105158362	FAR1
XP_011073401.1	LOC105158362	FAR1
XP_011073402.1	LOC105158362	FAR1
XP_011073403.1	LOC105158362	FAR1
XP_011073405.1	LOC105158365	FAR1
XP_011073406.1	LOC105158365	FAR1
XP_011073448.1	LOC105158397	CPP
XP_011073449.1	LOC105158397	CPP
XP_011073450.1	LOC105158397	CPP
XP_011073452.1	LOC105158397	CPP
XP_011073463.1	LOC105158409	HSF
XP_011073517.1	LOC105158450	bHLH
XP_011073600.1	LOC105158515	LFY
XP_011073652.1	LOC105158562	bHLH
XP_011073675.1	LOC105158580	bZIP
XP_011073684.1	LOC105158589	GRAS
XP_011073725.1	LOC105158610	WRKY
XP_011073745.1	LOC105158631	GATA
XP_011073746.1	LOC105158631	GATA
XP_011073785.1	LOC105158658	HSF
XP_011073835.1	LOC105158695	GRAS
XP_011073848.1	LOC105158704	bHLH
XP_011073882.1	LOC105158742	bZIP
XP_011073884.1	LOC105158742	bZIP
XP_011073897.1	LOC105158751	Nin-like
XP_011073898.1	LOC105158751	Nin-like
XP_011073899.1	LOC105158752	FAR1
XP_011073900.1	LOC105158752	FAR1
XP_011073901.1	LOC105158752	FAR1
XP_011073902.1	LOC105158752	FAR1
XP_011073942.1	LOC105158775	HSF
XP_011073967.1	LOC105158793	bHLH
XP_011074053.1	LOC105158857	bZIP
XP_011074066.1	LOC105158867	NAC
XP_011074088.1	LOC105158884	Nin-like
XP_011074089.1	LOC105158884	Nin-like
XP_011074130.1	LOC105158914	NAC
XP_011074131.1	LOC105158915	NAC
XP_011074149.1	LOC105158901	Trihelix
XP_011074290.1	LOC105159054	bHLH
XP_011074329.1	LOC105159084	bHLH
XP_011074330.1	LOC105159084	bHLH
XP_011074366.1	LOC105159113	LBD
XP_011074391.1	LOC105159133	bHLH
XP_011074403.1	LOC105159143	WRKY
XP_011074417.1	LOC105159156	HSF
XP_011074418.1	LOC105159157	bHLH
XP_011074426.1	LOC105159163	bZIP
XP_011074427.1	LOC105159163	bZIP
XP_011074494.1	LOC105159211	NAC
XP_011074495.1	LOC105159211	NAC
XP_011074496.1	LOC105159211	NAC
XP_011074497.1	LOC105159211	NAC
XP_011074506.1	LOC105159220	BES1
XP_011074507.1	LOC105159220	BES1
XP_011074552.1	LOC105159248	ZF-HD
XP_011074570.1	LOC105159260	bHLH
XP_011074571.1	LOC105159260	bHLH
XP_011074572.1	LOC105159260	bHLH
XP_011074573.1	LOC105159260	bHLH
XP_011074574.1	LOC105159260	bHLH
XP_011074583.1	LOC105159272	bZIP
XP_011074586.1	LOC105159270	bZIP
XP_011074590.1	LOC105159277	bHLH
XP_011074593.1	LOC105159270	bZIP
XP_011074630.1	LOC105159315	SRS
XP_011074631.1	LOC105159315	SRS
XP_011074646.1	LOC105159326	bZIP
XP_011074759.1	LOC105159405	Trihelix
XP_011074760.1	LOC105159406	Trihelix
XP_011074761.1	LOC105159406	Trihelix
XP_011074833.1	LOC105159455	NAC
XP_011074920.1	LOC105159525	GRAS
XP_011074987.1	LOC105159573	bZIP
XP_011075008.1	LOC105159593	bZIP
XP_011075030.1	LOC105159614	TCP
XP_011075032.1	LOC105159616	bHLH
XP_011075166.1	LOC105159697	SBP
XP_011075176.1	LOC105159703	bZIP
XP_011075183.1	LOC105159711	bHLH
XP_011075186.1	LOC105159713	bHLH
XP_011075221.1	LOC105159740	NF-YA
XP_011075275.1	LOC105159787	NAC
XP_011075323.1	LOC105159820	GeBP
XP_011075324.1	LOC105159822	GeBP
XP_011075334.1	LOC105159831	HSF
XP_011075335.1	LOC105159831	HSF
XP_011075421.1	LOC105159904	E2F/DP
XP_011075422.1	LOC105159904	E2F/DP
XP_011075425.1	LOC105159906	bZIP
XP_011075426.1	LOC105159906	bZIP
XP_011075449.1	LOC105159923	bHLH
XP_011075476.1	LOC105159943	bHLH
XP_011075490.1	LOC105159955	TCP
XP_011075514.1	LOC105159975	Dof
XP_011075519.1	LOC105159980	NAC
XP_011075583.1	LOC105160025	WRKY
XP_011075584.1	LOC105160025	WRKY
XP_011075620.1	LOC105160053	bHLH
XP_011075632.1	LOC105160065	NAC
XP_011075633.1	LOC105160066	ZF-HD
XP_011075653.1	LOC105160088	WRKY
XP_011075657.1	LOC105160091	NAC
XP_011075708.1	LOC105160142	GeBP
XP_011075715.1	LOC105160149	GeBP
XP_011075718.1	LOC105160152	GeBP
XP_011075851.1	LOC105160253	bZIP
XP_011075852.1	LOC105160253	bZIP
XP_011075853.1	LOC105160253	bZIP
XP_011075854.1	LOC105160253	bZIP
XP_011075855.1	LOC105160253	bZIP
XP_011075856.1	LOC105160253	bZIP
XP_011075857.1	LOC105160253	bZIP
XP_011075858.1	LOC105160253	bZIP
XP_011075859.1	LOC105160253	bZIP
XP_011075874.1	LOC105160262	NAC
XP_011075948.1	LOC105160319	Dof
XP_011075979.1	LOC105160317	bZIP
XP_011076029.1	LOC105160383	WRKY
XP_011076030.1	LOC105160384	bHLH
XP_011076091.1	LOC105160423	WRKY
XP_011076123.1	LOC105160449	GRAS
XP_011076201.1	LOC105160500	HSF
XP_011076202.1	LOC105160500	HSF
XP_011076261.1	LOC105160534	TCP
XP_011076269.1	LOC105160540	bHLH
XP_011076270.1	LOC105160541	bHLH
XP_011076271.1	LOC105160541	bHLH
XP_011076299.1	LOC105160561	bHLH
XP_011076307.1	LOC105160561	bHLH
XP_011076315.1	LOC105160561	bHLH
XP_011076335.1	LOC105160589	NAC
XP_011076501.1	LOC105160719	bHLH
XP_011076502.1	LOC105160720	bHLH
XP_011076503.1	LOC105160722	bHLH
XP_011076504.1	LOC105160723	bHLH
XP_011076580.1	LOC105160789	WRKY
XP_011076587.1	LOC105160797	bZIP
XP_011076610.1	LOC105160815	LBD
XP_011076652.1	LOC105160852	LBD
XP_011076653.1	LOC105160854	bHLH
XP_011076673.1	LOC105160871	bHLH
XP_011076693.1	LOC105160887	NF-X1
XP_011076777.1	LOC105160938	LBD
XP_011076813.1	LOC105160965	WRKY
XP_011076828.1	LOC105160978	LBD
XP_011076841.1	LOC105160992	LBD
XP_011076897.1	LOC105161034	NAC
XP_011076898.1	LOC105161035	NAC
XP_011076972.1	LOC105161095	GATA
XP_011076974.1	LOC105161095	GATA
XP_011077038.1	LOC105161141	NF-YB
XP_011077039.1	LOC105161141	NF-YB
XP_011077047.1	LOC105161147	LBD
XP_011077152.1	LOC105161226	bZIP
XP_011077170.1	LOC105161243	WRKY
XP_011077208.1	LOC105161270	GRAS
XP_011077291.1	LOC105161339	NAC
XP_011077316.1	LOC105161357	bHLH
XP_011077331.1	LOC105161371	TCP
XP_011077363.1	LOC105161394	S1Fa-like
XP_011077365.1	LOC105161394	S1Fa-like
XP_011077400.1	LOC105161390	WRKY
XP_011077435.1	LOC105161442	Trihelix
XP_011077462.1	LOC105161465	Dof
XP_011077504.1	LOC105161503	WRKY
XP_011077642.1	LOC105161602	GRAS
XP_011077643.1	LOC105161602	GRAS
XP_011077654.1	LOC105161615	bHLH
XP_011077776.1	LOC105161689	bZIP
XP_011077793.1	LOC105161705	E2F/DP
XP_011077810.1	LOC105161718	NF-YA
XP_011077811.1	LOC105161718	NF-YA
XP_011077881.1	LOC105161771	bZIP
XP_011077882.1	LOC105161771	bZIP
XP_011077883.1	LOC105161771	bZIP
XP_011077884.1	LOC105161769	bHLH
XP_011077885.1	LOC105161771	bZIP
XP_011077906.1	LOC105161790	bHLH
XP_011077907.1	LOC105161791	GRAS
XP_011077925.1	LOC105161809	NAC
XP_011077930.1	LOC105161814	bZIP
XP_011078200.1	LOC105161999	GATA
XP_011078203.1	LOC105162001	bHLH
XP_011078228.1	LOC105162027	NAC
XP_011078229.1	LOC105162027	NAC
XP_011078230.1	LOC105162027	NAC
XP_011078231.1	LOC105162027	NAC
XP_011078299.1	LOC105162076	bHLH
XP_011078318.1	LOC105162088	bHLH
XP_011078350.1	LOC105162108	Trihelix
XP_011078351.1	LOC105162108	Trihelix
XP_011078395.1	LOC105162133	HSF
XP_011078402.1	LOC105162139	YABBY
XP_011078431.1	LOC105162161	HRT-like
XP_011078441.1	LOC105162171	CPP
XP_011078454.1	LOC105162182	TCP
XP_011078455.1	LOC105162185	bHLH
XP_011078584.1	LOC105162277	NAC
XP_011078637.1	LOC105162326	SBP
XP_011078663.1	LOC105162358	Dof
XP_011078667.1	LOC105162363	bHLH
XP_011078682.1	LOC105162377	bHLH
XP_011078688.1	LOC105162377	bHLH
XP_011078717.1	LOC105162420	FAR1
XP_011078718.1	LOC105162420	FAR1
XP_011078719.1	LOC105162420	FAR1
XP_011078720.1	LOC105162420	FAR1
XP_011078721.1	LOC105162420	FAR1
XP_011078722.1	LOC105162420	FAR1
XP_011078723.1	LOC105162420	FAR1
XP_011078730.1	LOC105162423	Trihelix
XP_011078755.1	LOC105162444	bZIP
XP_011078756.1	LOC105162444	bZIP
XP_011078767.1	LOC105162451	NF-YB
XP_011078845.1	LOC105162507	SBP
XP_011078846.1	LOC105162507	SBP
XP_011078853.1	LOC105162512	bZIP
XP_011078862.1	LOC105162520	bHLH
XP_011078863.1	LOC105162520	bHLH
