TF_ID	Gene_ID	Family
e_gw1.1.754.1	e_gw1.1.754.1	NF-YB
estExt_fgenesh1_pg.C_100270	estExt_fgenesh1_pg.C_100270	bHLH
estExt_fgenesh1_pg.C_130010	estExt_fgenesh1_pg.C_130010	GATA
estExt_fgenesh1_pg.C_170042	estExt_fgenesh1_pg.C_170042	bHLH
estExt_fgenesh1_pg.C_30132	estExt_fgenesh1_pg.C_30132	bZIP
estExt_fgenesh1_pg.C_30314	estExt_fgenesh1_pg.C_30314	bHLH
estExt_fgenesh1_pg.C_40271	estExt_fgenesh1_pg.C_40271	bZIP
estExt_fgenesh1_pg.C_50154	estExt_fgenesh1_pg.C_50154	GATA
estExt_fgenesh1_pg.C_50254	estExt_fgenesh1_pg.C_50254	Nin-like
estExt_fgenesh1_pm.C_10186	estExt_fgenesh1_pm.C_10186	NF-YC
estExt_fgenesh1_pm.C_10273	estExt_fgenesh1_pm.C_10273	NF-YC
estExt_fgenesh1_pm.C_110118	estExt_fgenesh1_pm.C_110118	GATA
estExt_fgenesh1_pm.C_170068	estExt_fgenesh1_pm.C_170068	bZIP
estExt_fgenesh1_pm.C_50143	estExt_fgenesh1_pm.C_50143	NF-YB
estExt_Genemark1.C_10169	estExt_Genemark1.C_10169	E2F/DP
estExt_Genemark1.C_10266	estExt_Genemark1.C_10266	GATA
estExt_Genemark1.C_110100	estExt_Genemark1.C_110100	Nin-like
estExt_Genemark1.C_120280	estExt_Genemark1.C_120280	bZIP
estExt_Genemark1.C_120335	estExt_Genemark1.C_120335	NF-YC
estExt_Genemark1.C_140059	estExt_Genemark1.C_140059	GATA
estExt_Genemark1.C_180179	estExt_Genemark1.C_180179	SBP
estExt_Genemark1.C_200086	estExt_Genemark1.C_200086	bZIP
estExt_Genemark1.C_20115	estExt_Genemark1.C_20115	bZIP
estExt_Genemark1.C_30205	estExt_Genemark1.C_30205	GATA
estExt_Genemark1.C_30279	estExt_Genemark1.C_30279	E2F/DP
estExt_Genemark1.C_40311	estExt_Genemark1.C_40311	NF-X1
estExt_Genemark1.C_50268	estExt_Genemark1.C_50268	SBP
fgenesh1_kg.24_#_12_#_3604_1_CBOZ_CBPA	fgenesh1_kg.24_#_12_#_3604_1_CBOZ_CBPA	bZIP
fgenesh1_kg.2_#_60_#_3265_1_CBOZ_CBPA	fgenesh1_kg.2_#_60_#_3265_1_CBOZ_CBPA	bZIP
fgenesh1_kg.6_#_93_#_4895_0_CBOZ6187.b1_CBOZ_CBPA	fgenesh1_kg.6_#_93_#_4895_0_CBOZ6187.b1_CBOZ_CBPA	bZIP
fgenesh1_pg.11_#_43	fgenesh1_pg.11_#_43	E2F/DP
fgenesh1_pg.11_#_47	fgenesh1_pg.11_#_47	CAMTA
fgenesh1_pg.18_#_189	fgenesh1_pg.18_#_189	Nin-like
fgenesh1_pg.2_#_40	fgenesh1_pg.2_#_40	bZIP
fgenesh1_pg.25_#_70	fgenesh1_pg.25_#_70	Whirly
fgenesh1_pg.3_#_171	fgenesh1_pg.3_#_171	bZIP
fgenesh1_pg.3_#_344	fgenesh1_pg.3_#_344	bZIP
fgenesh1_pg.4_#_114	fgenesh1_pg.4_#_114	NF-YC
fgenesh1_pg.6_#_173	fgenesh1_pg.6_#_173	bZIP
fgenesh1_pg.6_#_391	fgenesh1_pg.6_#_391	bZIP
fgenesh1_pg.7_#_208	fgenesh1_pg.7_#_208	bZIP
Genemark1.1758_g	Genemark1.1758_g	NF-YA
Genemark1.2565_g	Genemark1.2565_g	CAMTA
Genemark1.2614_g	Genemark1.2614_g	Nin-like
Genemark1.2708_g	Genemark1.2708_g	SBP
Genemark1.3949_g	Genemark1.3949_g	NF-YB
Genemark1.4306_g	Genemark1.4306_g	bZIP
Genemark1.5055_g	Genemark1.5055_g	bZIP
Genemark1.5361_g	Genemark1.5361_g	bHLH
Genemark1.5498_g	Genemark1.5498_g	bZIP
Genemark1.5641_g	Genemark1.5641_g	bHLH
Genemark1.571_g	Genemark1.571_g	SBP
Genemark1.5722_g	Genemark1.5722_g	bZIP
Genemark1.6261_g	Genemark1.6261_g	bZIP
Genemark1.6443_g	Genemark1.6443_g	bZIP
Genemark1.6723_g	Genemark1.6723_g	bZIP
Genemark1.7226_g	Genemark1.7226_g	Nin-like
Genemark1.7279_g	Genemark1.7279_g	CPP
Genemark1.7281_g	Genemark1.7281_g	Nin-like
Genemark1.7971_g	Genemark1.7971_g	bZIP
Genemark1.8412_g	Genemark1.8412_g	bZIP
Genemark1.8628_g	Genemark1.8628_g	bZIP
Genemark1.8632_g	Genemark1.8632_g	bZIP
Genemark1.90_g	Genemark1.90_g	bZIP
gw1.1.725.1	gw1.1.725.1	WRKY
gw1.18.294.1	gw1.18.294.1	CPP
gw1.2.725.1	gw1.2.725.1	CPP
estExt_Genemark1.C_30263	estExt_Genemark1.C_30263	B3
e_gw1.4.797.1	e_gw1.4.797.1	AP2
estExt_Genemark1.C_30025	estExt_Genemark1.C_30025	AP2
estExt_Genemark1.C_30153	estExt_Genemark1.C_30153	AP2
fgenesh1_pg.2_#_177	fgenesh1_pg.2_#_177	AP2
Genemark1.2857_g	Genemark1.2857_g	AP2
Genemark1.5860_g	Genemark1.5860_g	AP2
Genemark1.968_g	Genemark1.968_g	AP2
gw1.2.830.1	gw1.2.830.1	AP2
estExt_Genemark1.C_230056	estExt_Genemark1.C_230056	AP2
fgenesh1_pg.23_#_7	fgenesh1_pg.23_#_7	AP2
e_gw1.8.404.1	e_gw1.8.404.1	ERF
estExt_fgenesh1_pg.C_170126	estExt_fgenesh1_pg.C_170126	ERF
estExt_Genemark1.C_100079	estExt_Genemark1.C_100079	ERF
fgenesh1_pg.4_#_155	fgenesh1_pg.4_#_155	ERF
Genemark1.2480_g	Genemark1.2480_g	ERF
Genemark1.2930_g	Genemark1.2930_g	ERF
estExt_Genemark1.C_10682	estExt_Genemark1.C_10682	DBB
estExt_Genemark1.C_10729	estExt_Genemark1.C_10729	CO-like
e_gw1.1.548.1	e_gw1.1.548.1	ARR-B
estExt_fgenesh1_pg.C_40143	estExt_fgenesh1_pg.C_40143	G2-like
estExt_fgenesh1_pm.C_190072	estExt_fgenesh1_pm.C_190072	G2-like
Genemark1.6882_g	Genemark1.6882_g	G2-like
gw1.15.242.1	gw1.15.242.1	G2-like
e_gw1.9.373.1	e_gw1.9.373.1	M-type_MADS
estExt_fgenesh1_pg.C_50206	estExt_fgenesh1_pg.C_50206	HB-other
Genemark1.2217_g	Genemark1.2217_g	HB-other
e_gw1.19.315.1	e_gw1.19.315.1	C3H
e_gw1.20.30.1	e_gw1.20.30.1	C3H
e_gw1.2.463.1	e_gw1.2.463.1	C3H
e_gw1.7.147.1	e_gw1.7.147.1	C3H
e_gw1.8.415.1	e_gw1.8.415.1	C3H
estExt_fgenesh1_pg.C_190079	estExt_fgenesh1_pg.C_190079	C3H
estExt_fgenesh1_pg.C_20478	estExt_fgenesh1_pg.C_20478	C2H2
estExt_fgenesh1_pm.C_10087	estExt_fgenesh1_pm.C_10087	C3H
estExt_fgenesh1_pm.C_160127	estExt_fgenesh1_pm.C_160127	C3H
estExt_Genemark1.C_270025	estExt_Genemark1.C_270025	C2H2
estExt_Genemark1.C_70364	estExt_Genemark1.C_70364	C2H2
estExt_Genewise1.C_20537	estExt_Genewise1.C_20537	C2H2
fgenesh1_pg.12_#_119	fgenesh1_pg.12_#_119	C3H
fgenesh1_pg.8_#_101	fgenesh1_pg.8_#_101	C3H
Genemark1.2377_g	Genemark1.2377_g	C3H
Genemark1.2425_g	Genemark1.2425_g	C3H
Genemark1.6211_g	Genemark1.6211_g	C2H2
Genemark1.7407_g	Genemark1.7407_g	C2H2
Genemark1.8765_g	Genemark1.8765_g	C3H
gw1.14.298.1	gw1.14.298.1	C3H
gw1.14.301.1	gw1.14.301.1	C3H
gw1.23.191.1	gw1.23.191.1	C3H
e_gw1.3.530.1	e_gw1.3.530.1	MYB
estExt_fgenesh1_pg.C_50239	estExt_fgenesh1_pg.C_50239	MYB
estExt_Genemark1.C_60286	estExt_Genemark1.C_60286	MYB
fgenesh1_pg.1_#_520	fgenesh1_pg.1_#_520	MYB
fgenesh1_pg.19_#_53	fgenesh1_pg.19_#_53	MYB
fgenesh1_pg.4_#_416	fgenesh1_pg.4_#_416	MYB
fgenesh1_pm.4_#_96	fgenesh1_pm.4_#_96	MYB
gw1.10.406.1	gw1.10.406.1	MYB
gw1.4.828.1	gw1.4.828.1	MYB
e_gw1.2.667.1	e_gw1.2.667.1	MYB_related
estExt_fgenesh1_pg.C_60324	estExt_fgenesh1_pg.C_60324	MYB_related
estExt_Genemark1.C_40529	estExt_Genemark1.C_40529	MYB_related
estExt_Genemark1.C_60296	estExt_Genemark1.C_60296	MYB_related
estExt_Genewise1Plus.C_100148	estExt_Genewise1Plus.C_100148	MYB_related
fgenesh1_pg.4_#_260	fgenesh1_pg.4_#_260	MYB_related
Genemark1.1008_g	Genemark1.1008_g	MYB_related
Genemark1.1027_g	Genemark1.1027_g	MYB_related
Genemark1.2391_g	Genemark1.2391_g	MYB_related
Genemark1.2462_g	Genemark1.2462_g	MYB_related
Genemark1.3253_g	Genemark1.3253_g	MYB_related
Genemark1.422_g	Genemark1.422_g	MYB_related
Genemark1.6190_g	Genemark1.6190_g	MYB_related
