TF_ID	Gene_ID	Family
484335	484335	RAV
476011	476011	RAV
888685	920198	RAV
890147	921660	RAV
474227	474227	RAV
474200	474200	RAV
311334	311334	NAC
311447	311447	NAC
311843	311843	LBD
311885	311885	bZIP
312099	312099	bHLH
312791	312791	bHLH
312884	312884	bZIP
313311	313311	Dof
313633	313633	WRKY
313705	313705	bHLH
313821	313821	NAC
313839	313839	NAC
313859	313859	NAC
313993	313993	LBD
313994	313994	Trihelix
314229	314229	E2F/DP
315244	315244	NAC
315745	315745	CAMTA
315900	315900	TCP
316163	316163	NAC
317082	317082	WRKY
317350	317350	CPP
317804	317804	Trihelix
317848	317848	NAC
318458	318458	CAMTA
319546	319546	bHLH
319764	319764	SRS
319991	319991	SRS
320036	320036	WRKY
321332	321332	bZIP
321760	321760	WRKY
321761	321761	WRKY
321853	321853	HSF
322266	322266	WRKY
322281	322281	bZIP
322910	322910	LBD
323669	323669	GATA
323881	323881	S1Fa-like
324164	324164	NAC
324178	324178	bZIP
324207	324207	bHLH
324601	324601	WRKY
325322	325322	NF-YC
325325	325325	WRKY
325871	325871	NAC
326242	326242	NAC
326748	326748	NAC
327396	327396	WRKY
327634	327634	NAC
327641	327641	bHLH
327681	327681	Dof
327725	327725	bHLH
327750	327750	LBD
327841	327841	BBR-BPC
328547	328547	WRKY
328625	328625	WRKY
328786	328786	NAC
329038	329038	WRKY
329411	329411	WRKY
329503	329503	bHLH
329901	329901	GATA
331146	331146	BBR-BPC
331662	331662	Nin-like
332092	332092	bHLH
332471	332471	NAC
332832	332832	GRAS
333554	333554	NAC
333558	333558	NAC
333565	333565	bHLH
333922	333922	bHLH
335144	335144	WRKY
335492	335492	bHLH
335587	335587	YABBY
335709	335709	NAC
336031	336031	WRKY
336483	336483	NAC
336533	336533	NF-X1
337131	337131	bHLH
337643	337643	WRKY
338071	338071	GRAS
338342	338342	NAC
338787	338787	Nin-like
338870	338870	WRKY
338960	338960	TCP
339154	339154	SBP
339216	339216	WRKY
339498	339498	NF-YA
339639	339639	Nin-like
340538	340538	LBD
340623	340623	NAC
341138	341138	Trihelix
341554	341554	Trihelix
342085	342085	bHLH
342995	342995	bZIP
343397	343397	bZIP
343891	343891	WRKY
344010	344010	NAC
344902	344902	LBD
345299	345299	Trihelix
345506	345506	GRAS
345509	345509	GRAS
346041	346041	LBD
346398	346398	BES1
347510	347510	NAC
347836	347836	NAC
347878	347878	bHLH
347883	347883	LBD
348075	348075	bHLH
348107	348107	GRAS
349389	349389	HSF
350644	350644	LBD
351206	351206	EIL
351629	351629	WRKY
352687	352687	NAC
352841	352841	Nin-like
353119	353119	bHLH
353697	353697	HSF
354244	354244	bHLH
354651	354651	bHLH
355148	355148	CAMTA
355644	355644	NAC
356188	356188	NF-YC
356189	356189	NF-YC
356279	356279	GATA
356484	356484	BES1
356702	356702	HSF
357570	357570	NAC
357630	357630	NAC
358128	358128	NAC
358332	358332	bHLH
358545	358545	Trihelix
358733	358733	bHLH
358861	358861	Nin-like
359494	359494	NF-YA
470069	470069	SBP
470147	470147	bHLH
470281	470281	bHLH
470374	470374	bZIP
470588	470588	bHLH
470852	470852	GATA
470907	470907	YABBY
470975	470975	NF-YC
471048	471048	bHLH
471132	471132	NF-X1
471177	471177	bHLH
471184	471184	bHLH
471376	471376	NAC
471403	471403	bHLH
471557	471557	WRKY
471615	471615	Whirly
471648	471648	BBR-BPC
471652	471652	ZF-HD
471680	471680	GRAS
471968	471968	NF-YA
472103	472103	Nin-like
472107	472107	ZF-HD
472158	472158	BES1
472205	472205	SRS
472297	472297	Nin-like
472338	472338	SBP
472358	472358	Trihelix
472381	472381	GRAS
472432	472432	NF-YB
472441	472441	bZIP
472704	472704	bHLH
472791	472791	bHLH
