TF_ID	Gene_ID	Family
Cla020368	Cla020368	RAV
Cla000855	Cla000855	RAV
Cla004791	Cla004791	RAV
Cla018724	Cla018724	RAV
Cla000091	Cla000091	Dof
Cla000121	Cla000121	bHLH
Cla000218	Cla000218	bHLH
Cla000378	Cla000378	NAC
Cla000383	Cla000383	bZIP
Cla000516	Cla000516	SBP
Cla000540	Cla000540	Dof
Cla000545	Cla000545	LBD
Cla000604	Cla000604	Dof
Cla000632	Cla000632	VOZ
Cla000688	Cla000688	CAMTA
Cla000703	Cla000703	bHLH
Cla000713	Cla000713	HSF
Cla000807	Cla000807	YABBY
Cla000827	Cla000827	NF-YA
Cla000891	Cla000891	GATA
Cla000915	Cla000915	NF-YB
Cla000975	Cla000975	Dof
Cla001116	Cla001116	E2F/DP
Cla001224	Cla001224	BES1
Cla001226	Cla001226	bHLH
Cla001326	Cla001326	GeBP
Cla001331	Cla001331	bHLH
Cla001373	Cla001373	Dof
Cla001399	Cla001399	SAP
Cla001409	Cla001409	GRAS
Cla001480	Cla001480	Trihelix
Cla001495	Cla001495	NAC
Cla001506	Cla001506	TCP
Cla001519	Cla001519	SBP
Cla001587	Cla001587	LBD
Cla001652	Cla001652	bHLH
Cla001653	Cla001653	bHLH
Cla001654	Cla001654	bHLH
Cla001663	Cla001663	bHLH
Cla001713	Cla001713	bHLH
Cla001812	Cla001812	Dof
Cla001818	Cla001818	Dof
Cla001881	Cla001881	ZF-HD
Cla001961	Cla001961	Trihelix
Cla001964	Cla001964	Trihelix
Cla002084	Cla002084	WRKY
Cla002099	Cla002099	TCP
Cla002170	Cla002170	NAC
Cla002208	Cla002208	HSF
Cla002217	Cla002217	NAC
Cla002232	Cla002232	SBP
Cla002243	Cla002243	WRKY
Cla002257	Cla002257	Trihelix
Cla002323	Cla002323	TCP
Cla002395	Cla002395	EIL
Cla002400	Cla002400	NAC
Cla002428	Cla002428	TCP
Cla002516	Cla002516	HSF
Cla002630	Cla002630	SBP
Cla002643	Cla002643	bHLH
Cla002645	Cla002645	bHLH
Cla002680	Cla002680	NAC
Cla002681	Cla002681	NAC
Cla002713	Cla002713	NAC
Cla002749	Cla002749	bHLH
Cla002778	Cla002778	GeBP
Cla002782	Cla002782	GeBP
Cla002873	Cla002873	bZIP
Cla002907	Cla002907	Dof
Cla002917	Cla002917	LBD
Cla002923	Cla002923	HSF
Cla003039	Cla003039	NAC
Cla003202	Cla003202	GATA
Cla003232	Cla003232	bHLH
