TF_ID	Gene_ID	Family
Aradu.7AQ1B	Aradu.7AQ1B	RAV
Aradu.00QGP	Aradu.00QGP	GRAS
Aradu.01B4C	Aradu.01B4C	bHLH
Aradu.023N4	Aradu.023N4	bHLH
Aradu.02Q8Q	Aradu.02Q8Q	FAR1
Aradu.039HC	Aradu.039HC	LBD
Aradu.03MTI	Aradu.03MTI	FAR1
Aradu.04S25	Aradu.04S25	CAMTA
Aradu.0572C	Aradu.0572C	bHLH
Aradu.05F6Y	Aradu.05F6Y	GRAS
Aradu.05MVI	Aradu.05MVI	Trihelix
Aradu.065GY	Aradu.065GY	bHLH
Aradu.06BAT	Aradu.06BAT	GRAS
Aradu.0768L	Aradu.0768L	Nin-like
Aradu.07ABD	Aradu.07ABD	FAR1
Aradu.07E2R	Aradu.07E2R	LBD
Aradu.07VTE	Aradu.07VTE	FAR1
Aradu.08GFU	Aradu.08GFU	NAC
Aradu.08MEK	Aradu.08MEK	Dof
Aradu.08TAH	Aradu.08TAH	NAC
Aradu.09RAX	Aradu.09RAX	FAR1
Aradu.0BJ82	Aradu.0BJ82	NF-YC
Aradu.0GH1S	Aradu.0GH1S	SBP
Aradu.0HG1Q	Aradu.0HG1Q	FAR1
Aradu.0I740	Aradu.0I740	GATA
Aradu.0JL7F	Aradu.0JL7F	FAR1
Aradu.0K58L	Aradu.0K58L	bHLH
Aradu.0K64L	Aradu.0K64L	BBR-BPC
Aradu.0KQ9H	Aradu.0KQ9H	NF-YA
Aradu.0MJ0X	Aradu.0MJ0X	NAC
Aradu.0QH3E	Aradu.0QH3E	FAR1
Aradu.0S3VU	Aradu.0S3VU	FAR1
Aradu.0V2BM	Aradu.0V2BM	LBD
Aradu.0Y2W5	Aradu.0Y2W5	FAR1
Aradu.0YU93	Aradu.0YU93	TCP
Aradu.10L0H	Aradu.10L0H	bHLH
Aradu.10YFM	Aradu.10YFM	GRAS
Aradu.1124E	Aradu.1124E	bHLH
Aradu.13D06	Aradu.13D06	NAC
Aradu.14PP5	Aradu.14PP5	FAR1
Aradu.154AS	Aradu.154AS	FAR1
Aradu.15JI0	Aradu.15JI0	NAC
Aradu.15QQT	Aradu.15QQT	NAC
Aradu.16UTS	Aradu.16UTS	FAR1
Aradu.171F6	Aradu.171F6	WRKY
Aradu.17BB2	Aradu.17BB2	HSF
Aradu.17BVG	Aradu.17BVG	FAR1
Aradu.180Q6	Aradu.180Q6	WRKY
Aradu.18TLF	Aradu.18TLF	LBD
Aradu.18XUI	Aradu.18XUI	GATA
Aradu.19EUZ	Aradu.19EUZ	FAR1
Aradu.1A2XY	Aradu.1A2XY	GRAS
Aradu.1AC2T	Aradu.1AC2T	CPP
Aradu.1AJ4F	Aradu.1AJ4F	NAC
Aradu.1C3SG	Aradu.1C3SG	WRKY
Aradu.1D4XY	Aradu.1D4XY	Trihelix
Aradu.1ES3P	Aradu.1ES3P	bZIP
Aradu.1I1BA	Aradu.1I1BA	FAR1
Aradu.1I5W4	Aradu.1I5W4	FAR1
Aradu.1J1DY	Aradu.1J1DY	Dof
Aradu.1J1TJ	Aradu.1J1TJ	Trihelix
Aradu.1J52S	Aradu.1J52S	FAR1
Aradu.1JQ3A	Aradu.1JQ3A	bZIP
Aradu.1LA8W	Aradu.1LA8W	Dof
Aradu.1LG94	Aradu.1LG94	CAMTA
Aradu.1M0AQ	Aradu.1M0AQ	bHLH
Aradu.1PF9A	Aradu.1PF9A	E2F/DP
Aradu.1QN19	Aradu.1QN19	bHLH
Aradu.1RN6D	Aradu.1RN6D	TCP
Aradu.1S9TS	Aradu.1S9TS	WRKY
Aradu.1UT3Z	Aradu.1UT3Z	GATA
Aradu.1V6B6	Aradu.1V6B6	Nin-like
Aradu.1X8KR	Aradu.1X8KR	FAR1
Aradu.1Y370	Aradu.1Y370	GRAS
Aradu.20TYF	Aradu.20TYF	WRKY
Aradu.20ZSN	Aradu.20ZSN	FAR1
Aradu.210JQ	Aradu.210JQ	GATA
Aradu.215DG	Aradu.215DG	NAC
Aradu.22647	Aradu.22647	NAC
Aradu.2376Y	Aradu.2376Y	GRAS
Aradu.23Q7Y	Aradu.23Q7Y	FAR1
Aradu.23V4H	Aradu.23V4H	FAR1
Aradu.259PC	Aradu.259PC	WRKY
Aradu.25NPV	Aradu.25NPV	bHLH
Aradu.25STL	Aradu.25STL	BBR-BPC
Aradu.262YC	Aradu.262YC	LBD
Aradu.277PJ	Aradu.277PJ	bHLH
Aradu.29A27	Aradu.29A27	bHLH
Aradu.2C47B	Aradu.2C47B	FAR1
Aradu.2JT32	Aradu.2JT32	Dof
Aradu.2K11I	Aradu.2K11I	HSF
Aradu.2KH9E	Aradu.2KH9E	FAR1
Aradu.2KR68	Aradu.2KR68	FAR1
Aradu.2N7BF	Aradu.2N7BF	EIL
Aradu.2PP50	Aradu.2PP50	FAR1
Aradu.2Q989	Aradu.2Q989	FAR1
Aradu.2QR5U	Aradu.2QR5U	Trihelix
Aradu.2S5CB	Aradu.2S5CB	WRKY
Aradu.2SS2B	Aradu.2SS2B	WRKY
Aradu.2V4EQ	Aradu.2V4EQ	WRKY
