TF_ID	Gene_ID	Family
C.cajan_40504	C.cajan_40504	RAV
C.cajan_08002	C.cajan_08002	RAV
C.cajan_00060	C.cajan_00060	WRKY
C.cajan_00271	C.cajan_00271	bHLH
C.cajan_00324	C.cajan_00324	GATA
C.cajan_00341	C.cajan_00341	bHLH
C.cajan_00400	C.cajan_00400	bHLH
C.cajan_00414	C.cajan_00414	bHLH
C.cajan_00452	C.cajan_00452	Dof
C.cajan_00496	C.cajan_00496	LBD
C.cajan_00661	C.cajan_00661	HSF
C.cajan_00681	C.cajan_00681	bHLH
C.cajan_00797	C.cajan_00797	bHLH
C.cajan_00832	C.cajan_00832	Dof
C.cajan_00960	C.cajan_00960	bHLH
C.cajan_00971	C.cajan_00971	WRKY
C.cajan_01001	C.cajan_01001	LBD
C.cajan_01041	C.cajan_01041	HSF
C.cajan_01079	C.cajan_01079	bHLH
C.cajan_01166	C.cajan_01166	bHLH
C.cajan_01252	C.cajan_01252	bZIP
C.cajan_01258	C.cajan_01258	GRAS
C.cajan_01304	C.cajan_01304	NAC
C.cajan_01355	C.cajan_01355	GRAS
C.cajan_01372	C.cajan_01372	LBD
C.cajan_01380	C.cajan_01380	GRAS
C.cajan_01440	C.cajan_01440	NAC
C.cajan_01567	C.cajan_01567	NAC
C.cajan_01570	C.cajan_01570	YABBY
C.cajan_01682	C.cajan_01682	WRKY
C.cajan_01702	C.cajan_01702	TCP
C.cajan_01709	C.cajan_01709	ZF-HD
C.cajan_01716	C.cajan_01716	Nin-like
C.cajan_01722	C.cajan_01722	Dof
C.cajan_01726	C.cajan_01726	NAC
C.cajan_01740	C.cajan_01740	bHLH
C.cajan_01772	C.cajan_01772	GRAS
C.cajan_01827	C.cajan_01827	TCP
C.cajan_01887	C.cajan_01887	YABBY
C.cajan_01947	C.cajan_01947	bHLH
C.cajan_02029	C.cajan_02029	NAC
C.cajan_02050	C.cajan_02050	NAC
C.cajan_02051	C.cajan_02051	NAC
C.cajan_02052	C.cajan_02052	NAC
C.cajan_02238	C.cajan_02238	LBD
C.cajan_02255	C.cajan_02255	WRKY
C.cajan_02296	C.cajan_02296	SBP
C.cajan_02335	C.cajan_02335	WRKY
C.cajan_02477	C.cajan_02477	bHLH
C.cajan_02655	C.cajan_02655	LBD
C.cajan_02671	C.cajan_02671	LBD
C.cajan_02676	C.cajan_02676	bHLH
C.cajan_02738	C.cajan_02738	Trihelix
C.cajan_02821	C.cajan_02821	NF-YC
C.cajan_02883	C.cajan_02883	TCP
C.cajan_02898	C.cajan_02898	SBP
C.cajan_02905	C.cajan_02905	Dof
C.cajan_02909	C.cajan_02909	bHLH
C.cajan_02912	C.cajan_02912	bZIP
C.cajan_02938	C.cajan_02938	NF-YB
C.cajan_02946	C.cajan_02946	bHLH
C.cajan_03018	C.cajan_03018	SBP
C.cajan_03130	C.cajan_03130	Dof
C.cajan_03139	C.cajan_03139	NF-YA
C.cajan_03188	C.cajan_03188	HSF
C.cajan_03364	C.cajan_03364	bHLH
C.cajan_03586	C.cajan_03586	bHLH
C.cajan_03714	C.cajan_03714	bHLH
C.cajan_03745	C.cajan_03745	HSF
C.cajan_03770	C.cajan_03770	NF-YA
C.cajan_03771	C.cajan_03771	bHLH
C.cajan_03803	C.cajan_03803	bHLH
C.cajan_03812	C.cajan_03812	WRKY
C.cajan_03835	C.cajan_03835	bZIP
C.cajan_03912	C.cajan_03912	CAMTA
C.cajan_03921	C.cajan_03921	SBP
C.cajan_03945	C.cajan_03945	WRKY
C.cajan_04089	C.cajan_04089	CAMTA
C.cajan_04102	C.cajan_04102	GATA
C.cajan_04121	C.cajan_04121	NAC
C.cajan_04140	C.cajan_04140	NAC
C.cajan_04261	C.cajan_04261	NF-YB
C.cajan_04448	C.cajan_04448	WRKY
C.cajan_04496	C.cajan_04496	GRAS
C.cajan_04591	C.cajan_04591	bHLH
