TF_ID	Gene_ID	Family
Oropetium_20150105_00088A	Oropetium_20150105_00088	LBD
Oropetium_20150105_00089A	Oropetium_20150105_00089	LBD
Oropetium_20150105_00107A	Oropetium_20150105_00107	E2F/DP
Oropetium_20150105_00222A	Oropetium_20150105_00222	bHLH
Oropetium_20150105_00226A	Oropetium_20150105_00226	bHLH
Oropetium_20150105_00244A	Oropetium_20150105_00244	NF-YA
Oropetium_20150105_00282A	Oropetium_20150105_00282	NAC
Oropetium_20150105_00325A	Oropetium_20150105_00325	bHLH
Oropetium_20150105_00339A	Oropetium_20150105_00339	CAMTA
Oropetium_20150105_00358A	Oropetium_20150105_00358	GRAS
Oropetium_20150105_00507A	Oropetium_20150105_00507	YABBY
Oropetium_20150105_00600A	Oropetium_20150105_00600	bHLH
Oropetium_20150105_00639A	Oropetium_20150105_00639	BBR-BPC
Oropetium_20150105_00686A	Oropetium_20150105_00686	LBD
Oropetium_20150105_00709A	Oropetium_20150105_00709	NF-YC
Oropetium_20150105_00739A	Oropetium_20150105_00739	FAR1
Oropetium_20150105_00761A	Oropetium_20150105_00761	bHLH
Oropetium_20150105_00774A	Oropetium_20150105_00774	GRAS
Oropetium_20150105_00852A	Oropetium_20150105_00852	GRAS
Oropetium_20150105_00910A	Oropetium_20150105_00910	bHLH
Oropetium_20150105_01019A	Oropetium_20150105_01019	Trihelix
Oropetium_20150105_01099A	Oropetium_20150105_01099	bZIP
Oropetium_20150105_01150A	Oropetium_20150105_01150	bZIP
Oropetium_20150105_01172A	Oropetium_20150105_01172	WRKY
Oropetium_20150105_01179A	Oropetium_20150105_01179	bZIP
Oropetium_20150105_01188A	Oropetium_20150105_01188	EIL
Oropetium_20150105_01204A	Oropetium_20150105_01204	NAC
Oropetium_20150105_01206A	Oropetium_20150105_01206	NAC
Oropetium_20150105_01250A	Oropetium_20150105_01250	WRKY
Oropetium_20150105_01257A	Oropetium_20150105_01257	bZIP
Oropetium_20150105_01470A	Oropetium_20150105_01470	GRAS
Oropetium_20150105_01533A	Oropetium_20150105_01533	bHLH
Oropetium_20150105_01570A	Oropetium_20150105_01570	WRKY
Oropetium_20150105_01574A	Oropetium_20150105_01574	LFY
Oropetium_20150105_01578A	Oropetium_20150105_01578	bHLH
Oropetium_20150105_01601A	Oropetium_20150105_01601	Trihelix
Oropetium_20150105_01614A	Oropetium_20150105_01614	WRKY
Oropetium_20150105_01711A	Oropetium_20150105_01711	bHLH
Oropetium_20150105_01714A	Oropetium_20150105_01714	NAC
Oropetium_20150105_01786A	Oropetium_20150105_01786	bHLH
Oropetium_20150105_01822A	Oropetium_20150105_01822	bZIP
Oropetium_20150105_01926A	Oropetium_20150105_01926	SBP
Oropetium_20150105_02030A	Oropetium_20150105_02030	Trihelix
Oropetium_20150105_02126A	Oropetium_20150105_02126	NF-YC
Oropetium_20150105_02228A	Oropetium_20150105_02228	ZF-HD
Oropetium_20150105_02230A	Oropetium_20150105_02230	ZF-HD
Oropetium_20150105_02233A	Oropetium_20150105_02233	NAC
Oropetium_20150105_02254A	Oropetium_20150105_02254	bHLH
Oropetium_20150105_02255A	Oropetium_20150105_02255	TCP
Oropetium_20150105_02498A	Oropetium_20150105_02498	bHLH
Oropetium_20150105_02502A	Oropetium_20150105_02502	Trihelix
Oropetium_20150105_02538A	Oropetium_20150105_02538	EIL
Oropetium_20150105_02558A	Oropetium_20150105_02558	NAC
Oropetium_20150105_02638A	Oropetium_20150105_02638	NAC
Oropetium_20150105_02689A	Oropetium_20150105_02689	bHLH
Oropetium_20150105_02800A	Oropetium_20150105_02800	NAC
Oropetium_20150105_02841A	Oropetium_20150105_02841	TCP
Oropetium_20150105_02879A	Oropetium_20150105_02879	YABBY
Oropetium_20150105_02881A	Oropetium_20150105_02881	NAC
Oropetium_20150105_02899A	Oropetium_20150105_02899	Trihelix
Oropetium_20150105_02913A	Oropetium_20150105_02913	WRKY
Oropetium_20150105_02993A	Oropetium_20150105_02993	GATA
Oropetium_20150105_03010A	Oropetium_20150105_03010	bHLH
Oropetium_20150105_03041A	Oropetium_20150105_03041	bHLH
Oropetium_20150105_03052A	Oropetium_20150105_03052	LBD
Oropetium_20150105_03172A	Oropetium_20150105_03172	NAC
Oropetium_20150105_03191A	Oropetium_20150105_03191	bHLH
Oropetium_20150105_03274A	Oropetium_20150105_03274	bZIP
Oropetium_20150105_03314A	Oropetium_20150105_03314	WRKY
Oropetium_20150105_03337A	Oropetium_20150105_03337	WRKY
Oropetium_20150105_03362A	Oropetium_20150105_03362	GRAS
Oropetium_20150105_03379A	Oropetium_20150105_03379	bZIP
Oropetium_20150105_03402A	Oropetium_20150105_03402	bZIP
Oropetium_20150105_03411A	Oropetium_20150105_03411	NF-YC
Oropetium_20150105_03454A	Oropetium_20150105_03454	GRAS
Oropetium_20150105_03488A	Oropetium_20150105_03488	CPP
Oropetium_20150105_03586A	Oropetium_20150105_03586	VOZ
Oropetium_20150105_03703A	Oropetium_20150105_03703	bHLH
Oropetium_20150105_03723A	Oropetium_20150105_03723	bHLH
Oropetium_20150105_03740A	Oropetium_20150105_03740	WRKY
Oropetium_20150105_03756A	Oropetium_20150105_03756	NAC
Oropetium_20150105_03770A	Oropetium_20150105_03770	ZF-HD
