TF_ID	Gene_ID	Family
Thhalv10019566m	Thhalv10019566m.g	RAV
Thhalv10004508m	Thhalv10004508m.g	RAV
Thhalv10010019m	Thhalv10010019m.g	RAV
Thhalv10007983m	Thhalv10007983m.g	RAV
Thhalv10012356m	Thhalv10012356m.g	RAV
Thhalv10012377m	Thhalv10012377m.g	RAV
Thhalv10012152m	Thhalv10012152m.g	RAV
Thhalv10012161m	Thhalv10012161m.g	RAV
Thhalv10000026m	Thhalv10000026m.g	CAMTA
Thhalv10000027m	Thhalv10000026m.g	CAMTA
Thhalv10000129m	Thhalv10000129m.g	bZIP
Thhalv10000176m	Thhalv10000176m.g	bZIP
Thhalv10000220m	Thhalv10000220m.g	bHLH
Thhalv10000242m	Thhalv10000242m.g	WRKY
Thhalv10000251m	Thhalv10000251m.g	bHLH
Thhalv10000270m	Thhalv10000270m.g	WRKY
Thhalv10000273m	Thhalv10000273m.g	BBR-BPC
Thhalv10000288m	Thhalv10000288m.g	WRKY
Thhalv10000309m	Thhalv10000309m.g	bZIP
Thhalv10000331m	Thhalv10000331m.g	WRKY
Thhalv10000419m	Thhalv10000419m.g	LBD
Thhalv10000420m	Thhalv10000420m.g	Dof
Thhalv10000425m	Thhalv10000425m.g	Dof
Thhalv10000426m	Thhalv10000426m.g	bHLH
Thhalv10000430m	Thhalv10000430m.g	LBD
Thhalv10000437m	Thhalv10000437m.g	LBD
Thhalv10000489m	Thhalv10000489m.g	LBD
Thhalv10000492m	Thhalv10000492m.g	Dof
Thhalv10000493m	Thhalv10000493m.g	Dof
Thhalv10000494m	Thhalv10000494m.g	bHLH
Thhalv10000518m	Thhalv10000518m.g	bZIP
Thhalv10000520m	Thhalv10000520m.g	NAC
Thhalv10000522m	Thhalv10000522m.g	LBD
Thhalv10000525m	Thhalv10000525m.g	LBD
Thhalv10000526m	Thhalv10000526m.g	LBD
Thhalv10000527m	Thhalv10000527m.g	Dof
Thhalv10000529m	Thhalv10000529m.g	LBD
Thhalv10000537m	Thhalv10000537m.g	LBD
Thhalv10000542m	Thhalv10000542m.g	Dof
Thhalv10000561m	Thhalv10000561m.g	LBD
Thhalv10000571m	Thhalv10000571m.g	LBD
Thhalv10000593m	Thhalv10000593m.g	LBD
Thhalv10000621m	Thhalv10000621m.g	Dof
Thhalv10000624m	Thhalv10000624m.g	Dof
Thhalv10000641m	Thhalv10000641m.g	LBD
Thhalv10000672m	Thhalv10000672m.g	LBD
Thhalv10000686m	Thhalv10000686m.g	WRKY
Thhalv10000694m	Thhalv10000694m.g	LBD
Thhalv10000718m	Thhalv10000718m.g	LBD
Thhalv10000808m	Thhalv10000808m.g	bHLH
Thhalv10000853m	Thhalv10000853m.g	bHLH
Thhalv10000871m	Thhalv10000871m.g	GATA
Thhalv10000907m	Thhalv10000907m.g	Trihelix
Thhalv10000950m	Thhalv10000950m.g	HSF
Thhalv10000961m	Thhalv10000961m.g	bHLH
Thhalv10001037m	Thhalv10001037m.g	NF-YB
Thhalv10001185m	Thhalv10001185m.g	NF-YB
Thhalv10001200m	Thhalv10001200m.g	NAC
Thhalv10001222m	Thhalv10001222m.g	BES1
Thhalv10001240m	Thhalv10001240m.g	WRKY
Thhalv10001295m	Thhalv10001295m.g	SBP
Thhalv10001297m	Thhalv10001295m.g	SBP
Thhalv10001298m	Thhalv10001295m.g	SBP
Thhalv10001299m	Thhalv10001299m.g	Nin-like
Thhalv10001342m	Thhalv10001342m.g	BES1
