TF_ID	Gene_ID	Family
model.Picochlorum_contig_107.g543.t1	model.Picochlorum_contig_107.g543.t1	GATA
model.Picochlorum_contig_108.g629.t1	model.Picochlorum_contig_108.g629.t1	YABBY
model.Picochlorum_contig_108.g657.t1	model.Picochlorum_contig_108.g657.t1	bZIP
model.Picochlorum_contig_111.g391.t1	model.Picochlorum_contig_111.g391.t1	NF-YB
model.Picochlorum_contig_111.g399.t1	model.Picochlorum_contig_111.g399.t1	WRKY
model.Picochlorum_contig_111.g409.t1	model.Picochlorum_contig_111.g409.t1	Whirly
model.Picochlorum_contig_128.g670.t1	model.Picochlorum_contig_128.g670.t1	bZIP
model.Picochlorum_contig_128.g690.t1	model.Picochlorum_contig_128.g690.t1	CPP
model.Picochlorum_contig_135.g487.t1	model.Picochlorum_contig_135.g487.t1	CPP
model.Picochlorum_contig_146.g625.t1	model.Picochlorum_contig_146.g625.t1	bZIP
model.Picochlorum_contig_146.g655.t1	model.Picochlorum_contig_146.g655.t1	bZIP
model.Picochlorum_contig_152.g812.t1	model.Picochlorum_contig_152.g812.t1	GATA
model.Picochlorum_contig_15.g4.t1	model.Picochlorum_contig_15.g4.t1	SBP
model.Picochlorum_contig_169.g540.t1	model.Picochlorum_contig_169.g540.t1	bZIP
model.Picochlorum_contig_16.g127.t1	model.Picochlorum_contig_16.g127.t1	GATA
model.Picochlorum_contig_16.g153.t1	model.Picochlorum_contig_16.g153.t1	bZIP
model.Picochlorum_contig_16.g24.t1	model.Picochlorum_contig_16.g24.t1	E2F/DP
model.Picochlorum_contig_16.g98.t1	model.Picochlorum_contig_16.g98.t1	HSF
model.Picochlorum_contig_196.g913.t1	model.Picochlorum_contig_196.g913.t1	bZIP
model.Picochlorum_contig_197.g870.t1	model.Picochlorum_contig_197.g870.t1	bZIP
model.Picochlorum_contig_27.g81.t1	model.Picochlorum_contig_27.g81.t1	Nin-like
model.Picochlorum_contig_29.g74.t1	model.Picochlorum_contig_29.g74.t1	Nin-like
model.Picochlorum_contig_307.g946.t1	model.Picochlorum_contig_307.g946.t1	E2F/DP
model.Picochlorum_contig_34.g80.t1	model.Picochlorum_contig_34.g80.t1	CPP
model.Picochlorum_contig_43.g171.t1	model.Picochlorum_contig_43.g171.t1	E2F/DP
model.Picochlorum_contig_45.g418.t1	model.Picochlorum_contig_45.g418.t1	GATA
model.Picochlorum_contig_55.g202.t1	model.Picochlorum_contig_55.g202.t1	bZIP
model.Picochlorum_contig_56.g248.t1	model.Picochlorum_contig_56.g248.t1	GATA
model.Picochlorum_contig_58.g124.t1	model.Picochlorum_contig_58.g124.t1	bZIP
