TF_ID	Gene_ID	Family
XP_008243173.1	LOC103341437	RAV
XP_008230383.1	LOC103329663	RAV
XP_008243686.1	LOC103341918	RAV
XP_008238478.1	LOC103337104	RAV
XP_008242968.1	LOC103341253	RAV
NP_001280200.1	LOC103319795	NAC
XP_008218225.1	LOC103318603	GeBP
XP_008218226.1	LOC103318604	GeBP
XP_008218241.1	LOC103318619	Trihelix
XP_008218261.1	LOC103318637	bZIP
XP_008218265.1	LOC103318640	bHLH
XP_008218266.1	LOC103318640	bHLH
XP_008218281.1	LOC103318654	WRKY
XP_008218478.1	LOC103318819	FAR1
XP_008218499.1	LOC103318840	CPP
XP_008218544.1	LOC103318887	LBD
XP_008218619.1	LOC103318935	NAC
XP_008218634.1	LOC103318947	ZF-HD
XP_008218670.1	LOC103318971	FAR1
XP_008218751.1	LOC103319035	TCP
XP_008218757.1	LOC103319039	bZIP
XP_008218760.1	LOC103319043	NAC
XP_008218825.1	LOC103319105	WRKY
XP_008218853.1	LOC103319126	bZIP
XP_008218880.1	LOC103319148	NAC
XP_008219008.1	LOC103319275	bHLH
XP_008219184.1	LOC103319421	bHLH
XP_008219237.1	LOC103319473	GATA
XP_008219238.1	LOC103319474	GATA
XP_008219331.1	LOC103319555	bHLH
XP_008219358.1	LOC103319583	bHLH
XP_008219382.1	LOC103319603	ZF-HD
XP_008219477.1	LOC103319683	bZIP
XP_008219518.1	LOC103319715	FAR1
XP_008219733.2	LOC103319921	FAR1
XP_008219753.1	LOC103319941	GRAS
XP_008219951.1	LOC103320106	WRKY
XP_008219973.1	LOC103320122	Trihelix
XP_008219985.1	LOC103320133	bZIP
XP_008219992.1	LOC103320136	NAC
XP_008220055.1	LOC103320194	CPP
XP_008220089.1	LOC103320223	GATA
XP_008220233.1	LOC103320341	bZIP
XP_008220242.1	LOC103320349	HSF
XP_008220247.1	LOC103320353	NAC
XP_008220264.1	LOC103320368	WRKY
XP_008220265.1	LOC103320368	WRKY
XP_008220315.1	LOC103320413	LBD
XP_008220346.1	LOC103320441	bHLH
XP_008220363.1	LOC103320465	bHLH
XP_008220396.2	LOC103320491	bZIP
XP_008220406.1	LOC103320500	bHLH
XP_008220407.1	LOC103320500	bHLH
XP_008220408.1	LOC103320500	bHLH
XP_008220473.1	LOC103320554	GATA
XP_008220481.2	LOC103320563	LBD
XP_008220492.1	LOC103320570	HSF
XP_008220527.1	LOC103320597	WRKY
XP_008220528.1	LOC103320597	WRKY
XP_008220566.1	LOC103320636	Trihelix
XP_008220681.1	LOC103320740	WRKY
XP_008220682.1	LOC103320740	WRKY
XP_008220683.1	LOC103320741	WRKY
XP_008220719.1	LOC103320776	Dof
XP_008220756.1	LOC103320810	NAC
XP_008220760.1	LOC103320813	BES1
XP_008220812.1	LOC103320854	ZF-HD
XP_008220815.1	LOC103320854	ZF-HD
XP_008220816.1	LOC103320854	ZF-HD
XP_008220847.1	LOC103320882	bHLH
XP_008220848.1	LOC103320882	bHLH
XP_008220849.1	LOC103320882	bHLH
XP_008220898.1	LOC103320938	FAR1
XP_008220924.1	LOC103320962	HSF
XP_008221120.1	LOC103321129	NAC
XP_008221223.1	LOC103321213	bZIP
XP_008221306.1	LOC103321284	bZIP
XP_008221307.1	LOC103321285	BBR-BPC
XP_008221328.1	LOC103321307	SRS
XP_008221357.1	LOC103321334	bZIP
XP_008221374.1	LOC103321351	bHLH
XP_008221422.1	LOC103321409	GRAS
XP_008221511.1	LOC103321485	NAC
XP_008221512.1	LOC103321485	NAC
XP_008221513.1	LOC103321485	NAC
XP_008221514.1	LOC103321485	NAC
XP_008221515.1	LOC103321485	NAC
XP_008221525.1	LOC103321497	WRKY
XP_008221558.1	LOC103321524	WRKY
XP_008221592.1	LOC103321555	NAC
XP_008221604.1	LOC103321567	Dof
XP_008221618.1	LOC103321579	ZF-HD
XP_008221641.1	LOC103321595	TCP
XP_008221650.1	LOC103321604	bHLH
XP_008221651.1	LOC103321605	bHLH
XP_008221662.1	LOC103321615	Whirly
XP_008221663.1	LOC103321616	WRKY
XP_008221664.1	LOC103321616	WRKY
XP_008221713.1	LOC103321660	bHLH
XP_008221733.1	LOC103321686	NAC
XP_008221870.1	LOC103321810	bHLH
XP_008221876.1	LOC103321816	YABBY
XP_008222011.1	LOC103321938	GRAS
XP_008222025.1	LOC103321954	Trihelix
XP_008222027.1	LOC103321954	Trihelix
XP_008222186.1	LOC103322088	CAMTA
XP_008222193.1	LOC103322093	SBP
XP_008222194.1	LOC103322093	SBP
XP_008222197.1	LOC103322097	WRKY
XP_008222208.1	LOC103322105	TCP
XP_008222225.1	LOC103322121	NAC
XP_008222228.1	LOC103322124	NF-YC
XP_008222315.1	LOC103322204	bZIP
XP_008222316.1	LOC103322204	bZIP
XP_008222373.1	LOC103322248	GRAS
XP_008222385.1	LOC103322257	GRAS
XP_008222392.1	LOC103322263	Trihelix
XP_008222397.1	LOC103322265	GRAS
XP_008222403.1	LOC103322275	bHLH
XP_008222405.2	LOC103322274	GRAS
XP_008222411.1	LOC103322283	GRAS
XP_008222419.1	LOC103322293	GRAS
XP_008222476.1	LOC103322350	FAR1
XP_008222477.1	LOC103322351	FAR1
XP_008222480.1	LOC103322356	FAR1
XP_008222500.1	LOC103322369	bHLH
XP_008222502.1	LOC103322369	bHLH
XP_008222595.1	LOC103322460	bZIP
XP_008222661.1	LOC103322513	bHLH
XP_008222784.1	LOC103322636	bHLH
XP_008222805.1	LOC103322657	HSF
XP_008222984.1	LOC103322822	NF-YC
XP_008223038.1	LOC103322869	FAR1
XP_008223039.1	LOC103322869	FAR1
XP_008223082.1	LOC103322905	SBP
XP_008223133.1	LOC103322952	bHLH
XP_008223170.1	LOC103322992	NF-YB
XP_008223290.1	LOC103323108	GATA
XP_008223294.1	LOC103323112	FAR1
XP_008223308.1	LOC103323123	CAMTA
XP_008223309.1	LOC103323123	CAMTA
XP_008223344.1	LOC103323155	GRAS
XP_008223345.1	LOC103323156	GRAS
XP_008223383.1	LOC103323186	WRKY
XP_008223392.1	LOC103323191	Dof
XP_008223475.1	LOC103323267	CAMTA
XP_008223487.1	LOC103323281	SBP
XP_008223488.1	LOC103323282	SBP
XP_008223651.1	LOC103323433	NAC
XP_008223716.1	LOC103323499	NAC
XP_008223870.1	LOC103323643	bHLH
XP_008223917.1	LOC103323686	TCP
XP_008224242.1	LOC103323989	HSF
XP_008224266.1	LOC103324008	CPP
XP_008224267.1	LOC103324008	CPP
XP_008224269.1	LOC103324010	CPP
XP_008224372.1	LOC103324112	bHLH
XP_008224428.1	LOC103324163	bHLH
XP_008224493.1	LOC103324234	bHLH
XP_008224494.1	LOC103324234	bHLH
XP_008224631.1	LOC103324363	Trihelix
XP_008224633.1	LOC103324365	NF-YB
XP_008224697.1	LOC103324418	LBD
XP_008224752.1	LOC103324471	WRKY
XP_008224836.1	LOC103324540	Dof
XP_008224874.1	LOC103324583	bHLH
XP_008224893.1	LOC103324601	bHLH
XP_008224894.1	LOC103324601	bHLH
XP_008224896.1	LOC103324601	bHLH
XP_008224995.1	LOC103324674	NAC
XP_008225084.1	LOC103324754	HSF
XP_008225120.1	LOC103324790	Dof
XP_008225121.1	LOC103324791	Dof
XP_008225122.1	LOC103324792	SBP
XP_008225157.1	LOC103324823	NAC
XP_008225174.1	LOC103324840	bHLH
XP_008225215.1	LOC103324876	TCP
XP_008225223.1	LOC103324889	WRKY
XP_008225237.1	LOC103324903	HSF
XP_008225238.1	LOC103324904	BES1
XP_008225239.1	LOC103324904	BES1
XP_008225271.1	LOC103324936	bHLH
XP_008225286.1	LOC103324946	Dof
XP_008225356.1	LOC103325015	WRKY
XP_008225447.1	LOC103325095	LBD
XP_008225482.1	LOC103325121	NF-YC
XP_008225508.1	LOC103325148	TCP
XP_008225509.1	LOC103325148	TCP
XP_008225510.1	LOC103325148	TCP
XP_008225511.1	LOC103325148	TCP
XP_008225579.1	LOC103325213	LBD
XP_008225589.1	LOC103325224	BES1
XP_008225593.1	LOC103325228	NF-YA
XP_008225685.1	LOC103325306	WRKY
XP_008225724.1	LOC103325342	NAC
XP_008225730.1	LOC103325346	Trihelix
XP_008225750.1	LOC103325358	NAC
XP_008225757.1	LOC103325369	NAC
XP_008225759.1	LOC103325381	bHLH
XP_008225874.1	LOC103325484	FAR1
XP_008225875.1	LOC103325484	FAR1
XP_008225876.1	LOC103325484	FAR1
XP_008225877.1	LOC103325484	FAR1
XP_008225878.1	LOC103325484	FAR1
XP_008225879.1	LOC103325484	FAR1
XP_008225989.1	LOC103325579	NAC
XP_008226099.1	LOC103325696	LBD
XP_008226142.1	LOC103325736	NF-YC
XP_008226143.1	LOC103325737	GRAS
XP_008226279.1	LOC103325867	HSF
