TF_ID	Gene_ID	Family
GSBRNA2T00072242001	BnaA02g27630D	RAV
GSBRNA2T00108406001	BnaC02g35650D	RAV
GSBRNA2T00077984001	BnaA06g33420D	RAV
GSBRNA2T00139176001	BnaC07g22870D	RAV
GSBRNA2T00135275001	BnaC02g18650D	RAV
GSBRNA2T00026623001	BnaCnng04580D	RAV
GSBRNA2T00142419001	BnaC05g20560D	RAV
GSBRNA2T00090567001	BnaA09g28670D	RAV
GSBRNA2T00059936001	BnaA08g19490D	RAV
GSBRNA2T00082795001	BnaA02g14040D	RAV
GSBRNA2T00021143001	BnaA06g02760D	RAV
GSBRNA2T00023485001	BnaCnng33070D	RAV
GSBRNA2T00027433001	BnaAnng40580D	RAV
GSBRNA2T00105354001	BnaA06g07470D	RAV
GSBRNA2T00033750001	BnaCnng37790D	RAV
GSBRNA2T00063364001	BnaC06g03690D	RAV
GSBRNA2T00003011001	BnaC03g77730D	RAV
GSBRNA2T00085787001	BnaA08g02030D	RAV
GSBRNA2T00043362001	BnaA05g15500D	RAV
GSBRNA2T00043338001	BnaA05g15710D	RAV
GSBRNA2T00063329001	BnaC06g03910D	RAV
GSBRNA2T00021173001	BnaA06g02510D	RAV
GSBRNA2T00048280001	BnaC05g51390D	RAV
GSBRNA2T00029169001	BnaC06g04340D	RAV
GSBRNA2T00063330001	BnaC06g03900D	RAV
GSBRNA2T00021160001	BnaA06g02630D	RAV
GSBRNA2T00058893001	BnaC05g27060D	RAV
GSBRNA2T00000001001	BnaC09g12820D	bHLH
GSBRNA2T00000138001	BnaC09g12040D	Dof
GSBRNA2T00000204001	BnaA05g26790D	bZIP
GSBRNA2T00000334001	BnaA05g27870D	LBD
GSBRNA2T00000394001	BnaA05g28370D	NAC
GSBRNA2T00000453001	BnaC04g19430D	WRKY
GSBRNA2T00000580001	BnaC03g54890D	NAC
GSBRNA2T00000614001	BnaC03g54810D	bZIP
GSBRNA2T00000636001	BnaC03g54690D	E2F/DP
GSBRNA2T00000704001	BnaA06g24550D	bHLH
GSBRNA2T00000710001	BnaA06g24490D	Dof
GSBRNA2T00000768001	BnaA06g24140D	bZIP
GSBRNA2T00000783001	BnaA06g24030D	EIL
GSBRNA2T00000785001	BnaA06g24010D	bHLH
GSBRNA2T00000817001	BnaA06g23750D	WRKY
GSBRNA2T00000899001	BnaC08g11240D	WRKY
GSBRNA2T00000979001	BnaC08g11750D	ZF-HD
GSBRNA2T00001048001	BnaC01g31080D	bHLH
GSBRNA2T00001287001	BnaC08g10370D	WRKY
GSBRNA2T00001316001	BnaA02g05250D	EIL
GSBRNA2T00001356001	BnaA02g05540D	NAC
GSBRNA2T00001362001	BnaA02g05600D	NAC
GSBRNA2T00001377001	BnaA02g05730D	WRKY
GSBRNA2T00001472001	BnaA02g06470D	Dof
GSBRNA2T00001515001	BnaC03g62890D	HSF
GSBRNA2T00001799001	BnaA06g34140D	NAC
GSBRNA2T00001878001	BnaA06g34810D	GRAS
GSBRNA2T00001940001	BnaA06g35340D	NF-YB
GSBRNA2T00001941001	BnaA06g35350D	Trihelix
