TF_ID	Gene_ID	Family
Sopim04g007000.0.1	Sopim04g007000.0.1	RAV
Sopim05g009790.0.1	Sopim05g009790.0.1	RAV
Sopim03g083110.0.1	Sopim03g083110.0.1	RAV
Sopim00g012700.0.1	Sopim00g012700.0.1	FAR1
Sopim00g024680.0.1	Sopim00g024680.0.1	Dof
Sopim00g050430.0.1	Sopim00g050430.0.1	bHLH
Sopim00g084870.0.1	Sopim00g084870.0.1	TCP
Sopim00g107050.0.1	Sopim00g107050.0.1	NF-YC
Sopim00g117450.0.1	Sopim00g117450.0.1	SRS
Sopim00g154980.0.1	Sopim00g154980.0.1	EIL
Sopim00g217560.0.1	Sopim00g217560.0.1	TCP
Sopim00g255510.0.1	Sopim00g255510.0.1	NAC
Sopim00g270510.0.1	Sopim00g270510.0.1	NF-YB
Sopim01g006650.0.1	Sopim01g006650.0.1	EIL
Sopim01g006930.0.1	Sopim01g006930.0.1	NF-YA
Sopim01g007760.0.1	Sopim01g007760.0.1	E2F/DP
Sopim01g008230.0.1	Sopim01g008230.0.1	TCP
Sopim01g008490.0.1	Sopim01g008490.0.1	NF-YA
Sopim01g008730.0.1	Sopim01g008730.0.1	bZIP
Sopim01g008910.0.1	Sopim01g008910.0.1	GRAS
Sopim01g008980.0.1	Sopim01g008980.0.1	bZIP
Sopim01g009170.0.1	Sopim01g009170.0.1	EIL
Sopim01g009510.0.1	Sopim01g009510.0.1	bZIP
Sopim01g009840.0.1	Sopim01g009840.0.1	GRAS
Sopim01g009860.0.1	Sopim01g009860.0.1	NAC
Sopim01g010130.0.1	Sopim01g010130.0.1	bHLH
Sopim01g010240.0.1	Sopim01g010240.0.1	YABBY
Sopim01g014480.0.1	Sopim01g014480.0.1	EIL
Sopim01g014910.0.1	Sopim01g014910.0.1	bHLH
Sopim01g014960.0.1	Sopim01g014960.0.1	bHLH
Sopim01g014970.0.1	Sopim01g014970.0.1	ZF-HD
Sopim01g020170.0.1	Sopim01g020170.0.1	bHLH
Sopim01g021730.0.1	Sopim01g021730.0.1	NAC
Sopim01g044520.0.1	Sopim01g044520.0.1	LBD
Sopim01g057270.0.1	Sopim01g057270.0.1	CAMTA
Sopim01g057300.0.1	Sopim01g057300.0.1	bHLH
Sopim01g058540.0.1	Sopim01g058540.0.1	WRKY
Sopim01g059950.0.1	Sopim01g059950.0.1	GRAS
Sopim01g059960.0.1	Sopim01g059960.0.1	GRAS
Sopim01g060170.0.1	Sopim01g060170.0.1	CAMTA
Sopim01g060490.0.1	Sopim01g060490.0.1	GATA
Sopim01g065890.0.1	Sopim01g065890.0.1	Trihelix
Sopim01g065900.0.1	Sopim01g065900.0.1	Trihelix
Sopim01g067130.0.1	Sopim01g067130.0.1	NF-YB
Sopim01g068100.0.1	Sopim01g068100.0.1	SBP
Sopim01g079260.0.1	Sopim01g079260.0.1	WRKY
Sopim01g079360.0.1	Sopim01g079360.0.1	WRKY
Sopim01g079370.0.1	Sopim01g079370.0.1	GRAS
Sopim01g079380.0.1	Sopim01g079380.0.1	GRAS
Sopim01g079480.0.1	Sopim01g079480.0.1	bZIP
Sopim01g079870.0.1	Sopim01g079870.0.1	NF-YC
Sopim01g080050.0.1	Sopim01g080050.0.1	bHLH
Sopim01g080670.0.1	Sopim01g080670.0.1	SBP
Sopim01g081090.0.1	Sopim01g081090.0.1	bHLH
Sopim01g081100.0.1	Sopim01g081100.0.1	bHLH
Sopim01g086870.0.1	Sopim01g086870.0.1	bHLH
Sopim01g087240.0.1	Sopim01g087240.0.1	NF-YA
Sopim01g088820.0.1	Sopim01g088820.0.1	Trihelix
Sopim01g089960.0.1	Sopim01g089960.0.1	WRKY
Sopim01g090730.0.1	Sopim01g090730.0.1	SBP
Sopim01g090760.0.1	Sopim01g090760.0.1	GATA
Sopim01g090790.0.1	Sopim01g090790.0.1	bHLH
Sopim01g090950.0.1	Sopim01g090950.0.1	GRAS
Sopim01g091010.0.1	Sopim01g091010.0.1	YABBY
Sopim01g091400.0.1	Sopim01g091400.0.1	LBD
Sopim01g091420.0.1	Sopim01g091420.0.1	LBD
Sopim01g094490.0.1	Sopim01g094490.0.1	NAC
Sopim01g094580.0.1	Sopim01g094580.0.1	BES1
Sopim01g095100.0.1	Sopim01g095100.0.1	WRKY
Sopim01g095460.0.1	Sopim01g095460.0.1	bZIP
Sopim01g095630.0.1	Sopim01g095630.0.1	WRKY
Sopim01g096050.0.1	Sopim01g096050.0.1	bHLH
Sopim01g096120.0.1	Sopim01g096120.0.1	Dof
Sopim01g096370.0.1	Sopim01g096370.0.1	bHLH
Sopim01g096710.0.1	Sopim01g096710.0.1	NF-YC
Sopim01g096810.0.1	Sopim01g096810.0.1	EIL
Sopim01g096850.0.1	Sopim01g096850.0.1	FAR1
Sopim01g097330.0.1	Sopim01g097330.0.1	bZIP
Sopim01g097890.0.1	Sopim01g097890.0.1	GeBP
Sopim01g098220.0.1	Sopim01g098220.0.1	LBD
Sopim01g098720.0.1	Sopim01g098720.0.1	bHLH
Sopim01g099320.0.1	Sopim01g099320.0.1	NF-YB
Sopim01g100200.0.1	Sopim01g100200.0.1	GRAS
Sopim01g100220.0.1	Sopim01g100220.0.1	GATA
Sopim01g100460.0.1	Sopim01g100460.0.1	bZIP
Sopim01g102300.0.1	Sopim01g102300.0.1	bHLH
Sopim01g102740.0.1	Sopim01g102740.0.1	NAC
Sopim01g102980.0.1	Sopim01g102980.0.1	ZF-HD
Sopim01g103180.0.1	Sopim01g103180.0.1	FAR1
Sopim01g103780.0.1	Sopim01g103780.0.1	TCP
Sopim01g103820.0.1	Sopim01g103820.0.1	ZF-HD
Sopim01g103830.0.1	Sopim01g103830.0.1	ZF-HD
Sopim01g103840.0.1	Sopim01g103840.0.1	ZF-HD
Sopim01g104550.0.1	Sopim01g104550.0.1	WRKY
Sopim01g104650.0.1	Sopim01g104650.0.1	bZIP
Sopim01g104760.0.1	Sopim01g104760.0.1	Trihelix
