TF_ID	Gene_ID	Family
SMil_00005319-RA_Salv	SMil_00005319-RA_Salv	RAV
SMil_00025905-RA_Salv	SMil_00025905-RA_Salv	RAV
SMil_00001360-RA_Salv	SMil_00001360-RA_Salv	RAV
SMil_00014719-RA_Salv	SMil_00014719-RA_Salv	RAV
SMil_00000011-RA_Salv	SMil_00000011-RA_Salv	Dof
SMil_00000072-RA_Salv	SMil_00000072-RA_Salv	FAR1
SMil_00000082-RA_Salv	SMil_00000082-RA_Salv	Trihelix
SMil_00000085-RA_Salv	SMil_00000085-RA_Salv	LBD
SMil_00000123-RA_Salv	SMil_00000123-RA_Salv	WRKY
SMil_00000198-RA_Salv	SMil_00000198-RA_Salv	HSF
SMil_00000233-RA_Salv	SMil_00000233-RA_Salv	bZIP
SMil_00000281-RA_Salv	SMil_00000281-RA_Salv	bHLH
SMil_00000283-RA_Salv	SMil_00000283-RA_Salv	SBP
SMil_00000331-RA_Salv	SMil_00000331-RA_Salv	GATA
SMil_00000347-RA_Salv	SMil_00000347-RA_Salv	LBD
SMil_00000353-RA_Salv	SMil_00000353-RA_Salv	bHLH
SMil_00000430-RA_Salv	SMil_00000430-RA_Salv	GRAS
SMil_00000447-RA_Salv	SMil_00000447-RA_Salv	WRKY
SMil_00000453-RA_Salv	SMil_00000453-RA_Salv	Nin-like
SMil_00000667-RA_Salv	SMil_00000667-RA_Salv	WRKY
SMil_00000702-RA_Salv	SMil_00000702-RA_Salv	LBD
SMil_00000740-RA_Salv	SMil_00000740-RA_Salv	SBP
SMil_00000751-RA_Salv	SMil_00000751-RA_Salv	GRAS
SMil_00000807-RA_Salv	SMil_00000807-RA_Salv	HSF
SMil_00000843-RA_Salv	SMil_00000843-RA_Salv	GATA
SMil_00000852-RA_Salv	SMil_00000852-RA_Salv	NF-YA
SMil_00000860-RA_Salv	SMil_00000860-RA_Salv	NAC
SMil_00000861-RA_Salv	SMil_00000861-RA_Salv	NAC
SMil_00000944-RA_Salv	SMil_00000944-RA_Salv	NF-YC
