TF_ID	Gene_ID	Family
KXZ41283.1	GPECTOR_580g633	Nin-like
KXZ41330.1	GPECTOR_547g557	SBP
KXZ41420.1	GPECTOR_478g411	bZIP
KXZ41543.1	GPECTOR_402g235	Nin-like
KXZ41629.1	GPECTOR_354g111	CPP
KXZ41653.1	GPECTOR_340g76	bHLH
KXZ41683.1	GPECTOR_322g32	SBP
KXZ41745.1	GPECTOR_297g802	Nin-like
KXZ41746.1	GPECTOR_297g803	Nin-like
KXZ41787.1	GPECTOR_283g751	SBP
KXZ42539.1	GPECTOR_137g646	GATA
KXZ42695.1	GPECTOR_124g495	GATA
KXZ43041.1	GPECTOR_106g135	bHLH
KXZ43161.1	GPECTOR_99g796	bZIP
KXZ43269.1	GPECTOR_96g735	NF-YC
KXZ43584.1	GPECTOR_86g377	SBP
KXZ43590.1	GPECTOR_86g383	bZIP
KXZ44247.1	GPECTOR_70g477	SBP
KXZ44281.1	GPECTOR_70g512	NF-YC
KXZ44322.1	GPECTOR_69g415	Whirly
KXZ44993.1	GPECTOR_60g772	NF-YB
KXZ45304.1	GPECTOR_56g400	GATA
KXZ45365.1	GPECTOR_55g271	bZIP
KXZ45710.1	GPECTOR_51g696	bZIP
KXZ45840.1	GPECTOR_50g634	SBP
KXZ46292.1	GPECTOR_45g162	SBP
KXZ47019.1	GPECTOR_38g256	bZIP
KXZ47614.1	GPECTOR_34g773	SBP
KXZ47700.1	GPECTOR_33g582	bZIP
KXZ47943.1	GPECTOR_31g305	WRKY
KXZ48165.1	GPECTOR_30g261	GATA
KXZ48251.1	GPECTOR_29g30	SBP
KXZ48256.1	GPECTOR_29g35	SBP
KXZ48431.1	GPECTOR_28g841	bHLH
KXZ48608.1	GPECTOR_26g511	NF-YC
KXZ48641.1	GPECTOR_26g544	Trihelix
KXZ48880.1	GPECTOR_24g169	GATA
KXZ48881.1	GPECTOR_24g170	GATA
KXZ48991.1	GPECTOR_24g281	SBP
KXZ49024.1	GPECTOR_23g112	Nin-like
KXZ49173.1	GPECTOR_22E2FR	E2F/DP
KXZ50272.1	GPECTOR_17g911	SBP
KXZ50420.1	GPECTOR_16g594	SBP
KXZ50813.1	GPECTOR_15g499	bZIP
KXZ51490.1	GPECTOR_12g453	SBP
KXZ51715.1	GPECTOR_11g163	GATA
KXZ52496.1	GPECTOR_9g540	bHLH
KXZ52497.1	GPECTOR_9g541	bHLH
KXZ52666.1	GPECTOR_9g712	bZIP
KXZ52853.1	GPECTOR_8g235	Dof
KXZ53060.1	GPECTOR_8g54	NF-YB
KXZ53602.1	GPECTOR_6g519	Nin-like
KXZ53884.1	GPECTOR_6g802	CPP
KXZ54259.1	GPECTOR_5g349	HSF
KXZ54384.1	GPECTOR_5g462	SBP
KXZ54511.1	GPECTOR_4g576	bZIP
KXZ54643.1	GPECTOR_4g709	SBP
KXZ54686.1	GPECTOR_4g753	NF-YB
KXZ54938.1	GPECTOR_3g108	E2F/DP
KXZ54977.1	GPECTOR_3g143	bZIP
KXZ54995.1	GPECTOR_3g16	SBP
KXZ55347.1	GPECTOR_3g478	SBP
KXZ55451.1	GPECTOR_2g1000	SBP
KXZ56258.1	GPECTOR_1g225	bZIP
KXZ56291.1	GPECTOR_1g256	E2F/DP
KXZ56344.1	GPECTOR_1g304	SBP
KXZ56411.1	GPECTOR_1g366	NF-X1
KXZ56731.1	GPECTOR_1g659	Nin-like
KXZ56868.1	GPECTOR_1g783	Nin-like
KXZ57088.1	GPECTOR_5000MID	Nin-like
KXZ43735.1	GPECTOR_81g183	B3
KXZ46020.1	GPECTOR_48g453	B3
KXZ46408.1	GPECTOR_44g82	AP2
KXZ47075.1	GPECTOR_38g312	AP2
KXZ55493.1	GPECTOR_2g1042	AP2
KXZ42025.1	GPECTOR_220g473	ERF
KXZ42308.1	GPECTOR_164g150	ERF
KXZ44968.1	GPECTOR_60g746	ERF
KXZ47731.1	GPECTOR_33g613	ERF
KXZ49815.1	GPECTOR_19g266	ERF
KXZ50939.1	GPECTOR_14g186	ERF
KXZ52460.1	GPECTOR_9g504	ERF
