TF_ID	Gene_ID	Family
Sphfalx0038s0028.1.p	Sphfalx0038s0028	RAV
Sphfalx0097s0090.1.p	Sphfalx0097s0090	RAV
Sphfalx0043s0135.1.p	Sphfalx0043s0135	RAV
Sphfalx0000s0005.1.p	Sphfalx0000s0005	E2F/DP
Sphfalx0000s0005.2.p	Sphfalx0000s0005	E2F/DP
Sphfalx0000s0074.1.p	Sphfalx0000s0074	WRKY
Sphfalx0000s0256.1.p	Sphfalx0000s0256	bHLH
Sphfalx0000s0256.2.p	Sphfalx0000s0256	bHLH
Sphfalx0000s0256.3.p	Sphfalx0000s0256	bHLH
Sphfalx0000s0256.4.p	Sphfalx0000s0256	bHLH
Sphfalx0000s0278.1.p	Sphfalx0000s0278	CAMTA
Sphfalx0000s0278.2.p	Sphfalx0000s0278	CAMTA
Sphfalx0000s0307.1.p	Sphfalx0000s0307	bHLH
Sphfalx0000s0358.1.p	Sphfalx0000s0358	bHLH
Sphfalx0000s0391.1.p	Sphfalx0000s0391	GRAS
Sphfalx0000s0457.1.p	Sphfalx0000s0457	GATA
Sphfalx0000s0522.1.p	Sphfalx0000s0522	NAC
Sphfalx0000s0571.1.p	Sphfalx0000s0571	bHLH
Sphfalx0000s0603.1.p	Sphfalx0000s0603	GRAS
Sphfalx0000s0632.1.p	Sphfalx0000s0632	GRAS
Sphfalx0000s0634.1.p	Sphfalx0000s0634	CAMTA
Sphfalx0000s0634.2.p	Sphfalx0000s0634	CAMTA
Sphfalx0000s0708.1.p	Sphfalx0000s0708	SBP
Sphfalx0000s0777.1.p	Sphfalx0000s0777	bHLH
Sphfalx0001s0040.1.p	Sphfalx0001s0040	bHLH
Sphfalx0001s0072.1.p	Sphfalx0001s0072	LBD
Sphfalx0001s0072.2.p	Sphfalx0001s0072	LBD
Sphfalx0001s0101.1.p	Sphfalx0001s0101	bZIP
Sphfalx0001s0101.2.p	Sphfalx0001s0101	bZIP
Sphfalx0001s0120.1.p	Sphfalx0001s0120	SBP
Sphfalx0001s0121.1.p	Sphfalx0001s0121	SBP
Sphfalx0001s0121.2.p	Sphfalx0001s0121	SBP
Sphfalx0001s0121.3.p	Sphfalx0001s0121	SBP
Sphfalx0001s0121.4.p	Sphfalx0001s0121	SBP
Sphfalx0001s0192.1.p	Sphfalx0001s0192	Trihelix
Sphfalx0001s0192.2.p	Sphfalx0001s0192	Trihelix
Sphfalx0001s0192.3.p	Sphfalx0001s0192	Trihelix
Sphfalx0001s0192.4.p	Sphfalx0001s0192	Trihelix
Sphfalx0001s0194.1.p	Sphfalx0001s0194	bHLH
Sphfalx0001s0238.1.p	Sphfalx0001s0238	WRKY
Sphfalx0001s0248.1.p	Sphfalx0001s0248	bHLH
Sphfalx0001s0305.1.p	Sphfalx0001s0305	GRAS
Sphfalx0001s0307.1.p	Sphfalx0001s0307	GRAS
Sphfalx0001s0374.1.p	Sphfalx0001s0374	Trihelix
Sphfalx0001s0378.1.p	Sphfalx0001s0378	BES1
Sphfalx0001s0381.1.p	Sphfalx0001s0381	TCP
Sphfalx0001s0394.1.p	Sphfalx0001s0394	WRKY
Sphfalx0001s0405.1.p	Sphfalx0001s0405	GRAS
Sphfalx0001s0409.1.p	Sphfalx0001s0409	GRAS
Sphfalx0002s0005.1.p	Sphfalx0002s0005	bHLH
Sphfalx0002s0057.1.p	Sphfalx0002s0057	NAC
Sphfalx0002s0095.1.p	Sphfalx0002s0095	bHLH
Sphfalx0002s0146.1.p	Sphfalx0002s0146	BES1
Sphfalx0002s0318.1.p	Sphfalx0002s0318	bZIP
Sphfalx0002s0451.1.p	Sphfalx0002s0451	bHLH
Sphfalx0003s0019.1.p	Sphfalx0003s0019	Trihelix
Sphfalx0003s0024.1.p	Sphfalx0003s0024	HSF
Sphfalx0003s0024.2.p	Sphfalx0003s0024	HSF
Sphfalx0003s0035.1.p	Sphfalx0003s0035	Trihelix
Sphfalx0003s0052.1.p	Sphfalx0003s0052	bHLH
Sphfalx0003s0052.2.p	Sphfalx0003s0052	bHLH
Sphfalx0003s0080.1.p	Sphfalx0003s0080	GRAS
Sphfalx0003s0115.1.p	Sphfalx0003s0115	Dof
Sphfalx0003s0214.1.p	Sphfalx0003s0214	bZIP
Sphfalx0003s0295.1.p	Sphfalx0003s0295	Trihelix
Sphfalx0003s0367.1.p	Sphfalx0003s0367	bZIP
Sphfalx0003s0367.2.p	Sphfalx0003s0367	bZIP
Sphfalx0004s0020.1.p	Sphfalx0004s0020	LBD
Sphfalx0004s0025.1.p	Sphfalx0004s0025	HSF
Sphfalx0004s0025.2.p	Sphfalx0004s0025	HSF
Sphfalx0004s0083.1.p	Sphfalx0004s0083	SBP
Sphfalx0004s0083.2.p	Sphfalx0004s0083	SBP
Sphfalx0004s0225.1.p	Sphfalx0004s0225	BES1
Sphfalx0004s0331.1.p	Sphfalx0004s0331	LBD
Sphfalx0004s0331.2.p	Sphfalx0004s0331	LBD
Sphfalx0004s0331.3.p	Sphfalx0004s0331	LBD
Sphfalx0004s0385.1.p	Sphfalx0004s0385	Trihelix
Sphfalx0005s0024.1.p	Sphfalx0005s0024	Nin-like
Sphfalx0005s0047.1.p	Sphfalx0005s0047	bHLH
Sphfalx0005s0047.2.p	Sphfalx0005s0047	bHLH
Sphfalx0005s0159.1.p	Sphfalx0005s0159	NF-YC
Sphfalx0005s0217.1.p	Sphfalx0005s0217	BBR-BPC
Sphfalx0005s0290.1.p	Sphfalx0005s0290	CPP
Sphfalx0005s0290.2.p	Sphfalx0005s0290	CPP
Sphfalx0005s0313.1.p	Sphfalx0005s0313	bHLH
Sphfalx0006s0098.1.p	Sphfalx0006s0098	GATA
Sphfalx0006s0122.1.p	Sphfalx0006s0122	GRAS
Sphfalx0006s0291.1.p	Sphfalx0006s0291	SBP
Sphfalx0006s0303.1.p	Sphfalx0006s0303	EIL
Sphfalx0006s0348.1.p	Sphfalx0006s0348	LBD
Sphfalx0006s0348.2.p	Sphfalx0006s0348	LBD
Sphfalx0006s0384.1.p	Sphfalx0006s0384	LFY
Sphfalx0007s0025.1.p	Sphfalx0007s0025	GRAS
Sphfalx0007s0064.1.p	Sphfalx0007s0064	bHLH
Sphfalx0007s0142.1.p	Sphfalx0007s0142	bHLH
Sphfalx0007s0142.2.p	Sphfalx0007s0142	bHLH
Sphfalx0007s0146.1.p	Sphfalx0007s0146	LBD
Sphfalx0007s0151.1.p	Sphfalx0007s0151	LFY
Sphfalx0007s0153.1.p	Sphfalx0007s0153	LFY
Sphfalx0007s0206.1.p	Sphfalx0007s0206	CPP
Sphfalx0007s0223.1.p	Sphfalx0007s0223	Trihelix
Sphfalx0007s0289.1.p	Sphfalx0007s0289	Trihelix
Sphfalx0007s0289.2.p	Sphfalx0007s0289	Trihelix
Sphfalx0007s0297.1.p	Sphfalx0007s0297	bHLH
Sphfalx0008s0020.1.p	Sphfalx0008s0020	Nin-like
Sphfalx0008s0020.2.p	Sphfalx0008s0020	Nin-like
Sphfalx0008s0027.1.p	Sphfalx0008s0027	HSF
Sphfalx0008s0027.2.p	Sphfalx0008s0027	HSF
Sphfalx0008s0056.1.p	Sphfalx0008s0056	LBD
Sphfalx0008s0163.1.p	Sphfalx0008s0163	Trihelix
Sphfalx0008s0232.1.p	Sphfalx0008s0232	GRAS
Sphfalx0008s0232.2.p	Sphfalx0008s0232	GRAS
Sphfalx0009s0039.1.p	Sphfalx0009s0039	bHLH
Sphfalx0009s0154.1.p	Sphfalx0009s0154	GRAS
Sphfalx0009s0188.1.p	Sphfalx0009s0188	Trihelix
Sphfalx0009s0278.1.p	Sphfalx0009s0278	bHLH
Sphfalx0010s0029.1.p	Sphfalx0010s0029	BES1
Sphfalx0010s0033.1.p	Sphfalx0010s0033	LBD
Sphfalx0010s0041.1.p	Sphfalx0010s0041	GATA
Sphfalx0010s0068.1.p	Sphfalx0010s0068	NF-YB
Sphfalx0010s0133.1.p	Sphfalx0010s0133	WRKY
Sphfalx0011s0019.1.p	Sphfalx0011s0019	LFY
Sphfalx0011s0027.1.p	Sphfalx0011s0027	GATA
Sphfalx0011s0027.2.p	Sphfalx0011s0027	GATA
Sphfalx0011s0074.1.p	Sphfalx0011s0074	bHLH
Sphfalx0011s0091.1.p	Sphfalx0011s0091	WRKY
Sphfalx0011s0144.1.p	Sphfalx0011s0144	WRKY
Sphfalx0011s0156.1.p	Sphfalx0011s0156	NAC
Sphfalx0011s0159.1.p	Sphfalx0011s0159	LFY
Sphfalx0012s0027.1.p	Sphfalx0012s0027	GRAS
Sphfalx0012s0115.1.p	Sphfalx0012s0115	bHLH
Sphfalx0012s0116.1.p	Sphfalx0012s0116	NAC
Sphfalx0012s0241.1.p	Sphfalx0012s0241	Trihelix
Sphfalx0013s0055.1.p	Sphfalx0013s0055	NAC
Sphfalx0013s0055.2.p	Sphfalx0013s0055	NAC
Sphfalx0013s0055.3.p	Sphfalx0013s0055	NAC
Sphfalx0013s0065.1.p	Sphfalx0013s0065	GATA
Sphfalx0013s0065.2.p	Sphfalx0013s0065	GATA
Sphfalx0013s0065.3.p	Sphfalx0013s0065	GATA
Sphfalx0013s0065.4.p	Sphfalx0013s0065	GATA
Sphfalx0013s0097.1.p	Sphfalx0013s0097	GRAS
Sphfalx0013s0098.1.p	Sphfalx0013s0098	NAC
Sphfalx0013s0219.1.p	Sphfalx0013s0219	bZIP
Sphfalx0013s0294.1.p	Sphfalx0013s0294	bHLH
Sphfalx0014s0052.1.p	Sphfalx0014s0052	Trihelix
Sphfalx0014s0052.2.p	Sphfalx0014s0052	Trihelix
Sphfalx0014s0086.1.p	Sphfalx0014s0086	Trihelix
Sphfalx0015s0086.1.p	Sphfalx0015s0086	SRS
Sphfalx0016s0071.1.p	Sphfalx0016s0071	bZIP
Sphfalx0016s0248.1.p	Sphfalx0016s0248	Trihelix
Sphfalx0017s0092.1.p	Sphfalx0017s0092	Nin-like
Sphfalx0017s0103.1.p	Sphfalx0017s0103	Dof
Sphfalx0017s0142.1.p	Sphfalx0017s0142	bHLH
Sphfalx0017s0149.1.p	Sphfalx0017s0149	bZIP
Sphfalx0017s0190.1.p	Sphfalx0017s0190	NAC
Sphfalx0017s0203.1.p	Sphfalx0017s0203	NAC
Sphfalx0017s0203.2.p	Sphfalx0017s0203	NAC
Sphfalx0018s0006.1.p	Sphfalx0018s0006	Trihelix
Sphfalx0018s0006.2.p	Sphfalx0018s0006	Trihelix
Sphfalx0018s0105.1.p	Sphfalx0018s0105	ZF-HD
Sphfalx0018s0105.2.p	Sphfalx0018s0105	ZF-HD
Sphfalx0018s0105.3.p	Sphfalx0018s0105	ZF-HD
Sphfalx0018s0105.4.p	Sphfalx0018s0105	ZF-HD
Sphfalx0018s0105.5.p	Sphfalx0018s0105	ZF-HD
Sphfalx0018s0169.1.p	Sphfalx0018s0169	bHLH
Sphfalx0018s0192.1.p	Sphfalx0018s0192	SBP
Sphfalx0018s0230.1.p	Sphfalx0018s0230	E2F/DP
Sphfalx0019s0042.1.p	Sphfalx0019s0042	GRAS
Sphfalx0019s0088.1.p	Sphfalx0019s0088	Trihelix
Sphfalx0019s0088.2.p	Sphfalx0019s0088	Trihelix
Sphfalx0019s0088.3.p	Sphfalx0019s0088	Trihelix
Sphfalx0019s0092.1.p	Sphfalx0019s0092	bHLH
Sphfalx0020s0065.1.p	Sphfalx0020s0065	Dof
Sphfalx0020s0076.1.p	Sphfalx0020s0076	Trihelix
Sphfalx0020s0089.1.p	Sphfalx0020s0089	bHLH
Sphfalx0020s0119.1.p	Sphfalx0020s0119	bHLH
Sphfalx0020s0119.2.p	Sphfalx0020s0119	bHLH
Sphfalx0020s0242.1.p	Sphfalx0020s0242	Trihelix
Sphfalx0020s0242.2.p	Sphfalx0020s0242	Trihelix
Sphfalx0020s0252.1.p	Sphfalx0020s0252	Trihelix
Sphfalx0021s0035.1.p	Sphfalx0021s0035	bHLH
Sphfalx0021s0040.1.p	Sphfalx0021s0040	BBR-BPC
Sphfalx0022s0081.10.p	Sphfalx0022s0081	bHLH
Sphfalx0022s0081.1.p	Sphfalx0022s0081	bHLH
Sphfalx0022s0081.2.p	Sphfalx0022s0081	bHLH
Sphfalx0022s0081.3.p	Sphfalx0022s0081	bHLH
Sphfalx0022s0081.4.p	Sphfalx0022s0081	bHLH
Sphfalx0022s0081.5.p	Sphfalx0022s0081	bHLH
Sphfalx0022s0081.6.p	Sphfalx0022s0081	bHLH
Sphfalx0022s0081.7.p	Sphfalx0022s0081	bHLH
Sphfalx0022s0081.8.p	Sphfalx0022s0081	bHLH
Sphfalx0022s0081.9.p	Sphfalx0022s0081	bHLH
Sphfalx0023s0010.1.p	Sphfalx0023s0010	SBP
Sphfalx0023s0010.2.p	Sphfalx0023s0010	SBP
Sphfalx0023s0032.1.p	Sphfalx0023s0032	Trihelix
Sphfalx0023s0041.1.p	Sphfalx0023s0041	bHLH
Sphfalx0023s0100.1.p	Sphfalx0023s0100	LBD
Sphfalx0023s0100.2.p	Sphfalx0023s0100	LBD
Sphfalx0023s0122.1.p	Sphfalx0023s0122	TCP
Sphfalx0023s0146.1.p	Sphfalx0023s0146	WRKY
Sphfalx0023s0153.1.p	Sphfalx0023s0153	bHLH
Sphfalx0023s0179.1.p	Sphfalx0023s0179	bHLH
Sphfalx0023s0191.1.p	Sphfalx0023s0191	GRAS
Sphfalx0024s0013.1.p	Sphfalx0024s0013	GATA
Sphfalx0024s0130.1.p	Sphfalx0024s0130	NAC
Sphfalx0024s0140.1.p	Sphfalx0024s0140	Trihelix
Sphfalx0025s0032.1.p	Sphfalx0025s0032	bZIP
Sphfalx0025s0145.1.p	Sphfalx0025s0145	WRKY
Sphfalx0026s0046.1.p	Sphfalx0026s0046	bHLH
