TF_ID	Gene_ID	Family
evm.model.supercontig_46.140	evm.TU.supercontig_46.140	RAV
evm.TU.contig_32277.1	evm.TU.contig_32277	RAV
evm.model.supercontig_100.3	evm.TU.supercontig_100.3	bZIP
evm.model.supercontig_1007.4	evm.TU.supercontig_1007.4	Whirly
evm.model.supercontig_1018.1	evm.TU.supercontig_1018.1	GRAS
evm.model.supercontig_1024.1	evm.TU.supercontig_1024.1	bHLH
evm.model.supercontig_10.25	evm.TU.supercontig_10.25	NAC
evm.model.supercontig_103.34	evm.TU.supercontig_103.34	YABBY
evm.model.supercontig_103.60	evm.TU.supercontig_103.60	EIL
evm.model.supercontig_104.22	evm.TU.supercontig_104.22	Dof
evm.model.supercontig_104.5	evm.TU.supercontig_104.5	YABBY
evm.model.supercontig_104.59	evm.TU.supercontig_104.59	E2F/DP
evm.model.supercontig_104.84	evm.TU.supercontig_104.84	TCP
evm.model.supercontig_104.9	evm.TU.supercontig_104.9	NF-YA
evm.model.supercontig_104.98	evm.TU.supercontig_104.98	NAC
evm.model.supercontig_106.57	evm.TU.supercontig_106.57	bHLH
evm.model.supercontig_106.63	evm.TU.supercontig_106.63	LBD
evm.model.supercontig_106.80	evm.TU.supercontig_106.80	NAC
evm.model.supercontig_107.128	evm.TU.supercontig_107.128	WRKY
evm.model.supercontig_107.20	evm.TU.supercontig_107.20	FAR1
evm.model.supercontig_107.31	evm.TU.supercontig_107.31	HSF
evm.model.supercontig_10.75	evm.TU.supercontig_10.75	WRKY
evm.model.supercontig_1076.1	evm.TU.supercontig_1076.1	ZF-HD
evm.model.supercontig_107.91	evm.TU.supercontig_107.91	GRAS
evm.model.supercontig_108.62	evm.TU.supercontig_108.62	LBD
evm.model.supercontig_110.17	evm.TU.supercontig_110.17	LBD
evm.model.supercontig_1.104	evm.TU.supercontig_1.104	WRKY
evm.model.supercontig_1.108	evm.TU.supercontig_1.108	NAC
evm.model.supercontig_111.11	evm.TU.supercontig_111.11	Dof
evm.model.supercontig_111.22	evm.TU.supercontig_111.22	NAC
evm.model.supercontig_11.127	evm.TU.supercontig_11.127	Trihelix
evm.model.supercontig_1117.2	evm.TU.supercontig_1117.2	Dof
evm.model.supercontig_113.19	evm.TU.supercontig_113.19	NAC
evm.model.supercontig_113.2	evm.TU.supercontig_113.2	FAR1
evm.model.supercontig_113.36	evm.TU.supercontig_113.36	NAC
evm.model.supercontig_1.141	evm.TU.supercontig_1.141	NAC
evm.model.supercontig_1141.2	evm.TU.supercontig_1141.2	SBP
evm.model.supercontig_114.51	evm.TU.supercontig_114.51	NF-YB
evm.model.supercontig_114.62	evm.TU.supercontig_114.62	WRKY
evm.model.supercontig_11.52	evm.TU.supercontig_11.52	NAC
evm.model.supercontig_115.71	evm.TU.supercontig_115.71	bHLH
evm.model.supercontig_115.9	evm.TU.supercontig_115.9	bZIP
evm.model.supercontig_116.43	evm.TU.supercontig_116.43	GRAS
evm.model.supercontig_116.48	evm.TU.supercontig_116.48	GeBP
evm.model.supercontig_11.70	evm.TU.supercontig_11.70	WRKY
evm.model.supercontig_1.175	evm.TU.supercontig_1.175	bHLH
evm.model.supercontig_1175.1	evm.TU.supercontig_1175.1	bHLH
evm.model.supercontig_117.75	evm.TU.supercontig_117.75	Trihelix
evm.model.supercontig_117.94	evm.TU.supercontig_117.94	bHLH
evm.model.supercontig_118.26	evm.TU.supercontig_118.26	NAC
evm.model.supercontig_1195.2	evm.TU.supercontig_1195.2	WRKY
evm.model.supercontig_1.202	evm.TU.supercontig_1.202	bZIP
evm.model.supercontig_120.27	evm.TU.supercontig_120.27	bHLH
evm.model.supercontig_120.45	evm.TU.supercontig_120.45	GRAS
evm.model.supercontig_12.1	evm.TU.supercontig_12.1	bHLH
evm.model.supercontig_1213.3	evm.TU.supercontig_1213.3	bHLH
