TF_ID	Gene_ID	Family
Spipo18G0031000	Spipo18G0031000	RAV
Spipo0G0165900	Spipo0G0165900	RAV
Spipo0G0001900	Spipo0G0001900	NAC
Spipo0G0008800	Spipo0G0008800	Trihelix
Spipo0G0008900	Spipo0G0008900	Trihelix
Spipo0G0013100	Spipo0G0013100	FAR1
Spipo0G0013200	Spipo0G0013200	FAR1
Spipo0G0014000	Spipo0G0014000	BES1
Spipo0G0019400	Spipo0G0019400	ZF-HD
Spipo0G0041200	Spipo0G0041200	NAC
Spipo0G0041900	Spipo0G0041900	LBD
Spipo0G0042400	Spipo0G0042400	HSF
Spipo0G0043400	Spipo0G0043400	GATA
Spipo0G0045800	Spipo0G0045800	Whirly
Spipo0G0047400	Spipo0G0047400	NF-YC
Spipo0G0050200	Spipo0G0050200	NAC
Spipo0G0052100	Spipo0G0052100	Dof
Spipo0G0052500	Spipo0G0052500	Nin-like
Spipo0G0053000	Spipo0G0053000	NAC
Spipo0G0053500	Spipo0G0053500	ZF-HD
Spipo0G0055600	Spipo0G0055600	bHLH
Spipo0G0060600	Spipo0G0060600	GATA
Spipo0G0060800	Spipo0G0060800	GATA
Spipo0G0076300	Spipo0G0076300	NAC
Spipo0G0077100	Spipo0G0077100	NAC
Spipo0G0078600	Spipo0G0078600	bZIP
Spipo0G0083000	Spipo0G0083000	Trihelix
Spipo0G0086100	Spipo0G0086100	Trihelix
Spipo0G0088700	Spipo0G0088700	NAC
Spipo0G0092800	Spipo0G0092800	NAC
Spipo0G0093000	Spipo0G0093000	NAC
Spipo0G0095000	Spipo0G0095000	HSF
Spipo0G0098500	Spipo0G0098500	YABBY
Spipo0G0100800	Spipo0G0100800	WRKY
Spipo0G0104700	Spipo0G0104700	Trihelix
Spipo0G0105000	Spipo0G0105000	NF-YC
Spipo0G0106000	Spipo0G0106000	EIL
Spipo0G0106900	Spipo0G0106900	bHLH
Spipo0G0110800	Spipo0G0110800	NAC
Spipo0G0112300	Spipo0G0112300	NAC
Spipo0G0118200	Spipo0G0118200	TCP
Spipo0G0119700	Spipo0G0119700	bHLH
Spipo0G0119800	Spipo0G0119800	bHLH
