TF_ID	Gene_ID	Family
e_gw1.12.292.1	e_gw1.12.292.1	WRKY
e_gw1.25.168.1	e_gw1.25.168.1	SBP
e_gw1.2.707.1	e_gw1.2.707.1	SBP
e_gw1.27.75.1	e_gw1.27.75.1	Nin-like
e_gw1.34.51.1	e_gw1.34.51.1	SBP
estExt_fgenesh3_pg.C_130036	estExt_fgenesh3_pg.C_130036	SBP
estExt_fgenesh3_pg.C_130070	estExt_fgenesh3_pg.C_130070	SBP
estExt_fgenesh3_pg.C_20344	estExt_fgenesh3_pg.C_20344	NF-YC
estExt_fgenesh3_pg.C_300018	estExt_fgenesh3_pg.C_300018	SBP
estExt_fgenesh3_pg.C_40020	estExt_fgenesh3_pg.C_40020	SBP
estExt_fgenesh3_pg.C_50017	estExt_fgenesh3_pg.C_50017	bZIP
estExt_fgenesh3_pg.C_50059	estExt_fgenesh3_pg.C_50059	bZIP
estExt_Genewise1Plus.C_380072	estExt_Genewise1Plus.C_380072	SBP
estExt_Genewise1Plus.C_40583	estExt_Genewise1Plus.C_40583	NF-X1
fgenesh3_pg.C_scaffold_1000250	fgenesh3_pg.C_scaffold_1000250	bZIP
fgenesh3_pg.C_scaffold_15000025	fgenesh3_pg.C_scaffold_15000025	NF-YA
fgenesh3_pg.C_scaffold_17000101	fgenesh3_pg.C_scaffold_17000101	SBP
fgenesh3_pg.C_scaffold_18000082	fgenesh3_pg.C_scaffold_18000082	Nin-like
fgenesh3_pg.C_scaffold_2000108	fgenesh3_pg.C_scaffold_2000108	SBP
fgenesh3_pg.C_scaffold_24000087	fgenesh3_pg.C_scaffold_24000087	Nin-like
fgenesh3_pg.C_scaffold_25000062	fgenesh3_pg.C_scaffold_25000062	SBP
fgenesh3_pg.C_scaffold_38000010	fgenesh3_pg.C_scaffold_38000010	bZIP
fgenesh3_pg.C_scaffold_6000074	fgenesh3_pg.C_scaffold_6000074	SBP
fgenesh3_pg.C_scaffold_9000028	fgenesh3_pg.C_scaffold_9000028	NF-YC
fgenesh3_pg.C_scaffold_9000137	fgenesh3_pg.C_scaffold_9000137	SBP
gw1.11.292.1	gw1.11.292.1	NF-YB
gw1.12.608.1	gw1.12.608.1	NF-YB
gw1.24.267.1	gw1.24.267.1	HSF
gw1.2.505.1	gw1.2.505.1	E2F/DP
gw1.4.415.1	gw1.4.415.1	NF-YB
gw1.4.467.1	gw1.4.467.1	Dof
gw1.9.419.1	gw1.9.419.1	SBP
