TF_ID	Gene_ID	Family
462845084	augustus_masked-C8520827-abinit-gene-0.0	NF-YB
462845138	augustus_masked-C8539865-abinit-gene-0.0	BES1
462845248	maker-scaffold100-snap-gene-1.58	NAC
462845257	snap_masked-scaffold100-abinit-gene-0.11	NAC
462845269	maker-scaffold10002-augustus-gene-0.45	bZIP
462845378	maker-scaffold10020-augustus-gene-0.18	NAC
462845408	maker-scaffold1003-augustus-gene-1.28	WRKY
462845562	maker-scaffold10059-augustus-gene-0.2	WRKY
462845642	maker-scaffold10075-augustus-gene-0.13	bZIP
462845728	maker-scaffold10080-snap-gene-0.50	WRKY
462845857	maker-scaffold10107-augustus-gene-0.24	bZIP
462845927	maker-scaffold10125-augustus-gene-0.22	NF-YA
462846124	augustus_masked-scaffold1017-abinit-gene-1.0	Dof
462846211	maker-scaffold10186-snap-gene-0.20	NAC
462846299	maker-scaffold1020-augustus-gene-0.38	E2F/DP
462846331	maker-scaffold10208-augustus-gene-0.37	E2F/DP
462846379	maker-scaffold10219-augustus-gene-0.34	bZIP
462846698	snap_masked-scaffold10250-abinit-gene-0.15	bHLH
462846785	maker-scaffold1027-augustus-gene-1.34	SBP
462847106	maker-scaffold103-augustus-gene-0.33	WRKY
462847284	maker-scaffold10347-augustus-gene-1.19	NAC
462847436	augustus_masked-scaffold1039-abinit-gene-0.9	NF-YB
462847593	snap_masked-scaffold1039-abinit-gene-4.11	GRAS
462847719	snap_masked-scaffold10416-abinit-gene-0.19	CAMTA
462847932	maker-scaffold10453-augustus-gene-0.45	bZIP
462847998	augustus_masked-scaffold10498-abinit-gene-0.1	LBD
462848079	maker-scaffold105-augustus-gene-3.47	HSF
462848111	maker-scaffold105-augustus-gene-4.52	NF-YC
462848225	maker-scaffold105-snap-gene-3.62	WRKY
462848327	augustus_masked-scaffold10506-abinit-gene-0.4	NF-YC
462848454	maker-scaffold10514-snap-gene-0.31	NAC
462848553	augustus_masked-scaffold1053-abinit-gene-0.5	LBD
462848579	maker-scaffold10538-snap-gene-0.28	bHLH
462848738	maker-scaffold10560-augustus-gene-0.33	STAT
462848776	augustus_masked-scaffold1057-abinit-gene-0.1	HSF
462848892	maker-scaffold1058-augustus-gene-0.7	HSF
462848916	maker-scaffold10585-augustus-gene-0.31	YABBY
462849304	maker-scaffold10638-snap-gene-0.49	NAC
462849307	snap_masked-scaffold10638-abinit-gene-0.35	NAC
462849400	maker-scaffold1065-augustus-gene-0.38	NAC
462849454	maker-scaffold1066-snap-gene-0.40	EIL
462849496	maker-scaffold1067-snap-gene-0.30	bHLH
462849598	maker-scaffold10682-augustus-gene-0.10	FAR1
462849714	maker-scaffold1071-augustus-gene-0.30	bZIP
462849770	maker-scaffold10718-snap-gene-0.7	WRKY
462849800	maker-scaffold10721-augustus-gene-0.15	GRAS
