TF_ID	Gene_ID	Family
678468222	Scf02530.g25903	RAV
678320099	Scf00025.g3310	RAV
678460592	Scf01030.g23359	RAV
678354148	Scf00076.g7117	RAV
678400251	Scf00195.g12153	RAV
678290589	Scf00001.g294	bHLH
678291558	Scf00001.g288	TCP
678292337	Scf00001.g8	BES1
678292470	Scf00001.g200	SBP
678292580	Scf00001.g42	bZIP
678292685	Scf00001.g216	ZF-HD
678293235	Scf00001.g143	Trihelix
678293295	Scf00001.g226	BES1
678293417	Scf00001.g20	bZIP
678293621	Scf00001.g160	bZIP
678293760	Scf00002.g429	CAMTA
678293911	Scf00002.g473	NAC
678293982	Scf00002.g510	WRKY
678294088	Scf00002.g403	bZIP
678294505	Scf00002.g480	WRKY
678294508	Scf00002.g474	NAC
678294819	Scf00002.g518	bHLH
678294985	Scf00002.g428	GATA
678294995	Scf00002.g579	GATA
678295096	Scf00002.g509	WRKY
678295324	Scf00003.g737	NF-YC
678295939	Scf00003.g641	bHLH
678296180	Scf00003.g608	E2F/DP
678296273	Scf00003.g597	WRKY
678296295	Scf00003.g590	Nin-like
678296929	Scf00004.g895	Trihelix
678296988	Scf00004.g910	NF-YA
678297058	Scf00004.g798	HSF
678297148	Scf00004.g899	WRKY
678297503	Scf00004.g836	NAC
678298213	Scf00004.g827	Dof
678298824	Scf00005.g1021	bZIP
678299023	Scf00005.g963	bHLH
678299155	Scf00005.g972	LBD
678299338	Scf00005.g1045	NAC
678299392	Scf00005.g964	bHLH
678300249	Scf00006.g1094	GATA
678300280	Scf00006.g1146	bHLH
678300577	Scf00006.g1186	bZIP
678301053	Scf00007.g1253	ZF-HD
678301096	Scf00007.g1209	LBD
678301545	Scf00007.g1309	WRKY
678301757	Scf00007.g1228	EIL
678302010	Scf00007.g1306	SBP
678302170	Scf00007.g1219	SRS
678302385	Scf00008.g1406	NF-X1
678302464	Scf00008.g1401	BBR-BPC
678302563	Scf00008.g1357	bHLH
678302576	Scf00008.g1407	WRKY
678302743	Scf00008.g1464	BBR-BPC
678302973	Scf00008.g1426	bHLH
678303220	Scf00008.g1388	WRKY
678303407	Scf00008.g1417	bZIP
678304985	Scf00010.g1646	YABBY
678305049	Scf00010.g1680	GATA
678305163	Scf00010.g1598	BBR-BPC
678305776	Scf00011.g1779	TCP
678306424	Scf00011.g1763	bHLH
678306525	Scf00011.g1784	FAR1
678306774	Scf00012.g1853	bHLH
678307242	Scf00012.g1916	TCP
678307538	Scf00012.g1857	bZIP
678308531	Scf00013.g1974	LBD
678308594	Scf00013.g2061	bZIP
678309113	Scf00014.g2093	NAC
678309216	Scf00014.g2084	Dof
678309225	Scf00014.g2068	LBD
678309247	Scf00014.g2082	TCP
678309542	Scf00014.g2131	NAC
678309612	Scf00014.g2105	bHLH
678309735	Scf00015.g2237	Dof
678309759	Scf00015.g2153	GRAS
678309932	Scf00015.g2221	NAC
678310051	Scf00015.g2177	Nin-like
678310291	Scf00015.g2268	ZF-HD
678310463	Scf00015.g2269	Dof
678310705	Scf00015.g2197	bHLH
678310937	Scf00016.g2398	WRKY
678311131	Scf00016.g2298	HSF
678311176	Scf00016.g2317	NAC
678311340	Scf00016.g2306	bHLH
678311541	Scf00016.g2386	LBD
678312710	Scf00017.g2428	NF-YA
678312780	Scf00017.g2462	bZIP
678313238	Scf00018.g2619	ZF-HD
678313240	Scf00018.g2613	LBD
678313912	Scf00018.g2627	bZIP
678313963	Scf00018.g2532	GRAS
678313982	Scf00018.g2577	WRKY
678314129	Scf00019.g2684	NAC
678314339	Scf00019.g2674	bZIP
678314388	Scf00019.g2708	WRKY
678314930	Scf00019.g2683	WRKY
678316133	Scf00021.g2969	bZIP
678316227	Scf00021.g2955	FAR1
678316355	Scf00021.g2931	Dof
678316388	Scf00021.g2889	bHLH
678316407	Scf00021.g2937	bZIP
678317179	Scf00022.g3071	WRKY
678317256	Scf00022.g2992	bHLH
678317270	Scf00022.g3046	Dof
678317344	Scf00022.g2986	Trihelix
678317588	Scf00022.g3041	bHLH
678318192	Scf00023.g3160	GATA
678318686	Scf00024.g3183	NAC
678318829	Scf00024.g3185	NAC
678319163	Scf00024.g3232	GRAS
678319698	Scf00025.g3248	CAMTA
678319760	Scf00025.g3289	WRKY
678319821	Scf00025.g3306	TCP
678319966	Scf00025.g3308	LBD
678320328	Scf00026.g3365	NAC
678320432	Scf00026.g3424	Trihelix
678320619	Scf00026.g3369	Nin-like
678320752	Scf00026.g3420	HSF
678320775	Scf00026.g3394	HSF
678320780	Scf00026.g3346	bHLH
678321253	Scf00027.g3464	GRAS
678321642	Scf00027.g3467	bHLH
678322171	Scf00028.g3539	WRKY
678322207	Scf00028.g3559	bHLH
678323088	Scf00029.g3733	NAC
678323129	Scf00029.g3742	NAC
678323495	Scf00029.g3690	bHLH
678323648	Scf00029.g3706	Trihelix
678323674	Scf00029.g3639	bHLH
678323810	Scf00029.g3735	Trihelix
678324417	Scf00030.g3761	HSF
678324956	Scf00031.g3879	bHLH
678325059	Scf00031.g3839	bHLH
678325198	Scf00031.g3895	WRKY
678325585	Scf00032.g3971	SAP
678325893	Scf00032.g3991	NAC
678326495	Scf00033.g4086	bZIP
678327763	Scf00034.g4154	bZIP
678327870	Scf00035.g4252	bZIP
678328561	Scf00035.g4267	NAC
678328577	Scf00035.g4200	bZIP
678328642	Scf00035.g4278	Dof
