TF_ID	Gene_ID	Family
RrC7086_p1	RrC7086_p1	RAV
RrC16243_p1	RrC16243_p1	RAV
RrC3679_p3	RrC3679_p3	RAV
RrC2558_p1	RrC2558_p1	RAV
RrC1796_p5	RrC1796_p5	RAV
RrC770_p3	RrC770_p3	RAV
RrC11138_p1	RrC11138_p1	RAV
RrC12155_p2	RrC12155_p2	RAV
RrC2535_p4	RrC2535_p4	RAV
RrC21_p4	RrC21_p4	RAV
RrC4678_p1	RrC4678_p1	RAV
RrC10018_p1	RrC10018_p1	ZF-HD
RrC1003_p2	RrC1003_p2	Dof
RrC10044_p2	RrC10044_p2	Trihelix
RrC10086_p1	RrC10086_p1	bHLH
RrC1008_p2	RrC1008_p2	bHLH
RrC1008_p4	RrC1008_p4	WRKY
RrC10120_p1	RrC10120_p1	CAMTA
RrC10133_p1	RrC10133_p1	LFY
RrC10163_p2	RrC10163_p2	Dof
RrC10173_p1	RrC10173_p1	LBD
RrC10181_p1	RrC10181_p1	GRAS
RrC10193_p1	RrC10193_p1	HSF
RrC10199_p1	RrC10199_p1	bHLH
RrC10219_p1	RrC10219_p1	Dof
RrC10230_p1	RrC10230_p1	NAC
RrC10260_p1	RrC10260_p1	Dof
RrC10260_p2	RrC10260_p2	Dof
RrC1026_p2	RrC1026_p2	WRKY
RrC10274_p1	RrC10274_p1	bZIP
RrC10347_p1	RrC10347_p1	Dof
RrC10376_p3	RrC10376_p3	WRKY
RrC1037_p1	RrC1037_p1	GATA
RrC1038_p2	RrC1038_p2	WRKY
RrC103_p7	RrC103_p7	NAC
RrC10414_p1	RrC10414_p1	NAC
RrC1046_p7	RrC1046_p7	NAC
RrC1046_p8	RrC1046_p8	NAC
RrC10478_p1	RrC10478_p1	LBD
RrC10483_p1	RrC10483_p1	bHLH
RrC10491_p3	RrC10491_p3	GeBP
RrC10492_p2	RrC10492_p2	HSF
RrC10531_p1	RrC10531_p1	CAMTA
RrC1054_p2	RrC1054_p2	NAC
RrC1054_p5	RrC1054_p5	NAC
RrC10575_p1	RrC10575_p1	SRS
RrC10578_p1	RrC10578_p1	bHLH
RrC1059_p3	RrC1059_p3	NF-X1
RrC1059_p4	RrC1059_p4	LBD
RrC10606_p1	RrC10606_p1	WRKY
RrC1065_p1	RrC1065_p1	GRAS
RrC1065_p2	RrC1065_p2	NAC
RrC10672_p1	RrC10672_p1	YABBY
RrC10676_p1	RrC10676_p1	bHLH
RrC1067_p9	RrC1067_p9	bZIP
RrC10705_p1	RrC10705_p1	NAC
RrC10743_p1	RrC10743_p1	NAC
RrC1074_p2	RrC1074_p2	NAC
RrC10775_p1	RrC10775_p1	bHLH
RrC1078_p3	RrC1078_p3	TCP
RrC1080_p3	RrC1080_p3	NAC
RrC10831_p2	RrC10831_p2	FAR1
RrC10839_p3	RrC10839_p3	S1Fa-like
RrC10852_p2	RrC10852_p2	LBD
RrC10871_p1	RrC10871_p1	NAC
RrC10899_p1	RrC10899_p1	WRKY
RrC108_p4	RrC108_p4	bHLH
RrC1090_p2	RrC1090_p2	WRKY
RrC10913_p1	RrC10913_p1	WRKY
RrC10917_p2	RrC10917_p2	WRKY
RrC10958_p1	RrC10958_p1	bHLH
RrC10959_p1	RrC10959_p1	NAC
RrC10994_p1	RrC10994_p1	GATA
RrC1100_p6	RrC1100_p6	Nin-like
RrC11010_p1	RrC11010_p1	E2F/DP
RrC11020_p1	RrC11020_p1	bZIP
RrC1102_p2	RrC1102_p2	WRKY
RrC11030_p2	RrC11030_p2	SBP
RrC11033_p1	RrC11033_p1	bHLH
RrC1103_p3	RrC1103_p3	bZIP
RrC11046_p1	RrC11046_p1	SAP
RrC11065_p1	RrC11065_p1	bHLH
RrC1106_p1	RrC1106_p1	GATA
RrC1107_p4	RrC1107_p4	NAC
RrC11089_p3	RrC11089_p3	HSF
RrC11093_p1	RrC11093_p1	GATA
