TF_ID	Gene_ID	Family
AMDW01007179.1_FGP001	AMDW01007179.1_FG001	BES1
AMDW01009431.1_FGP001	AMDW01009431.1_FG001	NF-YB
AMDW01013172.1_FGP001	AMDW01013172.1_FG001	GRAS
AMDW01018498.1_FGP001	AMDW01018498.1_FG001	LBD
AMDW01019491.1_FGP001	AMDW01019491.1_FG001	bHLH
AMDW01021712.1_FGP001	AMDW01021712.1_FG001	bHLH
AMDW01025897.1_FGP001	AMDW01025897.1_FG001	NF-YC
AMDW01030762.1_FGP001	AMDW01030762.1_FG001	WRKY
AMDW01030998.1_FGP001	AMDW01030998.1_FG001	GRAS
AMDW01031407.1_FGP001	AMDW01031407.1_FG001	NAC
AMDW01031827.1_FGP001	AMDW01031827.1_FG001	bHLH
AMDW01034480.1_FGP001	AMDW01034480.1_FG001	FAR1
AMDW01035599.1_FGP001	AMDW01035599.1_FG001	GRAS
AMDW01035649.1_FGP001	AMDW01035649.1_FG001	FAR1
AMDW01036740.1_FGP001	AMDW01036740.1_FG001	bHLH
AMDW01037002.1_FGP001	AMDW01037002.1_FG001	GRAS
AMDW01037147.1_FGP001	AMDW01037147.1_FG001	GRAS
AMDW01037211.1_FGP001	AMDW01037211.1_FG001	GRAS
AMDW01037255.1_FGP001	AMDW01037255.1_FG001	FAR1
AMDW01037510.1_FGP001	AMDW01037510.1_FG001	SBP
AMDW01037601.1_FGP001	AMDW01037601.1_FG001	GRAS
AMDW01037826.1_FGP001	AMDW01037826.1_FG001	Nin-like
AMDW01038492.1_FGP001	AMDW01038492.1_FG001	BBR-BPC
AMDW01038896.1_FGP001	AMDW01038896.1_FG001	bZIP
AMDW01039452.1_FGP001	AMDW01039452.1_FG001	WRKY
AMDW01040121.1_FGP001	AMDW01040121.1_FG001	WRKY
AMDW01040228.1_FGP001	AMDW01040228.1_FG001	bZIP
AMDW01040645.1_FGP001	AMDW01040645.1_FG001	Whirly
AMDW01040699.1_FGP001	AMDW01040699.1_FG001	GATA
AMDW01040763.1_FGP001	AMDW01040763.1_FG001	WRKY
AMDW01040774.1_FGP001	AMDW01040774.1_FG001	FAR1
AMDW01040782.1_FGP001	AMDW01040782.1_FG001	GRAS
AMDW01040844.1_FGP001	AMDW01040844.1_FG001	CPP
AMDW01040864.1_FGP001	AMDW01040864.1_FG001	NAC
AMDW01058394.1_FGP001	AMDW01058394.1_FG001	WRKY
AMDW01065961.1_FGP001	AMDW01065961.1_FG001	LBD
AMDW01085339.1_FGP001	AMDW01085339.1_FG001	NAC
AMDW01125615.1_FGP001	AMDW01125615.1_FG001	NAC
AMDW01126071.1_FGP004	AMDW01126071.1_FG004	LBD
AMDW01132047.1_FGP001	AMDW01132047.1_FG001	LBD
AMDW01136750.1_FGP001	AMDW01136750.1_FG001	bHLH
KN538681.1_FGP054	KN538681.1_FG054	NF-YC
KN538681.1_FGP098	KN538681.1_FG098	NAC
KN538681.1_FGP207	KN538681.1_FG207	LBD
KN538681.1_FGP300	KN538681.1_FG300	FAR1
KN538682.1_FGP028	KN538682.1_FG028	bHLH
KN538684.1_FGP020	KN538684.1_FG020	bHLH
KN538684.1_FGP054	KN538684.1_FG054	bHLH
KN538686.1_FGP084	KN538686.1_FG084	EIL
KN538686.1_FGP092	KN538686.1_FG092	WRKY
KN538686.1_FGP096	KN538686.1_FG096	bZIP
KN538686.1_FGP163	KN538686.1_FG163	bZIP
KN538687.1_FGP025	KN538687.1_FG025	bZIP
KN538687.1_FGP060	KN538687.1_FG060	bHLH
KN538687.1_FGP067	KN538687.1_FG067	GRAS
KN538687.1_FGP137	KN538687.1_FG137	bZIP
KN538687.1_FGP142	KN538687.1_FG142	NF-YC
KN538687.1_FGP200	KN538687.1_FG200	bZIP
KN538688.1_FGP001	KN538688.1_FG001	bHLH
KN538688.1_FGP103	KN538688.1_FG103	FAR1
KN538688.1_FGP146	KN538688.1_FG146	FAR1
KN538688.1_FGP195	KN538688.1_FG195	GRAS
KN538690.1_FGP013	KN538690.1_FG013	GRAS
KN538691.1_FGP089	KN538691.1_FG089	bZIP
KN538691.1_FGP142	KN538691.1_FG142	bZIP
KN538693.1_FGP004	KN538693.1_FG004	NAC
KN538693.1_FGP011	KN538693.1_FG011	GRAS
KN538693.1_FGP093	KN538693.1_FG093	YABBY
KN538695.1_FGP001	KN538695.1_FG001	Dof
KN538695.1_FGP006	KN538695.1_FG006	NAC
KN538695.1_FGP008	KN538695.1_FG008	NAC
KN538695.1_FGP067	KN538695.1_FG067	bZIP
KN538695.1_FGP070	KN538695.1_FG070	WRKY
KN538698.1_FGP010	KN538698.1_FG010	bZIP
KN538699.1_FGP010	KN538699.1_FG010	NAC
KN538699.1_FGP079	KN538699.1_FG079	NAC
KN538699.1_FGP082	KN538699.1_FG082	bZIP
KN538699.1_FGP086	KN538699.1_FG086	bZIP
KN538700.1_FGP001	KN538700.1_FG001	CAMTA
KN538700.1_FGP087	KN538700.1_FG087	SBP
KN538701.1_FGP001	KN538701.1_FG001	bZIP
KN538701.1_FGP009	KN538701.1_FG009	NAC
KN538702.1_FGP026	KN538702.1_FG026	NF-YA
KN538702.1_FGP116	KN538702.1_FG116	GATA
KN538703.1_FGP010	KN538703.1_FG010	bHLH
KN538703.1_FGP012	KN538703.1_FG012	LBD
KN538704.1_FGP038	KN538704.1_FG038	NAC
KN538706.1_FGP005	KN538706.1_FG005	CPP
KN538707.1_FGP007	KN538707.1_FG007	SBP
KN538708.1_FGP009	KN538708.1_FG009	Dof
KN538708.1_FGP038	KN538708.1_FG038	NAC
KN538709.1_FGP037	KN538709.1_FG037	Trihelix
KN538709.1_FGP039	KN538709.1_FG039	GRAS
KN538709.1_FGP051	KN538709.1_FG051	bZIP
KN538709.1_FGP108	KN538709.1_FG108	FAR1
KN538710.1_FGP016	KN538710.1_FG016	GRAS
KN538712.1_FGP017	KN538712.1_FG017	Trihelix
KN538712.1_FGP098	KN538712.1_FG098	bZIP
KN538712.1_FGP102	KN538712.1_FG102	GRAS
KN538713.1_FGP014	KN538713.1_FG014	TCP
KN538713.1_FGP098	KN538713.1_FG098	CPP
KN538714.1_FGP072	KN538714.1_FG072	WRKY
KN538716.1_FGP012	KN538716.1_FG012	bZIP
KN538716.1_FGP050	KN538716.1_FG050	GeBP
KN538718.1_FGP059	KN538718.1_FG059	bHLH
KN538719.1_FGP045	KN538719.1_FG045	bHLH
KN538720.1_FGP049	KN538720.1_FG049	bZIP
KN538722.1_FGP035	KN538722.1_FG035	Nin-like
KN538723.1_FGP011	KN538723.1_FG011	bHLH
KN538724.1_FGP004	KN538724.1_FG004	HSF
KN538724.1_FGP041	KN538724.1_FG041	Dof
KN538725.1_FGP067	KN538725.1_FG067	CPP
KN538726.1_FGP094	KN538726.1_FG094	GRAS
KN538727.1_FGP013	KN538727.1_FG013	bHLH
KN538727.1_FGP016	KN538727.1_FG016	bZIP
KN538727.1_FGP051	KN538727.1_FG051	GeBP
KN538728.1_FGP070	KN538728.1_FG070	bHLH
KN538730.1_FGP023	KN538730.1_FG023	CAMTA
KN538730.1_FGP048	KN538730.1_FG048	CAMTA
KN538733.1_FGP009	KN538733.1_FG009	CAMTA
