TF_ID	Gene_ID	Family
Manes.06G071700.1.p	Manes.06G071700	RAV
Manes.14G098000.1.p	Manes.14G098000	RAV
Manes.02G042800.1.p	Manes.02G042800	RAV
Manes.01G085800.1.p	Manes.01G085800	RAV
Manes.06G036900.1.p	Manes.06G036900	RAV
Manes.15G102800.1.p	Manes.15G102800	RAV
Manes.08G129000.1.p	Manes.08G129000	RAV
Manes.01G001900.1.p	Manes.01G001900	Trihelix
Manes.01G001900.2.p	Manes.01G001900	Trihelix
Manes.01G001900.3.p	Manes.01G001900	Trihelix
Manes.01G001900.4.p	Manes.01G001900	Trihelix
Manes.01G007600.1.p	Manes.01G007600	WRKY
Manes.01G007600.2.p	Manes.01G007600	WRKY
Manes.01G008100.1.p	Manes.01G008100	GRAS
Manes.01G011200.1.p	Manes.01G011200	NAC
Manes.01G020700.1.p	Manes.01G020700	TCP
Manes.01G020700.2.p	Manes.01G020700	TCP
Manes.01G020700.3.p	Manes.01G020700	TCP
Manes.01G022100.1.p	Manes.01G022100	NF-YB
Manes.01G022100.2.p	Manes.01G022100	NF-YB
Manes.01G026000.1.p	Manes.01G026000	SBP
Manes.01G026100.1.p	Manes.01G026100	YABBY
Manes.01G029000.1.p	Manes.01G029000	NAC
Manes.01G029300.1.p	Manes.01G029300	WRKY
Manes.01G031600.1.p	Manes.01G031600	WRKY
Manes.01G031600.2.p	Manes.01G031600	WRKY
Manes.01G035000.1.p	Manes.01G035000	Dof
Manes.01G036500.1.p	Manes.01G036500	Dof
Manes.01G036500.2.p	Manes.01G036500	Dof
Manes.01G036500.3.p	Manes.01G036500	Dof
Manes.01G044700.1.p	Manes.01G044700	NAC
Manes.01G044700.2.p	Manes.01G044700	NAC
Manes.01G047200.1.p	Manes.01G047200	WRKY
Manes.01G053000.1.p	Manes.01G053000	Nin-like
Manes.01G054100.1.p	Manes.01G054100	bHLH
Manes.01G054300.1.p	Manes.01G054300	bHLH
Manes.01G055400.1.p	Manes.01G055400	NAC
Manes.01G056200.1.p	Manes.01G056200	bHLH
Manes.01G057100.1.p	Manes.01G057100	WRKY
Manes.01G057100.2.p	Manes.01G057100	WRKY
Manes.01G059300.1.p	Manes.01G059300	bHLH
Manes.01G059300.2.p	Manes.01G059300	bHLH
Manes.01G063900.1.p	Manes.01G063900	NF-YC
Manes.01G065200.1.p	Manes.01G065200	HSF
Manes.01G066400.1.p	Manes.01G066400	GRAS
Manes.01G076000.1.p	Manes.01G076000	NAC
Manes.01G076300.1.p	Manes.01G076300	YABBY
Manes.01G077300.1.p	Manes.01G077300	WRKY
Manes.01G077300.2.p	Manes.01G077300	WRKY
Manes.01G087500.1.p	Manes.01G087500	GATA
Manes.01G090300.1.p	Manes.01G090300	NAC
Manes.01G090800.1.p	Manes.01G090800	ZF-HD
Manes.01G090900.1.p	Manes.01G090900	ZF-HD
Manes.01G090900.2.p	Manes.01G090900	ZF-HD
Manes.01G092100.1.p	Manes.01G092100	Dof
Manes.01G093200.1.p	Manes.01G093200	NAC
Manes.01G094200.1.p	Manes.01G094200	TCP
Manes.01G100400.1.p	Manes.01G100400	WRKY
Manes.01G104200.1.p	Manes.01G104200	bHLH
Manes.01G104200.2.p	Manes.01G104200	bHLH
Manes.01G105400.1.p	Manes.01G105400	bZIP
Manes.01G110000.1.p	Manes.01G110000	LBD
Manes.01G110600.1.p	Manes.01G110600	bHLH
Manes.01G113300.1.p	Manes.01G113300	NF-YC
Manes.01G117600.1.p	Manes.01G117600	GeBP
Manes.01G122100.1.p	Manes.01G122100	FAR1
Manes.01G123600.1.p	Manes.01G123600	NAC
Manes.01G128000.1.p	Manes.01G128000	WRKY
Manes.01G129900.1.p	Manes.01G129900	HSF
Manes.01G134900.1.p	Manes.01G134900	GRAS
Manes.01G135900.1.p	Manes.01G135900	GATA
Manes.01G139800.1.p	Manes.01G139800	bHLH
Manes.01G141500.1.p	Manes.01G141500	SRS
Manes.01G143300.1.p	Manes.01G143300	NAC
Manes.01G143400.1.p	Manes.01G143400	NAC
Manes.01G143800.1.p	Manes.01G143800	NAC
Manes.01G144500.1.p	Manes.01G144500	NAC
Manes.01G145900.1.p	Manes.01G145900	bHLH
Manes.01G149900.1.p	Manes.01G149900	bZIP
Manes.01G171700.1.p	Manes.01G171700	GRAS
Manes.01G171800.1.p	Manes.01G171800	GRAS
Manes.01G171900.1.p	Manes.01G171900	GRAS
Manes.01G172000.1.p	Manes.01G172000	GRAS
Manes.01G176600.1.p	Manes.01G176600	NF-YC
Manes.01G177700.1.p	Manes.01G177700	HSF
Manes.01G179500.1.p	Manes.01G179500	SRS
Manes.01G182400.1.p	Manes.01G182400	GRAS
Manes.01G182400.2.p	Manes.01G182400	GRAS
Manes.01G184700.1.p	Manes.01G184700	Nin-like
Manes.01G185600.1.p	Manes.01G185600	ZF-HD
Manes.01G186100.1.p	Manes.01G186100	NAC
Manes.01G187000.1.p	Manes.01G187000	TCP
Manes.01G187700.1.p	Manes.01G187700	bHLH
Manes.01G189000.1.p	Manes.01G189000	WRKY
Manes.01G189300.1.p	Manes.01G189300	Whirly
Manes.01G193400.1.p	Manes.01G193400	bHLH
Manes.01G199900.1.p	Manes.01G199900	bHLH
Manes.01G200800.1.p	Manes.01G200800	WRKY
Manes.01G201900.1.p	Manes.01G201900	bHLH
Manes.01G202200.1.p	Manes.01G202200	bZIP
Manes.01G202200.2.p	Manes.01G202200	bZIP
Manes.01G204200.1.p	Manes.01G204200	HSF
Manes.01G204200.3.p	Manes.01G204200	HSF
Manes.01G204200.4.p	Manes.01G204200	HSF
Manes.01G208400.1.p	Manes.01G208400	bHLH
Manes.01G215700.1.p	Manes.01G215700	NF-YB
Manes.01G224400.1.p	Manes.01G224400	GATA
Manes.01G225200.1.p	Manes.01G225200	FAR1
Manes.01G225200.2.p	Manes.01G225200	FAR1
Manes.01G227900.1.p	Manes.01G227900	bZIP
Manes.01G228500.1.p	Manes.01G228500	WRKY
Manes.01G230000.1.p	Manes.01G230000	WRKY
Manes.01G233400.1.p	Manes.01G233400	SBP
Manes.01G235400.1.p	Manes.01G235400	WRKY
Manes.01G238100.1.p	Manes.01G238100	NAC
Manes.01G238300.1.p	Manes.01G238300	NAC
Manes.01G238400.1.p	Manes.01G238400	NAC
Manes.01G239200.1.p	Manes.01G239200	bHLH
Manes.01G240800.1.p	Manes.01G240800	NAC
Manes.01G241700.1.p	Manes.01G241700	bHLH
Manes.01G244000.1.p	Manes.01G244000	Dof
Manes.01G244000.2.p	Manes.01G244000	Dof
Manes.01G244000.3.p	Manes.01G244000	Dof
Manes.01G245600.1.p	Manes.01G245600	bHLH
Manes.01G249900.1.p	Manes.01G249900	bZIP
Manes.01G249900.2.p	Manes.01G249900	bZIP
Manes.01G249900.3.p	Manes.01G249900	bZIP
Manes.01G249900.4.p	Manes.01G249900	bZIP
Manes.01G252200.1.p	Manes.01G252200	WRKY
Manes.01G252400.1.p	Manes.01G252400	WRKY
Manes.01G253400.1.p	Manes.01G253400	WRKY
Manes.01G263300.1.p	Manes.01G263300	TCP
Manes.01G265300.1.p	Manes.01G265300	LBD
Manes.01G265400.1.p	Manes.01G265400	LBD
Manes.01G268100.1.p	Manes.01G268100	YABBY
Manes.01G269700.1.p	Manes.01G269700	bHLH
Manes.01G270700.1.p	Manes.01G270700	SBP
Manes.01G270700.2.p	Manes.01G270700	SBP
Manes.01G273700.1.p	Manes.01G273700	WRKY
Manes.02G001600.1.p	Manes.02G001600	NAC
Manes.02G001600.2.p	Manes.02G001600	NAC
Manes.02G002300.1.p	Manes.02G002300	bHLH
Manes.02G002400.1.p	Manes.02G002400	bHLH
Manes.02G005000.1.p	Manes.02G005000	Dof
Manes.02G005000.2.p	Manes.02G005000	Dof
Manes.02G006700.1.p	Manes.02G006700	Nin-like
Manes.02G011500.1.p	Manes.02G011500	WRKY
Manes.02G016900.1.p	Manes.02G016900	WRKY
Manes.02G017100.1.p	Manes.02G017100	WRKY
Manes.02G019400.1.p	Manes.02G019400	bHLH
Manes.02G019400.2.p	Manes.02G019400	bHLH
Manes.02G027000.1.p	Manes.02G027000	GRAS
Manes.02G035400.1.p	Manes.02G035400	NAC
Manes.02G035400.2.p	Manes.02G035400	NAC
Manes.02G035400.3.p	Manes.02G035400	NAC
Manes.02G035700.1.p	Manes.02G035700	YABBY
Manes.02G036600.1.p	Manes.02G036600	WRKY
Manes.02G038400.1.p	Manes.02G038400	GRAS
Manes.02G044400.1.p	Manes.02G044400	GATA
Manes.02G045500.1.p	Manes.02G045500	Trihelix
Manes.02G045800.1.p	Manes.02G045800	NAC
Manes.02G046200.1.p	Manes.02G046200	ZF-HD
Manes.02G046300.1.p	Manes.02G046300	ZF-HD
