TF_ID	Gene_ID	Family
OB01G12600.1	OB01G12600	RAV
OB0039G10090.1	OB0039G10090	NAC
OB0040G10040.1	OB0040G10040	GeBP
OB0044G10110.1	OB0044G10110	bZIP
OB0044G10270.1	OB0044G10270	GRAS
OB0054G10020.1	OB0054G10020	FAR1
OB0054G10030.1	OB0054G10030	FAR1
OB0081G10010.1	OB0081G10010	bHLH
OB0086G10030.1	OB0086G10030	WRKY
OB0102G10020.1	OB0102G10020	WRKY
OB0134G10010.1	OB0134G10010	NAC
OB0164G10010.1	OB0164G10010	GeBP
OB0171G10030.1	OB0171G10030	Dof
OB0197G10010.1	OB0197G10010	bHLH
OB01G10170.1	OB01G10170	NF-YC
OB01G10300.1	OB01G10300	NAC
OB01G10340.1	OB01G10340	bHLH
OB01G10560.1	OB01G10560	bHLH
OB01G10850.1	OB01G10850	bHLH
OB01G11830.1	OB01G11830	LBD
OB01G13760.1	OB01G13760	NF-X1
OB01G13800.1	OB01G13800	bHLH
OB01G14220.1	OB01G14220	LBD
OB01G14600.1	OB01G14600	bZIP
OB01G14780.1	OB01G14780	BES1
OB01G15230.1	OB01G15230	WRKY
OB01G15310.1	OB01G15310	NF-YC
OB01G15520.1	OB01G15520	WRKY
OB01G15530.1	OB01G15530	WRKY
OB01G15780.1	OB01G15780	NAC
OB01G16120.1	OB01G16120	bHLH
OB01G16610.1	OB01G16610	BES1
OB01G17130.1	OB01G17130	bZIP
OB01G17480.1	OB01G17480	bHLH
OB01G18260.1	OB01G18260	FAR1
OB01G18800.1	OB01G18800	bHLH
OB01G18870.1	OB01G18870	Nin-like
OB01G19140.1	OB01G19140	LBD
OB01G19360.1	OB01G19360	Nin-like
OB01G19380.1	OB01G19380	WRKY
OB01G19570.1	OB01G19570	GeBP
OB01G20290.1	OB01G20290	NAC
OB01G20470.1	OB01G20470	Dof
OB01G21320.1	OB01G21320	Dof
OB01G21470.1	OB01G21470	bZIP
OB01G21830.1	OB01G21830	bHLH
OB01G21870.1	OB01G21870	WRKY
OB01G22010.1	OB01G22010	SBP
OB01G22030.1	OB01G22030	bHLH
OB01G24090.1	OB01G24090	GATA
OB01G25460.1	OB01G25460	FAR1
OB01G27020.1	OB01G27020	LBD
OB01G29910.1	OB01G29910	HSF
OB01G30040.1	OB01G30040	bHLH
OB01G30110.1	OB01G30110	bHLH
OB01G30460.1	OB01G30460	WRKY
OB01G32710.1	OB01G32710	WRKY
OB01G32770.1	OB01G32770	HSF
OB01G32850.1	OB01G32850	WRKY
OB01G33230.1	OB01G33230	SBP
OB01G33730.1	OB01G33730	GRAS
OB01G34490.1	OB01G34490	bZIP
OB01G34710.1	OB01G34710	GATA
OB01G34880.1	OB01G34880	WRKY
OB01G35210.1	OB01G35210	NAC
OB01G35220.1	OB01G35220	NAC
OB01G35490.1	OB01G35490	NAC
OB01G35630.1	OB01G35630	E2F/DP
OB01G37310.1	OB01G37310	bHLH
OB01G37710.1	OB01G37710	WRKY
OB01G38700.1	OB01G38700	WRKY
OB01G38820.1	OB01G38820	HSF
OB01G38850.1	OB01G38850	WRKY
OB01G39550.1	OB01G39550	GATA
OB01G39790.1	OB01G39790	HSF
OB01G39870.1	OB01G39870	WRKY
OB01G40080.1	OB01G40080	VOZ
OB01G40300.1	OB01G40300	bZIP
OB01G40680.1	OB01G40680	CPP
OB01G42230.1	OB01G42230	bHLH
OB01G42980.1	OB01G42980	bZIP
OB01G43330.1	OB01G43330	bZIP
OB01G43540.1	OB01G43540	NAC
OB01G43630.1	OB01G43630	bZIP
OB01G43840.1	OB01G43840	NAC
OB01G44130.1	OB01G44130	WRKY
OB01G44140.1	OB01G44140	WRKY
OB01G44150.1	OB01G44150	WRKY
OB01G44160.1	OB01G44160	WRKY
OB01G44170.1	OB01G44170	WRKY
OB01G44400.1	OB01G44400	LBD
OB01G44510.1	OB01G44510	WRKY
OB01G45050.1	OB01G45050	NF-YB
OB01G45620.1	OB01G45620	GRAS
OB01G45670.1	OB01G45670	WRKY
OB01G46760.1	OB01G46760	bZIP
OB01G46780.1	OB01G46780	bZIP
OB01G46930.1	OB01G46930	NAC
OB01G47090.1	OB01G47090	bHLH
OB01G48180.1	OB01G48180	GRAS
OB01G48340.1	OB01G48340	NAC
OB01G48600.1	OB01G48600	NAC
OB01G48740.1	OB01G48740	LBD
OB01G49420.1	OB01G49420	bHLH
OB01G49600.1	OB01G49600	GRAS
OB01G50400.1	OB01G50400	bHLH
OB01G51080.1	OB01G51080	SBP
OB01G51140.1	OB01G51140	CAMTA
OB01G51240.1	OB01G51240	TCP
OB01G51370.1	OB01G51370	NAC
OB01G52130.1	OB01G52130	NF-YB
OB01G52140.1	OB01G52140	NF-YB
OB01G52900.1	OB01G52900	GRAS
OB01G53300.1	OB01G53300	bHLH
OB01G53390.1	OB01G53390	SRS
OB01G54660.1	OB01G54660	GRAS
OB01G55040.1	OB01G55040	GATA
OB02G10400.1	OB02G10400	Trihelix
OB02G12150.1	OB02G12150	bZIP
OB02G12720.1	OB02G12720	Nin-like
OB02G12930.1	OB02G12930	SBP
OB02G13220.1	OB02G13220	GATA
OB02G13770.1	OB02G13770	Whirly
OB02G14680.1	OB02G14680	NF-YC
OB02G14840.1	OB02G14840	SBP
OB02G14920.1	OB02G14920	bZIP
OB02G15090.1	OB02G15090	SBP
OB02G15470.1	OB02G15470	WRKY
OB02G16260.1	OB02G16260	bZIP
OB02G16530.1	OB02G16530	bZIP
OB02G17140.1	OB02G17140	FAR1
OB02G17160.1	OB02G17160	bZIP
OB02G18010.1	OB02G18010	GATA
OB02G18580.1	OB02G18580	bHLH
OB02G18670.1	OB02G18670	HSF
OB02G19350.1	OB02G19350	bZIP
OB02G19520.1	OB02G19520	bZIP
OB02G19660.1	OB02G19660	NAC
OB02G19670.1	OB02G19670	Dof
OB02G19900.1	OB02G19900	bHLH
OB02G20150.1	OB02G20150	WRKY
OB02G20370.1	OB02G20370	FAR1
OB02G20640.1	OB02G20640	CPP
OB02G21030.1	OB02G21030	FAR1
OB02G21080.1	OB02G21080	NAC
OB02G21090.1	OB02G21090	NAC
OB02G21340.1	OB02G21340	FAR1
OB02G22590.1	OB02G22590	GeBP
OB02G24180.1	OB02G24180	WRKY
OB02G25250.1	OB02G25250	HSF
OB02G27210.1	OB02G27210	E2F/DP
OB02G27300.1	OB02G27300	Trihelix
OB02G27370.1	OB02G27370	FAR1
OB02G27380.1	OB02G27380	Trihelix
OB02G27530.1	OB02G27530	bHLH
OB02G27690.1	OB02G27690	FAR1
OB02G27960.1	OB02G27960	NAC
OB02G28530.1	OB02G28530	bHLH
OB02G29010.1	OB02G29010	EIL
OB02G29280.1	OB02G29280	NAC
OB02G30060.1	OB02G30060	NAC
OB02G30670.1	OB02G30670	bHLH
OB02G31950.1	OB02G31950	NAC
OB02G33040.1	OB02G33040	YABBY
OB02G33070.1	OB02G33070	NAC
OB02G33250.1	OB02G33250	Trihelix
OB02G33450.1	OB02G33450	WRKY
OB02G34120.1	OB02G34120	GRAS
OB02G34130.1	OB02G34130	GRAS
OB02G35300.1	OB02G35300	GRAS
OB02G35790.1	OB02G35790	bHLH
OB02G36150.1	OB02G36150	WRKY
OB02G36640.1	OB02G36640	bHLH
OB02G36730.1	OB02G36730	ZF-HD
OB02G36990.1	OB02G36990	bHLH
OB02G37940.1	OB02G37940	NF-YB
OB02G37950.1	OB02G37950	NF-YB
OB02G37970.1	OB02G37970	Dof
OB02G38020.1	OB02G38020	bHLH
OB02G38090.1	OB02G38090	bZIP
OB02G38920.1	OB02G38920	E2F/DP
