TF_ID	Gene_ID	Family
Bostr.13671s0120.1.p	Bostr.13671s0120	RAV
Bostr.10273s0485.1.p	Bostr.10273s0485	RAV
Bostr.0556s0243.1.p	Bostr.0556s0243	RAV
Bostr.12659s0398.1.p	Bostr.12659s0398	RAV
Bostr.26675s0076.1.p	Bostr.26675s0076	RAV
Bostr.26675s0109.1.p	Bostr.26675s0109	RAV
Bostr.0124s0040.1.p	Bostr.0124s0040	FAR1
Bostr.0124s0081.1.p	Bostr.0124s0081	NAC
Bostr.0124s0082.1.p	Bostr.0124s0082	NAC
Bostr.0124s0106.1.p	Bostr.0124s0106	SBP
Bostr.0124s0115.1.p	Bostr.0124s0115	TCP
Bostr.0124s0115.2.p	Bostr.0124s0115	TCP
Bostr.0124s0192.1.p	Bostr.0124s0192	ZF-HD
Bostr.0124s0194.1.p	Bostr.0124s0194	BBR-BPC
Bostr.0124s0194.2.p	Bostr.0124s0194	BBR-BPC
Bostr.0556s0021.1.p	Bostr.0556s0021	BBR-BPC
Bostr.0556s0069.1.p	Bostr.0556s0069	NAC
Bostr.0556s0069.2.p	Bostr.0556s0069	NAC
Bostr.0556s0077.1.p	Bostr.0556s0077	ZF-HD
Bostr.0556s0088.1.p	Bostr.0556s0088	Whirly
Bostr.0556s0160.1.p	Bostr.0556s0160	WRKY
Bostr.0556s0218.1.p	Bostr.0556s0218	bZIP
Bostr.0556s0241.1.p	Bostr.0556s0241	bHLH
Bostr.0556s0275.1.p	Bostr.0556s0275	Trihelix
Bostr.0556s0333.1.p	Bostr.0556s0333	LBD
Bostr.0556s0344.1.p	Bostr.0556s0344	bHLH
Bostr.0556s0344.2.p	Bostr.0556s0344	bHLH
Bostr.0556s0373.1.p	Bostr.0556s0373	TCP
Bostr.0556s0446.1.p	Bostr.0556s0446	LBD
Bostr.0556s0470.1.p	Bostr.0556s0470	HSF
Bostr.0556s0495.1.p	Bostr.0556s0495	WRKY
Bostr.0556s0535.1.p	Bostr.0556s0535	bHLH
Bostr.0556s0540.1.p	Bostr.0556s0540	ZF-HD
