TF_ID	Gene_ID	Family
OPUNC01G02270.1	OPUNC01G02270	RAV
OPUNC01G02240.1	OPUNC01G02240	RAV
OPUNC05G22370.1	OPUNC05G22370	RAV
OPUNC01G27280.1	OPUNC01G27280	RAV
OPUNC01G00170.1	OPUNC01G00170	NF-YC
OPUNC01G00300.1	OPUNC01G00300	NAC
OPUNC01G00320.1	OPUNC01G00320	NAC
OPUNC01G00360.1	OPUNC01G00360	bHLH
OPUNC01G00520.1	OPUNC01G00520	bHLH
OPUNC01G00530.1	OPUNC01G00530	bHLH
OPUNC01G00700.1	OPUNC01G00700	bHLH
OPUNC01G01670.1	OPUNC01G01670	LBD
OPUNC01G03540.1	OPUNC01G03540	NF-X1
OPUNC01G03610.1	OPUNC01G03610	bHLH
OPUNC01G03610.2	OPUNC01G03610	bHLH
OPUNC01G04590.1	OPUNC01G04590	bZIP
OPUNC01G04820.1	OPUNC01G04820	BES1
OPUNC01G05180.1	OPUNC01G05180	WRKY
OPUNC01G05240.1	OPUNC01G05240	NF-YC
OPUNC01G05440.1	OPUNC01G05440	WRKY
OPUNC01G05450.1	OPUNC01G05450	WRKY
OPUNC01G05680.1	OPUNC01G05680	NAC
OPUNC01G05680.2	OPUNC01G05680	NAC
OPUNC01G05940.1	OPUNC01G05940	bHLH
OPUNC01G05940.2	OPUNC01G05940	bHLH
OPUNC01G06850.1	OPUNC01G06850	bZIP
OPUNC01G06940.1	OPUNC01G06940	TCP
OPUNC01G07130.1	OPUNC01G07130	bHLH
OPUNC01G07130.2	OPUNC01G07130	bHLH
OPUNC01G08460.1	OPUNC01G08460	bHLH
OPUNC01G08460.2	OPUNC01G08460	bHLH
OPUNC01G08520.1	OPUNC01G08520	Nin-like
OPUNC01G08860.1	OPUNC01G08860	LBD
OPUNC01G09100.1	OPUNC01G09100	Nin-like
OPUNC01G09130.1	OPUNC01G09130	WRKY
OPUNC01G09140.1	OPUNC01G09140	NAC
OPUNC01G09340.1	OPUNC01G09340	GeBP
OPUNC01G09800.1	OPUNC01G09800	bHLH
OPUNC01G10020.1	OPUNC01G10020	NAC
OPUNC01G10020.2	OPUNC01G10020	NAC
OPUNC01G10020.3	OPUNC01G10020	NAC
OPUNC01G10200.1	OPUNC01G10200	Dof
OPUNC01G11080.1	OPUNC01G11080	Dof
OPUNC01G11270.1	OPUNC01G11270	bZIP
OPUNC01G11630.1	OPUNC01G11630	bHLH
OPUNC01G11630.2	OPUNC01G11630	bHLH
OPUNC01G11770.1	OPUNC01G11770	WRKY
OPUNC01G11960.1	OPUNC01G11960	SBP
OPUNC01G11960.2	OPUNC01G11960	SBP
OPUNC01G11960.3	OPUNC01G11960	SBP
OPUNC01G11960.4	OPUNC01G11960	SBP
OPUNC01G11960.5	OPUNC01G11960	SBP
OPUNC01G11960.7	OPUNC01G11960	SBP
OPUNC01G11990.1	OPUNC01G11990	bHLH
OPUNC01G13140.1	OPUNC01G13140	Trihelix
OPUNC01G14080.1	OPUNC01G14080	GATA
OPUNC01G14340.1	OPUNC01G14340	NF-YC
OPUNC01G15580.1	OPUNC01G15580	GATA
OPUNC01G15930.1	OPUNC01G15930	HSF
OPUNC01G16830.1	OPUNC01G16830	NAC
OPUNC01G17100.1	OPUNC01G17100	FAR1
OPUNC01G18000.1	OPUNC01G18000	LBD
OPUNC01G18080.1	OPUNC01G18080	GeBP
OPUNC01G18370.1	OPUNC01G18370	bHLH
OPUNC01G19160.1	OPUNC01G19160	bZIP
OPUNC01G19590.1	OPUNC01G19590	Nin-like
OPUNC01G20250.1	OPUNC01G20250	bHLH
OPUNC01G20490.1	OPUNC01G20490	HSF
OPUNC01G20540.1	OPUNC01G20540	LBD
OPUNC01G20610.1	OPUNC01G20610	bHLH
OPUNC01G20950.1	OPUNC01G20950	WRKY
OPUNC01G21030.1	OPUNC01G21030	WRKY
OPUNC01G21990.1	OPUNC01G21990	FAR1
OPUNC01G23440.1	OPUNC01G23440	WRKY
OPUNC01G23470.1	OPUNC01G23470	HSF
OPUNC01G23530.1	OPUNC01G23530	WRKY
OPUNC01G23530.2	OPUNC01G23530	WRKY
OPUNC01G23950.1	OPUNC01G23950	ZF-HD
OPUNC01G24550.1	OPUNC01G24550	GRAS
OPUNC01G25080.1	OPUNC01G25080	WRKY
OPUNC01G25140.1	OPUNC01G25140	bZIP
OPUNC01G25380.1	OPUNC01G25380	GATA
OPUNC01G25580.1	OPUNC01G25580	WRKY
OPUNC01G25690.1	OPUNC01G25690	NAC
OPUNC01G25960.1	OPUNC01G25960	NAC
OPUNC01G26100.1	OPUNC01G26100	Dof
OPUNC01G26130.1	OPUNC01G26130	Trihelix
OPUNC01G26280.1	OPUNC01G26280	NAC
OPUNC01G26350.1	OPUNC01G26350	NAC
OPUNC01G26430.1	OPUNC01G26430	E2F/DP
OPUNC01G27840.1	OPUNC01G27840	HSF
OPUNC01G27950.1	OPUNC01G27950	bHLH
OPUNC01G28050.1	OPUNC01G28050	bHLH
OPUNC01G28510.1	OPUNC01G28510	WRKY
OPUNC01G28880.1	OPUNC01G28880	Trihelix
OPUNC01G29620.1	OPUNC01G29620	WRKY
OPUNC01G29770.1	OPUNC01G29770	HSF
OPUNC01G29800.1	OPUNC01G29800	WRKY
OPUNC01G29830.1	OPUNC01G29830	WRKY
OPUNC01G29980.1	OPUNC01G29980	WRKY
OPUNC01G30210.1	OPUNC01G30210	VOZ
OPUNC01G30210.2	OPUNC01G30210	VOZ
OPUNC01G30360.1	OPUNC01G30360	TCP
