TF_ID	Gene_ID	Family
Zosma48g00040.1	Zosma48g00040	RAV
Zosma214g00470.1	Zosma214g00470	RAV
Zosma178g00500.1	Zosma178g00500	RAV
Zosma101g00200.1	Zosma101g00200	YABBY
Zosma101g00420.1	Zosma101g00420	FAR1
Zosma101g00810.1	Zosma101g00810	NF-YC
Zosma103g00230.1	Zosma103g00230	NAC
Zosma103g00550.1	Zosma103g00550	Nin-like
Zosma103g00580.1	Zosma103g00580	NAC
Zosma103g00690.1	Zosma103g00690	NAC
Zosma104g00010.1	Zosma104g00010	FAR1
Zosma105g00030.1	Zosma105g00030	FAR1
Zosma105g00310.1	Zosma105g00310	FAR1
Zosma105g00480.1	Zosma105g00480	ZF-HD
Zosma105g00560.1	Zosma105g00560	FAR1
Zosma106g00030.1	Zosma106g00030	GRAS
Zosma106g00660.1	Zosma106g00660	bHLH
Zosma108g00280.1	Zosma108g00280	bZIP
Zosma109g00350.1	Zosma109g00350	GRAS
Zosma109g00470.1	Zosma109g00470	FAR1
Zosma10g00070.1	Zosma10g00070	FAR1
Zosma10g00260.1	Zosma10g00260	TCP
Zosma10g00440.1	Zosma10g00440	Dof
Zosma10g00450.1	Zosma10g00450	Dof
Zosma10g00510.1	Zosma10g00510	SBP
Zosma10g00630.1	Zosma10g00630	bZIP
Zosma10g01010.1	Zosma10g01010	FAR1
Zosma10g01270.1	Zosma10g01270	SBP
Zosma10g01610.1	Zosma10g01610	GRAS
Zosma110g00040.1	Zosma110g00040	FAR1
Zosma110g00110.1	Zosma110g00110	FAR1
Zosma110g00150.1	Zosma110g00150	bHLH
Zosma110g00340.1	Zosma110g00340	bHLH
Zosma112g00250.1	Zosma112g00250	bZIP
Zosma112g00280.1	Zosma112g00280	SBP
Zosma112g00340.1	Zosma112g00340	NF-YB
Zosma112g00390.1	Zosma112g00390	Dof
Zosma113g00030.1	Zosma113g00030	Trihelix
Zosma113g00340.1	Zosma113g00340	GRAS
Zosma113g00480.1	Zosma113g00480	bHLH
Zosma114g00060.1	Zosma114g00060	FAR1
Zosma114g00260.1	Zosma114g00260	bZIP
Zosma114g00360.1	Zosma114g00360	bHLH
Zosma114g00860.1	Zosma114g00860	bHLH
Zosma114g01110.1	Zosma114g01110	NAC
Zosma115g00120.1	Zosma115g00120	GATA
Zosma116g00290.1	Zosma116g00290	YABBY
Zosma116g00430.1	Zosma116g00430	FAR1
Zosma116g00640.1	Zosma116g00640	Trihelix
Zosma116g00670.1	Zosma116g00670	LBD
Zosma117g00710.1	Zosma117g00710	FAR1
Zosma117g00720.1	Zosma117g00720	NAC
Zosma118g00080.1	Zosma118g00080	FAR1
Zosma118g00140.1	Zosma118g00140	FAR1
Zosma118g00260.1	Zosma118g00260	S1Fa-like
Zosma118g00550.1	Zosma118g00550	bHLH
Zosma118g00580.1	Zosma118g00580	bHLH
Zosma118g00600.1	Zosma118g00600	bHLH
Zosma11g00130.1	Zosma11g00130	bHLH
Zosma11g00170.1	Zosma11g00170	bHLH
Zosma11g00210.1	Zosma11g00210	Trihelix
Zosma11g00600.1	Zosma11g00600	NAC
Zosma11g00640.1	Zosma11g00640	NF-YB
Zosma11g01070.1	Zosma11g01070	FAR1
Zosma11g01120.1	Zosma11g01120	TCP
Zosma120g00020.1	Zosma120g00020	bHLH
Zosma120g00170.1	Zosma120g00170	FAR1
Zosma120g00310.1	Zosma120g00310	Trihelix
Zosma120g00440.1	Zosma120g00440	YABBY
Zosma120g00460.1	Zosma120g00460	NAC
Zosma120g00600.1	Zosma120g00600	NF-YB
Zosma120g00710.1	Zosma120g00710	E2F/DP
Zosma121g00370.1	Zosma121g00370	bHLH
Zosma121g00740.1	Zosma121g00740	FAR1
Zosma122g00080.1	Zosma122g00080	GeBP
Zosma122g00810.1	Zosma122g00810	GATA
Zosma123g00440.1	Zosma123g00440	bHLH
Zosma124g00100.1	Zosma124g00100	bHLH
Zosma125g00170.1	Zosma125g00170	Nin-like
Zosma127g00040.1	Zosma127g00040	NF-YB
Zosma128g00200.1	Zosma128g00200	Dof
Zosma12g00320.1	Zosma12g00320	NAC
Zosma133g00330.1	Zosma133g00330	NF-YB
Zosma133g00680.1	Zosma133g00680	NAC
Zosma133g00690.1	Zosma133g00690	bZIP
Zosma134g00070.1	Zosma134g00070	GATA
Zosma135g00350.1	Zosma135g00350	TCP
Zosma135g00370.1	Zosma135g00370	GeBP
Zosma135g00380.1	Zosma135g00380	GRAS
Zosma136g00350.1	Zosma136g00350	bHLH
Zosma136g00380.1	Zosma136g00380	Dof
Zosma137g00180.1	Zosma137g00180	bHLH
Zosma13g00110.1	Zosma13g00110	NAC
Zosma13g00660.1	Zosma13g00660	bZIP
Zosma13g00870.1	Zosma13g00870	WRKY
Zosma140g00060.1	Zosma140g00060	WRKY
Zosma140g00280.1	Zosma140g00280	EIL
Zosma140g00360.1	Zosma140g00360	GATA
Zosma144g00250.1	Zosma144g00250	bZIP
Zosma145g00090.1	Zosma145g00090	FAR1
Zosma146g00480.1	Zosma146g00480	bZIP
Zosma147g00040.1	Zosma147g00040	FAR1
Zosma147g00350.1	Zosma147g00350	FAR1
Zosma148g00260.1	Zosma148g00260	bHLH
Zosma149g00100.1	Zosma149g00100	bHLH
Zosma149g00200.1	Zosma149g00200	NAC
Zosma149g00280.1	Zosma149g00280	NAC
Zosma14g00200.1	Zosma14g00200	bHLH
Zosma14g00260.1	Zosma14g00260	NAC
Zosma14g01070.1	Zosma14g01070	Nin-like
Zosma14g01120.1	Zosma14g01120	bZIP
Zosma14g01240.1	Zosma14g01240	GRAS
Zosma14g01800.1	Zosma14g01800	FAR1
Zosma150g00090.1	Zosma150g00090	FAR1
Zosma151g00250.1	Zosma151g00250	FAR1
Zosma151g00270.1	Zosma151g00270	FAR1
Zosma151g00300.1	Zosma151g00300	FAR1
Zosma153g00120.1	Zosma153g00120	SRS
Zosma153g00280.1	Zosma153g00280	bHLH
Zosma154g00170.1	Zosma154g00170	Dof
Zosma155g00090.1	Zosma155g00090	WRKY
Zosma157g00020.1	Zosma157g00020	GRAS
Zosma159g00120.1	Zosma159g00120	NAC
Zosma15g00230.1	Zosma15g00230	WRKY
Zosma15g00360.1	Zosma15g00360	LBD
Zosma15g00460.1	Zosma15g00460	WRKY
Zosma15g00510.1	Zosma15g00510	LBD
Zosma15g00570.1	Zosma15g00570	bHLH
Zosma15g01220.1	Zosma15g01220	bHLH
Zosma15g01420.1	Zosma15g01420	HSF
Zosma160g00270.1	Zosma160g00270	Trihelix
Zosma160g00350.1	Zosma160g00350	Dof
Zosma161g00190.1	Zosma161g00190	ZF-HD
Zosma161g00390.1	Zosma161g00390	FAR1
Zosma161g00440.1	Zosma161g00440	bHLH
Zosma162g00080.1	Zosma162g00080	LBD
Zosma162g00190.1	Zosma162g00190	GATA
Zosma163g00030.1	Zosma163g00030	NAC
Zosma164g00410.1	Zosma164g00410	FAR1
Zosma165g00120.1	Zosma165g00120	bZIP
Zosma165g00150.1	Zosma165g00150	bZIP
Zosma165g00400.1	Zosma165g00400	Trihelix
Zosma166g00500.1	Zosma166g00500	bZIP
Zosma166g00570.1	Zosma166g00570	Trihelix
Zosma169g00450.1	Zosma169g00450	bHLH
Zosma16g00020.1	Zosma16g00020	GeBP
Zosma16g00030.1	Zosma16g00030	WRKY
Zosma16g00330.1	Zosma16g00330	bHLH
Zosma16g01620.1	Zosma16g01620	bHLH
Zosma16g01820.1	Zosma16g01820	bZIP
Zosma170g00210.1	Zosma170g00210	LBD
Zosma170g00280.1	Zosma170g00280	FAR1
Zosma170g00320.1	Zosma170g00320	LBD
Zosma170g00540.1	Zosma170g00540	FAR1
Zosma171g00310.1	Zosma171g00310	bHLH
Zosma171g00350.1	Zosma171g00350	bHLH
Zosma171g00490.1	Zosma171g00490	bHLH
Zosma174g00060.1	Zosma174g00060	WRKY
Zosma174g00390.1	Zosma174g00390	GRAS
Zosma174g00400.1	Zosma174g00400	bZIP
Zosma174g00410.1	Zosma174g00410	BES1
Zosma175g00370.1	Zosma175g00370	FAR1
Zosma176g00400.1	Zosma176g00400	GATA
Zosma177g00200.1	Zosma177g00200	bHLH
Zosma1787g00010.1	Zosma1787g00010	NF-YB
Zosma1787g00020.1	Zosma1787g00020	NF-YB
Zosma178g00020.1	Zosma178g00020	Trihelix
Zosma179g00140.1	Zosma179g00140	FAR1
Zosma179g00260.1	Zosma179g00260	GRAS
Zosma179g00360.1	Zosma179g00360	SAP
Zosma17g00040.1	Zosma17g00040	FAR1
Zosma17g00060.1	Zosma17g00060	FAR1
Zosma17g00100.1	Zosma17g00100	FAR1
Zosma17g00260.1	Zosma17g00260	FAR1
