TF_ID	Gene_ID	Family
EPS59202.1	M569_15607	RAV
EPS68232.1	M569_06539	RAV
EPS58447.1	M569_16368	RAV
EPS62763.1	M569_12025	RAV
EPS57111.1	M569_17712	GATA
EPS57242.1	M569_17578	Trihelix
EPS57246.1	M569_17574	YABBY
EPS57274.1	M569_17547	NF-YA
EPS57302.1	M569_17517	SBP
EPS57303.1	M569_17516	LBD
EPS57324.1	M569_17494	YABBY
EPS57373.1	M569_17445	ZF-HD
EPS57409.1	M569_17409	bHLH
EPS57419.1	M569_17399	Dof
EPS57450.1	M569_17367	FAR1
EPS57474.1	M569_17343	Dof
EPS57494.1	M569_17322	CPP
EPS57585.1	M569_17232	bHLH
EPS57602.1	M569_17214	E2F/DP
EPS57629.1	M569_17188	WRKY
EPS57631.1	M569_17186	NAC
EPS57632.1	M569_17185	bHLH
EPS57704.1	M569_17113	LBD
EPS57728.1	M569_17090	bHLH
EPS57743.1	M569_17073	LBD
EPS57757.1	M569_17060	WRKY
EPS57769.1	M569_17048	NAC
EPS57820.1	M569_16997	bHLH
EPS57853.1	M569_16965	bHLH
EPS57889.1	M569_16927	GATA
EPS57998.1	M569_16819	SBP
EPS58052.1	M569_16764	GATA
EPS58076.1	M569_16740	TCP
EPS58188.1	M569_16628	bZIP
EPS58266.1	M569_16549	WRKY
EPS58336.1	M569_16479	bHLH
EPS58358.1	M569_16456	ZF-HD
EPS58430.1	M569_16384	bHLH
EPS58512.1	M569_16301	bZIP
EPS58538.1	M569_16275	Trihelix
EPS58586.1	M569_16227	NF-YB
EPS58618.1	M569_16193	LBD
EPS58686.1	M569_16127	WRKY
EPS58693.1	M569_16121	GATA
EPS58722.1	M569_16090	GRAS
EPS58961.1	M569_15851	bHLH
EPS58964.1	M569_15848	NAC
EPS58967.1	M569_15845	WRKY
EPS59020.1	M569_15793	GATA
EPS59021.1	M569_15790	NAC
EPS59023.1	M569_15789	GATA
EPS59032.1	M569_15779	SRS
EPS59077.1	M569_15732	WRKY
EPS59220.1	M569_15591	WRKY
EPS59231.1	M569_15578	NAC
EPS59263.1	M569_15545	Dof
EPS59324.1	M569_15484	SRS
EPS59332.1	M569_15478	TCP
EPS59366.1	M569_15442	WRKY
EPS59407.1	M569_15400	NAC
EPS59431.1	M569_15377	TCP
EPS59519.1	M569_15287	SBP
EPS59520.1	M569_15285	GRAS
EPS59561.1	M569_15244	bHLH
EPS59589.1	M569_15215	WRKY
EPS59618.1	M569_15186	Whirly
EPS59677.1	M569_15126	SBP
EPS59766.1	M569_15039	bHLH
EPS59982.1	M569_14821	NF-YC
EPS59989.1	M569_14814	bHLH
EPS60024.1	M569_14779	bZIP
EPS60030.1	M569_14774	Dof
EPS60069.1	M569_14736	WRKY
EPS60112.1	M569_14693	SBP
EPS60120.1	M569_14683	bZIP
EPS60133.1	M569_14671	BES1
EPS60198.1	M569_14606	WRKY
EPS60218.1	M569_14586	bZIP
EPS60225.1	M569_14578	GATA
EPS60387.1	M569_14415	BES1
EPS60392.1	M569_14411	WRKY
EPS60437.1	M569_14366	LBD
EPS60442.1	M569_14364	GATA
EPS60475.1	M569_14328	Dof
EPS60558.1	M569_14244	SRS
EPS60588.1	M569_14215	SBP
EPS60670.1	M569_14133	NF-YC
EPS60712.1	M569_14089	WRKY
EPS60726.1	M569_14078	NAC
EPS60825.1	M569_13976	bHLH
EPS60901.1	M569_13902	SRS
EPS60905.1	M569_13896	BES1
EPS60924.1	M569_13876	bHLH
EPS60950.1	M569_13852	FAR1
EPS60964.1	M569_13836	WRKY
EPS60989.1	M569_13812	TCP
EPS61017.1	M569_13783	ZF-HD
EPS61174.1	M569_13625	LFY
EPS61290.1	M569_13509	ZF-HD
EPS61311.1	M569_13486	YABBY
EPS61323.1	M569_13471	GRAS
EPS61345.1	M569_13453	NAC
EPS61400.1	M569_13399	Dof
EPS61412.1	M569_13384	WRKY
EPS61442.1	M569_13355	bHLH
EPS61509.1	M569_13289	bZIP
EPS61537.1	M569_13260	TCP
EPS61611.1	M569_13185	BES1
EPS61739.1	M569_13054	Nin-like
EPS61775.1	M569_13018	ZF-HD
EPS61800.1	M569_12994	bHLH
EPS61810.1	M569_12984	bZIP
EPS61835.1	M569_12956	GRAS
EPS61892.1	M569_12901	TCP
EPS61898.1	M569_12892	CAMTA
EPS61914.1	M569_12879	GATA
EPS61937.1	M569_12856	Dof
EPS61944.1	M569_12848	GRAS
EPS61970.1	M569_12823	E2F/DP
EPS62083.1	M569_12710	NAC
EPS62318.1	M569_12475	bHLH
EPS62345.1	M569_12445	TCP
EPS62348.1	M569_12443	Dof
EPS62367.1	M569_12422	FAR1
EPS62375.1	M569_12418	Dof
EPS62404.1	M569_12388	NAC
EPS62439.1	M569_12352	GeBP
EPS62474.1	M569_12315	bHLH
EPS62527.1	M569_12264	CPP
EPS62557.1	M569_12235	NF-YB
EPS62571.1	M569_12220	bZIP
EPS62577.1	M569_12214	NAC
EPS62617.1	M569_12173	bHLH
EPS62621.1	M569_12169	HSF
EPS62626.1	M569_12163	GRAS
EPS62629.1	M569_12158	GRAS
EPS62633.1	M569_12157	TCP
EPS62637.1	M569_12154	Trihelix
EPS62731.1	M569_12059	bHLH
EPS62739.1	M569_12050	bZIP
EPS62805.1	M569_11983	FAR1
EPS62848.1	M569_11942	WRKY
EPS62860.1	M569_11927	NAC
EPS62866.1	M569_11921	bHLH
EPS62922.1	M569_11865	TCP
EPS62927.1	M569_11862	NAC
EPS62935.1	M569_11853	bHLH
EPS63021.1	M569_11763	GRAS
EPS63024.1	M569_11766	bZIP
EPS63036.1	M569_11750	HSF
EPS63061.1	M569_11726	YABBY
EPS63137.1	M569_11650	LBD
EPS63160.1	M569_11630	GATA
EPS63193.1	M569_11593	bZIP
EPS63200.1	M569_11588	LBD
EPS63224.1	M569_11563	Dof
EPS63255.1	M569_11531	bZIP
EPS63294.1	M569_11491	E2F/DP
EPS63307.1	M569_11475	FAR1
EPS63326.1	M569_11459	LBD
EPS63341.1	M569_11443	bZIP
EPS63342.1	M569_11444	bZIP
EPS63403.1	M569_11382	Trihelix
EPS63404.1	M569_11379	bHLH
EPS63427.1	M569_11357	EIL
EPS63477.1	M569_11304	Nin-like
EPS63497.1	M569_11287	ZF-HD
EPS63500.1	M569_11283	NAC
EPS63547.1	M569_11238	TCP
EPS63592.1	M569_11192	NAC
EPS63595.1	M569_11189	bZIP
EPS63628.1	M569_11157	SBP
EPS63650.1	M569_11136	WRKY
EPS63662.1	M569_11122	EIL
EPS63665.1	M569_11120	NAC
EPS63677.1	M569_11104	NAC
EPS63689.1	M569_11095	Trihelix
EPS63761.1	M569_11024	bZIP
EPS63781.1	M569_11002	bZIP
EPS63836.1	M569_10951	bZIP
EPS63856.1	M569_10928	NAC
EPS63866.1	M569_10918	WRKY
EPS63910.1	M569_10872	bHLH
EPS63933.1	M569_10850	Trihelix
EPS63951.1	M569_10833	NAC
EPS64133.1	M569_10651	SBP
EPS64161.1	M569_10618	LBD
EPS64174.1	M569_10607	LBD
EPS64185.1	M569_10596	Nin-like
EPS64228.1	M569_10553	bHLH
EPS64303.1	M569_10472	NAC
EPS64313.1	M569_10468	SBP
EPS64380.1	M569_10405	bHLH
EPS64513.1	M569_10268	TCP
EPS64516.1	M569_10266	bHLH
EPS64590.1	M569_10191	NF-YC
EPS64600.1	M569_10180	GRAS
EPS64619.1	M569_10161	GATA
EPS64682.1	M569_10098	bHLH
EPS64773.1	M569_10008	bZIP
EPS64783.1	M569_09997	TCP
EPS64790.1	M569_09991	bHLH
EPS64836.1	M569_09942	Trihelix
EPS64902.1	M569_09876	NAC
EPS64949.1	M569_09830	GRAS
EPS65020.1	M569_09760	LBD
EPS65022.1	M569_09757	CPP
EPS65077.1	M569_09702	WRKY
EPS65159.1	M569_09619	bZIP
EPS65185.1	M569_09595	NF-YB
EPS65189.1	M569_09591	WRKY
EPS65214.1	M569_09567	Trihelix
EPS65251.1	M569_09527	ZF-HD
EPS65274.1	M569_09502	TCP
EPS65370.1	M569_09407	TCP
EPS65383.1	M569_09393	GRAS
EPS65413.1	M569_09365	NAC
EPS65511.1	M569_09266	bHLH
EPS65520.1	M569_09258	bZIP
EPS65686.1	M569_09090	NAC
EPS65703.1	M569_09071	NAC
EPS65704.1	M569_09072	NAC
EPS65759.1	M569_09019	bHLH
EPS65839.1	M569_08937	SBP
EPS65849.1	M569_08928	NAC
EPS65891.1	M569_08886	bHLH
EPS65924.1	M569_08855	bZIP
EPS65935.1	M569_08844	CAMTA
EPS66017.1	M569_08759	bHLH
EPS66072.1	M569_08705	WRKY
EPS66166.1	M569_08613	WRKY
EPS66178.1	M569_08600	WRKY
EPS66211.1	M569_08564	Nin-like
EPS66220.1	M569_08557	NF-YC
EPS66320.1	M569_08458	Dof
EPS66325.1	M569_08452	Dof
EPS66375.1	M569_08403	Trihelix
EPS66389.1	M569_08391	bHLH
EPS66396.1	M569_08381	HSF
EPS66403.1	M569_08377	bHLH
EPS66425.1	M569_08355	bZIP
EPS66445.1	M569_08332	Whirly
EPS66447.1	M569_08329	bHLH
EPS66481.1	M569_08295	WRKY
EPS66490.1	M569_08288	WRKY
EPS66506.1	M569_08271	S1Fa-like
EPS66527.1	M569_08250	HSF
EPS66593.1	M569_08184	bHLH
EPS66609.1	M569_08169	WRKY
EPS66715.1	M569_08064	bHLH
EPS66761.1	M569_08015	TCP
EPS66831.1	M569_07945	WRKY
EPS66836.1	M569_07940	STAT
EPS66915.1	M569_07862	bHLH
EPS66922.1	M569_07854	Dof
EPS66983.1	M569_07796	NAC
EPS67020.1	M569_07755	NAC
EPS67038.1	M569_07739	bHLH
EPS67042.1	M569_07733	BBR-BPC
EPS67081.1	M569_07696	bHLH
EPS67083.1	M569_07694	Trihelix
EPS67147.1	M569_07631	bHLH
EPS67172.1	M569_07604	GATA
EPS67201.1	M569_07575	FAR1
EPS67211.1	M569_07557	bZIP
EPS67213.1	M569_07559	NAC
EPS67305.1	M569_07471	Dof
EPS67373.1	M569_07402	NF-YB
EPS67384.1	M569_07391	bHLH
EPS67439.1	M569_07336	bZIP
EPS67448.1	M569_07326	LFY
EPS67450.1	M569_07328	WRKY
EPS67461.1	M569_07313	Trihelix
EPS67518.1	M569_07261	bHLH
EPS67626.1	M569_07148	bHLH
EPS67701.1	M569_07072	FAR1
EPS67726.1	M569_07046	FAR1
EPS67749.1	M569_07030	bHLH
EPS67750.1	M569_07024	WRKY
EPS67789.1	M569_06985	Dof
EPS67815.1	M569_06957	GRAS
EPS67845.1	M569_06930	GATA
EPS67869.1	M569_06900	bZIP
EPS67873.1	M569_06904	HSF
EPS67877.1	M569_06895	GRAS
EPS67979.1	M569_06795	Trihelix
EPS68000.1	M569_06775	Nin-like
EPS68080.1	M569_06699	WRKY
EPS68093.1	M569_06680	bHLH
EPS68095.1	M569_06679	bHLH
EPS68099.1	M569_06676	Trihelix
EPS68117.1	M569_06659	FAR1
EPS68198.1	M569_06575	TCP
EPS68202.1	M569_06569	NAC
EPS68229.1	M569_06541	NAC
EPS68238.1	M569_06532	Trihelix
EPS68254.1	M569_06515	GRAS
EPS68274.1	M569_06497	bHLH
EPS68333.1	M569_06440	SRS
EPS68360.1	M569_06411	Dof
EPS68364.1	M569_06407	BES1
EPS68388.1	M569_06382	bHLH
EPS68391.1	M569_06378	bHLH
EPS68402.1	M569_06365	bHLH
EPS68410.1	M569_06360	GATA
EPS68470.1	M569_06300	HSF
EPS68490.1	M569_06279	NAC
EPS68530.1	M569_06240	HSF
EPS68637.1	M569_06133	bZIP
EPS68652.1	M569_06118	WRKY
EPS68755.1	M569_06010	Trihelix
EPS68768.1	M569_06001	bZIP
EPS68796.1	M569_05970	GRAS
EPS68800.1	M569_05974	bHLH
EPS68836.1	M569_05932	VOZ
EPS68946.1	M569_05823	YABBY
EPS69041.1	M569_05727	NAC
EPS69073.1	M569_05693	HSF
EPS69096.1	M569_05669	bZIP
EPS69128.1	M569_05641	NF-YB
EPS69130.1	M569_05637	NAC
EPS69290.1	M569_05476	LBD
EPS69315.1	M569_05449	bZIP
EPS69330.1	M569_05436	NAC
EPS69415.1	M569_05351	bZIP
EPS69448.1	M569_05319	bZIP
EPS69456.1	M569_05311	bHLH
EPS69493.1	M569_05273	LBD
EPS69508.1	M569_05260	NF-YB
EPS69523.1	M569_05241	NF-X1
EPS69527.1	M569_05240	SBP
EPS69544.1	M569_05222	Nin-like
EPS69607.1	M569_05160	ZF-HD
EPS69651.1	M569_05114	GATA
EPS69684.1	M569_05084	WRKY
EPS69845.1	M569_04922	Trihelix
EPS69915.1	M569_04850	GATA
EPS69950.1	M569_04815	LBD
EPS70002.1	M569_04761	NAC
EPS70015.1	M569_04747	YABBY
EPS70044.1	M569_04726	Trihelix
EPS70083.1	M569_04679	WRKY
EPS70091.1	M569_04687	Dof
EPS70109.1	M569_04652	bHLH
EPS70111.1	M569_04649	NF-YC
EPS70172.1	M569_04589	ZF-HD
EPS70176.1	M569_04585	bHLH
EPS70204.1	M569_04558	GeBP
EPS70260.1	M569_04499	HSF
EPS70298.1	M569_04459	NAC
EPS70314.1	M569_04455	bHLH
EPS70326.1	M569_04435	E2F/DP
EPS70340.1	M569_04421	bHLH
EPS70356.1	M569_04404	GRAS
EPS70368.1	M569_04392	BBR-BPC
EPS70400.1	M569_04364	bHLH
EPS70444.1	M569_04315	NAC
EPS70463.1	M569_04302	TCP
EPS70535.1	M569_04225	TCP
EPS70613.1	M569_04147	bHLH
EPS70626.1	M569_04133	CPP
EPS70639.1	M569_04124	bHLH
EPS70646.1	M569_04111	bZIP
EPS70696.1	M569_04063	ZF-HD
EPS70697.1	M569_04064	ZF-HD
EPS70738.1	M569_04023	bZIP
EPS70820.1	M569_03941	SRS
EPS70828.1	M569_03931	bZIP
EPS70844.1	M569_03916	bHLH
EPS70852.1	M569_03911	SBP
EPS70863.1	M569_03899	NAC
EPS70871.1	M569_03888	TCP
EPS70881.1	M569_03879	bZIP
EPS70912.1	M569_03847	NAC
EPS70917.1	M569_03842	HSF
EPS70995.1	M569_03766	NF-YA
EPS71010.1	M569_03756	Trihelix
EPS71023.1	M569_03732	bHLH
EPS71051.1	M569_03716	bHLH
EPS71066.1	M569_03693	NAC
EPS71097.1	M569_03664	WRKY
EPS71135.1	M569_03624	Trihelix
EPS71175.1	M569_03582	bZIP
