TF_ID	Gene_ID	Family
Cagra.1157s0007.1.p	Cagra.1157s0007	RAV
Cagra.3501s0173.1.p	Cagra.3501s0173	RAV
Cagra.2093s0004.1.p	Cagra.2093s0004	RAV
Cagra.0001s0017.1.p	Cagra.0001s0017	WRKY
Cagra.0001s0019.1.p	Cagra.0001s0019	GRAS
Cagra.0007s0045.1.p	Cagra.0007s0045	TCP
Cagra.0007s0060.1.p	Cagra.0007s0060	NAC
Cagra.0007s0069.1.p	Cagra.0007s0069	SBP
Cagra.0007s0097.1.p	Cagra.0007s0097	NAC
Cagra.0026s0014.1.p	Cagra.0026s0014	GATA
Cagra.0026s0026.1.p	Cagra.0026s0026	bHLH
Cagra.0026s0026.2.p	Cagra.0026s0026	bHLH
Cagra.0026s0026.3.p	Cagra.0026s0026	bHLH
Cagra.0026s0026.4.p	Cagra.0026s0026	bHLH
Cagra.0026s0060.1.p	Cagra.0026s0060	bHLH
Cagra.0027s0007.1.p	Cagra.0027s0007	bZIP
Cagra.0027s0011.1.p	Cagra.0027s0011	SRS
Cagra.0038s0001.1.p	Cagra.0038s0001	LBD
Cagra.0050s0002.1.p	Cagra.0050s0002	bHLH
Cagra.0050s0019.1.p	Cagra.0050s0019	bHLH
Cagra.0050s0019.2.p	Cagra.0050s0019	bHLH
Cagra.0050s0024.1.p	Cagra.0050s0024	NAC
Cagra.0050s0039.1.p	Cagra.0050s0039	Dof
Cagra.0050s0039.2.p	Cagra.0050s0039	Dof
Cagra.0050s0048.1.p	Cagra.0050s0048	bHLH
Cagra.0050s0059.1.p	Cagra.0050s0059	WRKY
Cagra.0050s0071.1.p	Cagra.0050s0071	bZIP
Cagra.0050s0108.1.p	Cagra.0050s0108	BES1
Cagra.0050s0132.1.p	Cagra.0050s0132	TCP
Cagra.0053s0009.1.p	Cagra.0053s0009	CAMTA
Cagra.0053s0009.2.p	Cagra.0053s0009	CAMTA
Cagra.0053s0014.1.p	Cagra.0053s0014	GATA
Cagra.0062s0038.1.p	Cagra.0062s0038	WRKY
Cagra.0077s0017.1.p	Cagra.0077s0017	WRKY
Cagra.0083s0006.1.p	Cagra.0083s0006	TCP
Cagra.0084s0027.1.p	Cagra.0084s0027	WRKY
Cagra.0084s0050.1.p	Cagra.0084s0050	Nin-like
Cagra.0084s0068.1.p	Cagra.0084s0068	bHLH
Cagra.0086s0001.1.p	Cagra.0086s0001	WRKY
Cagra.0094s0002.1.p	Cagra.0094s0002	TCP
Cagra.0096s0044.1.p	Cagra.0096s0044	bZIP
Cagra.0096s0044.2.p	Cagra.0096s0044	bZIP
Cagra.0096s0075.1.p	Cagra.0096s0075	HSF
Cagra.0096s0087.1.p	Cagra.0096s0087	NAC
Cagra.0114s0053.1.p	Cagra.0114s0053	bHLH
Cagra.0117s0007.1.p	Cagra.0117s0007	SBP
Cagra.0133s0006.1.p	Cagra.0133s0006	bHLH
Cagra.0133s0025.1.p	Cagra.0133s0025	GATA
Cagra.0133s0077.1.p	Cagra.0133s0077	bHLH
Cagra.0133s0093.1.p	Cagra.0133s0093	FAR1
Cagra.0133s0118.1.p	Cagra.0133s0118	GeBP
Cagra.0133s0118.2.p	Cagra.0133s0118	GeBP
Cagra.0133s0118.3.p	Cagra.0133s0118	GeBP
Cagra.0133s0118.4.p	Cagra.0133s0118	GeBP
Cagra.0134s0008.1.p	Cagra.0134s0008	NF-YC
Cagra.0147s0016.1.p	Cagra.0147s0016	Whirly
Cagra.0147s0022.1.p	Cagra.0147s0022	bHLH
Cagra.0149s0005.1.p	Cagra.0149s0005	Dof
Cagra.0154s0031.1.p	Cagra.0154s0031	HSF
Cagra.0154s0034.1.p	Cagra.0154s0034	Trihelix
Cagra.0157s0008.1.p	Cagra.0157s0008	GeBP
Cagra.0196s0006.1.p	Cagra.0196s0006	GRAS
Cagra.0202s0011.1.p	Cagra.0202s0011	bHLH
Cagra.0202s0011.2.p	Cagra.0202s0011	bHLH
Cagra.0202s0012.1.p	Cagra.0202s0012	NAC
Cagra.0210s0018.1.p	Cagra.0210s0018	bHLH
Cagra.0216s0013.1.p	Cagra.0216s0013	bHLH
Cagra.0228s0013.1.p	Cagra.0228s0013	bZIP
Cagra.0228s0023.1.p	Cagra.0228s0023	GeBP
Cagra.0239s0022.1.p	Cagra.0239s0022	Trihelix
Cagra.0239s0026.1.p	Cagra.0239s0026	WRKY
Cagra.0239s0057.1.p	Cagra.0239s0057	GATA
Cagra.0239s0069.1.p	Cagra.0239s0069	GRAS
Cagra.0239s0072.1.p	Cagra.0239s0072	YABBY
Cagra.0248s0020.1.p	Cagra.0248s0020	Trihelix
Cagra.0248s0024.1.p	Cagra.0248s0024	NF-YC
Cagra.0248s0059.1.p	Cagra.0248s0059	NAC
Cagra.0248s0087.1.p	Cagra.0248s0087	NAC
Cagra.0248s0103.1.p	Cagra.0248s0103	CAMTA
Cagra.0248s0135.1.p	Cagra.0248s0135	NAC
Cagra.0255s0014.1.p	Cagra.0255s0014	WRKY
Cagra.0263s0009.1.p	Cagra.0263s0009	ZF-HD
Cagra.0263s0012.1.p	Cagra.0263s0012	SBP
Cagra.0263s0023.1.p	Cagra.0263s0023	FAR1
Cagra.0268s0010.1.p	Cagra.0268s0010	bHLH
Cagra.0277s0021.1.p	Cagra.0277s0021	bHLH
Cagra.0277s0022.1.p	Cagra.0277s0022	bHLH
Cagra.0301s0027.1.p	Cagra.0301s0027	Trihelix
Cagra.0301s0034.1.p	Cagra.0301s0034	NAC
Cagra.0316s0001.1.p	Cagra.0316s0001	bHLH
Cagra.0316s0082.1.p	Cagra.0316s0082	bHLH
Cagra.0327s0005.1.p	Cagra.0327s0005	FAR1
Cagra.0334s0001.1.p	Cagra.0334s0001	NAC
Cagra.0334s0014.1.p	Cagra.0334s0014	WRKY
Cagra.0338s0002.1.p	Cagra.0338s0002	CPP
Cagra.0338s0008.1.p	Cagra.0338s0008	bHLH
Cagra.0338s0008.2.p	Cagra.0338s0008	bHLH
Cagra.0338s0014.1.p	Cagra.0338s0014	GeBP
Cagra.0342s0029.1.p	Cagra.0342s0029	GRAS
Cagra.0342s0030.1.p	Cagra.0342s0030	LBD
Cagra.0352s0013.1.p	Cagra.0352s0013	FAR1
Cagra.0380s0001.1.p	Cagra.0380s0001	Trihelix
Cagra.0380s0001.2.p	Cagra.0380s0001	Trihelix
Cagra.0380s0028.1.p	Cagra.0380s0028	bHLH
Cagra.0380s0033.1.p	Cagra.0380s0033	WRKY
Cagra.0391s0009.1.p	Cagra.0391s0009	WRKY
Cagra.0402s0006.1.p	Cagra.0402s0006	ZF-HD
Cagra.0402s0022.1.p	Cagra.0402s0022	BES1
