TF_ID	Gene_ID	Family
OMERI01G02480.1	OMERI01G02480	RAV
OMERI01G02500.1	OMERI01G02500	RAV
OMERI05G22110.1	OMERI05G22110	RAV
OMERI01G25110.1	OMERI01G25110	RAV
OMERI01G00060.1	OMERI01G00060	bHLH
OMERI01G00100.1	OMERI01G00100	bHLH
OMERI01G00290.1	OMERI01G00290	bHLH
OMERI01G01380.1	OMERI01G01380	LBD
OMERI01G01850.1	OMERI01G01850	NAC
OMERI01G02010.1	OMERI01G02010	NAC
OMERI01G03770.1	OMERI01G03770	NF-X1
OMERI01G03770.2	OMERI01G03770	NF-X1
OMERI01G03770.3	OMERI01G03770	NF-X1
OMERI01G03850.1	OMERI01G03850	bHLH
OMERI01G04420.1	OMERI01G04420	LBD
OMERI01G04770.1	OMERI01G04770	bZIP
OMERI01G04770.2	OMERI01G04770	bZIP
OMERI01G04980.1	OMERI01G04980	BES1
OMERI01G05540.2	OMERI01G05540	WRKY
OMERI01G05620.1	OMERI01G05620	NF-YC
OMERI01G05820.1	OMERI01G05820	WRKY
OMERI01G05820.2	OMERI01G05820	WRKY
OMERI01G05840.1	OMERI01G05840	WRKY
OMERI01G06150.1	OMERI01G06150	Dof
OMERI01G06280.1	OMERI01G06280	bHLH
OMERI01G06290.1	OMERI01G06290	bHLH
OMERI01G06300.1	OMERI01G06300	bHLH
OMERI01G06300.2	OMERI01G06300	bHLH
OMERI01G06310.1	OMERI01G06310	bHLH
OMERI01G07200.1	OMERI01G07200	TCP
OMERI01G07200.2	OMERI01G07200	TCP
OMERI01G07330.1	OMERI01G07330	bHLH
OMERI01G07330.2	OMERI01G07330	bHLH
OMERI01G08610.1	OMERI01G08610	bHLH
OMERI01G08690.1	OMERI01G08690	Nin-like
OMERI01G09040.1	OMERI01G09040	LBD
OMERI01G09230.1	OMERI01G09230	Nin-like
OMERI01G09260.1	OMERI01G09260	WRKY
OMERI01G09440.1	OMERI01G09440	GeBP
OMERI01G10150.1	OMERI01G10150	NAC
OMERI01G10280.1	OMERI01G10280	Dof
OMERI01G11130.1	OMERI01G11130	Dof
OMERI01G11390.1	OMERI01G11390	bZIP
OMERI01G12940.1	OMERI01G12940	NAC
OMERI01G13210.1	OMERI01G13210	NF-YC
OMERI01G14750.1	OMERI01G14750	NAC
OMERI01G15210.1	OMERI01G15210	NAC
OMERI01G15230.1	OMERI01G15230	NAC
OMERI01G15230.2	OMERI01G15230	NAC
OMERI01G15230.3	OMERI01G15230	NAC
OMERI01G15230.4	OMERI01G15230	NAC
OMERI01G16320.1	OMERI01G16320	LBD
OMERI01G16690.1	OMERI01G16690	bHLH
