TF_ID	Gene_ID	Family
TRIUR3_27886-P1	TRIUR3_27886	RAV
TRIUR3_24851-P1	TRIUR3_24851	RAV
TRIUR3_00446-P1	TRIUR3_00446	NAC
TRIUR3_00447-P1	TRIUR3_00447	NAC
TRIUR3_00571-P1	TRIUR3_00571	bZIP
TRIUR3_00706-P1	TRIUR3_00706	NAC
TRIUR3_00725-P1	TRIUR3_00725	GRAS
TRIUR3_00728-P1	TRIUR3_00728	GRAS
TRIUR3_00729-P1	TRIUR3_00729	GRAS
TRIUR3_00919-P1	TRIUR3_00919	FAR1
TRIUR3_00968-P1	TRIUR3_00968	bHLH
TRIUR3_01111-P1	TRIUR3_01111	FAR1
TRIUR3_01157-P1	TRIUR3_01157	bHLH
TRIUR3_01204-P1	TRIUR3_01204	bZIP
TRIUR3_01224-P1	TRIUR3_01224	bHLH
TRIUR3_01225-P1	TRIUR3_01225	bHLH
TRIUR3_01282-P1	TRIUR3_01282	bHLH
TRIUR3_01346-P1	TRIUR3_01346	NAC
TRIUR3_01445-P1	TRIUR3_01445	WRKY
TRIUR3_01447-P1	TRIUR3_01447	WRKY
TRIUR3_01454-P1	TRIUR3_01454	bHLH
TRIUR3_01477-P1	TRIUR3_01477	LBD
TRIUR3_01582-P1	TRIUR3_01582	NAC
TRIUR3_01653-P1	TRIUR3_01653	bZIP
TRIUR3_01793-P1	TRIUR3_01793	YABBY
TRIUR3_01901-P1	TRIUR3_01901	NAC
TRIUR3_01979-P1	TRIUR3_01979	WRKY
TRIUR3_02308-P1	TRIUR3_02308	HSF
TRIUR3_02376-P1	TRIUR3_02376	WRKY
TRIUR3_02784-P1	TRIUR3_02784	bZIP
TRIUR3_03043-P1	TRIUR3_03043	WRKY
TRIUR3_03056-P1	TRIUR3_03056	WRKY
TRIUR3_03147-P1	TRIUR3_03147	FAR1
TRIUR3_03165-P1	TRIUR3_03165	GATA
TRIUR3_03202-P1	TRIUR3_03202	FAR1
TRIUR3_03541-P1	TRIUR3_03541	GRAS
TRIUR3_03598-P1	TRIUR3_03598	NAC
TRIUR3_03699-P1	TRIUR3_03699	FAR1
TRIUR3_03719-P1	TRIUR3_03719	FAR1
TRIUR3_03734-P1	TRIUR3_03734	NF-YC
TRIUR3_03769-P1	TRIUR3_03769	WRKY
TRIUR3_03864-P1	TRIUR3_03864	FAR1
TRIUR3_03895-P1	TRIUR3_03895	NAC
TRIUR3_03984-P1	TRIUR3_03984	TCP
TRIUR3_04029-P1	TRIUR3_04029	bHLH
TRIUR3_04286-P1	TRIUR3_04286	NAC
TRIUR3_04332-P1	TRIUR3_04332	NAC
TRIUR3_04352-P1	TRIUR3_04352	WRKY
TRIUR3_04556-P1	TRIUR3_04556	NAC
TRIUR3_04557-P1	TRIUR3_04557	NAC
TRIUR3_04558-P1	TRIUR3_04558	NAC
TRIUR3_04618-P1	TRIUR3_04618	bHLH
TRIUR3_04784-P1	TRIUR3_04784	NAC
TRIUR3_04855-P1	TRIUR3_04855	NAC
TRIUR3_05004-P1	TRIUR3_05004	NAC
TRIUR3_05031-P1	TRIUR3_05031	FAR1
