TF_ID	Gene_ID	Family
Vang0005s01200.1	Vang0005s01200	RAV
Vang0005s01200.8	Vang0005s01200	RAV
Vang06g06210.1	Vang06g06210	RAV
Vang0005s01200.7	Vang0005s01200	RAV
Vang0005s01200.3	Vang0005s01200	RAV
Vang0005s01200.2	Vang0005s01200	RAV
Vang06g04080.1	Vang06g04080	RAV
Vang0002ss00200.1	Vang0002ss00200	SBP
Vang0002ss00360.1	Vang0002ss00360	Nin-like
Vang0002ss00360.2	Vang0002ss00360	Nin-like
Vang0002ss01220.1	Vang0002ss01220	Trihelix
Vang0002ss01300.1	Vang0002ss01300	FAR1
Vang0002ss01810.1	Vang0002ss01810	bHLH
Vang0002ss01900.1	Vang0002ss01900	BES1
Vang0002ss01900.2	Vang0002ss01900	BES1
Vang0004ss00480.1	Vang0004ss00480	bZIP
Vang0004ss00720.1	Vang0004ss00720	Trihelix
Vang0004ss00980.1	Vang0004ss00980	bHLH
Vang0004ss01080.1	Vang0004ss01080	NAC
Vang0004ss01090.1	Vang0004ss01090	bHLH
Vang0004ss01230.1	Vang0004ss01230	BBR-BPC
Vang0005s00190.1	Vang0005s00190	WRKY
Vang0005s00450.1	Vang0005s00450	WRKY
Vang0005s00670.1	Vang0005s00670	NAC
Vang0005s01260.1	Vang0005s01260	bZIP
Vang0005s01620.1	Vang0005s01620	bHLH
Vang0005s01870.1	Vang0005s01870	bZIP
Vang0005s01920.1	Vang0005s01920	bHLH
Vang0005s01920.2	Vang0005s01920	bHLH
Vang0005s01920.3	Vang0005s01920	bHLH
Vang0005s01920.4	Vang0005s01920	bHLH
Vang0010ss00010.1	Vang0010ss00010	bHLH
Vang0010ss00350.1	Vang0010ss00350	GATA
Vang0010ss00970.1	Vang0010ss00970	bHLH
Vang0010ss00970.2	Vang0010ss00970	bHLH
Vang0010ss01460.1	Vang0010ss01460	GRAS
Vang0010ss01650.1	Vang0010ss01650	Dof
Vang0010ss01840.1	Vang0010ss01840	Dof
Vang0010ss01910.1	Vang0010ss01910	LBD
Vang0010ss03040.1	Vang0010ss03040	Nin-like
Vang0010ss03200.1	Vang0010ss03200	FAR1
Vang0010ss03280.1	Vang0010ss03280	SBP
Vang0013ss00590.1	Vang0013ss00590	bZIP
Vang0013ss00970.1	Vang0013ss00970	WRKY
Vang0013ss00970.2	Vang0013ss00970	WRKY
Vang0017s00100.1	Vang0017s00100	ZF-HD
Vang0017s00340.1	Vang0017s00340	GATA
Vang0017s00340.2	Vang0017s00340	GATA
Vang0017s00470.1	Vang0017s00470	bHLH
Vang0017s01160.1	Vang0017s01160	LBD
Vang0021ss00200.1	Vang0021ss00200	NAC
Vang0021ss00200.2	Vang0021ss00200	NAC
Vang0021ss00330.1	Vang0021ss00330	NAC
Vang0021ss00430.1	Vang0021ss00430	bZIP
Vang0021ss00430.2	Vang0021ss00430	bZIP
Vang0021ss00430.3	Vang0021ss00430	bZIP
Vang0021ss00530.1	Vang0021ss00530	bZIP
Vang0021ss00670.1	Vang0021ss00670	EIL
Vang0021ss00670.2	Vang0021ss00670	EIL
Vang0021ss00770.1	Vang0021ss00770	Trihelix
Vang0021ss01090.1	Vang0021ss01090	GRAS
Vang0021ss01170.1	Vang0021ss01170	GRAS
Vang0021ss01420.1	Vang0021ss01420	Dof
Vang0021ss01890.1	Vang0021ss01890	LBD
Vang0021ss02010.1	Vang0021ss02010	NAC
Vang0021ss02170.1	Vang0021ss02170	GATA
Vang0021ss02320.1	Vang0021ss02320	TCP
Vang0021ss02470.1	Vang0021ss02470	bHLH
Vang0022ss00680.1	Vang0022ss00680	NAC
Vang0022ss02120.1	Vang0022ss02120	bHLH
Vang0022ss02430.1	Vang0022ss02430	NAC
Vang0022ss02660.1	Vang0022ss02660	LBD
Vang0022ss02700.1	Vang0022ss02700	NF-YC
Vang0022ss02910.1	Vang0022ss02910	bZIP
Vang0022ss03330.1	Vang0022ss03330	FAR1
Vang0022ss03970.1	Vang0022ss03970	GRAS
Vang0022ss04030.1	Vang0022ss04030	bZIP
Vang0022ss04360.1	Vang0022ss04360	NAC
Vang0022ss04630.1	Vang0022ss04630	Trihelix
Vang0022ss04690.1	Vang0022ss04690	SRS
Vang0026ss00240.1	Vang0026ss00240	NAC
Vang0026ss00720.1	Vang0026ss00720	bZIP
Vang0027ss00340.1	Vang0027ss00340	WRKY
Vang0027ss00450.1	Vang0027ss00450	bHLH
Vang0027ss00510.1	Vang0027ss00510	bHLH
Vang0029ss00050.1	Vang0029ss00050	NAC
Vang0029ss00060.1	Vang0029ss00060	NAC
Vang0029ss00610.1	Vang0029ss00610	bHLH
Vang0029ss00610.2	Vang0029ss00610	bHLH
Vang0032ss00010.1	Vang0032ss00010	bHLH
Vang0032ss00820.1	Vang0032ss00820	NAC
Vang0032ss00820.2	Vang0032ss00820	NAC
Vang0032ss00820.3	Vang0032ss00820	NAC
Vang0032ss00820.4	Vang0032ss00820	NAC
Vang0032ss01120.1	Vang0032ss01120	bHLH
Vang0032ss01120.3	Vang0032ss01120	bHLH
Vang0032ss01920.1	Vang0032ss01920	bZIP
Vang0032ss01940.1	Vang0032ss01940	NF-YB
Vang0032ss02050.1	Vang0032ss02050	NAC
Vang0032ss02410.1	Vang0032ss02410	YABBY
Vang0032ss02430.1	Vang0032ss02430	WRKY
Vang0033ss00680.1	Vang0033ss00680	bHLH
Vang0033ss00800.1	Vang0033ss00800	YABBY
Vang0033ss01130.1	Vang0033ss01130	WRKY
Vang0033ss01150.1	Vang0033ss01150	Whirly
Vang0033ss01360.1	Vang0033ss01360	NAC
Vang0033ss01440.1	Vang0033ss01440	ZF-HD
Vang0033ss01490.1	Vang0033ss01490	bHLH
Vang0039ss00230.1	Vang0039ss00230	EIL
Vang0039ss00390.1	Vang0039ss00390	WRKY
Vang0039ss00390.2	Vang0039ss00390	WRKY
Vang0039ss00690.1	Vang0039ss00690	FAR1
Vang0039ss00690.2	Vang0039ss00690	FAR1
Vang0039ss01220.1	Vang0039ss01220	NF-YC
Vang0039ss01220.2	Vang0039ss01220	NF-YC
Vang0039ss01810.1	Vang0039ss01810	NAC
Vang0041ss00020.1	Vang0041ss00020	GRAS
Vang0041ss00850.1	Vang0041ss00850	NAC
Vang0041ss00850.2	Vang0041ss00850	NAC
Vang0041ss00850.3	Vang0041ss00850	NAC
Vang0041ss00850.4	Vang0041ss00850	NAC
Vang0041ss00850.5	Vang0041ss00850	NAC
Vang0041ss00850.6	Vang0041ss00850	NAC
Vang0041ss00850.7	Vang0041ss00850	NAC
Vang0041ss00850.8	Vang0041ss00850	NAC
Vang0041ss00850.9	Vang0041ss00850	NAC
Vang0045ss00820.1	Vang0045ss00820	NF-YA
Vang0045ss00820.2	Vang0045ss00820	NF-YA
Vang0045ss01060.1	Vang0045ss01060	bZIP
Vang0045ss01380.1	Vang0045ss01380	CAMTA
Vang0051s00070.1	Vang0051s00070	GRAS
Vang0051s00070.2	Vang0051s00070	GRAS
Vang0051s00070.3	Vang0051s00070	GRAS
Vang0051s00140.1	Vang0051s00140	WRKY
Vang0051s00560.1	Vang0051s00560	NF-YA
Vang0057s00060.1	Vang0057s00060	Dof
Vang0057s00340.1	Vang0057s00340	bHLH
Vang0057s00450.1	Vang0057s00450	FAR1
Vang0057s00490.1	Vang0057s00490	ZF-HD
Vang0057ss00850.1	Vang0057ss00850	LBD
Vang0057ss00930.1	Vang0057ss00930	bHLH
Vang0057ss00970.1	Vang0057ss00970	LBD
Vang0057ss00970.2	Vang0057ss00970	LBD
Vang0057ss01020.1	Vang0057ss01020	NF-X1
Vang0057ss01020.2	Vang0057ss01020	NF-X1
Vang0057ss01680.1	Vang0057ss01680	SBP
Vang0057ss01680.2	Vang0057ss01680	SBP
Vang0057ss01710.1	Vang0057ss01710	CAMTA
Vang0057ss01710.2	Vang0057ss01710	CAMTA
Vang0057ss01710.3	Vang0057ss01710	CAMTA
Vang0057ss01800.1	Vang0057ss01800	NF-YC
Vang0057ss02050.1	Vang0057ss02050	Trihelix
Vang0058ss00020.1	Vang0058ss00020	bHLH
Vang0058ss00090.1	Vang0058ss00090	Dof
Vang0058ss00300.1	Vang0058ss00300	LBD
Vang0058ss00540.1	Vang0058ss00540	NF-YA
Vang0058ss00600.1	Vang0058ss00600	GRAS
Vang0058ss00620.1	Vang0058ss00620	Nin-like
Vang0058ss00700.1	Vang0058ss00700	bZIP
Vang0058ss00800.1	Vang0058ss00800	FAR1
Vang0058ss00870.1	Vang0058ss00870	FAR1
Vang0063ss00030.1	Vang0063ss00030	LBD
Vang0063ss00900.1	Vang0063ss00900	NAC
Vang0064ss00240.1	Vang0064ss00240	NAC
Vang0064ss00240.2	Vang0064ss00240	NAC
Vang0064ss00450.1	Vang0064ss00450	GATA
Vang0064ss00450.2	Vang0064ss00450	GATA
Vang0064ss00600.1	Vang0064ss00600	bHLH
Vang0065s00110.1	Vang0065s00110	Dof
Vang0065s00320.1	Vang0065s00320	NAC
Vang0065s00360.1	Vang0065s00360	TCP
Vang0065s00530.1	Vang0065s00530	bHLH
Vang0065s00590.1	Vang0065s00590	WRKY
Vang0066ss00230.1	Vang0066ss00230	bZIP
Vang0069ss00620.1	Vang0069ss00620	bHLH
Vang0069ss00640.1	Vang0069ss00640	bHLH
Vang0069ss01680.2	Vang0069ss01680	bHLH
Vang0069ss01820.1	Vang0069ss01820	GATA
Vang0069ss02080.1	Vang0069ss02080	bHLH
Vang0069ss02100.1	Vang0069ss02100	Dof
Vang0070s00120.1	Vang0070s00120	LBD
Vang0070s00260.1	Vang0070s00260	bHLH
Vang0070s00490.1	Vang0070s00490	SBP
Vang0070s00490.2	Vang0070s00490	SBP
Vang0070s00500.1	Vang0070s00500	YABBY
Vang0071ss00390.1	Vang0071ss00390	NF-YA
Vang0071ss00650.1	Vang0071ss00650	GRAS
Vang0071ss01010.1	Vang0071ss01010	Trihelix
Vang0076s00200.1	Vang0076s00200	NAC
Vang0076s00540.1	Vang0076s00540	VOZ
Vang0082s00180.1	Vang0082s00180	YABBY
