TF_ID	Gene_ID	Family
Zpz_sc00021.1.g00620.1.am.mk	Zpz_sc00021.1.g00620.1.am.mk	RAV
Zpz_sc01350.1.g00230.1.sm.mk	Zpz_sc01350.1.g00230.1.sm.mk	RAV
Zpz_sc01308.1.g00040.1.am.mk	Zpz_sc01308.1.g00040.1.am.mk	RAV
Zpz_sc01865.1.g00010.1.am.mk	Zpz_sc01865.1.g00010.1.am.mk	RAV
Zpz_sc00146.1.g00020.1.am.mk	Zpz_sc00146.1.g00020.1.am.mk	RAV
Zpz_sc00001.1.g00200.1.am.mk	Zpz_sc00001.1.g00200.1.am.mk	FAR1
Zpz_sc00001.1.g00710.1.am.mk	Zpz_sc00001.1.g00710.1.am.mk	GRAS
Zpz_sc00001.1.g01650.1.am.mk	Zpz_sc00001.1.g01650.1.am.mk	Dof
Zpz_sc00001.1.g02380.1.am.mk	Zpz_sc00001.1.g02380.1.am.mk	Dof
Zpz_sc00001.1.g02480.1.am.mk	Zpz_sc00001.1.g02480.1.am.mk	LBD
Zpz_sc00002.1.g00420.1.am.mk	Zpz_sc00002.1.g00420.1.am.mk	GeBP
Zpz_sc00002.1.g00830.1.sm.mkhc	Zpz_sc00002.1.g00830.1.sm.mkhc	bHLH
Zpz_sc00002.1.g01260.1.sm.mkhc	Zpz_sc00002.1.g01260.1.sm.mkhc	CAMTA
Zpz_sc00002.1.g01360.1.am.mk	Zpz_sc00002.1.g01360.1.am.mk	bHLH
Zpz_sc00003.1.g00570.1.sm.mk	Zpz_sc00003.1.g00570.1.sm.mk	bHLH
Zpz_sc00003.1.g00670.1.sm.mkhc	Zpz_sc00003.1.g00670.1.sm.mkhc	bZIP
Zpz_sc00003.1.g01830.1.sm.mkhc	Zpz_sc00003.1.g01830.1.sm.mkhc	bHLH
Zpz_sc00004.1.g00620.1.am.mkhc	Zpz_sc00004.1.g00620.1.am.mkhc	bZIP
Zpz_sc00004.1.g00700.1.sm.mkhc	Zpz_sc00004.1.g00700.1.sm.mkhc	WRKY
Zpz_sc00004.1.g01190.1.sm.mkhc	Zpz_sc00004.1.g01190.1.sm.mkhc	NAC
Zpz_sc00004.1.g01210.1.sm.mkhc	Zpz_sc00004.1.g01210.1.sm.mkhc	NAC
Zpz_sc00004.1.g01440.1.am.mk	Zpz_sc00004.1.g01440.1.am.mk	EIL
Zpz_sc00004.1.g01590.1.am.mk	Zpz_sc00004.1.g01590.1.am.mk	WRKY
Zpz_sc00004.1.g01760.1.sm.mkhc	Zpz_sc00004.1.g01760.1.sm.mkhc	bZIP
Zpz_sc00007.1.g00020.1.am.mk	Zpz_sc00007.1.g00020.1.am.mk	LBD
Zpz_sc00007.1.g00610.1.sm.mk	Zpz_sc00007.1.g00610.1.sm.mk	BBR-BPC
Zpz_sc00007.1.g01450.1.sm.mkhc	Zpz_sc00007.1.g01450.1.sm.mkhc	HSF
Zpz_sc00008.1.g00160.1.am.mk	Zpz_sc00008.1.g00160.1.am.mk	GRAS
Zpz_sc00010.1.g00110.1.am.mk	Zpz_sc00010.1.g00110.1.am.mk	LBD
Zpz_sc00011.1.g00130.1.am.mk	Zpz_sc00011.1.g00130.1.am.mk	bHLH
Zpz_sc00011.1.g00280.1.am.mk	Zpz_sc00011.1.g00280.1.am.mk	HSF
Zpz_sc00011.1.g00640.1.sm.mk	Zpz_sc00011.1.g00640.1.sm.mk	bHLH
Zpz_sc00013.1.g00320.1.am.mk	Zpz_sc00013.1.g00320.1.am.mk	ZF-HD
Zpz_sc00013.1.g00630.1.am.mk	Zpz_sc00013.1.g00630.1.am.mk	GRAS
Zpz_sc00013.1.g00680.1.sm.mkhc	Zpz_sc00013.1.g00680.1.sm.mkhc	bHLH
Zpz_sc00013.1.g01050.1.sm.mkhc	Zpz_sc00013.1.g01050.1.sm.mkhc	bHLH
Zpz_sc00015.1.g00420.1.am.mk	Zpz_sc00015.1.g00420.1.am.mk	bHLH
Zpz_sc00015.1.g00460.1.am.mk	Zpz_sc00015.1.g00460.1.am.mk	Dof
Zpz_sc00015.1.g00720.1.sm.mkhc	Zpz_sc00015.1.g00720.1.sm.mkhc	WRKY
Zpz_sc00015.1.g01020.1.sm.mkhc	Zpz_sc00015.1.g01020.1.sm.mkhc	bZIP
Zpz_sc00016.1.g00520.1.sm.mkhc	Zpz_sc00016.1.g00520.1.sm.mkhc	GATA
Zpz_sc00016.1.g00970.1.sm.mk	Zpz_sc00016.1.g00970.1.sm.mk	HSF
Zpz_sc00016.1.g01060.1.sm.mkhc	Zpz_sc00016.1.g01060.1.sm.mkhc	WRKY
Zpz_sc00016.1.g01110.1.sm.mk	Zpz_sc00016.1.g01110.1.sm.mk	bHLH
Zpz_sc00016.1.g01380.1.am.mk	Zpz_sc00016.1.g01380.1.am.mk	TCP
Zpz_sc00016.1.g01440.1.am.mk	Zpz_sc00016.1.g01440.1.am.mk	bZIP
Zpz_sc00017.1.g00220.1.sm.mk	Zpz_sc00017.1.g00220.1.sm.mk	NAC
Zpz_sc00017.1.g00510.1.sm.mkhc	Zpz_sc00017.1.g00510.1.sm.mkhc	bHLH
Zpz_sc00017.1.g00700.1.am.mk	Zpz_sc00017.1.g00700.1.am.mk	SBP
Zpz_sc00017.1.g00830.1.sm.mkhc	Zpz_sc00017.1.g00830.1.sm.mkhc	NAC
Zpz_sc00017.1.g00910.1.am.mk	Zpz_sc00017.1.g00910.1.am.mk	bHLH
Zpz_sc00018.1.g00590.1.am.mk	Zpz_sc00018.1.g00590.1.am.mk	bHLH
Zpz_sc00018.1.g00870.1.am.mkhc	Zpz_sc00018.1.g00870.1.am.mkhc	WRKY
Zpz_sc00020.1.g00070.1.am.mk	Zpz_sc00020.1.g00070.1.am.mk	NAC
Zpz_sc00020.1.g00110.1.sm.mk	Zpz_sc00020.1.g00110.1.sm.mk	bHLH
Zpz_sc00020.1.g00440.1.sm.mkhc	Zpz_sc00020.1.g00440.1.sm.mkhc	bZIP
Zpz_sc00020.1.g00470.1.sm.mkhc	Zpz_sc00020.1.g00470.1.sm.mkhc	bZIP
Zpz_sc00020.1.g00640.1.sm.mkhc	Zpz_sc00020.1.g00640.1.sm.mkhc	WRKY
Zpz_sc00020.1.g00920.1.am.mk	Zpz_sc00020.1.g00920.1.am.mk	Dof
Zpz_sc00021.1.g00010.1.sm.mk	Zpz_sc00021.1.g00010.1.sm.mk	WRKY
Zpz_sc00021.1.g00110.1.am.mk	Zpz_sc00021.1.g00110.1.am.mk	Nin-like
Zpz_sc00022.1.g00200.1.am.mk	Zpz_sc00022.1.g00200.1.am.mk	GRAS
Zpz_sc00022.1.g00320.1.am.mk	Zpz_sc00022.1.g00320.1.am.mk	Dof
Zpz_sc00022.1.g00880.1.sm.mk	Zpz_sc00022.1.g00880.1.sm.mk	bZIP
Zpz_sc00024.1.g00050.1.am.mk	Zpz_sc00024.1.g00050.1.am.mk	Trihelix
Zpz_sc00024.1.g00520.1.sm.mk	Zpz_sc00024.1.g00520.1.sm.mk	NAC
Zpz_sc00026.1.g00080.1.sm.mkhc	Zpz_sc00026.1.g00080.1.sm.mkhc	NAC
Zpz_sc00026.1.g00140.1.am.mk	Zpz_sc00026.1.g00140.1.am.mk	NAC
Zpz_sc00026.1.g00780.1.am.mkhc	Zpz_sc00026.1.g00780.1.am.mkhc	bZIP
Zpz_sc00028.1.g00050.1.sm.mk	Zpz_sc00028.1.g00050.1.sm.mk	bZIP
Zpz_sc00029.1.g00810.1.sm.mkhc	Zpz_sc00029.1.g00810.1.sm.mkhc	NF-YA
Zpz_sc00030.1.g00300.1.am.mk	Zpz_sc00030.1.g00300.1.am.mk	GRAS
Zpz_sc00031.1.g00070.1.sm.mk	Zpz_sc00031.1.g00070.1.sm.mk	LBD
Zpz_sc00031.1.g00150.1.am.mk	Zpz_sc00031.1.g00150.1.am.mk	Dof
Zpz_sc00031.1.g00940.1.sm.mk	Zpz_sc00031.1.g00940.1.sm.mk	Dof
Zpz_sc00031.1.g01220.1.am.mkhc	Zpz_sc00031.1.g01220.1.am.mkhc	GRAS
Zpz_sc00032.1.g00220.1.am.mk	Zpz_sc00032.1.g00220.1.am.mk	GATA
Zpz_sc00033.1.g00720.1.am.mk	Zpz_sc00033.1.g00720.1.am.mk	bHLH
Zpz_sc00033.1.g00790.1.sm.mk	Zpz_sc00033.1.g00790.1.sm.mk	NAC
Zpz_sc00034.1.g00100.1.am.mk	Zpz_sc00034.1.g00100.1.am.mk	bZIP
Zpz_sc00034.1.g00380.1.am.mk	Zpz_sc00034.1.g00380.1.am.mk	NAC
Zpz_sc00034.1.g00780.1.sm.mk	Zpz_sc00034.1.g00780.1.sm.mk	WRKY
Zpz_sc00034.1.g00810.1.am.mk	Zpz_sc00034.1.g00810.1.am.mk	WRKY
Zpz_sc00035.1.g00350.1.am.mk	Zpz_sc00035.1.g00350.1.am.mk	GRAS
Zpz_sc00035.1.g00830.1.am.mk	Zpz_sc00035.1.g00830.1.am.mk	bZIP
Zpz_sc00036.1.g00350.1.am.mk	Zpz_sc00036.1.g00350.1.am.mk	bHLH
Zpz_sc00036.1.g00730.1.am.mk	Zpz_sc00036.1.g00730.1.am.mk	GRAS
Zpz_sc00039.1.g00250.1.am.mk	Zpz_sc00039.1.g00250.1.am.mk	BES1
Zpz_sc00039.1.g00570.1.am.mk	Zpz_sc00039.1.g00570.1.am.mk	bZIP
Zpz_sc00040.1.g00650.1.am.mkhc	Zpz_sc00040.1.g00650.1.am.mkhc	bZIP
Zpz_sc00042.1.g00140.1.am.mk	Zpz_sc00042.1.g00140.1.am.mk	NAC
Zpz_sc00042.1.g00220.1.am.mk	Zpz_sc00042.1.g00220.1.am.mk	Dof
Zpz_sc00042.1.g00350.1.am.mk	Zpz_sc00042.1.g00350.1.am.mk	LBD
Zpz_sc00042.1.g00450.1.sm.mkhc	Zpz_sc00042.1.g00450.1.sm.mkhc	LBD
Zpz_sc00043.1.g00390.1.sm.mk	Zpz_sc00043.1.g00390.1.sm.mk	NAC
Zpz_sc00045.1.g00150.1.am.mk	Zpz_sc00045.1.g00150.1.am.mk	NAC
Zpz_sc00045.1.g00490.1.am.mk	Zpz_sc00045.1.g00490.1.am.mk	bHLH
Zpz_sc00045.1.g00570.1.am.mk	Zpz_sc00045.1.g00570.1.am.mk	Trihelix
Zpz_sc00046.1.g00130.1.am.mk	Zpz_sc00046.1.g00130.1.am.mk	SBP
Zpz_sc00046.1.g00990.1.sm.mk	Zpz_sc00046.1.g00990.1.sm.mk	Trihelix
Zpz_sc00047.1.g00090.1.am.mk	Zpz_sc00047.1.g00090.1.am.mk	bHLH
Zpz_sc00047.1.g00410.1.am.mk	Zpz_sc00047.1.g00410.1.am.mk	LBD
Zpz_sc00048.1.g00250.1.am.mk	Zpz_sc00048.1.g00250.1.am.mk	bZIP
Zpz_sc00050.1.g00510.1.am.mk	Zpz_sc00050.1.g00510.1.am.mk	bZIP
Zpz_sc00053.1.g00120.1.am.mk	Zpz_sc00053.1.g00120.1.am.mk	bZIP
Zpz_sc00054.1.g00310.1.am.mk	Zpz_sc00054.1.g00310.1.am.mk	bHLH
