TF_ID	Gene_ID	Family
Dusal.0010s00015.1.p	Dusal.0010s00015	GATA
Dusal.0025s00052.1.p	Dusal.0025s00052	NF-X1
Dusal.0025s00052.2.p	Dusal.0025s00052	NF-X1
Dusal.0056s00013.1.p	Dusal.0056s00013	bZIP
Dusal.0073s00030.1.p	Dusal.0073s00030	WRKY
Dusal.0073s00031.1.p	Dusal.0073s00031	WRKY
Dusal.0126s00012.1.p	Dusal.0126s00012	WRKY
Dusal.0126s00018.1.p	Dusal.0126s00018	WRKY
Dusal.0145s00020.1.p	Dusal.0145s00020	bZIP
Dusal.0149s00011.1.p	Dusal.0149s00011	Nin-like
Dusal.0149s00011.2.p	Dusal.0149s00011	Nin-like
Dusal.0184s00007.1.p	Dusal.0184s00007	bHLH
Dusal.0225s00021.1.p	Dusal.0225s00021	bZIP
Dusal.0228s00017.1.p	Dusal.0228s00017	HSF
Dusal.0228s00018.1.p	Dusal.0228s00018	HSF
Dusal.0251s00011.1.p	Dusal.0251s00011	GATA
Dusal.0251s00011.2.p	Dusal.0251s00011	GATA
Dusal.0256s00006.1.p	Dusal.0256s00006	Whirly
Dusal.0257s00025.1.p	Dusal.0257s00025	CPP
Dusal.0257s00027.1.p	Dusal.0257s00027	Whirly
Dusal.0273s00002.1.p	Dusal.0273s00002	Nin-like
Dusal.0283s00012.1.p	Dusal.0283s00012	bHLH
Dusal.0303s00007.1.p	Dusal.0303s00007	NF-YC
Dusal.0320s00003.1.p	Dusal.0320s00003	GATA
Dusal.0320s00012.1.p	Dusal.0320s00012	GATA
Dusal.0320s00013.1.p	Dusal.0320s00013	GATA
Dusal.0336s00015.1.p	Dusal.0336s00015	GATA
Dusal.0381s00005.1.p	Dusal.0381s00005	bZIP
Dusal.0399s00006.1.p	Dusal.0399s00006	NF-YC
Dusal.0399s00006.2.p	Dusal.0399s00006	NF-YC
Dusal.0407s00002.1.p	Dusal.0407s00002	CPP
Dusal.0407s00007.1.p	Dusal.0407s00007	YABBY
Dusal.0415s00011.1.p	Dusal.0415s00011	GATA
Dusal.0433s00010.1.p	Dusal.0433s00010	NF-YB
Dusal.0487s00007.1.p	Dusal.0487s00007	Nin-like
Dusal.0539s00005.1.p	Dusal.0539s00005	GATA
Dusal.0584s00008.1.p	Dusal.0584s00008	bZIP
Dusal.0615s00007.1.p	Dusal.0615s00007	WRKY
Dusal.0690s00004.1.p	Dusal.0690s00004	bHLH
Dusal.0728s00006.1.p	Dusal.0728s00006	NF-YB
Dusal.0729s00007.1.p	Dusal.0729s00007	SBP
Dusal.0785s00002.1.p	Dusal.0785s00002	Nin-like
Dusal.0887s00001.1.p	Dusal.0887s00001	bHLH
Dusal.0948s00001.1.p	Dusal.0948s00001	Nin-like
Dusal.0948s00001.2.p	Dusal.0948s00001	Nin-like
Dusal.0948s00001.3.p	Dusal.0948s00001	Nin-like
Dusal.0948s00001.4.p	Dusal.0948s00001	Nin-like
Dusal.1281s00003.1.p	Dusal.1281s00003	bHLH
Dusal.2116s00002.1.p	Dusal.2116s00002	bHLH
Dusal.0104s00019.1.p	Dusal.0104s00019	B3
Dusal.0014s00031.1.p	Dusal.0014s00031	AP2
Dusal.0066s00042.1.p	Dusal.0066s00042	AP2
Dusal.0066s00037.1.p	Dusal.0066s00037	AP2
Dusal.0035s00038.1.p	Dusal.0035s00038	AP2
Dusal.0150s00014.2.p	Dusal.0150s00014	AP2
Dusal.0150s00014.1.p	Dusal.0150s00014	AP2
Dusal.0799s00001.1.p	Dusal.0799s00001	AP2
Dusal.0012s00020.1.p	Dusal.0012s00020	ERF
Dusal.0077s00023.1.p	Dusal.0077s00023	ERF
Dusal.0133s00006.1.p	Dusal.0133s00006	ERF
Dusal.0157s00007.1.p	Dusal.0157s00007	ERF
Dusal.0405s00001.1.p	Dusal.0405s00001	ERF
Dusal.0418s00014.1.p	Dusal.0418s00014	ERF
Dusal.0500s00002.1.p	Dusal.0500s00002	ERF
Dusal.0772s00002.1.p	Dusal.0772s00002	ERF
Dusal.2891s00001.1.p	Dusal.2891s00001	ERF
Dusal.0007s00046.1.p	Dusal.0007s00046	CO-like
Dusal.0006s00029.1.p	Dusal.0006s00029	ARR-B
