TF_ID	Gene_ID	Family
MDP0000939633	MDP0000939633	RAV
MDP0000128924	MDP0000128924	RAV
MDP0000945267	MDP0000945267	RAV
MDP0000321569	MDP0000321569	RAV
MDP0000223137	MDP0000223137	RAV
MDP0000153589	MDP0000153589	RAV
MDP0000165802	MDP0000165802	RAV
MDP0000534780	MDP0000534780	RAV
MDP0000526584	MDP0000526584	RAV
MDP0000485280	MDP0000485280	RAV
MDP0000207722	MDP0000207722	RAV
MDP0000023799	MDP0000023799	ZF-HD
MDP0000029168	MDP0000029168	bHLH
MDP0000097759	MDP0000097759	Trihelix
MDP0000118810	MDP0000118810	WRKY
MDP0000119031	MDP0000119031	WRKY
MDP0000119093	MDP0000119093	GRAS
MDP0000119183	MDP0000119183	GRAS
MDP0000119199	MDP0000119199	HSF
MDP0000119446	MDP0000119446	NAC
MDP0000119458	MDP0000119458	SBP
MDP0000119495	MDP0000119495	bHLH
MDP0000119590	MDP0000119590	WRKY
MDP0000120158	MDP0000120158	bZIP
MDP0000120171	MDP0000120171	FAR1
MDP0000120361	MDP0000120361	FAR1
MDP0000120671	MDP0000120671	TCP
MDP0000120802	MDP0000120802	bZIP
MDP0000120805	MDP0000120805	Dof
MDP0000120881	MDP0000120881	NAC
MDP0000121203	MDP0000121203	LBD
MDP0000121221	MDP0000121221	SBP
MDP0000121258	MDP0000121258	bZIP
MDP0000121265	MDP0000121265	NAC
MDP0000121314	MDP0000121314	SAP
MDP0000121411	MDP0000121411	Dof
MDP0000121412	MDP0000121412	Dof
MDP0000121522	MDP0000121522	bHLH
MDP0000121603	MDP0000121603	bZIP
MDP0000121669	MDP0000121669	WRKY
MDP0000121821	MDP0000121821	LBD
MDP0000122269	MDP0000122269	Trihelix
MDP0000122441	MDP0000122441	GRAS
MDP0000122904	MDP0000122904	Dof
MDP0000123013	MDP0000123013	LBD
MDP0000123107	MDP0000123107	bZIP
MDP0000123467	MDP0000123467	WRKY
MDP0000123719	MDP0000123719	Trihelix
MDP0000123745	MDP0000123745	FAR1
MDP0000123797	MDP0000123797	LBD
MDP0000123799	MDP0000123799	ZF-HD
MDP0000123888	MDP0000123888	WRKY
