TF_ID	Gene_ID	Family
102921	fgenesh2_pg.C_Chr_11000033	CPP
103573	fgenesh2_pg.C_Chr_12000285	bZIP
104615	fgenesh2_pg.C_Chr_16000145	HSF
104880	estExt_fgenesh2_kg.C_Chr_070015	GATA
105183	estExt_fgenesh2_pg.C_Chr_020452	bZIP
105435	estExt_fgenesh2_pg.C_Chr_040222	GATA
105585	estExt_fgenesh2_pg.C_Chr_050217	GATA
105591	estExt_fgenesh2_pg.C_Chr_050244	Nin-like
105904	estExt_fgenesh2_pg.C_Chr_080012	HSF
105954	estExt_fgenesh2_pg.C_Chr_080215	SBP
106430	estExt_fgenesh2_pg.C_Chr_130205	NF-YA
107433	PierreAnnot_Rwp2	Nin-like
107704	est_cluster_kg.Chr_02__68__3202028:1	GATA
107954	est_cluster_kg.Chr_03__111__3201951:1	SBP
108283	est_cluster_kg.Chr_05__92__3202834:1	YABBY
108680	est_cluster_kg.Chr_07__150__3202459:1	SBP
108997	est_cluster_kg.Chr_10__40__3200271:1	HSF
109106	est_cluster_kg.Chr_11__11__3201626:1	bZIP
109344	est_cluster_kg.Chr_13__27__3199715:1	bHLH
112717	AZW_EuGene.0200010417	YABBY
51158	est_orfs.Chr_07_1029_3202391:1	NF-YB
52223	est_orfs.Chr_03_2094_3199765:1	SBP
54162	est_orfs.Chr_02_4033_3200241:1	GATA
55265	EuGene.0100010492	Nin-like
55361	EuGene.0100010588	E2F/DP
55695	EuGene.0200010072	HSF
56115	EuGene.0200010492	bZIP
56291	EuGene.0200010668	bZIP
56348	EuGene.0200010725	Nin-like
56474	EuGene.0200010851	GATA
56787	EuGene.0300010215	YABBY
56966	EuGene.0300010394	bHLH
57601	EuGene.0400010130	bZIP
58153	EuGene.0400010682	HSF
58222	EuGene.0400010751	bZIP
59665	EuGene.0600010667	GATA
59779	EuGene.0700010064	CAMTA
59800	EuGene.0700010085	HSF
60106	EuGene.0700010391	NF-YB
60948	EuGene.0800010516	E2F/DP
61021	EuGene.0900010004	bZIP
61119	EuGene.0900010102	WRKY
61429	EuGene.0900010412	SBP
62160	EuGene.1000010497	Whirly
62569	EuGene.1100010355	Dof
62865	EuGene.1200010037	NF-YC
63124	EuGene.1200010296	WRKY
63410	EuGene.1300010060	NF-YC
63448	EuGene.1300010098	GATA
64602	EuGene.1500010323	bZIP
64846	EuGene.1600010207	Nin-like
64855	EuGene.1600010216	Nin-like
74029	gw2.03.732.1	NF-YC
