TF_ID	Gene_ID	Family
XP_013890549.1	MNEG_16435	WRKY
XP_013890670.1	MNEG_16315	GATA
XP_013891872.1	MNEG_15112	Nin-like
XP_013892244.1	MNEG_14739	Nin-like
XP_013892274.1	MNEG_14710	GATA
XP_013892411.1	MNEG_14571	bHLH
XP_013892784.1	MNEG_14200	CPP
XP_013893355.1	MNEG_13626	GATA
XP_013894024.1	MNEG_12958	GATA
XP_013894180.1	MNEG_12802	E2F/DP
XP_013894873.1	MNEG_12111	E2F/DP
XP_013895154.1	MNEG_11827	bZIP
XP_013895179.1	MNEG_11802	bHLH
XP_013895410.1	MNEG_11574	S1Fa-like
XP_013895546.1	MNEG_11435	NF-YB
XP_013895687.1	MNEG_11294	WRKY
XP_013896121.1	MNEG_10861	bZIP
XP_013896123.1	MNEG_10858	GATA
XP_013896406.1	MNEG_10577	GATA
XP_013896924.1	MNEG_10057	GATA
XP_013897050.1	MNEG_9934	CPP
XP_013897485.1	MNEG_9497	bZIP
XP_013899345.1	MNEG_7635	NF-YC
XP_013899654.1	MNEG_7324	bZIP
XP_013899821.1	MNEG_7163	SBP
XP_013899957.1	MNEG_7026	Dof
XP_013900580.1	MNEG_6403	bZIP
XP_013901402.1	MNEG_5580	bZIP
XP_013901909.1	MNEG_5066	bZIP
XP_013901916.1	MNEG_5065	bZIP
XP_013902072.1	MNEG_4906	GATA
XP_013903199.1	MNEG_3784	bZIP
XP_013903230.1	MNEG_3753	NF-YB
XP_013903335.1	MNEG_3642	bZIP
XP_013903778.1	MNEG_3202	bHLH
XP_013904719.1	MNEG_2262	bZIP
XP_013904744.1	MNEG_2229	HSF
XP_013905002.1	MNEG_1973	NF-YC
XP_013905585.1	MNEG_1389	E2F/DP
XP_013905636.1	MNEG_1335	NF-YC
XP_013905703.1	MNEG_1261	Whirly
XP_013905908.1	MNEG_1062	GATA
XP_013906551.1	MNEG_0421	bZIP
XP_013906665.1	MNEG_0316	bZIP
XP_013896461.1	MNEG_10522	B3
XP_013904757.1	MNEG_2226	B3
XP_013900745.1	MNEG_6240	AP2
XP_013902384.1	MNEG_4596	AP2
XP_013906195.1	MNEG_0771	AP2
XP_013903570.1	MNEG_3413	AP2
XP_013906131.1	MNEG_0833	AP2
XP_013903564.1	MNEG_3407	AP2
XP_013897312.1	MNEG_9671	AP2
XP_013904790.1	MNEG_2182	AP2
XP_013892094.1	MNEG_14889	ERF
XP_013892512.1	MNEG_14470	ERF
XP_013896501.1	MNEG_10479	ERF
XP_013897194.1	MNEG_9787	ERF
XP_013897282.1	MNEG_9699	ERF
XP_013898540.1	MNEG_8441	ERF
XP_013898912.1	MNEG_8071	ERF
XP_013899004.1	MNEG_7979	ERF
XP_013899406.1	MNEG_7571	ERF
XP_013899838.1	MNEG_7142	ERF
XP_013900945.1	MNEG_6038	ERF
XP_013902725.1	MNEG_4249	ERF
XP_013902907.1	MNEG_4071	ERF
XP_013902908.1	MNEG_4072	ERF
XP_013903151.1	MNEG_3832	ERF
XP_013903735.1	MNEG_3248	ERF
XP_013904976.1	MNEG_1998	ERF
XP_013905108.1	MNEG_1869	ERF
XP_013906421.1	MNEG_0538	ERF
XP_013901746.1	MNEG_5232	ARR-B
XP_013894242.1	MNEG_12740	G2-like
XP_013898209.1	MNEG_8773	G2-like
XP_013901219.1	MNEG_5759	G2-like
XP_013906239.1	MNEG_0733	G2-like
XP_013896253.1	MNEG_10729	M-type_MADS
XP_013901055.1	MNEG_5922	M-type_MADS
XP_013894691.1	MNEG_12292	HB-other
XP_013890825.1	MNEG_16158	C2H2
XP_013892648.1	MNEG_14333	C3H
XP_013895141.1	MNEG_11840	C3H
XP_013895755.1	MNEG_11227	C3H
XP_013896131.1	MNEG_10850	C3H
XP_013896976.1	MNEG_10005	C3H
XP_013897124.1	MNEG_9856	C3H
XP_013898061.1	MNEG_8923	C3H
XP_013898968.1	MNEG_8014	C2H2
XP_013899153.1	MNEG_7827	C3H
XP_013900329.1	MNEG_6652	C3H
XP_013900780.1	MNEG_6198	C3H
XP_013900797.1	MNEG_6186	C2H2
XP_013900848.1	MNEG_6134	C3H
XP_013901033.1	MNEG_5946	C3H
XP_013901867.1	MNEG_5113	C3H
